subID,alpha,theta,gamma,w,nll
18,0.51,0.94,0.24,0.18,456.9526052005399
14,0.62,0.64,0.6,-0.35,327.35294393440364
4,0.6,0.51,0.7,0.45,284.9583648122276
0,1.0,0.68,0.78,0.42,254.65879848955336
2,1.0,0.88,0.83,0.6,283.6421143959683
5,0.24,1.13,1.0,-0.15,348.91285565762115
12,0.44,1.22,0.77,0.31,376.5544812076124
15,1.0,0.28,0.87,0.45,317.1017378020068
8,0.52,1.04,0.95,-0.47,317.69415046282404
19,0.79,1.11,0.81,0.4,303.62843866824994
6,0.2,0.93,0.28,1.0,206.49864500493425
10,0.73,0.91,0.82,0.32,258.46518405275526
9,0.96,0.47,0.99,0.0,272.07870405493424
20,0.28,0.76,1.0,0.0,328.2232867064789
13,1.0,0.54,0.88,-0.2,273.0643817199202
7,0.47,0.69,0.86,0.97,244.30219572003523
21,0.12,1.18,0.0,0.22,239.07052350058416
1,0.0,0.68,0.0,0.3,353.7630986156885
11,0.03,1.5,0.02,-0.08,345.80547323642094
16,0.01,1.4,0.0,-0.17,459.37859050618465
17,0.1,0.58,0.0,-0.07,297.4327384706171
3,0.61,0.92,0.83,-0.23,340.70569101608544
32,0.44,0.81,0.87,1.0,332.77182907312607
36,0.03,1.48,0.0,-0.16,377.26078775331274
22,0.06,0.55,0.02,0.18,328.54724941962195
28,0.36,1.28,0.19,-0.14,242.55043970529698
23,0.96,1.09,0.46,0.29,196.985205724167
26,0.88,0.22,0.98,0.38,148.02231062233017
27,1.0,0.57,0.82,-0.18,197.7563476357027
33,0.34,0.53,0.08,0.0,235.980993785742
29,0.4,0.41,1.0,0.51,272.03066871505627
30,0.23,0.92,0.85,-0.72,328.5828678006975
37,0.13,0.73,0.0,-1.0,427.5115250825886
24,0.08,1.5,0.0,-0.32,335.25587219237144
31,0.18,0.82,1.0,-0.68,405.14210945180287
34,0.16,0.0,0.1,0.36,400.4605345768324
35,1.0,0.88,0.59,-0.44,197.19519391671128
25,0.19,0.44,0.88,0.0,291.07590619139023
86,0.52,1.5,0.6,0.31,171.93049367545197
94,0.24,0.95,0.52,-0.2,279.07301838582
68,0.96,0.4,0.87,0.34,213.38790019619745
48,0.03,1.44,0.0,-0.01,158.1532108237915
96,0.88,0.77,0.0,0.11,402.81962258077044
60,1.0,0.88,0.71,0.36,203.07658309446407
58,0.18,1.09,0.88,0.28,467.4773476449162
92,0.03,1.5,0.0,0.65,323.9699896987056
