subID,alpha,theta,gamma,w,nll
18,0.96,0.1,0.99,0.32,545.7719039105198
14,0.18,0.64,0.54,-0.36,324.77912939304116
4,0.14,0.42,0.74,0.45,298.5919175599852
0,0.56,0.94,0.71,0.43,236.91088514857734
2,0.18,0.89,0.84,0.59,290.1366300491107
5,0.01,1.4,0.01,-0.17,375.888785633305
12,0.09,1.12,0.72,0.31,386.67912502493675
15,0.46,0.28,0.88,0.44,309.61317816289454
8,0.08,1.28,0.68,-0.36,339.14346198332004
19,0.23,1.05,0.85,0.51,314.11078649570277
6,0.22,0.98,0.86,1.0,195.39299368309844
10,0.27,0.76,0.93,0.4,255.45021829091496
9,0.28,0.48,0.99,-0.28,275.37527842812324
20,0.12,0.68,1.0,0.0,334.18705785503886
13,0.14,0.51,0.96,-0.2,278.92659033281046
7,0.21,0.75,0.86,0.95,239.1762554252368
21,0.02,1.17,0.0,0.24,241.10353507459445
1,0.0,0.68,0.0,0.3,353.7630986156885
11,0.01,1.5,0.0,-0.08,342.50202221120065
16,0.88,0.32,1.0,0.3,497.6060133015791
17,0.03,0.56,0.1,-0.12,298.6407847012985
3,0.24,0.72,0.8,-0.33,350.61595222483294
32,0.01,0.73,0.0,0.68,337.6809345858642
36,0.01,1.44,0.0,-0.17,375.1234506567327
22,0.03,0.53,0.08,0.16,326.4904918821699
28,0.14,1.3,0.3,-0.34,253.31810294827875
23,0.17,0.98,0.41,0.29,201.08416674494742
26,0.52,0.14,0.98,0.52,186.1343833294453
27,0.7,0.56,0.83,0.17,172.57389526547112
33,0.11,0.56,0.28,0.0,228.54178337795332
29,0.12,0.44,1.0,0.44,276.90571669201995
30,0.08,0.84,0.72,-0.56,343.31639183286586
37,0.92,0.0,1.0,0.12,461.32375793601574
24,0.02,1.5,0.0,-0.32,340.77522912098607
31,0.1,0.77,0.0,0.48,429.9928552964111
34,0.06,0.0,0.0,0.35,402.7157447083337
35,0.18,0.79,0.56,-0.51,185.52154575936152
25,0.01,0.51,0.02,0.0,302.06176059525126
86,0.29,1.44,0.67,0.3,192.59325499893515
94,0.11,1.0,0.68,0.27,296.91656078204886
68,0.4,0.32,0.88,0.48,224.47529747270949
48,0.01,1.44,0.0,-0.04,168.56595113685066
96,0.18,0.79,0.0,-0.02,401.0704605434814
60,0.4,0.64,0.82,0.35,197.4800744774403
58,1.0,0.07,1.0,0.32,500.70292645219854
92,0.01,1.5,0.0,0.65,324.58585577827023
97,0.13,0.92,0.46,-0.49,301.6256056107685
87,0.08,0.94,0.06,0.48,274.21354053383743
44,0.31,0.59,0.85,0.12,313.7301168527335
90,0.35,0.28,0.99,-0.32,183.39169266736323
54,0.13,0.74,0.69,0.33,366.69936393577
50,0.0,0.68,0.0,-0.12,325.4459203952514
70,0.11,0.59,0.69,1.0,231.30407106946762
66,0.22,1.44,0.16,0.33,319.789214996676
42,0.36,0.24,0.97,0.18,197.0509630213748
88,0.09,1.08,0.52,-0.35,335.97154998742576
40,0.0,0.82,0.0,1.0,351.474807185549
74,0.21,0.72,0.94,0.38,251.74728723085138
64,0.3,1.09,0.7,0.6,177.87504867623971
45,0.92,0.52,0.89,0.52,590.2335867208976
38,0.13,0.44,0.0,0.7,420.53169278373946
84,0.36,0.44,1.0,-0.36,361.16396664814016
65,0.29,0.56,0.86,0.18,263.6733785715951
72,0.09,1.16,0.74,-0.05,298.13274056929174
69,0.16,0.53,0.88,0.59,287.9815365849445
80,0.14,1.01,0.88,-0.52,331.53266082855725
82,0.92,0.1,1.0,0.12,527.6443363877751
81,0.01,1.5,0.0,0.24,385.8894706510794
61,0.02,0.72,0.1,0.56,267.96174077107673
67,0.21,0.88,0.81,0.0,229.82788541564537
89,0.08,0.9,0.88,0.8,341.6731877679301
76,0.01,1.48,0.02,0.08,408.94477761621636
59,0.08,1.32,0.32,-0.19,383.0885546746265
43,0.36,0.7,0.83,0.16,227.03090819867236
93,0.0,1.11,0.0,0.62,293.62057257547497
55,0.1,0.81,0.48,0.0,209.28245289088107
85,0.09,0.81,0.51,0.33,403.1153496326086
52,0.88,0.06,0.98,0.27,434.06921127508724
78,0.12,0.96,0.72,0.38,286.41957067056785
51,0.33,0.77,0.83,0.04,257.47444247264553
49,0.22,0.28,1.0,0.24,247.00694827160504
56,0.12,0.6,0.68,-0.22,385.28773802988803
46,1.0,0.06,1.0,0.12,586.9848295970532
79,0.05,0.71,0.0,0.89,291.5605256198117
62,1.0,0.1,1.0,0.12,497.96189190323264
77,0.88,1.5,0.96,0.32,598.30833053584
63,0.1,1.28,0.59,0.48,243.06565860463598
73,0.3,0.4,0.99,-0.12,300.76619815727565
57,0.12,1.32,0.54,-0.24,382.47781465510985
83,0.12,1.08,0.68,-0.52,257.8049115360575
71,0.28,0.52,0.94,0.52,236.41435122984484
91,0.2,0.49,1.0,-0.1,362.1424146774435
39,0.26,1.03,0.82,0.64,254.63858512877255
75,0.09,0.72,0.9,0.04,356.0080620275518
95,0.11,0.82,0.19,0.71,328.5971766574204
53,0.23,0.36,1.0,0.08,213.26249566423587
47,0.52,0.31,0.94,0.52,294.77492597934196
41,0.43,0.25,0.98,0.6,224.58217120065865
108,0.12,1.28,0.31,-0.87,109.43324294788468
114,0.0,0.78,0.0,0.38,324.3753744128966
161,0.01,0.67,0.02,0.48,363.1367146211622
146,0.15,0.48,0.88,-0.05,309.4251352175749
138,0.88,0.1,0.99,0.68,476.1493076484114
102,0.11,0.97,0.08,0.67,355.6533496059767
167,0.25,0.76,0.88,0.4,227.8203728413651
98,0.22,0.57,0.99,0.0,295.63202497958866
100,0.13,0.26,0.98,0.0,241.856764069299
120,0.23,1.25,0.7,0.39,268.3906014874221
104,0.21,0.62,0.26,-0.08,282.45058103634574
165,0.09,0.78,0.48,-0.2,286.3047502050065
168,0.09,0.71,0.28,0.68,323.31979456996226
163,0.23,0.68,0.87,0.28,202.78872469700156
124,0.0,1.46,0.0,0.64,308.6486367004832
103,0.22,0.57,0.88,0.23,293.8487107199757
154,0.32,0.28,1.0,0.21,207.44633834940646
115,0.13,0.76,0.88,0.33,338.6094823445294
116,0.36,0.48,0.88,0.0,144.89611419701032
132,0.35,0.65,0.83,0.73,204.08329579121795
112,0.38,1.49,0.46,-0.39,172.48520120180075
128,0.19,0.71,0.5,0.32,242.77770496030348
109,0.11,0.72,0.28,-0.63,192.72964263582696
159,0.15,0.52,0.0,0.48,286.6108280083437
106,0.4,0.68,0.52,0.29,311.45695466808235
113,0.27,0.96,0.71,0.0,305.51098649402513
166,0.08,1.2,0.68,0.08,239.54516384327275
126,0.32,0.72,0.94,0.12,342.8489032350899
152,0.21,0.64,0.84,0.0,228.8260801600176
130,0.88,1.5,1.0,0.8,591.6978226033956
118,0.14,1.27,0.78,0.21,280.1440831778701
105,0.01,1.36,0.0,0.63,351.6720372303066
131,0.18,0.75,0.68,-0.34,304.6883586395115
107,0.48,0.92,0.04,-0.32,295.44026193534773
139,0.88,0.1,1.0,0.64,512.3058591336752
117,0.39,1.43,0.59,0.22,225.34490724250466
153,0.16,0.45,1.0,0.48,367.73031237930303
140,0.95,0.31,0.99,0.8,435.88237543620386
134,0.43,0.32,0.97,0.62,206.28802151294215
148,0.14,0.14,0.31,0.0,227.39949526447623
150,0.04,1.2,0.1,-0.12,206.04680043424466
157,0.03,0.88,0.0,-0.08,330.94391700266686
133,0.15,0.49,1.0,0.72,243.81036470404345
121,0.19,0.46,0.88,0.0,273.12642122523357
135,0.18,0.56,1.0,0.84,244.10764224456977
127,0.43,0.19,0.98,0.52,208.16537326112814
110,0.12,0.86,0.0,0.66,402.9144664984305
147,0.08,1.16,0.73,0.11,232.09418559589594
155,0.18,0.48,0.99,-0.36,241.78527483338024
149,0.01,0.81,0.02,0.0,298.23590628948386
122,0.38,0.52,0.87,0.15,226.33632931930828
142,0.26,0.72,0.87,0.17,217.4576752641218
160,0.4,0.25,0.99,0.15,170.3222201932161
156,0.28,0.51,0.84,0.11,242.48981834918348
137,0.14,0.07,0.68,0.01,440.9819881422546
162,0.03,0.71,0.1,0.24,343.9364724978632
125,0.32,0.42,0.97,0.68,216.45272191967933
164,0.44,0.01,0.98,0.16,318.74166217685155
101,0.9,0.09,0.92,-0.11,461.2453009533943
144,0.28,0.07,1.0,0.54,327.76866667239256
123,0.0,0.75,0.0,0.23,322.6044966987638
129,0.0,0.74,0.0,-0.42,351.0408814722433
141,0.11,0.63,0.88,0.08,321.1004878122559
111,0.18,0.92,0.61,0.69,208.96735265241853
158,0.1,0.43,0.72,-0.32,265.08134751556423
143,0.1,0.68,1.0,0.02,313.26126853711116
151,0.7,1.32,0.76,0.26,327.0419501359845
99,0.18,0.32,1.0,-0.08,308.12855462730863
119,0.29,0.13,1.0,0.0,231.2321240906371
145,0.1,0.65,0.71,0.28,332.72582358077364
219,0.26,0.68,0.88,0.18,255.67866649019385
185,0.4,1.12,0.48,0.44,142.21588142958996
247,0.17,0.68,0.86,0.0,244.2453454138347
235,0.12,0.88,0.88,0.28,284.14514534662726
213,0.98,0.04,0.99,0.84,486.94743518295934
245,0.26,0.56,0.28,0.62,153.87048330903886
225,0.23,0.33,0.99,0.01,234.79346289128213
231,0.29,0.81,0.82,-0.24,169.65458871096624
226,0.26,0.68,0.84,0.31,218.69825312841505
217,0.0,0.57,0.0,0.32,316.708030314912
236,0.09,0.88,0.02,-0.18,453.2887800310131
175,0.39,1.1,0.76,0.11,297.3888328086149
173,0.18,0.29,0.0,0.76,346.5154463102638
203,0.08,0.88,0.0,0.08,103.63255364797368
193,0.21,0.88,0.88,-0.19,302.3507311050445
197,0.88,0.28,1.0,0.32,429.32155472082866
169,0.12,0.69,1.0,-0.12,344.46311731941984
191,0.28,0.8,0.86,0.72,225.39477146428396
227,0.0,0.74,0.0,0.16,341.38309813075284
221,1.0,0.1,1.0,0.48,420.89737867866904
223,0.28,0.64,0.88,0.4,269.1727939006083
177,0.39,0.84,0.8,0.31,284.4928998093026
174,0.2,0.48,0.99,-0.32,373.4223936616097
222,0.16,0.98,0.01,0.79,497.53745560427944
171,0.08,1.16,0.74,-0.28,312.74699112801966
218,0.3,0.72,0.88,0.16,265.01887905227346
201,0.49,0.51,0.8,1.0,320.42628514064575
243,0.09,0.88,0.56,-0.12,288.1600017257075
211,0.08,1.5,0.0,-0.32,262.76108053287174
224,0.34,0.29,1.0,0.44,250.20414168678576
237,0.88,1.5,1.0,1.0,508.8900043928211
187,0.33,0.37,0.88,0.33,239.9457387149974
170,0.88,0.0,0.99,0.52,463.1197880751799
181,0.59,0.31,0.87,0.09,287.8444807948498
183,0.08,0.84,0.26,0.4,402.77792004421076
198,0.03,0.83,0.1,0.32,391.5892660776905
215,0.08,0.91,0.02,0.28,349.947602317447
248,0.98,0.58,0.69,0.37,275.4658027825767
249,0.02,0.83,0.1,0.0,274.03725577454964
212,0.14,0.36,0.49,-0.08,240.06991212911225
233,0.3,0.57,0.88,0.36,257.0206452893368
189,0.21,0.84,0.84,0.37,284.32989261263225
172,0.4,0.8,0.75,0.32,213.15729880134492
216,0.12,0.52,0.0,0.32,368.4240966336265
190,0.25,0.33,0.0,0.47,200.28961150196207
232,0.33,1.03,0.77,0.32,198.86279572546385
188,0.17,0.86,1.0,0.63,309.8001009276153
250,0.08,0.94,0.88,0.0,280.8689034731086
229,0.21,0.41,0.88,0.28,298.80948507818687
209,0.12,0.6,0.72,0.4,322.15159461750915
176,0.42,0.48,0.87,0.34,221.61183510745536
239,0.17,0.92,0.56,0.25,226.7741697098993
195,0.11,0.47,0.88,0.08,262.233994987797
179,0.14,0.64,1.0,0.91,279.5426404894621
199,0.03,1.32,0.0,-0.28,364.43230404840926
192,0.05,0.19,0.0,0.08,239.70651016305442
182,0.43,0.7,0.52,-0.22,213.16827678442664
220,0.19,0.34,0.72,0.0,231.72567408859095
244,0.15,1.24,0.16,-0.14,346.41376625599537
186,0.88,0.02,0.99,0.68,364.83497347951754
205,0.21,0.88,0.76,0.13,237.6674760401924
206,0.22,0.67,0.88,0.08,273.0495681509669
240,0.32,0.28,0.88,0.32,250.9546603593493
