subID,alpha,theta,gamma,w,nll
0,0.52,0.32,0.92,0.64,260.47338010871147
1,0.09,0.69,1.0,0.88,255.8849379469498
2,0.12,0.73,0.98,0.71,282.59337665168204
3,0.25,0.86,0.91,0.45,304.05282639815255
4,0.14,0.59,0.38,0.46,298.409858992851
5,0.1,1.11,1.0,-0.57,289.0422194864284
6,0.18,1.05,0.46,1.0,213.50214064848782
7,0.09,0.8,0.1,1.0,245.10559152170867
8,0.09,0.88,0.88,-0.48,280.3394422323092
9,0.01,0.79,0.02,0.25,327.9299937720484
10,0.32,0.76,0.88,0.86,276.46376847805016
11,0.03,1.36,0.1,0.08,243.6541595344144
12,0.28,1.02,1.0,0.62,272.86372231844746
13,0.88,0.36,0.88,0.11,301.1312963573947
14,0.08,0.64,0.6,0.44,310.44161472426026
15,0.24,0.24,0.48,0.51,320.82974600280806
16,0.03,1.5,0.0,0.49,251.367955849367
17,0.09,0.66,0.42,-0.27,328.1904195285113
18,0.13,0.67,0.0,0.56,343.8191930337679
19,0.16,0.75,1.0,0.46,293.0252130093064
20,0.24,0.65,1.0,-0.05,328.03101932986306
21,0.04,0.92,0.0,0.88,222.93187549351345
22,0.0,0.66,0.0,-0.11,329.28317818929236
23,0.0,1.01,0.0,0.83,250.51014366644
24,0.1,1.5,0.0,1.0,183.9346142888039
25,0.1,0.42,0.88,-0.09,320.9579235821649
26,0.26,0.41,0.79,0.18,286.53500762056353
27,0.54,0.4,1.0,0.62,321.4142123317778
28,0.16,1.36,0.03,0.22,197.4274023955564
29,0.11,0.52,0.7,0.24,330.708064146187
30,0.0,1.08,0.0,0.77,258.1305067298079
31,0.2,0.81,1.0,0.37,304.53241928335615
32,0.0,0.69,0.0,0.0,318.6371569253628
33,0.28,0.44,0.36,0.07,320.9093120501085
34,0.11,0.0,0.0,0.45,270.4308064446249
35,0.58,0.58,0.0,-1.0,280.22266158560853
36,0.08,1.34,0.36,0.96,192.1096159962112
37,0.88,0.26,0.94,-0.57,286.76940296509053
38,0.16,0.38,0.0,0.62,311.0792936524026
39,0.8,0.48,1.0,0.68,303.71901359677224
40,0.68,0.6,1.0,0.44,303.3329373768679
41,0.23,0.53,1.0,0.18,288.81860222711265
42,0.36,0.27,0.36,0.66,224.67974582180702
43,0.06,0.77,0.0,0.72,285.1946836669569
44,0.22,0.64,0.67,0.26,342.6909236907221
45,0.1,1.42,0.28,0.69,234.34083589402198
46,0.08,1.27,0.28,0.74,223.0697066911491
47,0.76,0.36,0.88,0.25,292.94025128134217
48,0.0,1.35,0.0,-0.3,268.27538649023023
49,0.38,0.41,0.98,0.12,286.9140797247686
50,0.06,0.57,0.1,0.35,303.27125450022066
51,0.09,0.88,1.0,0.29,309.8651425022083
52,0.18,0.59,0.88,-0.65,262.8549566260886
53,0.52,0.56,0.88,0.67,267.6128533343477
54,0.19,0.53,1.0,0.1,308.27641763020466
55,0.28,0.88,0.72,0.52,272.14950675636703
56,0.08,0.79,0.52,0.58,291.2207416435609
57,0.1,1.12,1.0,0.52,314.6990232900539
58,0.24,0.99,0.8,0.43,268.2599664919281
59,0.09,1.24,0.92,-0.21,249.94063306325359
60,0.2,0.67,0.23,1.0,255.25160989359068
61,0.0,0.79,0.0,0.65,297.8932629531699
62,0.09,0.94,0.87,-0.49,303.5456386926909
63,0.0,1.26,0.0,0.34,275.65967070204806
64,0.0,1.2,0.0,0.67,274.343700376964
65,0.6,0.16,1.0,0.41,303.6846955880744
66,0.17,0.88,0.07,0.56,273.45975994865466
67,0.17,0.82,1.0,0.14,301.6563740412364
68,0.88,0.38,0.87,0.71,257.50759031670094
69,0.13,0.58,0.83,0.79,282.5607363390933
