subID,trial,sim_choice,sim_attack,k
18,5,7,1,1
18,56,5,0,1
18,35,4,0,1
18,55,5,0,1
18,114,4,0,1
18,110,6,0,1
18,60,4,0,1
18,30,6,0,1
18,32,7,1,1
18,6,6,0,1
18,67,5,0,1
18,45,6,0,1
18,117,6,0,1
18,73,5,0,1
18,115,5,0,1
18,112,4,0,1
18,64,5,0,1
18,90,5,0,1
18,4,7,0,1
18,13,6,1,1
18,54,5,0,1
18,63,5,0,1
18,86,6,0,1
18,104,6,0,1
18,91,6,0,1
18,62,5,0,1
18,58,4,0,1
18,52,5,0,1
18,12,4,0,1
18,28,8,1,1
18,75,6,1,1
18,23,5,0,1
18,111,6,0,1
18,92,7,1,1
18,41,5,0,1
18,43,7,1,1
18,11,5,0,1
18,69,4,0,1
18,36,6,1,1
18,98,5,1,1
18,68,5,0,1
18,82,5,0,1
18,85,5,1,1
18,118,6,1,1
18,119,6,0,1
18,39,4,0,1
18,84,4,1,1
18,77,6,0,1
18,7,4,0,1
18,25,5,1,1
18,95,4,0,1
18,108,5,1,1
18,71,5,0,1
18,66,5,1,1
18,76,6,0,1
18,103,4,0,1
18,34,5,0,1
18,59,5,0,1
18,50,4,0,1
18,93,6,0,1
18,2,2,0,1
18,27,5,1,1
18,10,6,0,1
18,26,4,0,1
18,18,5,0,1
18,42,5,0,1
18,87,5,1,1
18,116,6,0,1
18,100,6,0,1
18,79,5,0,1
18,16,1,0,1
18,81,8,1,1
18,20,2,0,1
18,19,6,0,1
18,49,5,1,1
18,44,5,0,1
18,9,6,0,1
18,31,6,0,1
18,74,5,1,1
18,106,6,1,1
18,109,5,0,1
18,61,5,0,1
18,29,5,0,1
18,94,4,0,1
18,107,6,1,1
18,46,5,0,1
18,57,4,0,1
18,102,3,0,1
18,70,5,1,1
18,21,6,1,1
18,38,6,1,1
18,88,4,0,1
18,120,4,0,1
18,101,6,0,1
18,78,4,0,1
18,105,6,0,1
18,72,8,1,1
18,24,6,0,1
18,8,7,1,1
18,17,5,0,1
18,37,6,1,1
18,1,9,1,1
18,53,5,0,1
18,22,6,0,1
18,47,5,0,1
18,83,7,1,1
18,99,7,1,1
18,89,4,0,1
18,14,7,1,1
18,3,7,0,1
18,80,4,0,1
18,96,5,1,1
18,51,6,0,1
18,33,6,1,1
18,40,5,0,1
18,48,6,1,1
18,113,5,0,1
18,15,4,0,1
18,65,6,0,1
18,97,4,0,1
14,5,4,0,1
14,56,4,0,1
14,35,6,0,1
14,55,5,1,1
14,114,5,0,1
14,110,4,0,1
14,60,6,0,1
14,30,5,1,1
14,32,4,0,1
14,6,3,0,1
14,67,7,1,1
14,45,2,0,1
14,117,4,0,1
14,73,5,0,1
14,115,4,1,1
14,112,4,0,1
14,64,6,0,1
14,90,6,0,1
14,4,4,0,1
14,13,6,1,1
14,54,5,0,1
14,63,4,0,1
14,86,6,1,1
14,104,3,1,1
14,91,9,1,1
14,62,5,0,1
14,58,4,0,1
14,52,8,0,1
14,12,6,0,1
14,28,5,0,1
14,75,8,1,1
14,23,4,0,1
14,111,4,0,1
14,92,6,1,1
14,41,7,0,1
14,43,4,0,1
14,11,7,0,1
14,69,6,0,1
14,36,3,0,1
14,98,4,0,1
14,68,4,0,1
14,82,6,0,1
14,85,4,0,1
14,118,3,0,1
14,119,4,0,1
14,39,3,0,1
14,84,6,0,1
14,77,1,0,1
14,7,6,0,1
14,25,6,0,1
14,95,6,1,1
14,108,8,1,1
14,71,4,0,1
14,66,5,0,1
14,76,6,0,1
14,103,3,0,1
14,34,5,0,1
14,59,7,0,1
14,50,4,0,1
14,93,2,0,1
14,2,6,0,1
14,27,3,0,1
14,10,6,0,1
14,26,6,1,1
14,18,6,1,1
14,42,7,0,1
14,87,7,0,1
14,116,4,0,1
14,100,3,0,1
14,79,5,0,1
14,16,2,0,1
14,81,6,0,1
14,20,4,0,1
14,19,4,0,1
14,49,7,1,1
14,44,4,0,1
14,9,7,1,1
14,31,4,0,1
14,74,4,1,1
14,106,4,0,1
14,109,6,0,1
14,61,5,0,1
14,29,5,0,1
14,94,7,0,1
14,107,5,0,1
14,46,5,0,1
14,57,4,0,1
14,102,4,0,1
14,70,4,0,1
14,21,4,0,1
14,38,6,1,1
14,88,4,0,1
14,120,5,0,1
14,101,3,0,1
14,78,7,1,1
14,105,7,1,1
14,72,6,1,1
14,24,4,0,1
14,8,5,0,1
14,17,6,0,1
14,37,5,1,1
14,1,3,0,1
14,53,4,0,1
14,22,5,0,1
14,47,6,0,1
14,83,4,0,1
14,99,5,1,1
14,89,4,0,1
14,14,5,0,1
14,3,3,0,1
14,80,6,0,1
14,96,4,0,1
14,51,4,0,1
14,33,4,0,1
14,40,7,0,1
14,48,7,0,1
14,113,6,1,1
14,15,6,0,1
14,65,8,0,1
14,97,7,0,1
4,5,2,0,1
4,56,2,0,1
4,35,6,0,1
4,55,4,0,1
4,114,6,0,1
4,110,3,0,1
4,60,4,0,1
4,30,4,0,1
4,32,4,0,1
4,6,3,0,1
4,67,6,0,1
4,45,3,1,1
4,117,5,0,1
4,73,6,0,1
4,115,5,0,1
4,112,5,0,1
4,64,8,0,1
4,90,5,0,1
4,4,5,0,1
4,13,3,0,1
4,54,3,0,1
4,63,4,1,1
4,86,3,1,1
4,104,1,0,1
4,91,5,1,1
4,62,3,1,1
4,58,4,0,1
4,52,4,0,1
4,12,4,0,1
4,28,4,0,1
4,75,8,0,1
4,23,4,1,1
4,111,4,1,1
4,92,7,0,1
4,41,6,0,1
4,43,4,1,1
4,11,3,0,1
4,69,8,1,1
4,36,4,0,1
4,98,7,0,1
4,68,1,0,1
4,82,6,0,1
4,85,5,0,1
4,118,2,0,1
4,119,3,0,1
4,39,3,0,1
4,84,6,0,1
4,77,2,0,1
4,7,2,0,1
4,25,3,0,1
