subID,alpha,theta,gamma,w,nll
18,0.4,0.95,0.27,-1.0,454.87031712623025
14,0.52,0.61,0.76,-1.0,353.57621960978906
4,0.52,0.62,0.69,-1.0,321.1972587808492
0,1.0,1.0,0.6,-1.0,247.63111944368677
2,0.68,0.84,0.83,-1.0,304.47542105177
5,0.17,1.3,1.0,-1.0,391.67191599323036
12,0.17,0.99,0.86,-1.0,387.59021715830704
15,0.88,0.39,0.75,-1.0,336.24593392749733
8,0.09,1.21,1.0,-1.0,355.43701032343876
19,0.52,1.08,0.83,-1.0,308.1117452028859
6,0.35,0.88,0.88,-1.0,273.2349982425648
10,0.65,0.94,0.84,-1.0,268.4192324147301
9,0.6,0.48,1.0,-1.0,273.5991579751691
20,0.27,0.72,1.0,-1.0,329.2580299340251
13,0.91,0.53,0.87,-1.0,263.25003045154295
7,0.48,0.88,0.84,-1.0,295.45970697324094
21,0.8,1.23,0.65,-1.0,247.44247632790388
1,0.01,0.67,0.02,-1.0,362.11557266726174
11,0.03,1.5,0.0,-1.0,344.8197176641231
16,0.02,1.48,0.0,-1.0,477.43590585848267
17,0.1,0.57,0.08,-1.0,295.81795097242446
3,0.52,0.92,0.83,-1.0,350.80662165907665
32,0.03,0.65,0.06,-1.0,343.02127451148095
36,0.05,1.5,0.0,-1.0,413.90082197284084
22,0.05,0.57,0.02,-1.0,328.0043601113114
28,0.23,1.33,0.1,-1.0,247.08990930958765
23,0.71,0.99,0.47,-1.0,205.0151845922543
26,0.88,0.19,0.97,-1.0,155.5864085037988
27,1.0,0.48,0.86,-1.0,195.4856598965821
33,0.23,0.53,0.09,-1.0,237.46135037740072
29,0.29,0.52,1.0,-1.0,306.1593372723746
30,0.22,0.87,0.99,-1.0,388.5301513220854
37,0.72,0.18,0.85,-1.0,453.2489335583855
24,0.08,1.5,0.0,-1.0,516.3819691568357
31,0.1,0.87,1.0,-1.0,437.1231723969246
34,0.08,0.04,0.1,-1.0,416.66078726342664
35,1.0,0.8,0.81,-1.0,258.6625824221155
25,0.16,0.44,0.84,-1.0,291.15846983355004
86,0.61,1.5,0.65,-1.0,188.50101990687844
94,0.21,0.97,0.56,-1.0,285.91385039448835
68,0.68,0.41,0.88,-1.0,213.70184771478546
48,0.02,1.48,0.0,-1.0,157.21305971729913
96,0.6,0.76,0.0,-1.0,411.960322164734
60,0.73,0.69,0.79,-1.0,215.1705175832567
58,0.12,1.08,0.88,-1.0,470.81857426580706
92,0.02,1.4,0.0,-1.0,387.5598207270441
97,0.21,0.71,0.0,-1.0,336.38568221975777
87,1.0,1.35,0.05,-1.0,217.729039306725
44,0.52,0.6,0.88,-1.0,288.2600619264122
90,0.21,0.61,0.43,-1.0,202.31223047285056
54,0.4,0.75,0.88,-1.0,361.97547579842507
50,0.03,0.63,0.08,-1.0,325.61622324395654
70,0.46,0.54,0.85,-1.0,268.52888434027386
66,0.88,1.48,0.14,-1.0,354.1426196049949
42,0.62,0.28,0.97,-1.0,211.74740482948943
88,1.0,1.44,0.0,-1.0,350.9507155974583
40,0.56,0.68,1.0,-1.0,357.4427793504616
74,0.47,0.6,0.97,-1.0,232.7506064989856
64,0.56,0.88,0.79,-1.0,184.02898723355452
45,0.23,0.88,0.03,-1.0,534.4711713790986
38,0.29,0.66,0.0,-1.0,465.84274344110304
84,0.92,1.48,0.83,-1.0,452.0802201263132
65,0.93,0.52,0.87,-1.0,280.85179920557164
72,0.18,1.08,0.71,-1.0,297.74713356399917
69,0.56,0.29,0.99,-1.0,304.55569527148873
80,0.2,0.95,0.76,-1.0,333.9649147472295
82,0.0,0.8,0.0,-1.0,469.31336705645816
81,0.03,1.5,0.0,-1.0,389.8499430558148
61,0.16,0.55,1.0,-1.0,294.5813550217362
67,0.68,0.96,0.8,-1.0,219.47362478834413
89,0.1,0.96,1.0,-1.0,353.1103881453479
76,0.39,1.27,0.77,-1.0,412.20986315082763
59,0.29,1.32,0.3,-1.0,397.83426608745464
43,0.98,0.72,0.78,-1.0,239.73145253820718
93,0.08,0.82,0.93,-1.0,303.9733970222659
55,0.67,1.04,0.78,-1.0,178.29475095418493
85,0.26,0.76,0.37,-1.0,402.1199652735806
52,0.83,0.28,0.97,-1.0,413.52956808669603
78,0.31,0.8,0.88,-1.0,295.7540996446183
51,0.45,0.68,0.87,-1.0,258.30611511614734
49,0.52,0.32,0.99,-1.0,247.96136713243516
56,0.88,0.48,0.87,-1.0,405.2378441226922
46,0.19,0.97,0.03,-1.0,635.7862690181186
79,0.11,0.72,0.24,-1.0,322.65357028209684
62,0.17,0.91,0.0,-1.0,583.6626625871609
77,0.03,1.5,0.0,-1.0,424.33533683496455
63,0.34,1.15,0.84,-1.0,252.66177045867664
73,0.48,0.48,1.0,-1.0,303.0518824454033
57,0.28,1.32,0.31,-1.0,430.4453456150158
83,0.64,0.71,0.99,-1.0,263.488975616528
71,0.44,0.51,0.97,-1.0,249.7358780817407
91,0.3,0.64,0.98,-1.0,361.8298622579205
39,0.51,1.16,0.6,-1.0,251.96838922065882
75,0.22,0.85,0.74,-1.0,358.03646324710286
95,0.33,0.9,0.52,-1.0,363.5106633894316
53,0.45,0.4,0.99,-1.0,213.19298349363663
47,0.6,0.32,0.97,-1.0,299.40756883143223
41,0.65,0.5,0.96,-1.0,238.02846413439144
108,1.0,0.68,1.0,-1.0,291.5699145123089
114,0.04,0.8,0.1,-1.0,329.4948630197472
161,0.03,0.69,0.1,-1.0,362.82103138895064
146,0.35,0.56,0.8,-1.0,306.5638430401109
138,0.36,0.74,0.33,-1.0,409.2701313164298
102,0.56,0.67,0.0,-1.0,392.7437557019048
167,0.88,0.8,0.83,-1.0,209.4623093943484
98,0.18,0.79,0.0,-1.0,280.90490729029295
100,0.52,0.34,0.72,-1.0,235.63248093704857
120,0.6,1.12,0.75,-1.0,286.42096098062734
104,0.68,0.64,0.0,-1.0,272.2470617166516
165,0.25,0.66,0.0,-1.0,280.1773818751616
168,0.22,0.6,0.0,-1.0,310.103334511514
