subID,trial,sim_choice,sim_attack,k
18,5,6,0,1
18,56,6,1,1
18,35,5,0,1
18,55,5,0,1
18,114,8,1,1
18,110,7,1,1
18,60,2,0,1
18,30,7,1,1
18,32,7,0,1
18,6,6,1,1
18,67,5,0,1
18,45,7,0,1
18,117,7,1,1
18,73,8,0,1
18,115,4,1,1
18,112,8,0,1
18,64,7,0,1
18,90,8,1,1
18,4,5,1,1
18,13,8,1,1
18,54,6,1,1
18,63,7,1,1
18,86,7,0,1
18,104,7,1,1
18,91,7,0,1
18,62,5,0,1
18,58,7,1,1
18,52,5,0,1
18,12,6,1,1
18,28,7,1,1
18,75,7,1,1
18,23,8,1,1
18,111,7,1,1
18,92,8,0,1
18,41,6,0,1
18,43,1,0,1
18,11,6,0,1
18,69,5,1,1
18,36,7,1,1
18,98,8,0,1
18,68,7,0,1
18,82,6,1,1
18,85,7,0,1
18,118,7,0,1
18,119,7,1,1
18,39,5,0,1
18,84,4,0,1
18,77,7,1,1
18,7,4,0,1
18,25,8,0,1
18,95,2,0,1
18,108,5,0,1
18,71,7,1,1
18,66,5,1,1
18,76,8,0,1
18,103,7,1,1
18,34,8,1,1
18,59,5,0,1
18,50,7,1,1
18,93,7,0,1
18,2,2,0,1
18,27,5,0,1
18,10,7,1,1
18,26,8,1,1
18,18,7,0,1
18,42,6,1,1
18,87,4,1,1
18,116,7,0,1
18,100,8,0,1
18,79,8,1,1
18,16,7,1,1
18,81,8,0,1
18,20,7,0,1
18,19,7,1,1
18,49,5,0,1
18,44,7,0,1
18,9,7,0,1
18,31,7,0,1
18,74,7,1,1
18,106,7,0,1
18,109,7,0,1
18,61,2,0,1
18,29,5,0,1
18,94,8,0,1
18,107,8,1,1
18,46,5,0,1
18,57,7,0,1
18,102,7,0,1
18,70,7,1,1
18,21,7,1,1
18,38,7,1,1
18,88,4,0,1
18,120,8,1,1
18,101,7,1,1
18,78,7,0,1
18,105,4,0,1
18,72,7,1,1
18,24,7,1,1
18,8,7,0,1
18,17,6,1,1
18,37,7,1,1
18,1,9,1,1
18,53,7,0,1
18,22,7,0,1
18,47,8,0,1
18,83,7,0,1
18,99,7,1,1
18,89,7,0,1
18,14,8,0,1
18,3,5,0,1
18,80,4,0,1
18,96,8,0,1
18,51,5,0,1
18,33,3,0,1
18,40,5,0,1
18,48,4,0,1
18,113,8,1,1
18,15,7,1,1
18,65,5,0,1
18,97,7,0,1
14,5,5,0,1
14,56,3,0,1
14,35,7,0,1
14,55,6,0,1
14,114,8,0,1
14,110,4,1,1
14,60,5,0,1
14,30,4,0,1
14,32,4,0,1
14,6,2,0,1
14,67,8,0,1
14,45,5,1,1
14,117,6,1,1
14,73,8,0,1
14,115,8,1,1
14,112,5,1,1
14,64,6,0,1
14,90,5,0,1
14,4,6,1,1
14,13,2,0,1
14,54,7,1,1
14,63,5,0,1
14,86,4,1,1
14,104,6,1,1
14,91,7,0,1
14,62,4,1,1
14,58,4,0,1
14,52,5,0,1
14,12,5,1,1
14,28,3,0,1
14,75,7,0,1
14,23,5,1,1
14,111,5,0,1
14,92,5,0,1
14,41,7,1,1
14,43,5,0,1
14,11,3,0,1
14,69,7,1,1
14,36,5,0,1
14,98,3,0,1
14,68,4,0,1
14,82,8,0,1
14,85,2,0,1
14,118,5,1,1
14,119,4,1,1
14,39,7,0,1
14,84,8,0,1
14,77,7,1,1
14,7,5,0,1
14,25,7,0,1
14,95,3,0,1
14,108,3,1,1
14,71,5,0,1
14,66,5,0,1
14,76,6,1,1
14,103,5,0,1
14,34,4,0,1
14,59,7,1,1
14,50,4,1,1
14,93,4,0,1
14,2,6,0,1
14,27,8,0,1
14,10,4,0,1
14,26,8,0,1
14,18,4,0,1
14,42,4,0,1
14,87,2,0,1
14,116,7,0,1
14,100,5,0,1
14,79,6,0,1
14,16,4,0,1
14,81,8,1,1
14,20,4,0,1
14,19,6,1,1
14,49,7,0,1
14,44,5,0,1
14,9,4,0,1
14,31,6,0,1
14,74,6,1,1
14,106,3,0,1
14,109,7,1,1
14,61,6,0,1
14,29,6,0,1
14,94,8,1,1
14,107,4,0,1
14,46,6,0,1
14,57,8,1,1
14,102,7,1,1
14,70,6,1,1
14,21,2,0,1
14,38,4,0,1
14,88,7,0,1
14,120,9,1,1
14,101,2,0,1
14,78,2,0,1
14,105,8,0,1
14,72,7,1,1
14,24,3,0,1
14,8,3,0,1
14,17,4,0,1
14,37,7,0,1
14,1,3,0,1
14,53,7,0,1
14,22,4,0,1
14,47,6,0,1
14,83,5,1,1
14,99,3,0,1
14,89,4,0,1
14,14,4,0,1
14,3,3,0,1
14,80,6,0,1
14,96,8,0,1
14,51,7,0,1
14,33,6,0,1
14,40,7,0,1
14,48,5,0,1
14,113,8,0,1
14,15,5,0,1
14,65,7,0,1
14,97,6,0,1
4,5,5,0,1
4,56,5,0,1
4,35,5,0,1
4,55,5,0,1
4,114,5,0,1
4,110,4,0,1
4,60,5,0,1
4,30,3,0,1
4,32,6,1,1
4,6,5,1,1
4,67,4,0,1
4,45,4,1,1
4,117,3,0,1
4,73,3,0,1
4,115,5,0,1
4,112,3,0,1
4,64,5,0,1
4,90,5,0,1
4,4,4,1,1
4,13,5,0,1
4,54,3,0,1
4,63,6,0,1
4,86,3,0,1
4,104,4,1,1
4,91,4,0,1
4,62,3,0,1
4,58,4,0,1
4,52,2,0,1
4,12,5,0,1
4,28,6,0,1
4,75,4,0,1
4,23,4,0,1
4,111,1,0,1
4,92,2,0,1
4,41,5,0,1
4,43,2,0,1
4,11,4,0,1
4,69,6,1,1
4,36,4,0,1
4,98,3,0,1
4,68,5,0,1
4,82,5,0,1
4,85,2,0,1
4,118,4,0,1
4,119,2,0,1
4,39,7,1,1
4,84,5,0,1
4,77,5,1,1
4,7,5,0,1
4,25,4,0,1
4,95,4,0,1
4,108,5,0,1
4,71,4,0,1
4,66,3,0,1
4,76,5,0,1
4,103,7,1,1
4,34,4,0,1
4,59,3,0,1
4,50,4,0,1
4,93,5,1,1
4,2,4,0,1
4,27,5,0,1
4,10,5,0,1
4,26,5,0,1
4,18,3,0,1
4,42,2,0,1
4,87,4,0,1
4,116,3,0,1
4,100,6,0,1
4,79,5,0,1
4,16,4,0,1
4,81,5,1,1
4,20,6,1,1
4,19,8,1,1
4,49,5,0,1
4,44,4,0,1
4,9,5,0,1
4,31,4,1,1
4,74,5,0,1
4,106,5,1,1
4,109,6,0,1
4,61,3,0,1
4,29,2,0,1
4,94,5,0,1
4,107,4,0,1
4,46,5,0,1
4,57,6,0,1
4,102,2,0,1
4,70,6,1,1
4,21,5,1,1
4,38,5,1,1
4,88,5,0,1
4,120,4,0,1
4,101,4,0,1
4,78,5,1,1
4,105,4,0,1
4,72,5,0,1
4,24,5,0,1
4,8,7,1,1
4,17,5,0,1
4,37,3,0,1
4,1,4,0,1
4,53,3,0,1
4,22,1,0,1
4,47,4,0,1
4,83,4,0,1
4,99,2,0,1
4,89,1,0,1
4,14,3,0,1
4,3,6,1,1
4,80,2,0,1
4,96,4,0,1
4,51,5,0,1
4,33,2,0,1
4,40,9,1,1
4,48,5,1,1
4,113,3,1,1
4,15,6,0,1
4,65,5,0,1
4,97,4,0,1
0,5,6,1,1
0,56,7,1,1
0,35,6,0,1
0,55,6,0,1
0,114,6,0,1
0,110,6,1,1
0,60,6,0,1
0,30,5,1,1
0,32,5,0,1
0,6,7,0,1
0,67,4,0,1
0,45,5,0,1
0,117,6,0,1
0,73,5,0,1
0,115,5,1,1
0,112,5,0,1
0,64,6,1,1
0,90,6,0,1
0,4,5,0,1
0,13,7,1,1
0,54,6,0,1
0,63,6,1,1
0,86,6,0,1
0,104,5,0,1
0,91,5,0,1
0,62,5,0,1
0,58,7,1,1
0,52,5,0,1
0,12,8,1,1
0,28,2,0,1
0,75,4,0,1
0,23,5,0,1
0,111,6,1,1
0,92,5,1,1
0,41,5,0,1
0,43,5,0,1
0,11,6,0,1
0,69,6,1,1
0,36,5,1,1
0,98,6,0,1
0,68,5,1,1
0,82,4,0,1
0,85,5,0,1
0,118,4,0,1
0,119,4,0,1
0,39,6,0,1
0,84,5,0,1
0,77,5,0,1
0,7,6,0,1
0,25,6,0,1
0,95,5,0,1
0,108,5,0,1
0,71,6,0,1
0,66,4,0,1
0,76,5,0,1
0,103,4,0,1
0,34,6,0,1
0,59,6,0,1
0,50,5,1,1
0,93,6,1,1
0,2,6,0,1
0,27,6,0,1
0,10,8,0,1
0,26,9,1,1
0,18,7,0,1
0,42,6,0,1
0,87,6,0,1
0,116,4,0,1
0,100,5,0,1
0,79,6,0,1
0,16,6,1,1
0,81,4,0,1
0,20,7,0,1
0,19,7,0,1
0,49,5,0,1
0,44,6,1,1
0,9,8,0,1
0,31,5,0,1
0,74,6,0,1
0,106,5,1,1
0,109,4,0,1
0,61,6,0,1
0,29,8,1,1
0,94,2,0,1
0,107,5,1,1
0,46,5,0,1
0,57,6,0,1
0,102,5,0,1
0,70,4,0,1
0,21,7,1,1
0,38,5,0,1
0,88,6,0,1
0,120,6,0,1
0,101,6,1,1
0,78,6,0,1
0,105,6,0,1
0,72,5,0,1
0,24,7,1,1
0,8,6,0,1
0,17,5,0,1
0,37,5,0,1
0,1,6,0,1
0,53,4,1,1
0,22,7,1,1
0,47,5,0,1
0,83,6,0,1
0,99,6,1,1
0,89,7,1,1
0,14,6,0,1
0,3,7,1,1
0,80,5,0,1
0,96,6,0,1
0,51,6,0,1
0,33,6,0,1
0,40,5,0,1
0,48,4,0,1
0,113,5,0,1
0,15,1,0,1
0,65,5,0,1
0,97,3,0,1
2,5,6,1,1
2,56,3,0,1
2,35,7,1,1
2,55,8,0,1
2,114,6,1,1
2,110,5,0,1
2,60,8,1,1
2,30,3,0,1
2,32,4,0,1
2,6,3,0,1
2,67,7,1,1
2,45,4,0,1
2,117,4,0,1
2,73,8,0,1
2,115,1,0,1
2,112,4,0,1
2,64,8,1,1
2,90,8,1,1
2,4,5,0,1
2,13,5,1,1
2,54,2,0,1
2,63,6,1,1
2,86,4,0,1
2,104,3,0,1
2,91,4,1,1
2,62,8,0,1
2,58,4,0,1
2,52,8,1,1
2,12,5,1,1
2,28,5,0,1
2,75,8,1,1
2,23,8,1,1
2,111,5,0,1
2,92,6,1,1
2,41,8,1,1
2,43,3,0,1
2,11,9,0,1
2,69,3,0,1
2,36,5,0,1
2,98,5,1,1
2,68,6,0,1
2,82,4,0,1
2,85,5,0,1
2,118,5,0,1
2,119,3,0,1
2,39,8,1,1
2,84,8,1,1
2,77,4,1,1
2,7,8,0,1
2,25,8,1,1
2,95,5,0,1
2,108,4,0,1
2,71,5,1,1
2,66,8,0,1
2,76,8,1,1
2,103,5,0,1
2,34,8,0,1
2,59,8,0,1
2,50,4,0,1
2,93,5,0,1
2,2,9,1,1
2,27,8,1,1
2,10,5,0,1
2,26,8,0,1
2,18,4,0,1
2,42,2,0,1
2,87,8,1,1
2,116,5,1,1
2,100,5,0,1
2,79,8,1,1
2,16,9,0,1
2,81,8,0,1
2,20,4,0,1
2,19,3,0,1
2,49,8,1,1
2,44,5,0,1
2,9,5,0,1
2,31,8,1,1
2,74,4,0,1
2,106,5,0,1
2,109,5,1,1
2,61,5,0,1
2,29,8,0,1
2,94,4,1,1
2,107,4,0,1
2,46,8,0,1
2,57,4,0,1
2,102,4,0,1
2,70,4,0,1
2,21,7,1,1
2,38,3,0,1
2,88,4,0,1
2,120,4,0,1
2,101,5,1,1
2,78,8,1,1
2,105,4,0,1
2,72,4,0,1
2,24,5,0,1
2,8,7,1,1
2,17,9,1,1
2,37,4,0,1
2,1,9,1,1
2,53,5,1,1
2,22,4,0,1
2,47,8,1,1
2,83,8,1,1
2,99,5,0,1
2,89,3,0,1
2,14,7,1,1
2,3,8,0,1
2,80,3,0,1
2,96,3,0,1
2,51,8,0,1
2,33,4,0,1
2,40,4,0,1
