subID,alpha,theta,gamma,w,nll
18,1.0,1.0,0.32,0.57,472.733444869619
14,1.0,0.55,0.72,0.31,352.7613025296906
4,0.99,0.54,0.58,0.51,280.8754461980267
0,0.4,0.59,1.0,0.57,291.6191893886114
2,1.0,0.88,0.76,0.78,276.08430067663323
5,0.4,1.06,0.99,-0.36,337.9563599900475
12,0.37,0.96,1.0,0.55,350.64562112169244
15,0.6,0.45,0.98,0.35,317.66070258302125
8,0.76,1.04,1.0,-0.32,268.5393815292372
19,1.0,1.05,0.83,0.48,291.0561614921479
6,0.76,0.65,1.0,1.0,229.32702298289854
10,0.51,0.84,0.93,0.88,244.5909987340003
9,0.24,0.79,0.48,-0.26,304.93145144719756
20,0.32,0.84,1.0,0.12,345.92121976248114
13,0.0,0.65,0.0,0.0,324.2100014274656
7,0.68,0.6,0.88,1.0,256.917299587288
21,0.88,1.27,0.05,0.66,228.9722693150773
1,0.0,0.72,0.0,1.0,324.4801398875555
11,0.1,1.5,1.0,0.12,329.4314196682345
16,0.3,1.48,1.0,0.41,431.6228486070203
17,0.37,0.64,0.97,-0.36,292.4787757498557
3,0.6,1.06,0.83,0.32,392.8159211468246
32,0.16,0.68,0.1,-0.03,340.390776235209
36,0.11,1.32,1.0,1.0,323.1368434354669
22,0.03,0.58,0.0,0.1,332.3390364783637
28,0.52,1.33,0.08,-0.32,236.70039596862802
23,1.0,0.83,0.6,0.91,193.30942666153396
26,1.0,0.45,0.88,0.31,193.63275553823686
27,0.88,0.52,0.88,0.44,206.8444899690799
33,0.68,0.52,0.0,-0.08,246.43515563530272
29,0.48,0.47,1.0,0.44,287.02568157410917
30,0.24,0.8,1.0,0.69,339.03797834196735
37,1.0,0.42,0.77,-0.63,417.154187338872
24,0.1,1.5,0.0,1.0,301.4816127936798
31,0.71,0.73,1.0,0.48,374.0758238857711
34,0.12,0.0,0.72,0.41,391.6943026568133
35,1.0,0.48,0.52,-1.0,235.16679826496141
25,0.26,0.52,1.0,-0.19,291.7637299540056
86,0.88,1.5,0.63,0.62,165.83733652226775
94,0.48,0.92,0.48,-0.3,275.1496738946137
68,1.0,0.51,0.63,0.63,219.3071983822583
48,0.12,1.39,0.0,-0.18,150.84230987934407
96,1.0,0.95,0.08,-0.34,457.2775592523702
60,1.0,0.72,0.87,1.0,162.36099782874004
58,0.43,1.09,0.98,-0.3,388.54446647092675
92,0.05,1.5,0.0,0.72,309.8506615872311
97,0.34,0.8,0.0,0.54,322.2845399266236
87,1.0,1.13,0.14,0.39,333.6583673277218
44,0.55,0.48,0.97,0.3,288.5013016546505
90,0.92,0.54,0.88,-0.11,185.2134429640177
54,0.68,1.05,0.83,0.3,351.26398959199537
50,0.05,0.61,0.0,0.28,320.31482255917814
70,0.32,0.54,1.0,0.96,250.25116315570423
66,0.28,1.08,0.84,0.44,339.0550880732436
42,0.88,0.4,0.88,0.56,205.8105328662237
88,0.66,1.32,0.83,-0.52,335.85222019383787
40,0.68,0.61,0.98,0.47,345.9907112721355
74,0.48,0.76,1.0,0.72,240.49344899633297
64,1.0,1.5,0.66,0.63,141.7304500529053
45,0.96,1.5,1.0,0.66,407.243976471213
38,0.19,0.13,1.0,0.64,453.06511207067683
84,0.56,0.72,0.95,0.97,320.76387567022584
65,0.56,0.5,0.98,0.48,291.7695644705781
72,0.34,1.01,1.0,-0.15,294.6837580511266
69,0.5,0.57,1.0,0.79,274.96508674917317
80,0.28,0.84,0.58,-0.1,314.5719336277718
