subID,alpha,theta,gamma,w,nll
0,0.1,0.82,1.0,0.72,292.1046904604716
1,0.01,0.68,0.02,0.93,273.2973117094667
2,0.0,0.77,0.0,0.75,303.1165021163986
3,0.0,1.49,0.0,0.64,265.2985300005266
4,0.16,0.63,1.0,0.57,301.62438872189676
5,0.24,1.2,0.98,-0.51,343.22772827791164
6,1.0,0.79,0.79,0.91,252.00399638338357
7,0.32,0.59,1.0,1.0,248.51993884679388
8,0.1,1.5,1.0,-0.17,292.8085164616487
9,0.08,0.68,0.92,-0.36,318.8836022344495
10,0.32,0.88,0.97,0.77,248.28610892476908
11,0.4,1.5,0.91,0.08,247.16429810499477
12,0.49,0.88,0.95,0.65,283.1480315795229
13,0.12,0.57,0.52,0.21,318.5202153673831
14,0.0,0.68,0.0,0.37,307.55550452610623
15,0.23,0.38,1.0,0.47,330.10396916492044
16,0.2,1.5,1.0,0.4,272.47660806959607
17,0.08,0.67,0.97,-0.32,312.8727934185275
18,0.04,1.15,0.0,0.67,267.2825233682551
19,0.87,0.55,1.0,0.55,260.69639643229095
20,0.88,0.83,0.83,-0.12,329.9462447700797
21,0.05,1.19,0.0,0.75,225.23134295489473
22,0.0,0.57,0.0,0.14,332.1839826419073
23,0.12,0.88,1.0,0.83,256.7091075141028
24,0.01,1.41,0.02,1.0,195.1284953220029
25,0.0,0.58,0.0,-0.07,330.1014591746291
26,0.0,0.37,0.0,0.52,298.12163188346267
27,0.0,0.23,0.0,0.6,304.6553696525632
28,0.43,1.13,0.87,-0.28,285.9597216062588
29,0.01,0.62,0.0,0.51,343.00227577990273
30,0.38,0.92,0.88,0.67,298.5699879924085
31,0.52,0.8,0.96,0.5,295.82514633106155
32,0.11,0.65,0.28,0.03,317.82022748140645
33,0.58,0.42,0.41,-0.2,329.5495821368532
34,0.13,0.0,1.0,0.46,280.97459856667757
35,0.17,0.42,0.0,-0.93,339.42305800436736
36,0.21,1.37,0.88,0.88,217.17987039156702
37,0.96,0.56,0.72,-0.6,300.1399785688177
38,0.1,0.24,0.0,0.63,291.3334107257022
39,0.81,0.47,0.99,0.6,249.8950919047851
40,0.36,0.64,1.0,0.37,315.73766903981317
41,0.02,0.81,0.0,0.2,307.3643978175727
42,0.92,0.36,0.88,0.44,241.97911940481646
43,0.3,0.61,0.76,0.87,254.7797670416816
44,0.69,0.44,0.97,0.28,274.3582927499608
45,0.76,1.39,0.83,0.7,253.3248794846416
46,0.14,1.5,1.0,0.66,248.47430424932185
47,0.25,0.62,0.48,0.01,315.8911465338292
48,0.08,1.41,0.0,-0.26,254.30552083998418
49,0.25,0.35,0.52,0.3,327.9206637622572
50,0.0,0.66,0.0,0.3,319.4122048347322
51,0.8,0.91,0.81,0.1,302.2076313022846
52,0.62,0.7,0.62,-0.32,302.63794340844464
53,0.37,0.69,0.22,0.88,264.6989085453429
54,0.16,1.04,1.0,0.47,396.3824584162853
55,0.72,1.11,0.55,0.72,231.05375270388654
56,0.1,0.54,0.02,0.69,334.0435580583814
57,0.08,1.5,1.0,0.37,312.174908288455
58,0.77,0.62,1.0,-0.38,349.2336385770689
59,0.28,1.48,1.0,-0.34,260.24431260254255
60,0.52,0.24,1.0,1.0,226.8087731441294
61,0.11,0.66,1.0,0.52,291.8651732051271
62,0.24,1.2,1.0,0.3,293.658002533354
