subID,alpha,theta,gamma,w,nll
18,1.0,1.04,0.32,-1.0,513.9227893222799
14,0.49,0.55,0.82,-1.0,362.47124090497374
4,0.77,0.62,0.64,-1.0,327.66017288521846
0,0.45,0.52,1.0,-1.0,312.26590626450854
2,1.0,0.83,0.86,-1.0,335.0915318793225
5,0.4,1.08,1.0,-1.0,349.62554170802196
12,0.48,0.88,1.0,-1.0,373.4715101529681
15,0.68,0.5,0.95,-1.0,334.5171172560745
8,0.76,1.08,1.0,-1.0,278.86420309511806
19,1.0,1.03,0.83,-1.0,313.69877011584265
6,0.76,0.62,1.0,-1.0,270.7600129514793
10,0.48,0.94,0.86,-1.0,283.9227993391718
9,0.28,0.77,0.43,-1.0,311.16031314903404
20,0.32,0.85,1.0,-1.0,345.72200103308074
13,0.0,0.65,0.0,-1.0,324.2100014274656
7,0.76,0.6,0.87,-1.0,309.08800293512286
21,0.48,1.2,0.0,-1.0,248.80737527869445
1,0.0,0.68,0.0,-1.0,362.23179331923126
11,0.09,1.5,1.0,-1.0,330.13750096608305
16,0.32,1.18,1.0,-1.0,462.65140014801545
17,0.25,0.56,1.0,-1.0,301.0465671885278
3,0.71,1.12,0.78,-1.0,395.630031084983
32,0.16,0.68,0.1,-1.0,340.4401174493711
36,0.08,1.5,1.0,-1.0,413.24054044815443
22,0.03,0.59,0.0,-1.0,332.98284524068526
28,0.41,1.35,0.05,-1.0,241.4067134872485
23,1.0,0.72,0.77,-1.0,238.26254796920648
26,1.0,0.47,0.88,-1.0,199.84884752041106
27,0.88,0.52,0.88,-1.0,214.55825849901737
33,0.68,0.51,0.01,-1.0,245.98833304862788
29,0.44,0.57,1.0,-1.0,311.8784933401695
30,0.24,0.93,1.0,-1.0,384.2254739757186
37,1.0,0.2,0.88,-1.0,467.9519063700167
24,0.1,1.5,0.0,-1.0,432.6759616239068
31,0.78,0.8,0.99,-1.0,399.62893161935756
34,0.38,0.0,0.64,-1.0,415.4698791841055
35,0.68,0.7,0.86,-1.0,298.6688288955258
25,0.32,0.52,0.88,-1.0,296.4214483131553
86,0.88,1.5,0.63,-1.0,199.89870966504114
94,0.48,0.92,0.48,-1.0,279.1990736874639
68,1.0,0.52,0.63,-1.0,239.02319294066422
48,0.13,1.44,0.0,-1.0,152.3397992769704
96,1.0,0.94,0.06,-1.0,467.9585441306963
60,1.0,0.68,0.88,-1.0,215.2524618820226
58,0.41,1.08,0.99,-1.0,396.6517894532173
92,0.06,1.41,0.0,-1.0,389.31104383581567
97,0.44,0.63,0.0,-1.0,362.5790437900112
87,1.0,1.11,0.17,-1.0,340.917590479193
44,0.52,0.45,0.99,-1.0,296.0703424162775
90,0.92,0.53,0.88,-1.0,185.88916368455267
54,0.68,1.01,0.83,-1.0,357.9861192129107
50,0.06,0.64,0.02,-1.0,324.97835193511287
70,0.68,0.57,0.85,-1.0,272.5863338334395
66,0.27,1.0,0.9,-1.0,360.4385404362264
42,0.72,0.42,0.98,-1.0,215.49881165886964
88,0.68,1.36,0.84,-1.0,363.95383813998535
40,0.68,0.64,1.0,-1.0,375.1060201652446
74,0.38,0.76,1.0,-1.0,265.3222622171996
64,1.0,1.36,0.69,-1.0,195.3015497332392
45,0.97,1.5,1.0,-1.0,524.1859535391131
38,1.0,0.14,0.32,-1.0,538.616733946177
84,0.61,0.68,0.98,-1.0,480.03183812572155
65,0.49,0.52,0.99,-1.0,298.05594334348535
72,0.33,1.03,1.0,-1.0,296.09251079566764
69,0.5,0.48,1.0,-1.0,309.45881202802195
80,0.28,0.83,0.57,-1.0,315.39105204347663
82,0.05,0.81,0.0,-1.0,469.1201782212669
81,0.17,1.5,1.0,-1.0,357.90221764332483
61,0.11,0.63,0.08,-1.0,298.10101444780014
67,0.72,0.88,0.88,-1.0,234.82983725716025
89,0.4,0.88,0.97,-1.0,337.3037243028373
76,0.66,1.5,0.66,-1.0,375.2611085492616
59,0.24,1.44,1.0,-1.0,406.5173915189969
43,0.88,0.8,0.86,-1.0,242.24090043602865
93,0.09,0.88,0.96,-1.0,300.49454462827913
55,1.0,1.28,0.6,-1.0,180.46446664264076
85,1.0,0.78,0.71,-1.0,417.8912459918415
52,0.89,0.65,0.76,-1.0,434.67177688560264
78,0.68,0.82,0.82,-1.0,315.9555787659825
51,0.72,0.61,0.98,-1.0,271.9999255845951
49,0.52,0.46,0.98,-1.0,253.10300984312474
56,0.88,0.96,0.83,-1.0,404.5236664174544
46,0.28,1.5,0.99,-1.0,613.9863363548529
79,0.32,0.68,0.75,-1.0,320.8664253429224
62,0.8,1.08,1.0,-1.0,524.6401609067655
77,0.08,1.5,1.0,-1.0,381.8728863926907
63,1.0,1.17,0.86,-1.0,261.6198134048296
73,0.96,0.4,1.0,-1.0,303.54133045264837
57,0.19,1.5,1.0,-1.0,470.04052895091104
83,0.6,0.76,1.0,-1.0,284.4678612541772
71,0.96,0.76,0.85,-1.0,215.80324442879513
91,0.22,0.74,0.3,-1.0,382.7874683405504
39,1.0,1.35,0.62,-1.0,249.72031242225768
