subID,alpha,theta,gamma,w,nll
18,1.0,1.0,0.33,0.1,512.9397102028628
14,0.43,0.57,0.88,-0.1,361.63857610056846
4,0.74,0.53,0.52,0.32,316.7853354196581
0,0.44,0.57,1.0,-0.15,304.05325980861505
2,1.0,0.83,0.86,0.0,335.0915318793225
5,0.4,1.01,0.99,1.0,324.19835859342385
12,0.37,0.98,0.98,-0.25,366.06164339018267
15,0.42,0.42,0.99,0.2,337.6271068371178
8,0.76,1.04,1.0,0.12,276.16093061365774
19,1.0,1.06,0.83,-0.09,312.9177470117754
6,0.76,0.65,1.0,-0.1,269.5489954318956
10,0.32,0.88,0.92,0.2,276.848851813553
9,0.28,0.79,0.46,-0.08,309.4416693910489
20,0.3,0.81,0.97,0.08,347.73220527923036
13,0.0,0.67,0.0,-0.04,323.89673309283035
7,0.76,0.57,0.87,0.05,308.65314887744773
21,0.44,1.19,0.0,0.02,248.76779095844944
1,0.0,0.72,0.0,-0.1,359.85335592506823
11,0.1,1.5,1.0,-0.19,327.84487833807975
16,0.33,1.12,1.0,0.68,459.6568308650999
17,0.33,0.66,0.99,-0.23,288.6455336799271
3,0.71,1.12,0.78,0.0,395.630031084983
32,1.0,0.96,0.84,-0.72,301.5371548360343
36,0.08,1.4,1.0,1.0,389.1143697127476
22,0.03,0.55,0.0,0.12,330.5190978266603
28,0.41,1.32,0.06,0.08,240.91231949897562
23,1.0,0.79,0.8,-0.18,234.6859545565237
26,1.0,0.42,0.88,0.15,196.28136395641488
27,0.88,0.49,0.88,0.04,214.3028320715625
33,0.64,0.6,0.04,-0.23,240.26982014968155
29,0.45,0.42,0.99,0.4,270.19346155579194
30,0.36,0.72,1.0,0.88,316.4348618167636
37,0.26,0.63,0.04,-1.0,433.58826488323973
24,0.08,1.5,0.0,1.0,360.9062544403823
31,0.68,0.76,1.0,0.16,396.5759370057626
34,0.38,0.0,0.64,-1.0,415.4698791841055
35,1.0,0.55,0.85,0.19,299.0120638173249
25,0.32,0.55,0.96,-0.15,290.8545448508712
86,0.88,1.5,0.61,0.18,197.40865211853003
94,0.48,0.9,0.48,0.08,278.7450747777329
68,1.0,0.52,0.63,0.0,239.02319294066422
48,0.12,1.35,0.0,0.36,147.10078244715086
96,1.0,0.98,0.04,-0.17,458.9924618814317
60,1.0,0.72,0.88,-0.21,208.59186179864759
58,0.41,1.16,0.99,-0.2,386.2684988064949
92,0.06,1.5,0.0,-0.69,327.44280957338094
97,0.33,0.88,0.0,-0.64,308.2959793940109
87,1.0,1.18,0.17,-0.18,338.6692187310923
44,0.52,0.54,0.97,-0.2,286.7653113040268
90,0.92,0.62,0.88,-0.12,180.22156012742403
54,0.68,1.07,0.83,-0.12,341.81760642923166
50,0.06,0.6,0.0,0.1,323.1167748342345
70,0.69,0.53,0.87,0.08,271.24296049046677
66,0.26,1.01,0.91,-0.05,360.00959257200145
42,0.87,0.39,0.88,0.32,207.8151443186821
