subID,alpha,theta,gamma,w,nll
18,0.09,0.84,0.21,0.52,429.78832693944054
14,0.19,0.64,0.53,0.35,336.04694488391783
4,0.14,0.42,0.74,0.49,294.8653750030966
0,0.57,1.0,0.7,0.65,213.26838059613908
2,0.18,0.88,0.86,0.68,267.93005701406247
5,0.04,1.32,0.0,-0.52,379.9087395650439
12,0.08,1.08,0.72,0.54,373.640714557072
15,0.56,0.28,0.88,0.42,303.04697744350136
8,0.13,1.29,0.68,-0.76,345.7160498793458
19,0.23,1.03,0.85,0.55,290.0673100236355
6,0.22,0.98,0.86,1.0,209.33375081807827
10,0.29,0.8,0.88,0.78,225.92005317616747
9,0.24,0.52,0.99,-0.32,276.13346270598737
20,0.12,0.68,1.0,0.0,334.18705785503886
13,0.14,0.52,0.88,-0.21,281.06967592001786
7,0.21,0.75,0.86,1.0,244.8526333629786
21,0.22,1.13,0.56,0.88,237.6916316004441
1,0.01,0.71,0.02,1.0,324.13167986086916
11,0.02,1.5,0.0,0.28,341.441561116833
16,0.88,0.32,1.0,0.32,490.5421576828737
17,0.11,0.52,0.72,-0.36,293.6207844236284
3,0.28,0.81,0.8,0.39,358.5689567503278
32,0.01,0.65,0.0,-0.08,343.44258736760787
36,0.02,1.48,0.0,1.0,321.96492492559094
22,0.03,0.55,0.1,0.11,326.29159965809237
28,0.1,1.36,0.16,-0.32,263.32780774767286
23,0.17,1.0,0.38,0.8,176.7136612727948
26,0.52,0.15,0.98,0.16,198.84649322553693
27,0.69,0.56,0.83,0.35,168.9272946589341
33,0.11,0.56,0.28,-0.02,228.5103330963538
29,0.26,0.28,1.0,0.4,279.24697018569066
30,0.08,0.85,0.72,0.8,353.55086447241604
37,0.88,0.04,0.99,-0.49,466.7545592800687
24,0.02,1.5,0.0,1.0,347.05310611541984
31,0.1,0.77,0.0,0.48,413.0548279040605
34,0.08,0.0,0.0,0.43,389.3730064667916
35,0.15,0.83,0.68,-1.0,173.1261732368808
25,0.01,0.54,0.02,-0.15,300.0712438050416
86,0.29,1.44,0.68,0.54,187.88641871094063
94,0.11,0.99,0.68,0.39,292.5734301454494
68,0.42,0.32,0.88,0.67,212.20558613413783
48,0.01,1.4,0.0,-0.28,168.0401288781545
96,0.17,0.76,0.0,0.14,400.28912788212756
60,0.39,0.68,0.81,1.0,166.9961280580832
58,1.0,0.08,1.0,0.3,498.76157105302246
92,0.01,1.5,0.0,0.71,309.6417555043584
97,0.14,0.82,0.54,-0.56,294.9140052393617
87,0.13,1.0,0.0,1.0,258.3647296694061
44,0.31,0.59,0.85,0.23,309.96350642730135
90,0.32,0.28,0.99,-0.34,196.4951502753153
54,0.13,0.74,0.7,0.28,369.30425415617435
50,0.0,0.63,0.0,0.3,321.78697430773656
70,0.11,0.59,0.69,1.0,244.07697631426743
66,0.17,1.49,0.08,0.47,306.88393409392154
42,0.38,0.4,0.88,0.56,194.49376173001022
88,0.09,1.08,0.54,-0.76,335.5813158880234
40,0.0,0.8,0.0,0.49,351.4493606620855
74,0.0,0.87,0.0,0.77,247.12798321865841
64,0.3,1.1,0.7,0.68,177.67950828005587
45,0.92,0.52,0.89,0.64,572.331203670191
38,0.13,0.44,0.0,0.5,413.7894884897063
84,0.91,0.0,0.99,1.0,368.73783403268266
65,0.29,0.56,0.86,0.23,263.28647664751554
