subID,alpha,theta,gamma,w,nll
0,0.12,0.52,1.0,0.62,326.89534520313424
1,0.0,0.77,0.0,1.0,260.5559163798743
2,0.08,0.88,0.84,0.81,270.2075619783477
3,0.09,0.79,0.78,0.6,283.59767113835505
4,0.01,0.6,0.02,0.55,317.44511472377104
5,0.04,1.48,0.0,-0.53,229.55519536585217
6,0.13,0.83,0.96,0.93,259.645819843194
7,0.0,0.92,0.0,1.0,266.12650929490115
8,0.0,1.35,0.0,-0.41,296.91207101895094
9,0.18,0.44,1.0,-0.17,306.93352502137066
10,0.08,0.7,0.88,0.72,309.3205274249277
11,0.02,1.5,0.1,0.52,227.99888731350106
12,0.08,1.08,0.72,0.68,260.429127854536
13,0.01,0.68,0.0,0.0,309.45270355492426
14,0.0,0.71,0.0,0.55,342.75487781991035
15,0.35,0.16,0.88,0.51,294.9165030123045
16,0.52,0.88,1.0,0.45,312.56941796716285
17,0.17,0.33,0.88,-0.29,305.095779309425
18,0.05,0.91,0.0,0.6,284.46649007194173
19,0.08,0.82,0.69,0.51,291.20108970507596
20,0.08,0.71,1.0,-0.08,331.1832750326362
21,0.01,0.89,0.02,0.85,244.65861321928853
22,0.0,0.65,0.0,0.0,317.13523938969547
23,0.02,1.08,0.1,0.77,310.27183335848986
24,0.01,1.5,0.02,0.98,193.20760843074584
25,0.01,0.56,0.0,-0.2,317.9550580481129
26,0.23,0.16,0.97,0.41,309.43368227059506
27,0.14,0.22,0.7,-0.32,347.8063931372085
28,0.08,1.38,0.84,0.15,271.7184835210324
29,0.16,0.36,1.0,0.48,314.1956434048783
30,0.0,0.98,0.0,0.98,247.9927800575208
31,0.02,0.92,0.1,0.68,286.5457310058224
32,0.0,0.69,0.0,-0.07,310.40941690984795
33,0.08,0.52,0.68,0.14,345.9936040932614
34,0.09,0.0,0.0,0.46,283.7533328279354
35,0.1,0.72,0.96,0.31,297.2809667126881
36,0.02,1.47,0.06,1.0,181.64105847901865
37,0.17,0.05,1.0,0.36,329.3780797279973
38,0.02,0.58,0.1,0.58,324.1768237344845
39,0.08,0.96,0.69,0.68,277.00223110903784
40,0.0,0.78,0.0,0.59,296.7075827307847
41,0.27,0.28,0.99,-0.16,291.6468792008505
42,0.38,0.16,1.0,0.9,264.64243741283343
43,0.34,0.44,0.98,0.84,299.62482389930756
44,0.04,0.72,0.0,0.41,353.4665778011125
45,0.88,0.0,1.0,0.6,431.4118711754556
46,0.92,0.32,0.98,0.48,223.59172646405756
47,0.13,0.32,1.0,0.48,326.1729241394802
48,0.0,1.35,0.0,-0.17,245.5265419563505
49,0.18,0.45,0.93,-0.32,328.0871000696657
50,0.0,0.61,0.0,0.32,312.0845781326699
51,0.13,0.73,0.72,0.32,309.8860790584704
52,0.0,0.04,0.0,0.3,337.36446697335975
53,0.03,0.72,0.1,0.5,280.84633226166545
54,0.01,0.76,0.02,0.25,315.91833615781053
55,0.12,0.52,0.83,0.68,264.75775068573245
56,0.08,0.64,0.81,0.56,276.5981765358727
57,0.02,1.42,0.1,-0.24,264.59463867977695
58,0.94,0.0,0.99,0.52,431.7727460912069
59,0.08,1.04,0.8,-0.32,250.9244269706981
60,0.34,0.28,1.0,0.97,237.3463066690175
61,0.0,0.83,0.0,0.61,304.9577393603029
62,1.0,0.06,1.0,0.28,396.1107349021407
63,0.0,1.46,0.0,0.59,248.97145122176326
64,0.0,0.82,0.0,0.76,300.2357176559992
65,0.01,0.65,0.0,0.24,295.66525053838
66,0.08,0.88,0.1,0.57,244.34545098708617
67,0.12,0.71,0.88,0.12,333.935563943597
68,0.0,0.54,0.0,0.65,281.95677650354776
69,0.08,0.52,1.0,0.88,261.81009975232496
70,0.01,0.68,0.02,1.0,256.01966799554407
71,0.19,0.41,0.88,0.74,267.8048064572315
72,0.01,1.48,0.02,0.31,274.14718182003315
73,0.0,0.77,0.0,-0.13,317.0781982095936
74,0.0,0.88,0.0,1.0,242.63537614810912
75,0.08,0.67,1.0,0.36,310.71460773374525
76,0.02,1.5,0.1,0.28,244.92487904612926
77,0.92,0.01,1.0,0.72,450.61213348830415
78,0.15,0.7,0.98,0.68,276.74399266367936
79,0.05,0.58,0.0,1.0,240.21071101353817
80,0.21,0.74,1.0,0.38,362.41864251385283
81,0.92,0.02,1.0,1.0,223.47365924794792
82,0.76,0.04,1.0,0.68,318.6701379165132
