subID,alpha,theta,gamma,w,nll
18,0.96,0.1,1.0,-1.0,571.7099495468359
14,0.17,0.64,0.56,-1.0,349.1404936259405
4,0.15,0.48,0.72,-1.0,330.67627149493353
0,0.48,0.68,0.79,-1.0,258.9064335982084
2,0.19,0.87,0.83,-1.0,303.12462515908976
5,0.02,1.5,0.0,-1.0,408.0950162599576
12,0.08,1.08,0.72,-1.0,395.996949822953
15,0.47,0.32,0.88,-1.0,328.9507132647216
8,0.23,1.08,0.98,-1.0,386.40350789802284
19,0.12,1.04,0.8,-1.0,319.88529293655114
6,0.22,0.92,0.87,-1.0,252.30236840920008
10,0.27,0.82,0.93,-1.0,268.82812616900566
9,0.25,0.44,0.98,-1.0,279.9881882504521
20,0.12,0.68,1.0,-1.0,334.18705785503886
13,0.14,0.53,0.88,-1.0,284.2627552687862
7,0.19,0.81,0.86,-1.0,297.87568954758336
21,0.02,1.13,0.06,-1.0,244.3395547390852
1,0.0,0.68,0.0,-1.0,362.23179331923126
11,0.02,1.5,0.0,-1.0,341.9244810485246
16,0.88,0.32,1.0,-1.0,513.1125159599223
17,0.02,0.54,0.06,-1.0,300.5539627656258
3,0.27,0.79,0.81,-1.0,373.30447035616913
32,0.01,0.64,0.0,-1.0,343.3014272517068
36,0.88,0.51,1.0,-1.0,468.43154086099673
22,0.03,0.56,0.1,-1.0,327.18600019569925
28,0.08,1.32,0.16,-1.0,265.60243109816713
23,0.17,0.92,0.44,-1.0,207.6999762627017
26,0.52,0.15,0.98,-1.0,199.749003055257
27,0.71,0.52,0.84,-1.0,175.15253923992
33,0.11,0.56,0.28,-1.0,228.54178337795332
29,0.11,0.51,1.0,-1.0,299.98900603311336
30,0.08,0.95,0.72,-1.0,424.3675956948253
37,0.92,0.0,1.0,-1.0,464.5374898072493
24,0.08,1.5,0.0,-1.0,527.3382401344437
31,0.08,0.82,0.0,-1.0,442.42512155359105
34,0.15,0.15,0.0,-1.0,415.5536718807218
35,0.32,0.82,0.83,-1.0,243.60477496796426
25,0.01,0.51,0.02,-1.0,302.06176059525126
86,0.19,1.29,0.65,-1.0,204.1099084104926
94,0.09,1.0,0.68,-1.0,300.96420938699066
68,0.32,0.21,0.97,-1.0,230.71545274741595
48,0.01,1.48,0.0,-1.0,167.81951771713977
96,0.17,0.77,0.0,-1.0,402.4773299544682
60,0.38,0.55,0.86,-1.0,208.81089783953195
58,0.96,0.1,1.0,-1.0,640.4186870141252
92,0.01,1.43,0.0,-1.0,388.2616286485918
97,0.11,0.82,0.28,-1.0,339.1892049167213
87,0.08,0.93,0.1,-1.0,287.97118811962
44,0.31,0.59,0.85,-1.0,314.4651793282805
90,0.32,0.28,0.98,-1.0,202.87589632974013
54,0.13,0.69,0.69,-1.0,375.2103070103077
50,0.0,0.66,0.0,-1.0,327.66945045540234
70,0.16,0.54,0.85,-1.0,274.4097805345484
66,0.24,1.24,0.28,-1.0,327.3001394504029
42,0.37,0.3,0.95,-1.0,197.87799003042565
88,0.1,1.33,0.0,-1.0,371.24640675044986
40,0.16,0.69,1.0,-1.0,369.26699816871917
74,0.15,0.72,0.98,-1.0,259.4914314212523
64,0.2,0.72,0.83,-1.0,222.59187831713848
45,1.0,0.44,0.88,-1.0,646.8038477059579
38,0.09,0.5,0.0,-1.0,441.68375281971953
84,1.0,0.1,1.0,-1.0,471.25458941039494
65,0.29,0.56,0.86,-1.0,266.7165865693875
72,0.09,1.16,0.77,-1.0,299.0033635187756
69,0.24,0.32,0.94,-1.0,319.4828149857229
80,0.15,0.92,0.88,-1.0,344.0865910124719
82,0.92,0.1,1.0,-1.0,528.8899277859975
81,0.02,1.5,0.0,-1.0,386.4545281519745
61,0.0,0.63,0.0,-1.0,301.54280734244344
67,0.21,0.88,0.81,-1.0,229.82788541564537
89,0.08,1.01,0.84,-1.0,379.63333353292114
76,0.01,1.49,0.02,-1.0,408.8200978392264
59,0.9,0.32,0.94,-1.0,566.1080352265503
43,0.36,0.71,0.82,-1.0,228.6722337684637
93,0.0,0.97,0.0,-1.0,311.7531944539632
55,0.1,0.81,0.48,-1.0,209.28245289088107
85,0.09,0.8,0.52,-1.0,413.99150502341996
52,0.88,0.02,0.99,-1.0,442.6641723823823
78,0.11,0.94,0.72,-1.0,297.8324297091276
51,0.34,0.76,0.83,-1.0,257.60014875010654
49,0.22,0.29,1.0,-1.0,253.85740262908945
56,0.88,0.06,0.99,-1.0,445.3914227523354
46,1.0,0.06,1.0,-1.0,595.0499648497424
79,0.08,0.72,0.85,-1.0,338.5459468672675
62,1.0,0.1,1.0,-1.0,499.12261063880203
77,0.88,1.5,0.96,-1.0,631.1579510653592
63,0.08,1.12,0.68,-1.0,257.0919538369742
73,0.3,0.38,0.99,-1.0,302.19420392997307
57,0.08,1.28,0.09,-1.0,421.94514120105316
83,0.1,1.28,0.7,-1.0,285.00993928623706
71,0.23,0.44,0.97,-1.0,266.2435617135086
91,0.2,0.48,1.0,-1.0,363.23300413845146
39,0.18,0.99,0.71,-1.0,277.25001343793724
75,0.09,0.72,0.9,-1.0,356.0554804244871
95,0.1,0.84,0.28,-1.0,344.16608454521173
53,0.23,0.36,1.0,-1.0,213.3213071773116
47,0.36,0.32,0.95,-1.0,310.1166383577876
41,0.32,0.32,0.98,-1.0,240.94575326784133
108,0.17,1.5,0.1,-1.0,277.59819530606376
114,0.01,0.81,0.02,-1.0,329.45522734546165
161,0.01,0.69,0.02,-1.0,363.5408093194185
146,0.15,0.48,0.88,-1.0,309.8095001251981
138,0.88,0.1,0.98,-1.0,505.4920036585743
102,0.12,0.69,0.0,-1.0,419.25584432349046
167,0.23,0.72,0.88,-1.0,237.52532532873664
98,0.22,0.57,0.99,-1.0,295.63202497958866
100,0.13,0.26,0.98,-1.0,241.856764069299
120,0.16,1.08,0.72,-1.0,280.15020670043765
104,0.21,0.63,0.24,-1.0,282.9974562358377
165,0.09,0.72,0.48,-1.0,290.4081942014591
168,0.09,0.73,0.68,-1.0,369.7976135974277
163,0.23,0.52,0.92,-1.0,202.44622816604812
124,0.0,1.25,0.0,-1.0,375.84106850525495
103,0.23,0.56,0.88,-1.0,295.34289516460973
154,0.32,0.3,0.99,-1.0,209.86856752881428
115,0.13,0.77,0.88,-1.0,345.5845185613553
