subID,alpha,theta,gamma,w,nll
18,0.92,0.1,1.0,-1.0,580.963344485109
14,0.17,0.66,0.57,-0.15,346.4774145752971
4,0.14,0.44,0.74,0.1,329.5593328061143
0,0.56,0.97,0.72,-0.52,236.12803295023588
2,0.25,0.92,0.87,-0.3,299.00663158572996
5,0.02,1.32,0.0,1.0,373.89550979226897
12,0.08,1.08,0.72,-0.19,392.2688589206973
15,0.25,0.29,0.86,0.28,331.8946943881231
8,0.08,1.28,0.43,0.52,356.04406673226083
19,0.15,1.01,0.84,0.15,318.45738927949367
6,0.22,0.96,0.87,-0.06,251.90936770628736
10,0.25,0.8,0.88,0.5,253.78732684377505
9,0.24,0.51,0.99,-0.18,272.5750168281555
20,0.1,0.68,1.0,0.04,333.9266652278458
13,0.14,0.5,0.99,-0.2,277.25886046427183
7,0.19,0.78,0.85,0.19,292.27365390698054
21,0.02,1.18,0.06,-0.12,242.1851358718871
1,0.0,0.72,0.0,-0.1,359.85335592506823
11,0.02,1.5,0.0,0.28,340.45407754961707
16,0.88,0.29,0.99,-1.0,581.6781122820395
17,0.24,0.57,0.88,-0.47,278.2125621850161
3,0.25,0.75,0.78,0.11,372.29932775383304
32,0.02,0.79,0.1,-0.44,317.76176217865856
36,0.02,1.5,0.0,1.0,382.2764667003409
22,0.02,0.54,0.06,0.08,326.10509205127545
28,0.1,1.28,0.22,0.28,265.54574376659997
23,0.17,1.01,0.46,-0.22,204.7020605508763
26,0.52,0.14,0.98,0.04,198.90702427372406
27,0.68,0.53,0.87,-0.12,171.98930272631918
33,0.1,0.61,0.28,-0.21,224.29326127327138
29,0.08,0.45,1.0,0.32,276.5612948922253
30,0.04,0.78,0.1,1.0,383.8561405759825
37,0.92,0.06,1.0,-1.0,442.17084349001203
24,0.01,1.5,0.0,1.0,412.4196232930574
31,0.08,0.8,0.0,0.08,441.60334029978947
34,0.19,0.2,0.0,-1.0,415.1690508685116
35,0.31,0.76,0.83,0.16,239.64807126627193
25,0.08,0.46,0.8,-0.24,290.2750462664278
86,0.19,1.29,0.65,0.0,204.1099084104926
94,0.13,1.08,0.53,0.2,297.45765431681986
68,0.32,0.26,0.97,-0.09,228.6448791587602
48,0.01,1.36,0.0,0.32,163.38599669500246
96,0.17,0.77,0.0,0.03,402.3566015156416
60,0.39,0.56,0.87,-0.07,208.17462269308317
58,0.92,0.1,1.0,-1.0,650.6301863449938
92,0.01,1.5,0.0,-0.71,327.197451060852
97,0.08,0.98,0.12,-0.76,287.1870620308662
87,0.08,0.96,0.1,-0.08,286.3085090836898
44,0.32,0.68,0.87,-0.32,304.00037303266186
90,0.32,0.28,1.0,-1.0,204.82394783641067
54,0.12,0.75,0.67,-0.16,372.6617606479124
50,0.0,0.63,0.0,0.1,325.6543379539099
70,0.16,0.51,0.85,0.07,273.433098124748
66,0.23,1.44,0.24,-0.32,326.17562608555556
42,0.32,0.24,0.97,0.1,196.64741958666474
88,0.08,1.5,0.0,0.88,365.07511291938863
40,0.15,0.68,1.0,0.12,367.24479453268873
74,0.16,0.72,0.98,-0.06,258.166552333004
64,0.21,0.82,0.83,-0.32,204.69609493821804
45,0.92,0.52,0.88,-1.0,661.9248166187598
38,0.09,0.5,0.0,0.12,439.43911511964325
84,0.9,0.0,0.99,1.0,502.09809403126485
65,0.29,0.59,0.86,-0.07,264.777876254405
72,0.09,1.15,0.75,0.08,298.50664689894234
69,0.12,0.54,0.86,-0.32,307.6474518479099
80,0.16,0.88,0.94,-0.14,335.34935488172835
82,0.92,0.1,1.0,-1.0,544.8432446752267
81,0.02,1.5,0.0,0.08,386.28765253777806
61,0.01,0.73,0.02,-0.32,284.8529050384591
67,0.23,0.97,0.82,-0.26,218.27854189128595
89,0.08,0.91,0.76,0.48,368.50187832050995
76,0.01,1.48,0.02,0.08,409.363312702944
59,0.89,0.32,0.93,0.12,559.8419108676287
43,0.36,0.72,0.84,-0.1,227.68867130733713
93,0.0,1.12,0.0,-0.37,283.0286514094842
55,0.3,1.04,0.72,-0.48,207.16239666248143
85,0.33,0.92,0.85,-1.0,391.08768548156763
52,0.88,0.07,0.98,-1.0,423.8476497952013
78,0.11,0.96,0.72,-0.06,297.6318628706303
51,0.38,0.84,0.83,-0.21,253.57831682469833
49,0.22,0.32,1.0,-0.08,253.5343540603123
56,0.15,0.7,0.76,-0.51,393.4633650051539
46,0.95,0.1,0.99,-1.0,643.5943229213407
79,0.08,0.68,0.8,0.12,335.64824281525614
62,0.96,0.1,0.99,-1.0,614.2361981122211
77,0.88,1.5,0.96,1.0,613.5078854136187
63,0.08,1.24,0.68,-0.32,252.15756927768956
73,0.3,0.4,0.99,-0.04,302.0528625935432
57,0.08,1.4,0.1,-0.32,414.2261706609938
83,0.09,1.08,0.68,0.28,275.3994666558607
71,0.23,0.47,0.97,-0.05,265.3848889529792
91,0.14,0.48,1.0,0.2,361.17918337998356
39,0.18,0.99,0.71,0.01,277.23885805208465
75,0.09,0.7,0.89,0.11,353.93497860085125
95,0.1,0.83,0.28,0.14,342.5897835941807
53,0.24,0.32,1.0,0.08,210.40421683098276
47,0.46,0.52,0.88,-0.32,306.2714529360689
41,0.32,0.32,0.98,-0.03,240.29939721499238
108,0.17,1.5,0.28,1.0,164.11989982114358
114,0.01,0.72,0.02,0.29,312.19851875163477
161,0.01,0.64,0.02,0.12,361.2214802517929
146,0.16,0.55,0.86,-0.2,305.3942224371127
138,0.1,0.9,0.43,-0.49,391.47719853145225
102,0.08,1.02,0.1,-0.52,360.95858060030565
167,0.26,0.72,0.93,-0.28,226.4796769532818
98,0.22,0.6,0.99,-0.11,293.726385259357
100,0.14,0.29,0.99,-0.11,239.45333487961057
120,0.23,1.21,0.78,-0.39,270.23206822638963
104,0.22,0.76,0.15,-0.33,270.3396454432119
165,0.08,0.84,0.68,-0.6,266.8724738508621
168,0.24,0.85,0.83,-0.26,363.2483926769214
163,0.23,0.68,0.88,-0.14,201.80673165926987
124,0.0,1.46,0.0,-0.68,315.1547365894142
103,0.0,0.87,0.0,-0.32,289.40121006626305
154,0.32,0.3,0.99,0.01,209.8595220544612
115,0.13,0.76,0.88,0.03,345.4937786409193
116,0.37,0.52,0.88,-0.12,141.49367667568262
132,0.26,0.44,0.98,-0.12,250.09026959777566
112,0.36,1.5,0.51,-0.66,192.88538641553023
128,0.27,0.7,0.66,0.29,239.7902219701067
109,0.1,0.72,0.08,-1.0,197.11656818525847
159,0.13,0.55,0.01,-0.08,298.4433492979717
106,0.42,0.86,0.66,-0.52,294.62870515017437
113,0.28,0.86,0.69,0.5,281.9542937527177
166,0.11,1.09,0.68,0.48,228.82131226351873
126,0.21,0.81,0.96,-0.16,340.1576231649128
152,0.33,0.68,0.88,-0.32,225.42020779443564
130,0.88,1.5,0.89,-0.98,673.1413198008504
118,0.14,1.28,0.71,0.28,281.7605780930563
105,0.08,1.14,0.88,-0.48,342.7275057920528
131,0.36,1.09,0.72,-0.71,333.40318454396754
107,0.44,0.88,0.06,0.17,313.97461773078146
139,0.23,0.6,0.99,-0.23,455.8690906019182
117,0.38,1.48,0.6,-0.29,226.44486015101722
153,0.14,0.48,1.0,0.12,364.27363940052334
140,0.92,0.28,1.0,-1.0,463.86406119522997
134,0.32,0.56,0.94,-0.13,227.25692496474278
148,0.14,0.11,0.31,0.1,226.57724689245845
150,0.04,1.26,0.07,-0.21,203.10940875808063
157,0.02,0.93,0.0,-0.1,328.3604699226836
133,0.21,0.51,0.88,-0.04,295.18342909954396
121,0.19,0.46,0.88,0.0,273.12642122523357
135,0.18,0.56,1.0,-0.11,293.2487723467933
127,0.22,0.41,0.51,0.51,210.7605892648806
110,0.11,0.87,0.0,-0.48,413.93873336698204
147,0.08,1.28,0.76,-0.39,225.9725963215585
155,0.19,0.52,0.98,-0.08,249.10010464930815
149,0.01,0.83,0.02,-0.06,297.53770578484534
122,0.38,0.52,0.88,-0.08,228.13651560277702
142,0.26,0.72,0.88,-0.12,214.40470719484298
160,0.4,0.29,0.99,-0.1,164.91147394956928
156,0.26,0.47,0.86,0.04,242.04932671913974
137,0.08,0.09,0.48,0.08,437.47578731983884
162,0.02,0.64,0.1,0.28,339.75886299034266
125,0.27,0.52,0.88,0.11,243.32901101636276
164,0.18,0.13,0.85,0.12,320.0500412943907
101,0.88,0.04,0.96,-1.0,475.66903788306604
144,0.88,0.02,0.98,-1.0,362.3888765993435
123,0.0,0.8,0.0,-0.18,319.7065492527674
129,0.0,0.76,0.0,-0.08,354.5162474048788
141,0.1,0.66,0.88,-0.11,318.89362005568796
111,0.18,0.88,0.74,-0.39,222.95993987847055
158,0.34,0.32,0.97,-1.0,254.35934433121076
143,0.1,0.68,1.0,-0.03,312.92428409832985
151,0.7,1.32,0.76,-0.12,333.12628561149825
99,0.18,0.36,1.0,-0.1,306.30194468836896
119,0.23,0.17,0.88,0.15,230.47468491020962
145,0.08,0.72,0.32,-0.14,326.83652491577567
219,0.26,0.68,0.88,-0.04,257.2959512044969
185,0.37,1.11,0.46,-0.08,153.57719839236478
247,0.17,0.69,0.88,-0.14,241.02799337839127
235,0.15,0.96,0.88,-0.49,258.45335444491434
213,0.13,0.0,0.0,0.31,468.1892124684478
245,0.18,0.51,0.12,0.2,193.28023996794508
225,0.22,0.36,1.0,-0.08,234.66041487747736
231,0.29,0.81,0.82,-0.05,174.26014493817266
226,0.26,0.68,0.88,-0.22,212.89744802371192
217,0.01,0.57,0.02,0.03,322.9605249675132
236,1.0,0.1,1.0,-1.0,479.3368829842992
175,0.38,1.07,0.76,0.09,297.48178971654266
173,0.1,0.23,0.79,0.24,379.20044436202375
203,0.08,0.88,0.08,-0.13,101.73629961491557
193,0.26,0.92,0.88,-0.1,311.10969927349083
197,1.0,0.28,1.0,-1.0,395.48126297454115
169,0.12,0.67,0.99,0.06,346.13996584217733
191,0.27,0.88,0.85,-0.73,229.14581106101707
227,0.0,0.77,0.0,-0.13,339.59603401182164
221,1.0,0.1,1.0,-1.0,427.6319437401696
223,0.29,0.67,0.87,-0.07,278.35185953493567
177,0.39,0.92,0.83,-0.32,291.14617816382656
174,0.88,0.29,1.0,-1.0,494.0599710430199
222,0.09,1.08,0.0,0.08,533.380231417103
171,0.11,1.28,0.52,0.88,329.6823904207573
218,0.3,0.72,0.88,-0.04,266.12243496395524
201,0.56,0.4,0.87,1.0,345.6972126389518
243,0.08,1.04,0.68,-0.5,266.728852269615
211,0.02,1.5,0.0,1.0,300.9804312965711
224,0.33,0.28,1.0,-0.04,256.7153194049487
237,0.02,1.5,0.0,-0.72,372.2870062972175
187,0.35,0.41,0.83,0.13,245.19194824981702
170,0.88,0.0,0.99,-1.0,531.2356849486205
181,0.59,0.31,0.87,0.04,288.3210364762004
183,0.88,0.07,0.98,-1.0,579.2800979561897
198,0.03,0.83,0.1,0.04,393.1366196124279
215,0.05,0.88,0.06,-0.11,350.07872968318827
248,0.94,0.58,0.71,0.01,287.05289494662156
249,0.02,0.83,0.1,0.0,274.03725577454964
212,0.14,0.42,0.48,-0.26,243.24514764219643
233,0.29,0.57,0.88,-0.04,264.4345691444245
189,0.21,0.88,0.84,-0.35,280.18434405490757
172,0.32,0.76,0.81,-0.08,221.2563949625362
216,0.1,0.54,0.03,0.12,369.55006258284425
190,0.52,0.12,0.99,0.08,206.02736324119357
232,0.34,1.03,0.78,-0.2,204.91249155645443
188,0.14,0.88,1.0,-0.39,325.59439761766976
250,0.08,0.92,0.88,0.08,279.9351491525424
229,0.24,0.52,0.88,-0.32,295.01636974975577
209,0.1,0.58,0.77,0.06,328.53183136544214
176,0.34,0.48,0.87,0.17,225.44963633028206
239,0.19,0.98,0.73,-0.33,224.783111924776
195,0.11,0.47,0.88,0.01,262.3709133225394
179,0.13,0.64,1.0,-0.44,296.668798163479
199,0.01,1.36,0.0,-0.32,361.3927807410274
192,0.05,0.21,0.0,-0.04,240.04934982196266
182,0.48,0.67,0.6,0.48,219.46093488437015
220,0.19,0.36,0.72,-0.05,231.53369156483168
244,0.13,1.28,0.15,-0.09,359.562666834858
186,0.04,0.57,0.06,-0.08,365.22416338704284
205,0.26,0.88,0.68,0.31,233.36177644154895
206,0.21,0.61,0.96,-0.11,269.3936066430472
240,0.25,0.23,0.88,0.28,249.3214911196585
241,0.01,0.65,0.0,-0.12,339.3030667854306
238,0.02,0.92,0.0,-0.13,227.4536269433483
230,0.21,0.46,0.31,-0.09,327.3414625055838
207,0.37,1.4,0.67,-0.39,200.02129441993097
228,0.01,1.0,0.02,0.05,267.7154370224343
204,0.49,0.68,0.69,0.32,267.6039814794551
184,0.09,0.44,0.88,-0.12,359.60792182971
194,0.88,0.01,0.94,-1.0,517.6491784919499
246,0.37,0.26,0.99,0.0,197.76715233383106
242,0.39,1.36,0.66,-0.32,474.091933563095
214,0.27,0.13,0.98,0.06,269.3817149106014
202,0.18,1.09,0.79,-0.45,299.20013322081047
208,0.58,0.2,0.88,0.28,206.41831411236018
178,0.1,0.96,0.02,-0.08,271.8442840027222
200,0.88,0.28,1.0,-1.0,491.8231080854861
196,1.0,1.2,1.0,-0.94,503.560153118488
210,0.0,0.55,0.0,0.26,352.1268702509531
234,0.1,0.6,0.86,-0.32,297.89899355006366
180,0.29,0.12,0.99,0.0,308.5372677045946
