subID,trial,sim_choice,sim_attack,k
18,5,5,1,1
18,56,1,0,1
18,35,3,0,1
18,55,8,0,1
18,114,5,0,1
18,110,1,0,1
18,60,7,0,1
18,30,1,0,1
18,32,1,0,1
18,6,2,0,1
18,67,5,0,1
18,45,1,0,1
18,117,1,0,1
18,73,9,1,1
18,115,6,0,1
18,112,8,1,1
18,64,9,0,1
18,90,5,0,1
18,4,3,0,1
18,13,2,0,1
18,54,8,0,1
18,63,1,0,1
18,86,1,0,1
18,104,1,0,1
18,91,1,0,1
18,62,9,0,1
18,58,1,0,1
18,52,6,0,1
18,12,3,0,1
18,28,1,0,1
18,75,5,0,1
18,23,2,0,1
18,111,1,0,1
18,92,9,1,1
18,41,7,1,1
18,43,1,0,1
18,11,1,0,1
18,69,7,0,1
18,36,1,0,1
18,98,7,0,1
18,68,1,0,1
18,82,8,1,1
18,85,1,0,1
18,118,1,0,1
18,119,1,0,1
18,39,3,0,1
18,84,6,0,1
18,77,1,0,1
18,7,1,0,1
18,25,2,0,1
18,95,7,0,1
18,108,1,0,1
18,71,1,0,1
18,66,5,1,1
18,76,7,1,1
18,103,1,0,1
18,34,3,0,1
18,59,2,0,1
18,50,1,0,1
18,93,1,0,1
18,2,2,0,1
18,27,2,0,1
18,10,3,0,1
18,26,6,1,1
18,18,2,0,1
18,42,4,0,1
18,87,8,0,1
18,116,1,0,1
18,100,1,0,1
18,79,8,0,1
18,16,2,0,1
18,81,6,1,1
18,20,2,0,1
18,19,2,0,1
18,49,9,0,1
18,44,1,0,1
18,9,2,0,1
18,31,1,0,1
18,74,1,0,1
18,106,1,0,1
18,109,1,0,1
18,61,1,0,1
18,29,3,0,1
18,94,2,0,1
18,107,1,0,1
18,46,9,0,1
18,57,1,0,1
18,102,1,0,1
18,70,1,0,1
18,21,3,1,1
18,38,1,0,1
18,88,1,0,1
18,120,5,0,1
18,101,1,0,1
18,78,5,0,1
18,105,6,0,1
18,72,7,0,1
18,24,1,0,1
18,8,2,0,1
18,17,2,0,1
18,37,1,0,1
18,1,9,1,1
18,53,5,1,1
18,22,1,0,1
18,47,8,0,1
18,83,1,0,1
18,99,1,0,1
18,89,1,0,1
18,14,1,0,1
18,3,4,1,1
18,80,8,0,1
18,96,7,0,1
18,51,8,1,1
18,33,1,0,1
18,40,7,0,1
18,48,8,0,1
18,113,4,0,1
18,15,2,0,1
18,65,9,1,1
18,97,7,1,1
14,5,3,0,1
14,56,4,0,1
14,35,5,0,1
14,55,6,0,1
14,114,5,0,1
14,110,6,0,1
14,60,6,0,1
14,30,2,0,1
14,32,4,0,1
14,6,2,0,1
14,67,3,0,1
14,45,7,1,1
14,117,6,1,1
14,73,6,0,1
14,115,6,0,1
14,112,3,0,1
14,64,2,0,1
14,90,5,0,1
14,4,6,0,1
14,13,5,1,1
14,54,6,0,1
14,63,4,1,1
14,86,6,1,1
14,104,6,0,1
14,91,1,0,1
14,62,5,1,1
14,58,6,1,1
14,52,6,0,1
14,12,5,0,1
14,28,3,1,1
14,75,5,0,1
14,23,3,0,1
14,111,6,0,1
14,92,5,0,1
14,41,4,0,1
14,43,4,0,1
14,11,2,0,1
14,69,6,0,1
14,36,4,0,1
14,98,5,0,1
14,68,6,0,1
14,82,6,0,1
14,85,4,1,1
14,118,1,0,1
14,119,1,0,1
14,39,6,0,1
14,84,6,0,1
14,77,4,0,1
14,7,4,0,1
14,25,4,0,1
14,95,7,0,1
14,108,6,1,1
14,71,7,1,1
14,66,5,0,1
14,76,7,1,1
14,103,7,1,1
14,34,5,0,1
14,59,4,0,1
14,50,2,0,1
14,93,6,0,1
14,2,6,0,1
14,27,6,0,1
14,10,4,0,1
14,26,5,0,1
14,18,6,1,1
14,42,6,1,1
14,87,5,0,1
14,116,6,1,1
14,100,5,1,1
14,79,5,0,1
14,16,3,0,1
14,81,6,0,1
14,20,6,1,1
14,19,6,0,1
14,49,6,0,1
14,44,6,0,1
14,9,6,0,1
14,31,1,0,1
14,74,6,0,1
14,106,6,0,1
14,109,6,0,1
14,61,4,0,1
14,29,7,0,1
14,94,6,0,1
14,107,1,0,1
14,46,5,0,1
14,57,6,0,1
14,102,5,1,1
14,70,5,1,1
14,21,6,1,1
14,38,6,1,1
