subID,alpha,theta,gamma,w,nll
18,0.17,0.88,0.27,0.48,425.2586899262138
14,0.21,0.64,0.58,0.31,341.36636784710043
4,0.31,0.44,0.71,0.5,290.02642098072783
0,0.77,1.23,0.64,0.65,193.14152407396165
2,0.34,0.88,0.88,0.7,264.5704216388739
5,0.15,1.12,0.88,-0.63,394.80788877376426
12,0.09,1.08,0.72,0.54,372.0105331632618
15,0.87,0.28,0.88,0.4,300.7916401081959
8,0.14,1.32,0.28,-0.52,339.3165501178027
19,0.32,1.03,0.85,0.52,281.40870544836247
6,0.25,0.94,0.87,1.0,210.52711466533276
10,0.41,0.78,0.88,0.77,227.83760041592464
9,0.28,0.51,0.99,-0.08,279.67227912997964
20,0.17,0.68,1.0,0.08,332.9379764801313
13,0.3,0.57,0.88,-0.2,276.3712399690735
7,0.28,0.76,0.87,1.0,242.6729838028062
21,0.38,1.21,0.6,0.75,225.3298042176715
1,0.02,0.71,0.02,1.0,323.87881036660906
11,0.02,1.5,0.0,0.2,345.48401699356845
16,0.66,0.88,0.98,0.39,483.89752273941065
17,0.14,0.63,0.52,-0.34,287.9081472440691
3,0.38,0.84,0.86,0.28,346.60345943368316
32,0.0,0.66,0.0,-0.12,343.95745293903786
36,0.2,1.21,1.0,1.0,337.2681287526639
22,0.04,0.55,0.08,0.12,325.11857849108276
28,0.16,1.32,0.18,0.03,250.91400247913225
23,0.28,1.06,0.36,0.78,172.22966521678558
26,0.52,0.16,1.0,0.13,189.81029599320124
27,0.7,0.52,0.88,0.48,185.21179748411734
33,0.35,0.58,0.48,0.0,225.09883021308977
29,0.15,0.46,1.0,0.42,284.4356236255446
30,0.1,0.84,0.88,0.7,341.6117642390047
37,0.1,0.52,0.48,-0.62,411.9901206733472
24,0.08,1.5,0.0,1.0,365.6466781454598
31,0.2,0.75,0.0,0.41,415.05264669776466
34,0.12,0.0,0.0,0.42,389.4321907477401
35,0.48,0.81,0.79,-0.95,170.59007259377108
25,0.08,0.45,0.88,-0.24,289.2660135948503
86,0.4,1.5,0.67,0.47,180.90679404021319
94,0.15,1.0,0.68,0.32,287.7949943184483
68,0.44,0.36,0.88,0.61,208.19483089607314
48,0.01,1.38,0.0,-0.28,160.79274413480906
96,0.27,0.75,0.0,-0.12,410.4122554853366
60,0.52,0.88,0.7,1.0,163.0669369384536
58,0.1,1.28,0.84,-0.39,478.05268861869087
92,0.01,1.5,0.0,0.71,309.525175432661
97,0.1,0.87,0.08,0.51,298.54105426431727
87,0.82,1.5,0.0,1.0,229.95369652867072
44,0.34,0.64,0.85,0.18,301.35614302631427
90,0.44,0.28,0.96,0.28,182.01051332751544
54,0.19,0.7,0.96,0.29,368.6816378169538
50,0.01,0.61,0.02,0.28,321.17382331840827
70,0.15,0.59,0.71,0.97,243.41089181104047
66,0.26,1.5,0.0,0.52,311.57599247143514
42,0.44,0.28,0.95,0.52,191.8714127566673
88,0.26,1.1,0.63,-0.81,337.3468419401753
40,0.21,0.68,1.0,0.32,342.62726446774866
74,0.19,0.75,0.97,0.68,237.24100098656595
64,0.41,1.24,0.67,0.66,155.14049386708945
45,0.08,1.5,0.0,0.67,478.4672260675603
38,0.17,0.44,0.0,0.44,423.99450519809847
84,0.28,0.38,1.0,1.0,344.6023400596746
65,0.52,0.55,0.86,0.29,265.87604682368874
72,0.14,1.18,0.76,-0.08,294.26839926683226
69,0.32,0.51,0.88,0.84,255.52355352226894
80,0.25,0.84,0.95,0.16,342.55816531922
82,0.09,0.86,1.0,0.62,438.8827018508441
81,0.01,1.5,0.0,1.0,340.97847867127894
61,0.03,0.74,0.1,0.61,268.3014852918901
67,0.36,0.96,0.78,0.19,229.5588705257628
89,0.08,0.93,0.88,0.57,330.7454838055644
76,0.02,1.47,0.1,0.08,408.14317590685107
59,0.13,1.28,0.36,-0.39,384.298815589438
43,0.6,0.73,0.82,0.67,205.4677822002321
93,0.0,1.07,0.0,0.52,289.91040309026005
55,0.38,0.94,0.8,-0.36,190.06164947978507
85,0.09,0.85,0.93,-0.72,365.86552378006
52,0.18,0.5,0.01,-0.6,418.01614795182047
78,0.15,0.88,0.85,0.64,275.4651972441508
51,0.51,0.72,0.85,0.08,261.04899880696547
49,0.52,0.2,1.0,0.28,238.2868520056944
56,0.21,0.64,0.76,-0.55,367.6696464885896
46,0.1,1.5,0.0,0.66,551.8142923542214
79,0.08,0.69,0.0,1.0,253.64331435182777
62,1.0,0.59,0.0,0.32,554.4100129047674
77,0.02,1.5,0.0,0.68,411.849646842979
63,0.15,1.28,0.64,0.4,242.76620839458155
73,0.38,0.44,0.99,0.14,297.9777834780748
57,0.19,1.5,0.64,-0.54,403.5763776614046
83,0.17,1.28,0.6,0.41,259.6071092386711
71,0.3,0.47,0.97,0.92,231.79003468940175
91,0.22,0.6,0.98,-0.12,357.4704452157834
39,0.2,0.96,0.52,0.55,230.89966379944997
75,0.12,0.73,0.84,0.41,341.6243531390098
95,0.17,0.82,0.29,0.7,306.90108960410714
53,0.19,0.7,0.32,0.62,201.0312917679749
47,0.52,0.32,0.94,0.28,291.1281655764496
41,0.27,0.56,0.88,0.22,251.4510510429186
108,0.23,1.5,0.41,-1.0,96.463193983549
114,0.01,0.75,0.02,0.6,312.3233079513693
161,0.01,0.67,0.02,0.22,359.5438764275449
146,0.19,0.53,0.82,0.06,310.19143087503335
138,0.17,0.79,0.3,-0.11,406.4621602277447
102,0.15,0.97,0.08,1.0,304.34880969213276
167,0.48,0.72,0.86,0.23,211.7347739249501
98,0.42,0.88,0.85,0.54,257.5882598934684
100,0.18,0.37,0.57,0.0,236.50976800995937
120,0.31,1.28,0.71,0.4,269.77079841771643
104,0.41,0.68,0.0,0.41,251.38113121591442
165,0.15,0.64,0.07,-0.24,279.9906621449332
168,0.11,0.69,0.28,0.63,298.5241848230648
163,0.32,0.32,0.98,-0.04,203.04616832543041
124,0.0,1.44,0.0,0.71,328.91084752783934
103,0.02,0.84,0.07,0.86,266.04499431317424
154,0.48,0.56,0.86,0.3,207.997996147273
115,0.26,0.72,0.88,0.7,310.5216100963266
116,0.48,0.48,0.88,-0.08,124.00264420812059
132,0.6,0.72,0.84,0.88,196.7024725910521
112,0.42,1.5,0.48,-0.45,178.98216678911712
128,0.24,0.67,0.32,0.48,240.9716265288452
109,0.52,0.45,0.93,-0.94,179.33134563632325
159,0.22,0.52,0.05,0.46,269.5049748734156
106,1.0,0.63,0.43,0.41,304.7560752966739
113,0.65,0.99,0.7,0.08,301.78409313503664
166,0.18,1.29,0.6,-0.2,233.48109510421472
126,0.11,0.98,0.72,0.45,322.1016122416306
152,0.47,0.68,0.87,0.12,219.7272916388739
130,0.08,1.5,0.0,0.68,452.89609243417453
118,0.08,1.12,0.68,-0.41,260.1494276715198
105,0.08,1.08,0.88,0.6,323.0282439924013
131,0.44,0.86,0.79,-0.52,334.2075335220195
107,0.79,1.32,0.08,0.27,287.4339733506772
139,0.36,0.88,0.87,1.0,378.2327306560126
117,0.18,1.29,0.35,0.54,225.4366412343673
153,0.14,0.44,1.0,0.83,302.89349420948184
140,0.21,0.76,0.24,0.34,423.0849213080123
134,0.56,0.32,0.98,0.61,213.49725876864917
148,0.14,0.15,0.4,0.11,231.83406352138533
150,0.11,1.28,0.12,0.24,197.4778971629434
157,0.13,0.84,1.0,0.36,322.28483843321794
133,0.25,0.45,1.0,1.0,236.21286455484056
121,0.31,0.43,0.88,0.12,283.784800554248
135,0.36,0.48,1.0,1.0,237.6181390342028
127,0.77,0.48,0.84,0.11,216.1903679844421
110,0.14,0.87,0.0,1.0,382.57017194300425
147,0.08,1.16,0.77,0.2,226.07480913109134
155,0.09,0.86,0.04,0.3,221.10997962023077
149,0.01,0.81,0.02,0.0,300.7389688797546
122,0.4,0.52,0.87,-0.03,234.0461153601604
142,0.3,0.77,0.86,0.72,206.15880263266683
160,0.46,0.28,0.99,0.35,149.60240350069432
156,0.3,0.52,0.79,0.3,236.2337982666069
137,0.15,0.11,0.02,0.19,423.25556379603063
162,0.06,0.67,0.1,0.96,290.65744839263283
125,0.52,0.37,0.95,0.4,223.53292331199856
164,0.52,0.02,1.0,1.0,268.29752819537384
101,0.39,0.28,0.8,-0.56,404.66864120981734
144,0.31,0.12,1.0,0.4,330.31655051016315
123,0.0,0.75,0.0,0.19,322.849282825188
129,0.0,0.73,0.0,0.0,355.6292910448968
141,0.13,0.62,0.88,-0.04,320.6785806547902
111,0.25,0.93,0.71,0.71,199.79157878247457
158,0.28,0.54,0.88,-0.8,263.1268881002725
143,0.11,0.69,1.0,0.88,277.0293447297321
151,0.84,1.5,0.68,0.57,330.43663098494744
99,0.32,0.32,1.0,0.06,308.30245767422906
119,0.88,0.21,0.88,0.08,220.52263500236057
145,0.1,0.67,0.37,0.08,331.77677279879146
219,0.1,0.79,0.09,0.39,258.55392687657525
185,0.63,1.32,0.5,1.0,128.37331378010046
