subID,alpha,theta,gamma,w,nll
0,0.04,0.83,0.0,0.68,267.6529046381506
1,0.01,0.76,0.0,0.93,272.76832028175306
2,0.25,0.57,1.0,0.76,265.6780432137846
3,0.2,0.76,0.98,0.45,296.5769926273556
4,0.26,0.31,1.0,0.41,307.0095779744182
5,0.23,1.18,0.94,-0.3,269.12622192535446
6,0.01,1.16,0.0,1.0,240.11577298232277
7,0.0,0.86,0.0,1.0,272.39303178408716
8,0.08,1.09,0.88,0.14,271.538558873223
9,0.02,0.75,0.1,-0.1,332.36377953101186
10,0.08,0.87,0.96,0.8,301.36983090124954
11,0.02,1.5,0.1,0.24,252.02845595114118
12,0.01,1.16,0.02,0.72,271.8774151315052
13,0.0,0.74,0.0,0.07,311.633520090817
14,0.02,0.84,0.06,0.37,295.3759826152551
15,0.0,0.39,0.0,0.4,346.7359091337954
16,0.18,1.22,1.0,0.27,339.9641664629819
17,0.26,0.36,0.88,-0.38,290.80214336095014
18,0.08,0.68,0.92,0.52,301.4135357651263
19,0.04,1.17,0.02,0.52,282.3086210915212
20,0.12,0.64,0.98,-0.12,303.7997293689924
21,0.23,0.98,0.87,0.84,263.771469285853
22,0.01,0.63,0.0,0.07,331.2009034266317
23,0.34,0.48,0.99,0.78,237.60303544922158
24,0.11,1.5,0.51,1.0,178.84553685780548
25,0.17,0.31,0.68,-0.3,315.29676524305046
26,0.51,0.12,1.0,0.36,284.00455016552337
27,0.25,0.33,0.88,0.64,288.68813569057073
28,0.08,0.83,0.97,-0.27,273.017054805542
29,0.18,0.4,1.0,0.3,283.5585769048288
30,0.08,0.8,0.97,0.57,299.5299352029195
31,0.01,0.88,0.0,0.62,293.198508837863
32,0.0,0.7,0.0,-0.02,329.4919662666679
33,0.18,0.62,0.66,0.22,281.35863673133707
34,0.11,0.0,0.0,0.45,277.437773774439
35,0.08,0.68,1.0,0.54,316.1595778505832
36,0.23,1.17,1.0,1.0,208.31960149711875
37,0.08,0.52,0.86,-0.7,283.90841882217546
38,0.0,0.4,0.0,0.56,328.25097803283364
39,0.02,0.97,0.1,0.64,259.02481290691844
40,0.14,0.64,1.0,0.4,337.33417049189507
41,0.01,0.69,0.02,0.28,308.2665868822441
42,0.28,0.23,1.0,0.6,292.1031295648176
43,0.23,0.71,0.69,0.8,298.7602816603048
