subID,alpha,theta,gamma,w,nll
18,0.16,0.89,0.28,-1.0,453.35037213160706
14,0.19,0.64,0.6,-1.0,351.354404495486
4,0.22,0.5,0.72,-1.0,330.56489120988226
0,0.76,1.12,0.58,-1.0,244.59239156300583
2,0.44,0.88,0.86,-1.0,303.6854563031827
5,0.09,1.25,0.68,-1.0,440.5466360013123
12,0.12,1.08,0.72,-1.0,394.51566235222424
15,0.88,0.29,0.88,-1.0,326.85137179234573
8,0.19,1.44,0.29,-1.0,357.8841243801137
19,0.3,1.03,0.86,-1.0,310.3003112785648
6,0.24,0.96,0.88,-1.0,253.75982188650295
10,0.37,0.92,0.85,-1.0,266.39060593211076
9,0.28,0.5,0.99,-1.0,279.68362089292555
20,0.17,0.68,1.0,-1.0,333.31896998350805
13,0.29,0.53,0.88,-1.0,278.58657193472015
7,0.27,0.84,0.84,-1.0,292.5851544492318
21,0.39,1.19,0.66,-1.0,257.42857334395507
1,0.01,0.67,0.02,-1.0,361.35327397552675
11,0.02,1.5,0.0,-1.0,345.3189339971525
16,0.6,0.84,1.0,-1.0,512.9346604859719
17,0.08,0.52,0.68,-1.0,300.1126799010698
3,0.38,0.84,0.86,-1.0,353.48452460468263
32,0.01,0.64,0.0,-1.0,344.2937754208053
36,0.03,1.5,0.0,-1.0,408.8306180011708
22,0.04,0.56,0.1,-1.0,326.0661640371569
28,0.16,1.32,0.19,-1.0,250.9713143943439
23,0.3,0.97,0.41,-1.0,203.5130124798671
26,0.52,0.17,1.0,-1.0,190.4933153463204
27,0.68,0.52,0.83,-1.0,197.39527352931742
33,0.35,0.58,0.48,-1.0,225.09883021308977
29,0.16,0.55,0.96,-1.0,306.67950580908183
30,0.1,0.96,0.88,-1.0,387.6381227464721
37,1.0,0.03,0.99,-1.0,450.47932643906046
24,0.08,1.5,0.0,-1.0,524.5299799846435
31,0.19,0.8,0.0,-1.0,438.5193814611305
34,0.18,0.15,0.0,-1.0,415.49248018013367
35,0.53,0.85,0.82,-1.0,230.39685833540182
25,0.08,0.42,0.76,-1.0,295.19840702396294
86,0.4,1.5,0.67,-1.0,193.10787299425326
94,0.15,1.02,0.68,-1.0,293.09214719358624
68,0.37,0.28,0.96,-1.0,219.87542720422215
48,0.01,1.45,0.0,-1.0,161.38773429308858
96,0.27,0.74,0.0,-1.0,411.4636336132426
60,0.47,0.64,0.81,-1.0,212.84810802643642
58,0.08,1.08,0.88,-1.0,476.7140287803644
92,0.01,1.41,0.0,-1.0,388.8281729830629
97,0.11,0.75,0.08,-1.0,339.7489588933316
87,0.13,0.95,0.16,-1.0,255.29061899033636
44,0.34,0.64,0.85,-1.0,303.9638574519492
90,0.44,0.3,0.95,-1.0,187.53370662538248
54,0.18,0.69,0.91,-1.0,375.60560333505845
50,0.01,0.65,0.02,-1.0,326.1059926551379
70,0.24,0.52,0.87,-1.0,269.4403592840113
66,0.36,1.36,0.34,-1.0,346.7447124917045
42,0.37,0.28,0.98,-1.0,206.5571915073433
88,0.3,1.35,0.0,-1.0,367.30572152846827
40,0.21,0.72,1.0,-1.0,354.0167614396675
74,0.41,0.29,0.99,-1.0,258.07692015742924
64,0.3,0.79,0.82,-1.0,201.11975102842098
45,0.1,0.87,0.02,-1.0,525.8272642772881
38,0.13,0.6,0.0,-1.0,432.03093344842466
84,0.48,1.08,0.86,-1.0,464.9106643833415
65,0.42,0.59,0.86,-1.0,270.98683326030596
72,0.13,1.17,0.76,-1.0,294.220563102184
69,0.08,0.44,0.98,-1.0,312.87421537738595
80,0.27,0.87,0.93,-1.0,344.3233685157191
82,0.0,0.8,0.0,-1.0,469.31336705645816
81,0.02,1.5,0.0,-1.0,386.2143357559631
61,0.01,0.63,0.02,-1.0,300.3335812224866
67,0.36,0.96,0.78,-1.0,232.61065717489657
89,0.08,1.0,0.88,-1.0,358.16410478098487
