subID,alpha,theta,gamma,w,nll
18,0.16,0.86,0.26,0.08,453.30174914437936
14,0.19,0.66,0.61,-0.11,349.2417088900987
4,0.21,0.46,0.72,0.21,326.2830026313625
0,0.78,1.24,0.67,-0.8,221.36694061058708
2,0.45,0.88,0.88,-0.12,301.58510665791914
5,0.03,1.32,0.0,1.0,369.38983479807575
12,0.09,1.08,0.84,-0.4,387.1416037327768
15,0.88,0.28,0.88,0.28,320.1580444401085
8,0.18,1.37,0.29,0.25,352.9888893286371
19,0.3,1.02,0.86,0.03,310.2011508790001
6,0.25,0.92,0.88,0.04,253.30949722411984
10,0.42,0.78,0.87,0.38,251.71281630035259
9,0.29,0.55,0.98,-0.17,274.48451486785484
20,0.17,0.64,1.0,0.14,329.6015554071309
13,0.36,0.6,0.88,-0.22,273.6185010013838
7,0.3,0.72,0.88,0.12,289.78597270680683
21,0.39,1.17,0.66,0.04,257.2548141179183
1,0.01,0.71,0.02,-0.12,358.5550944198262
11,0.02,1.5,0.0,0.16,344.74413000263695
16,0.01,1.48,0.0,0.88,476.89372926489045
17,0.34,0.67,0.81,-0.52,278.0550527577277
3,0.37,0.8,0.87,0.14,350.80583460662604
32,0.19,0.82,0.82,-0.64,310.69089171946734
36,0.02,1.5,0.0,1.0,383.08845564160686
22,0.04,0.53,0.1,0.1,324.5768976716999
28,0.16,1.3,0.19,0.05,250.89271302277803
23,0.32,1.14,0.41,-0.32,198.36701465039482
26,0.52,0.16,1.0,0.04,189.60442370274194
27,0.7,0.52,0.88,-0.16,194.37698199368435
33,0.64,0.64,0.79,-0.25,217.66958546136198
29,0.15,0.41,1.0,0.36,270.04341311176194
30,0.13,0.84,0.88,1.0,329.56360614044956
37,0.08,0.56,0.36,-1.0,428.819205238732
24,0.01,1.5,0.0,1.0,394.3786751709071
31,0.19,0.77,0.0,0.1,437.5190272413296
34,0.21,0.19,0.0,-0.07,415.3404528241251
35,0.52,0.73,0.82,0.23,216.17670803169443
25,0.08,0.48,0.8,-0.2,289.04944793041034
86,0.41,1.5,0.66,0.08,193.42128503454956
94,0.22,0.97,0.8,0.17,291.4703820448635
68,0.37,0.28,0.96,-0.02,219.73166968560116
48,0.01,1.36,0.0,0.32,156.67626566828375
96,0.26,0.76,0.0,-0.21,409.24951935300885
60,0.47,0.73,0.79,-0.21,210.3185621583773
58,0.18,1.48,0.95,-0.55,474.58800193586717
92,0.01,1.5,0.0,-0.69,326.62073078354746
97,0.09,0.97,0.08,-0.76,283.2010459640581
87,0.13,1.01,0.16,-0.11,253.14484347973797
44,0.33,0.73,0.84,-0.32,297.7642763656471
90,0.44,0.28,0.97,-0.12,179.3551229164035
54,0.19,0.73,0.88,-0.17,373.44721350604084
50,0.01,0.61,0.02,0.1,324.1296594804118
70,0.24,0.48,0.88,0.08,267.78866133576423
66,0.36,1.4,0.34,-0.12,346.31428805916624
42,0.39,0.37,0.88,0.29,199.5705775230056
88,0.2,1.5,0.0,1.0,364.0900391015259
40,0.22,0.68,1.0,0.08,351.7674044445824
74,0.25,0.71,0.98,-0.13,251.14862237259675
64,0.37,1.16,0.7,-0.56,185.4360818803383
45,0.08,1.5,0.0,-0.77,501.59903033017076
38,0.14,0.45,0.0,0.16,431.88726395780213
84,0.22,0.5,0.94,1.0,385.1178924265846
65,0.42,0.59,0.85,0.04,270.58962809957103
