subID,alpha,theta,gamma,w,nll
18,0.0,0.96,0.23,0.52,433.90665300033913
14,0.0,0.57,0.82,0.31,339.5153351538005
4,0.0,0.48,0.71,0.5,282.87141619976524
0,0.0,0.71,0.78,0.66,233.16376081271926
2,0.0,0.88,0.83,0.67,261.135952357405
5,0.0,1.29,0.86,-0.61,443.7279991537887
12,0.0,1.37,0.57,0.58,368.43159386041873
15,0.0,0.31,0.82,0.4,311.5665329577672
8,0.0,1.44,0.77,-0.72,345.9741446099679
19,0.0,1.07,0.81,0.53,285.19735727255585
6,0.0,1.1,0.01,1.0,230.54042261643627
10,0.0,0.88,0.77,0.78,233.17548739833896
9,0.0,0.46,0.99,-0.03,272.9427485848816
20,0.0,0.68,0.88,0.11,354.68209854444126
13,0.0,0.54,0.88,-0.15,275.64127285795047
7,0.0,0.8,0.76,1.0,253.13421445052597
21,0.0,1.25,0.63,0.75,217.38306950691145
1,0.0,0.45,0.06,1.0,359.8010745666235
11,0.0,1.48,0.97,0.34,400.6780630077844
16,0.0,0.84,0.08,0.42,527.5221560676987
17,0.0,0.59,0.72,-0.42,304.16812719598863
3,0.0,0.88,0.72,0.33,361.6410239539074
32,0.0,0.38,0.27,0.0,386.27523683930485
36,0.0,0.88,0.98,1.0,354.8294392671453
22,0.0,0.36,0.49,0.21,380.76202752175595
28,0.0,1.5,0.22,-0.32,262.694729325094
23,0.0,1.16,0.4,0.79,173.39111286861268
26,0.0,0.19,0.97,0.28,147.84096707023457
27,0.0,0.57,0.83,0.44,191.07673206376887
33,0.0,0.52,0.36,0.0,249.23165420518592
29,0.0,0.17,0.98,0.52,298.0511216069308
30,0.0,1.12,0.57,0.75,364.86063560431654
37,0.0,0.21,0.83,0.51,414.6876933739239
24,0.0,1.5,0.0,1.0,442.7875006002734
31,0.0,0.82,0.77,0.6,428.69865919673896
34,0.0,0.0,0.0,0.42,397.69240283306124
35,0.0,0.87,0.63,-1.0,184.49353473614002
25,0.0,0.32,0.88,-0.27,297.8735170480908
86,0.0,1.5,0.63,0.47,178.28733340594582
94,0.0,1.08,0.83,0.32,311.7672676941959
68,0.0,0.4,0.86,0.58,202.7772094490849
48,0.0,1.5,0.55,-0.26,247.85602224817725
96,0.0,0.75,0.0,0.15,401.68351398536646
60,0.0,0.94,0.7,1.0,161.16465280085364
58,0.0,1.5,0.71,0.39,504.66100906419683
92,0.0,1.5,0.97,0.73,377.7792942832282
97,0.0,1.14,0.55,0.52,312.2839787502086
87,0.0,1.2,0.0,0.87,237.6163289286696
44,0.0,0.56,0.82,0.19,299.18774156552166
90,0.0,0.48,0.88,-0.4,207.09293901452895
54,0.0,0.8,0.62,0.32,368.10215809141823
50,0.0,0.23,0.0,0.55,363.8545565797176
70,0.0,0.47,0.83,0.92,252.89065897995124
66,0.0,1.5,0.06,0.46,311.13790514433475
42,0.0,0.32,0.88,0.58,205.58668756204605
88,0.0,1.42,0.0,-0.38,320.4541745123633
40,0.0,0.56,0.99,0.42,349.7735610530422
74,0.0,0.84,0.81,0.74,241.60956622477477
64,0.0,1.5,0.61,0.64,129.99303877475955
45,0.0,1.5,0.0,0.64,507.41037282020557
38,0.0,0.13,0.0,0.58,444.0105893753404
84,0.0,0.16,1.0,1.0,342.1732972525529
65,0.0,0.5,0.87,0.33,280.3614355996426
72,0.0,0.72,0.99,0.04,318.87622027923373
69,0.0,0.44,0.84,0.86,283.41570859561216
80,0.0,0.8,0.88,0.17,348.35960167931495
82,0.0,0.45,1.0,0.48,461.11819583582076
81,0.0,1.5,0.0,1.0,414.95701148444664
61,0.0,0.66,0.0,0.65,314.3763762973756
67,0.0,1.04,0.76,0.12,220.76418627355946
89,0.0,0.6,0.99,0.78,382.45112477395116
76,0.0,1.28,0.72,0.39,425.84251890920353
59,0.0,1.34,0.42,-0.61,406.54364468263543
43,0.0,0.84,0.76,0.78,208.94225887006974
93,0.0,0.48,0.99,0.54,344.89583053132253
55,0.0,1.12,0.74,-0.4,178.67707784557234
85,0.0,0.79,0.3,0.45,409.80013642248764
52,0.0,0.32,0.94,-0.12,418.4158762498631
78,0.0,0.68,0.84,0.65,292.36616247463576
51,0.0,0.68,0.83,0.08,262.85698356009317
49,0.0,0.38,0.85,0.21,245.77585822510093
56,0.0,0.72,0.82,0.54,373.2812480216239
46,0.0,1.5,0.01,0.66,594.2732826709952
79,0.0,0.62,0.04,1.0,289.9892422426991
62,0.0,0.64,0.0,0.36,578.6260814527097
77,0.0,1.48,1.0,-0.94,477.14722633712006
63,0.0,1.37,0.66,0.43,259.4043026435206
73,0.0,0.28,1.0,0.24,300.12851395857615
57,0.0,1.43,0.62,-0.62,423.5508708265422
83,0.0,1.28,0.84,0.4,262.1089182600248
71,0.0,0.56,0.88,0.88,248.29498777206607
91,0.0,0.5,0.88,-0.27,384.43275788870386
39,0.0,1.33,0.67,0.56,227.65705881783288
75,0.0,0.68,0.88,0.45,342.82708863031866
95,0.0,0.98,0.81,0.76,334.67989760261725
53,0.0,0.74,0.57,0.69,204.60700299849645
47,0.0,0.28,0.97,0.26,295.4701779340234
41,0.0,0.51,0.88,0.36,249.7079730526413
108,0.0,1.39,0.63,-1.0,109.47619427755754
114,0.0,0.29,1.0,0.76,357.9824922009139
161,0.0,0.2,0.88,0.36,436.1503255149319
146,0.0,0.36,0.87,0.11,309.32067943571303
138,0.0,0.49,0.8,0.09,440.37383949020085
102,0.0,0.8,0.0,1.0,336.1395781037336
167,0.0,0.81,0.86,0.2,211.44598535746536
98,0.0,0.88,0.78,0.56,289.1053000763069
100,0.0,0.29,0.75,0.0,243.15452220483854
120,0.0,1.34,0.17,0.38,282.05359498009307
104,0.0,0.68,0.66,0.51,266.09543749904446
165,0.0,1.22,0.63,-0.6,293.13492889506057
168,0.0,1.4,0.61,0.6,281.7026690565746
163,0.0,0.28,0.98,0.16,184.43415726453125
124,0.0,0.85,1.0,0.6,393.38477686597304
103,0.0,0.6,0.83,0.78,282.40324861729414
154,0.0,0.52,0.88,0.32,214.09385076110192
115,0.0,0.68,0.88,0.71,313.14752152501705
116,0.0,0.48,0.83,0.1,147.4291558942004
132,0.0,0.82,0.66,0.66,196.50178621242034
112,0.0,1.5,0.37,-0.45,164.94038689990393
128,0.0,0.64,0.71,0.42,248.0222022925505
109,0.0,0.6,0.81,-0.92,188.84991774642558
159,0.0,0.52,0.03,0.5,274.09972944448646
106,0.0,0.79,0.64,0.51,333.59558589343067
113,0.0,1.12,0.67,0.03,287.0426985731892
166,0.0,1.5,0.52,0.23,249.03663164064625
126,0.0,0.94,0.81,0.41,339.32700811004844
152,0.0,0.68,0.84,-0.01,220.76340746461278
130,0.0,1.5,0.0,0.68,497.38601744383124
118,0.0,1.5,0.61,-0.48,298.85222701745147
105,0.0,1.04,0.86,0.63,363.49724847831413
131,0.0,0.68,0.77,-0.54,338.46433973832075
107,0.0,0.93,0.0,-0.58,287.9876895140443
139,0.0,1.12,0.46,1.0,368.06095726195036
117,0.0,1.47,0.3,0.5,240.03479590199007
153,0.0,0.16,1.0,0.83,314.55480635169005
140,0.0,0.78,0.23,0.37,435.4150843336653
134,0.0,0.72,0.84,0.75,239.6764429302421
148,0.0,0.11,0.65,0.05,232.47455726506917
150,0.0,0.48,0.99,0.4,228.35514824938147
157,0.0,0.88,0.88,0.42,382.3145957844344
133,0.0,0.28,0.99,1.0,240.6581021274369
121,0.0,0.4,0.84,0.08,293.15133528325447
135,0.0,0.44,1.0,1.0,244.94464277992878
127,0.0,0.58,0.82,0.12,218.64502171019782
110,0.0,0.75,0.0,1.0,417.6310268254744
147,0.0,1.5,0.57,0.11,256.2855361468206
155,0.0,0.68,0.86,0.35,242.670597320624
149,0.0,0.86,0.78,0.01,356.97152070742504
122,0.0,0.56,0.8,0.0,228.20424604878593
142,0.0,1.24,0.64,0.56,173.4459432689994
160,0.0,0.44,0.82,0.4,178.0692727028192
156,0.0,0.52,0.76,0.35,240.7561199309099
137,0.0,0.0,0.03,0.28,481.1277353101907
162,0.0,0.41,1.0,1.0,327.519526396463
125,0.0,0.57,0.79,0.4,260.93055887127326
164,0.0,0.01,1.0,1.0,278.94047794778885
101,0.0,0.26,0.81,-0.28,427.82891931299844
144,0.0,0.14,0.88,0.41,336.55224998804584
123,0.0,0.2,0.99,0.28,349.1011487548417
129,0.0,0.1,0.99,0.36,429.63947557965844
141,0.0,0.31,0.98,-0.08,326.9309562032041
111,0.0,0.72,0.88,0.72,202.4332315087246
158,0.0,0.28,0.88,-0.72,292.60932736227335
143,0.0,0.24,0.99,0.9,309.49206191355654
151,0.0,1.5,0.3,0.46,348.44696609348813
99,0.0,0.32,0.86,0.18,307.1693415609576
119,0.0,0.3,0.67,0.03,230.70322266321426
145,0.0,0.52,0.86,0.18,345.21785262131704
219,0.0,0.48,0.97,0.38,266.3749308676789
185,0.0,1.02,0.46,1.0,147.5729267025079
247,0.0,0.64,0.8,0.12,252.35450609098064
235,0.0,1.46,0.56,0.34,260.5708456959265
213,0.0,0.18,0.0,0.53,448.75344828855907
245,0.0,0.63,0.4,1.0,147.62474370630537
225,0.0,0.51,0.81,0.33,236.32789623199972
231,0.0,0.98,0.78,0.68,162.2695591951532
226,0.0,0.96,0.79,0.94,184.25402828070202
217,0.0,0.22,0.87,0.27,344.36201075733123
236,0.0,0.97,0.0,-0.44,470.2397245285666
175,0.0,0.99,0.82,-0.85,286.63280683217914
173,0.0,0.14,0.86,0.41,372.45946851349925
203,0.0,1.0,0.61,0.8,104.141463979588
