subID,alpha,theta,gamma,w,nll
0,0.0,0.18,0.68,0.64,357.4209853075684
1,0.0,0.12,0.52,0.93,318.76875729877094
2,0.0,0.16,1.0,0.68,297.4585918804638
3,0.0,0.36,1.0,0.32,317.9109302514921
4,0.0,0.06,1.0,0.49,331.9729202374946
5,0.0,0.58,0.98,-0.32,323.35379611333065
6,0.0,0.64,1.0,1.0,320.4422238820371
7,0.0,0.36,0.88,0.91,281.3976196670341
8,0.0,1.04,1.0,-0.68,268.84492474422854
9,0.0,0.07,0.96,0.13,339.694017250511
10,0.0,0.4,0.99,0.82,277.95234064863814
11,0.0,1.4,0.0,0.62,309.073674094436
12,0.0,0.88,1.0,0.56,316.6043095833733
13,0.0,0.1,0.66,-0.08,338.5180725117795
14,0.0,0.18,0.88,0.43,326.83658532371544
15,0.0,0.03,0.83,0.45,324.19317588048443
16,0.0,0.34,0.88,0.5,342.59427715392866
17,0.0,0.23,0.56,-0.32,350.3841319112187
18,0.0,0.79,0.85,0.5,353.5510141290756
19,0.0,0.59,0.86,0.54,411.2895120818321
20,0.0,0.19,0.98,-0.22,319.7100384702312
21,0.0,0.92,0.0,0.72,335.22743781046074
22,0.0,0.0,1.0,0.24,334.1970199080746
23,0.0,0.64,0.99,1.0,265.90735795478884
24,0.0,0.84,1.0,1.0,233.0965214805786
25,0.0,0.07,0.94,-0.32,313.92578457619805
26,0.0,0.0,0.83,0.27,298.9487805783888
27,0.0,0.27,0.72,0.33,346.2143794620225
28,0.0,0.88,1.0,0.04,334.4549741734006
29,0.0,0.0,0.77,0.5,315.7611027957123
30,0.0,0.9,0.85,0.56,332.35913812703586
31,0.0,0.4,1.0,0.5,310.558657563038
32,0.0,0.0,0.0,0.19,357.7025727284859
33,0.0,0.0,1.0,0.18,355.2487687951776
34,0.0,0.0,0.63,0.4,296.6596013529238
35,0.0,0.74,0.78,-0.88,323.1242264859893
36,0.0,0.57,0.88,1.0,300.3832077474159
37,0.0,0.0,0.75,0.48,315.84989453939437
38,0.0,0.0,0.67,0.62,278.0387318139127
39,0.0,0.76,1.0,0.49,353.7823935902688
40,0.0,0.16,1.0,0.51,339.1452602661285
41,0.0,0.04,0.93,0.43,343.56836098338863
42,0.0,0.07,0.92,0.55,300.8363178176294
43,0.0,0.24,0.99,0.78,268.2106566254961
44,0.0,0.27,0.73,0.26,337.13430487142733
45,0.0,1.04,0.99,0.7,344.3207924302574
46,0.0,1.5,0.59,0.6,326.9430307521902
47,0.0,0.0,0.86,0.38,344.74927800954845
48,0.0,1.16,1.0,0.03,320.29839316695893
49,0.0,0.04,0.89,0.28,354.55595567833643
50,0.0,0.0,1.0,0.58,290.30657846426686
51,0.0,0.16,0.0,0.49,413.7275134669667
52,0.0,0.03,0.88,-0.06,297.4650402209087
53,0.0,0.2,1.0,0.67,306.04260829890484
54,0.0,0.39,0.0,0.47,370.6556882142199
55,0.0,0.84,0.6,-0.59,298.07350279316773
56,0.0,0.16,1.0,0.48,345.73087989199485
57,0.0,1.04,1.0,-0.48,311.8428615398087
58,0.0,1.08,1.0,0.4,285.2694867403686
59,0.0,0.8,1.0,0.16,372.34312515637964
60,0.0,0.6,0.88,1.0,261.87799299359824
61,0.0,0.24,0.96,0.77,307.7756971286115
62,0.0,0.1,0.88,0.46,352.5473514360802
63,0.0,0.76,1.0,0.51,305.97668366843453
64,0.0,1.0,1.0,0.71,262.9479289687362
65,0.0,0.15,0.79,0.57,335.85609350389893
66,0.0,1.12,0.98,0.42,358.34662270289635
67,0.0,0.49,0.98,-0.28,302.99552919256917
68,0.0,0.04,0.87,0.47,303.26755134909035
69,0.0,0.02,0.88,0.88,318.63306018576617
70,0.0,0.14,0.82,0.97,268.3022549407841
71,0.0,0.12,1.0,0.8,286.44668740286136
72,0.0,0.4,0.8,-0.12,372.9166619515957
73,0.0,0.0,0.88,0.04,304.169070073657
74,0.0,0.24,0.99,0.75,295.6392442483664
75,0.0,0.37,0.88,0.38,306.4895502471891
76,0.0,1.31,0.64,0.29,324.82399036841593
77,0.0,0.97,0.86,-0.72,282.83804914131645
78,0.0,0.33,0.7,0.63,339.10843474652245
79,0.0,0.28,0.88,0.94,283.1113739769662
80,0.0,0.24,1.0,0.24,334.4100963597629
81,0.0,0.68,1.0,1.0,224.8885392171523
82,0.0,0.02,0.98,0.45,328.56536400027153
83,0.0,0.48,1.0,0.44,282.72064042385864
84,0.0,0.0,0.88,0.98,222.25874201005166
85,0.0,0.12,1.0,0.49,337.7923464485203
86,0.0,0.68,1.0,0.52,275.97845168394883
87,0.0,0.68,1.0,0.77,316.32407098483975
88,0.0,1.5,0.36,0.32,352.7269792512001
89,0.0,0.24,0.61,0.83,307.45799551715515
90,0.0,0.16,0.85,-0.3,331.5932984873376
91,0.0,0.17,0.72,-0.19,337.755295134414
92,0.0,0.93,1.0,0.74,304.51615145957396
93,0.0,0.0,0.97,0.65,312.8186486974216
94,0.0,0.76,0.0,0.38,332.6093723837361
95,0.0,0.29,1.0,0.75,272.27436995033474
96,0.0,0.44,0.8,0.32,342.71266370290545
97,0.0,0.82,0.0,0.6,377.6406573094201
98,0.0,0.14,0.98,0.6,316.3311402261023
99,0.0,0.03,0.76,0.19,319.0408238865493
100,0.0,0.0,0.88,0.02,322.9673014874637
101,0.0,0.0,0.0,-0.13,330.7844324166459
102,0.0,0.44,0.87,1.0,328.89543259396237
103,0.0,0.19,0.78,0.85,310.22268160384317
104,0.0,0.13,1.0,0.59,324.7273952542647
105,0.0,1.05,0.6,0.71,302.2009399380854
106,0.0,0.13,1.0,0.57,331.9288150696983
107,0.0,0.93,0.09,-0.47,352.262694956112
108,0.0,0.52,0.97,-0.98,232.10016776527414
109,0.0,0.18,0.47,-1.0,275.42303874136127
110,0.0,0.36,0.86,1.0,361.28309591808033
111,0.0,0.18,0.98,0.61,318.34242993608234
112,0.0,1.12,1.0,0.14,318.9551824647312
113,0.0,0.64,1.0,-0.48,306.90934982053653
114,0.0,0.0,1.0,0.65,296.34113640197313
115,0.0,0.49,0.77,0.69,298.3686388641718
116,0.0,0.13,0.84,0.21,327.8986654985178
117,0.0,0.84,1.0,0.56,307.1980648141354
118,0.0,1.0,1.0,-0.46,301.38099276548684
119,0.0,0.0,0.88,0.0,323.8989463197347
