subID,alpha,theta,gamma,w,nll
18,0.0,1.02,0.16,-1.0,471.05601580813004
14,0.0,0.56,0.83,-1.0,349.8372429467579
4,0.0,0.61,0.66,-1.0,324.44304146917415
0,0.0,0.61,0.78,-1.0,279.39683204830004
2,0.0,0.88,0.81,-1.0,297.7865848256001
5,0.0,1.08,0.81,-1.0,484.0099154258073
12,0.0,1.25,0.55,-1.0,396.4526028582592
15,0.0,0.36,0.82,-1.0,337.7017226844117
8,0.0,1.5,0.37,-1.0,377.16190398542557
19,0.0,1.07,0.81,-1.0,315.4481040126418
6,0.0,1.1,0.0,-1.0,314.31950435339405
10,0.0,0.98,0.76,-1.0,273.30224945223796
9,0.0,0.45,0.99,-1.0,272.9674740113305
20,0.0,0.68,0.88,-1.0,355.93250673394704
13,0.0,0.52,0.88,-1.0,277.04331675655004
7,0.0,0.88,0.77,-1.0,305.9606725037685
21,0.0,1.23,0.65,-1.0,252.88192955959573
1,0.0,0.28,0.88,-1.0,425.7763237156173
11,0.0,1.46,0.98,-1.0,406.4131928830614
16,0.0,0.71,0.1,-1.0,557.2570255419689
17,0.0,0.44,0.67,-1.0,320.8656598752537
3,0.0,0.88,0.72,-1.0,372.51617657001
32,0.0,0.38,0.27,-1.0,386.27523683930485
36,0.0,1.11,0.33,-1.0,477.2456107525969
22,0.0,0.38,0.49,-1.0,384.53253895570515
28,0.0,1.5,0.23,-1.0,266.96243864556266
23,0.0,0.99,0.48,-1.0,203.5813110993383
26,0.0,0.33,0.88,-1.0,180.1272479427563
27,0.0,0.53,0.83,-1.0,200.3501632098418
33,0.0,0.52,0.36,-1.0,249.23165420518583
29,0.0,0.29,0.88,-1.0,347.44631499333116
30,0.0,1.32,0.57,-1.0,431.6944432342226
37,0.0,0.19,0.83,-1.0,453.20877729087397
24,0.0,1.5,0.0,-1.0,592.3143367569144
31,0.0,0.82,0.77,-1.0,479.84484417889416
34,0.0,0.0,0.78,-1.0,421.62157702746487
35,0.0,0.84,0.79,-1.0,277.3679018304861
25,0.0,0.27,0.88,-1.0,305.77111180895116
86,0.0,1.5,0.62,-1.0,190.92761459315273
94,0.0,1.09,0.83,-1.0,316.93063120753663
68,0.0,0.36,0.88,-1.0,217.81638805968106
48,0.0,1.5,0.56,-1.0,253.2602053921311
96,0.0,0.76,0.0,-1.0,403.81034068542147
60,0.0,0.72,0.78,-1.0,213.9846357839902
58,0.0,1.32,0.75,-1.0,523.7623077015476
92,0.0,1.11,0.93,-1.0,451.70563284136887
97,0.0,0.99,0.57,-1.0,349.65103423995185
87,0.0,1.2,0.01,-1.0,258.3200242096294
44,0.0,0.51,0.85,-1.0,302.2547345709623
90,0.0,0.4,0.88,-1.0,211.3006544179134
54,0.0,0.74,0.62,-1.0,378.2565336360027
50,0.0,0.1,0.96,-1.0,366.85858226212315
70,0.0,0.48,0.87,-1.0,277.1172294917402
66,0.0,1.32,0.06,-1.0,343.2685154564857
42,0.0,0.4,0.88,-1.0,222.26809681617556
88,0.0,1.36,0.0,-1.0,332.5123736562146
40,0.0,0.6,0.99,-1.0,371.7979223126715
74,0.0,0.68,0.86,-1.0,274.6781970557968
64,0.0,1.36,0.63,-1.0,187.88452300861184
45,0.0,0.78,0.0,-1.0,576.5166541949966
38,0.0,0.42,0.0,-1.0,481.50688792648555
84,0.0,1.44,0.81,-1.0,440.35315559862147
65,0.0,0.52,0.87,-1.0,287.4643718224621
72,0.0,0.71,0.99,-1.0,319.2218176447452
69,0.0,0.29,0.88,-1.0,341.131085200572
80,0.0,0.8,0.88,-1.0,350.39583082140564
82,0.0,0.44,1.0,-1.0,475.6167832312972
81,0.0,1.5,0.0,-1.0,494.3740570286917
61,0.0,0.53,0.0,-1.0,346.7769834166605
67,0.0,1.04,0.76,-1.0,221.7357923289004
89,0.0,0.92,0.87,-1.0,448.5487895104453
76,0.0,1.5,0.62,-1.0,439.61018699791134
59,0.0,1.45,0.28,-1.0,444.4965330487345
43,0.0,0.77,0.78,-1.0,235.79524601543295
93,0.0,0.46,0.98,-1.0,370.1107185738691
55,0.0,0.92,0.83,-1.0,184.14603856333034
85,0.0,0.75,0.27,-1.0,440.20692391785224
52,0.0,0.32,0.97,-1.0,419.76855606599145
78,0.0,0.72,0.84,-1.0,312.77190580618566
51,0.0,0.68,0.83,-1.0,263.32118327977366
49,0.0,0.38,0.85,-1.0,250.0883615755747
56,0.0,0.68,0.7,-1.0,406.36870458805754
46,0.0,0.13,0.16,-1.0,662.6806389034832
79,0.0,0.72,0.18,-1.0,376.9905272026222
62,0.0,0.69,0.0,-1.0,593.7811498826272
77,0.0,1.5,1.0,-1.0,518.9401309965763
63,0.0,1.12,0.76,-1.0,278.36918779328437
73,0.0,0.29,1.0,-1.0,302.93428847080673
57,0.0,1.5,0.02,-1.0,482.9902455990853
83,0.0,1.28,0.86,-1.0,279.5978794114061
71,0.0,0.54,0.88,-1.0,301.32246982929775
91,0.0,0.56,0.88,-1.0,388.3885949405543
39,0.0,1.32,0.67,-1.0,255.52164305002586
75,0.0,0.72,0.88,-1.0,364.3142475460892
95,0.0,1.02,0.81,-1.0,395.27158240275895
53,0.0,0.52,0.88,-1.0,237.30029827335255
47,0.0,0.28,0.97,-1.0,301.85725444721044
41,0.0,0.54,0.88,-1.0,262.83604016402285
108,0.0,1.5,0.0,-1.0,295.4682781494208
114,0.0,0.76,0.84,-1.0,387.3010768318809
161,0.0,0.2,0.95,-1.0,443.88419723644375
146,0.0,0.36,0.87,-1.0,310.3014707769727
138,0.0,0.48,0.84,-1.0,440.9642935740754
102,0.0,0.61,0.0,-1.0,416.9854548531057
167,0.0,0.77,0.87,-1.0,213.5534866748363
98,0.0,0.79,0.81,-1.0,318.17769109921716
100,0.0,0.29,0.75,-1.0,243.15452220483854
120,0.0,1.12,0.76,-1.0,291.20882893758585
104,0.0,0.63,0.64,-1.0,283.65408045031216
165,0.0,1.02,0.58,-1.0,310.5496867358647
168,0.0,1.26,0.65,-1.0,326.74574516456516
163,0.0,0.24,0.99,-1.0,185.98950853047094
124,0.0,0.64,0.99,-1.0,431.7420516123026
103,0.0,0.48,0.83,-1.0,321.2174765880126
154,0.0,0.58,0.86,-1.0,222.38496988949163
115,0.0,0.76,0.85,-1.0,354.7997868607315
116,0.0,0.5,0.82,-1.0,148.05942233084545
132,0.0,0.68,0.88,-1.0,207.43081007947302
112,0.0,1.5,0.35,-1.0,197.0569684804443
128,0.0,0.67,0.71,-1.0,258.13567436760343
109,0.0,0.37,0.78,-1.0,318.0609432479838
159,0.0,0.52,0.04,-1.0,291.4668215030438
106,0.0,0.46,0.43,-1.0,360.0170617911011
113,0.0,1.12,0.67,-1.0,287.1016667183135
166,0.0,1.5,0.51,-1.0,253.84238620091014
126,0.0,0.86,0.84,-1.0,352.3066431053179
152,0.0,0.68,0.84,-1.0,220.77658311019678
130,0.0,1.5,0.01,-1.0,544.8285681476232
118,0.0,1.32,0.78,-1.0,332.24645595737
105,0.0,0.82,0.88,-1.0,419.78230620576085
131,0.0,0.71,0.76,-1.0,364.39032889268094
107,0.0,0.95,0.02,-1.0,313.9906955852772
139,0.0,0.73,0.12,-1.0,466.8437063249777
117,0.0,1.14,0.4,-1.0,267.93232417251863
153,0.0,0.56,0.82,-1.0,401.4608938704577
140,0.0,0.82,0.27,-1.0,448.42044320480693
134,0.0,0.72,0.84,-1.0,267.9080664183358
148,0.0,0.11,0.72,-1.0,232.59223434931195
150,0.0,1.4,0.6,-1.0,237.27247368649574
157,0.0,0.52,0.97,-1.0,384.09914139896296
133,0.0,0.44,0.86,-1.0,301.27122437258504
121,0.0,0.4,0.84,-1.0,293.65231754232593
135,0.0,0.45,1.0,-1.0,304.36037402670763
127,0.0,0.61,0.82,-1.0,219.83541402474972
110,0.0,0.28,0.0,-1.0,487.1743119193104
147,0.0,1.5,0.57,-1.0,257.3735975921904
155,0.0,0.6,0.88,-1.0,248.6914714689093
149,0.0,0.86,0.78,-1.0,356.97332966988984
122,0.0,0.56,0.8,-1.0,228.20424604878593
142,0.0,1.17,0.64,-1.0,184.94296293346824
160,0.0,0.45,0.82,-1.0,186.63518241984966
156,0.0,0.47,0.79,-1.0,253.30613892716937
137,0.0,0.0,0.08,-1.0,490.17587354768676
162,0.0,0.41,0.88,-1.0,413.71736011952976
125,0.0,0.61,0.78,-1.0,273.7901826954911
164,0.0,0.04,0.98,-1.0,338.9162751541802
101,0.0,0.29,0.8,-1.0,435.1872755268111
144,0.0,0.21,0.88,-1.0,354.42980786557797
123,0.0,0.2,0.98,-1.0,350.9427404464983
129,0.0,0.46,0.88,-1.0,435.2501769734143
141,0.0,0.31,0.98,-1.0,327.44010257214484
111,0.0,0.57,0.88,-1.0,241.44516682425655
158,0.0,0.06,0.97,-1.0,325.3714502433348
143,0.0,0.28,1.0,-1.0,367.0379902779215
151,0.0,1.5,0.31,-1.0,372.4899666377198
99,0.0,0.32,0.88,-1.0,309.61075333431097
119,0.0,0.31,0.67,-1.0,230.80700866207522
145,0.0,0.51,0.86,-1.0,348.65999199747733
219,0.0,0.56,0.88,-1.0,275.68466466634055
185,0.0,0.91,0.4,-1.0,180.98064509355575
247,0.0,0.64,0.8,-1.0,253.11936963754948
235,0.0,1.31,0.57,-1.0,270.4733472052194
213,0.0,0.23,0.0,-1.0,479.09469272271355
245,0.0,0.75,0.46,-1.0,179.7193527029576
225,0.0,0.52,0.81,-1.0,241.3984124408836
231,0.0,0.97,0.78,-1.0,167.3887067611554
226,0.0,0.84,0.79,-1.0,204.77982641950018
217,0.0,0.26,0.84,-1.0,351.1433034261116
236,0.0,0.88,0.0,-1.0,490.10703560280217
175,0.0,1.27,0.16,-1.0,309.4227971140989
173,0.0,0.23,0.84,-1.0,396.60778769151875
