subID,alpha,theta,gamma,w,nll
18,0.0,1.01,0.16,0.02,471.0249947284408
14,0.0,0.58,0.82,-0.14,346.15060914647086
4,0.0,0.53,0.66,0.28,321.11856663751814
0,0.0,0.71,0.78,-0.31,266.56360200942834
2,0.0,0.92,0.81,-0.11,296.7675635626815
5,0.0,1.0,0.84,1.0,445.1282642869445
12,0.0,1.37,0.59,-0.35,389.5269206908638
15,0.0,0.28,0.86,0.32,333.65863452106817
8,0.0,1.5,0.46,0.38,366.15426204384005
19,0.0,1.07,0.81,-0.06,315.22362577606697
6,0.0,1.1,0.0,-0.09,314.3220588274305
10,0.0,0.88,0.75,0.44,257.1586110760982
9,0.0,0.51,0.98,-0.12,269.61127321098377
20,0.0,0.68,0.88,0.11,353.6200387882589
13,0.0,0.57,0.88,-0.17,273.849637906583
7,0.0,0.8,0.76,0.19,302.27450884423257
21,0.0,1.24,0.65,-0.04,252.69984244942515
1,0.0,0.24,0.86,0.08,426.7650412140612
11,0.0,1.5,0.98,-0.08,406.32281208657844
16,0.0,0.72,0.1,-0.12,556.393303862387
17,0.0,0.85,0.71,-0.68,282.83535690466533
3,0.0,0.87,0.72,0.1,371.1338041342109
32,0.0,0.8,0.8,-0.58,321.1420697770059
36,0.0,1.5,0.67,1.0,467.82686430047727
22,0.0,0.29,0.71,0.16,381.3473240156652
28,0.0,1.5,0.27,0.36,261.7196324493315
23,0.0,1.16,0.44,-0.33,198.7300633629098
26,0.0,0.29,0.88,0.11,178.00501299131486
27,0.0,0.57,0.83,-0.11,198.81638453519784
33,0.0,0.59,0.38,-0.2,245.9321555696383
29,0.0,0.21,0.88,0.68,304.7104312988325
30,0.0,1.24,0.57,1.0,399.31544683161803
37,0.0,0.28,0.84,-1.0,434.8255941650399
24,0.0,1.5,0.0,1.0,577.8712777441997
31,0.0,0.84,0.77,-0.09,479.2533102550109
34,0.0,0.0,0.78,-1.0,421.62157702746487
35,0.0,0.64,0.81,0.28,263.05520380215745
25,0.0,0.34,0.88,-0.19,296.8342031362034
86,0.0,1.5,0.62,0.08,191.21755885463858
94,0.0,1.06,0.82,0.16,314.6199127764516
68,0.0,0.41,0.87,-0.07,217.3372283157677
48,0.0,1.5,0.3,0.68,249.86305683194956
96,0.0,0.8,0.0,-0.1,403.11165901059036
60,0.0,0.8,0.77,-0.24,209.8873169737064
58,0.0,1.5,0.85,-0.51,507.66155048121647
92,0.0,1.5,0.94,-0.92,396.79781301139394
97,0.0,1.28,0.49,-1.0,295.14969342290703
87,0.0,1.21,0.01,-0.03,258.2688927587924
44,0.0,0.64,0.8,-0.21,299.657077501072
90,0.0,0.52,0.87,-0.21,206.24424049430996
54,0.0,0.81,0.62,-0.23,373.12395647304163
50,0.0,0.1,0.96,-1.0,377.45972187390976
70,0.0,0.4,0.88,0.13,273.41829165007795
66,0.0,1.45,0.06,-0.32,339.85313664384125
42,0.0,0.3,0.88,0.32,211.48291766143785
88,0.0,1.42,0.0,-0.1,332.089539198382
40,0.0,0.56,0.99,0.24,365.33806440507294
74,0.0,0.81,0.83,-0.19,269.9894810576113
64,0.0,1.5,0.61,-0.72,158.1341675377864
45,0.0,1.5,0.0,-0.9,540.6707954381816
38,0.0,0.37,0.0,0.28,477.54221898898015
