subID,alpha,theta,gamma,w,nll
18,0.47,1.03,0.41,0.5,422.10453195400754
14,0.46,0.72,0.28,0.33,348.52782653881604
4,0.52,0.85,0.64,0.5,266.58401285230224
0,1.0,1.5,1.0,0.52,171.62500353983674
2,0.23,1.45,0.76,0.72,261.8889172449736
5,0.1,1.36,0.08,-0.56,367.5259771806877
12,1.0,1.27,0.0,0.58,395.142284807953
15,1.0,0.82,1.0,0.48,310.59459907575456
8,0.0,1.27,0.0,-0.44,368.5723261003045
19,0.36,1.23,0.44,0.55,323.01189788664647
6,0.23,1.25,0.64,1.0,205.77795586567214
10,0.08,0.88,0.0,0.8,269.9844490951621
9,0.44,1.5,1.0,-0.29,282.9516059026362
20,0.07,0.8,0.1,0.24,357.6935136936381
13,1.0,1.17,1.0,-0.24,295.3810017461117
7,0.52,1.22,0.76,1.0,268.79891170537627
21,0.2,1.16,0.0,0.6,228.00254388779874
1,0.0,0.72,0.0,1.0,324.4801398875555
11,0.04,1.5,0.0,0.08,345.13542277682967
16,0.04,1.5,0.0,0.41,448.4252462755858
17,0.13,0.62,0.0,-0.24,294.12649300850427
3,0.92,1.5,0.81,0.31,370.1374612760681
32,0.1,0.87,0.72,-0.17,326.67576086288784
36,0.07,1.5,0.0,1.0,325.2182317016458
22,0.07,0.56,0.1,0.12,328.4436707998115
28,0.28,1.5,0.29,-0.42,227.23893718762773
23,0.49,1.5,0.54,0.41,141.00356016139833
26,1.0,1.2,1.0,0.17,157.718182933877
27,0.48,0.98,0.82,0.36,211.0294243143536
33,0.72,1.47,0.74,-0.12,195.51090753391114
29,0.84,1.2,1.0,0.44,265.82807791662856
30,0.91,0.83,0.08,0.88,368.0203520708352
37,0.21,0.63,0.1,-0.62,410.32726923925486
24,0.08,1.5,0.0,1.0,341.5380773507297
31,0.92,1.5,0.6,0.53,387.02273894931784
34,0.19,0.0,0.0,0.42,390.7738846167337
35,0.95,1.5,0.62,-0.99,174.14604002166104
25,0.09,0.63,0.52,-0.17,294.0686916208117
86,0.19,1.03,0.0,0.69,202.72553914825605
94,0.35,1.37,0.57,0.3,304.12510976138145
68,1.0,0.88,0.77,0.6,208.58148534305977
48,0.03,1.44,0.1,-0.16,155.47689367111732
96,0.88,0.76,0.0,0.14,401.20753124890285
60,1.0,1.48,1.0,1.0,160.77039610795023
58,0.3,1.5,0.7,0.32,483.08699504754253
92,0.03,1.5,0.0,0.71,308.9431037230014
97,0.18,0.82,0.0,0.51,305.05824175387886
87,1.0,1.5,0.49,0.43,219.42489623541815
44,0.31,1.01,0.78,0.31,293.1530142791235
90,0.56,1.5,1.0,0.48,179.86205098146718
54,0.88,0.96,0.34,0.33,371.2041475037115
50,0.03,0.6,0.1,0.28,320.8994558618241
70,0.12,0.8,0.72,0.8,249.7435041316782
66,1.0,1.5,0.03,0.45,310.7151389990828
42,0.76,1.07,0.83,0.65,177.73351517510454
88,1.0,1.42,0.0,-0.38,320.4541745123633
40,0.14,1.15,0.84,0.5,344.7866947457949
74,0.18,1.5,0.88,0.5,233.7457912526614
64,0.38,1.5,0.72,0.44,149.82766329313782
45,0.08,1.5,0.0,0.67,449.74917761856847
38,0.6,0.19,0.0,0.57,441.568271386268
84,0.06,0.52,0.06,1.0,351.50075960102345
65,1.0,0.96,0.59,0.43,299.09531379570615
72,0.19,1.5,0.68,-0.38,303.5123049598836
69,0.16,0.84,0.87,0.84,273.3638026435302
80,0.23,1.37,0.8,0.44,337.2680877904782
82,0.0,0.8,0.0,0.44,456.38200589612836
81,0.01,1.5,0.0,1.0,343.15933511856815
61,0.06,0.73,0.02,0.61,268.3637412240347
67,1.0,1.5,0.72,0.14,238.11115531310122
89,0.11,1.3,0.64,0.67,368.79798585584365
76,0.05,1.48,0.0,0.08,408.4857058877035
59,0.25,1.49,0.04,-0.49,385.9294570130976
43,1.0,1.5,0.8,0.64,243.82465357123777
93,0.01,1.06,0.02,0.52,289.70385226556266
55,0.21,0.79,0.01,0.38,195.5464047791682
85,0.36,1.28,0.61,-0.62,352.7503890769835
52,0.19,0.87,0.66,-0.44,415.4685819730705
78,0.52,1.4,0.72,0.65,294.1027307893528
51,0.34,1.32,0.68,0.0,253.03159452758223
49,0.36,0.96,1.0,0.35,254.24572634280446
56,0.22,0.87,0.64,0.51,391.0114708988559
46,0.11,1.5,0.0,0.67,549.1804823526811
79,0.11,0.84,0.72,1.0,251.66525181611766
62,0.16,0.46,0.88,0.46,570.6323212117547
77,0.03,1.5,0.0,0.68,420.0462479183683
63,0.17,1.12,0.0,0.42,254.22458985688405
73,0.32,0.84,0.63,0.28,309.90632101130643
57,0.16,1.5,0.0,0.41,411.24572326283624
83,0.15,0.92,0.0,0.6,290.6380379822172
71,0.45,1.5,0.73,0.59,197.35116822346993
91,0.1,0.7,0.28,-0.23,380.3387755952694
39,0.25,0.88,0.06,0.62,235.05577736395765
75,0.08,0.7,0.32,0.55,342.7626958116954
95,0.59,1.31,0.78,0.74,283.4038182677134
53,0.49,1.04,0.58,0.69,189.05526080363103
47,1.0,0.77,0.63,0.38,309.2823960451416
41,1.0,1.5,0.89,0.25,236.52012634208955
108,0.33,1.32,0.1,-1.0,93.76139410189849
114,0.02,0.75,0.0,0.6,312.2308562808604
161,0.03,0.67,0.0,0.2,358.6053598548233
146,0.52,0.61,0.32,0.23,314.5712409653643
138,0.56,1.18,0.69,-0.17,372.99694112540396
102,0.18,0.98,0.0,1.0,328.9377837248659
167,0.88,1.5,0.8,0.18,223.00459777677187
98,0.19,1.5,0.88,0.5,259.915070959748
100,0.25,0.56,0.92,0.0,213.8553859054911
120,0.79,1.33,0.13,0.32,280.74754290520667
104,1.0,1.29,0.52,0.39,213.0058030399374
165,0.35,0.66,0.0,-0.04,282.0966832499168
168,0.64,1.5,0.63,0.58,289.4592562643703
163,0.76,1.5,0.88,-0.38,161.02811626474167
124,0.0,1.44,0.0,0.71,328.91084752783934
103,0.14,1.28,0.85,0.79,264.212511952705
154,0.91,1.5,0.78,0.39,206.86636349080214
115,0.14,1.28,1.0,0.7,336.1066657831528
116,0.88,1.5,1.0,0.04,102.64805446531673
132,1.0,1.5,0.85,0.44,216.29164777987947
112,1.0,1.32,0.0,-0.47,188.872751895731
128,0.4,0.73,0.32,0.47,248.2951587960921
109,0.71,1.43,0.93,-0.87,188.02347026189491
159,0.64,0.58,0.02,0.45,267.8870334676302
106,1.0,1.16,0.56,0.54,342.25606705280705
113,1.0,1.03,0.0,0.01,346.7029546902905
166,0.13,1.28,0.46,0.22,244.81403406515528
126,0.48,1.48,0.45,0.31,298.9452430669203
152,0.77,1.46,0.87,0.27,230.43682743180898
