subID,alpha,theta,gamma,w,nll
18,0.0,1.07,0.31,0.53,426.1703888474343
14,0.0,0.67,0.1,0.35,354.5559137636353
4,0.0,0.85,0.65,0.48,274.30086921284385
0,0.0,1.5,1.0,0.52,171.62500353983674
2,0.0,1.5,0.45,0.54,267.574635280591
5,0.0,1.48,0.25,-0.65,450.37084093667966
12,0.0,1.27,0.0,0.58,395.142284807953
15,0.0,0.82,1.0,0.48,310.59459907575456
8,0.0,1.4,0.09,-0.52,381.2480880778515
19,0.0,1.5,0.4,0.58,339.7367470179232
6,0.0,1.34,0.22,1.0,224.47975917179815
10,0.0,0.88,0.0,0.82,293.3315729284258
9,0.0,1.5,1.0,-0.38,292.7630346653953
20,0.0,1.11,0.65,0.34,398.6088443022855
13,0.0,1.17,1.0,-0.24,295.3810017461117
7,0.0,0.98,0.53,1.0,280.79180953673847
21,0.0,1.28,0.0,0.81,234.77581636701382
1,0.0,0.44,0.0,1.0,359.9944059834988
11,0.0,1.5,0.0,0.46,416.82844764344765
16,0.0,0.86,0.1,0.41,527.3756065024617
17,0.0,1.2,0.83,-0.44,302.819393771569
3,0.0,1.49,0.8,0.32,371.1602873947995
32,0.0,0.71,0.74,-0.1,362.57335667089
36,0.0,1.28,0.76,1.0,367.9451234863446
22,0.0,0.6,0.53,0.35,374.8823832485702
28,0.0,1.5,0.1,-0.44,259.7568967706219
23,0.0,1.5,0.31,0.48,153.8043748666501
26,0.0,1.2,1.0,0.17,157.718182933877
27,0.0,1.06,0.72,0.41,210.9667313220047
33,0.0,1.5,0.66,-0.13,197.0792348088391
29,0.0,1.23,1.0,0.42,266.46235782901783
30,0.0,0.82,0.04,0.87,368.6441269407132
37,0.0,0.35,0.0,0.52,419.9459952980121
24,0.0,1.5,0.0,1.0,442.7875006002734
31,0.0,1.5,0.51,0.52,385.4789535679388
34,0.0,0.0,0.0,0.42,397.69240283306124
35,0.0,1.5,0.6,-0.95,177.02614031308227
25,0.0,0.6,0.68,-0.35,331.13572381165966
86,0.0,1.25,0.0,0.55,241.90487981207377
94,0.0,1.5,0.39,0.39,311.85717015280846
68,0.0,0.88,0.77,0.6,208.58148534305977
48,0.0,1.5,0.0,-0.32,282.5227315071672
96,0.0,0.75,0.0,0.15,401.68351398536646
60,0.0,1.49,1.0,1.0,160.76916151321532
58,0.0,1.5,0.52,0.39,524.372716155244
92,0.0,1.5,0.37,0.62,407.10233973011196
97,0.0,1.5,0.5,0.51,318.607072381354
87,0.0,1.5,0.49,0.43,219.42489623541815
44,0.0,1.09,0.53,0.27,298.2324379246272
90,0.0,1.5,1.0,0.49,187.23358216973855
54,0.0,0.92,0.31,0.33,371.76430328631557
50,0.0,0.53,0.81,0.61,328.96125893705164
70,0.0,0.86,0.48,0.75,267.9355422454371
66,0.0,1.5,0.03,0.45,310.7151389990828
42,0.0,1.14,0.81,0.62,178.09008472821603
88,0.0,1.42,0.0,-0.38,320.4541745123633
40,0.0,0.96,0.43,0.52,381.7242738030646
74,0.0,1.5,0.46,0.41,238.1204096431072
64,0.0,1.5,0.51,0.37,168.83382285957512
45,0.0,1.5,0.0,0.64,507.41037282020557
38,0.0,0.13,0.0,0.58,444.0105893753404
84,0.0,0.96,0.77,1.0,376.3521803173607
65,0.0,0.98,0.59,0.43,299.06338557671825
72,0.0,1.5,0.32,-0.48,348.8996521104639
69,0.0,1.37,0.88,0.87,291.19404442845814
80,0.0,1.5,0.57,0.34,364.2324057111895
82,0.0,1.49,0.95,0.56,482.7042098021616
81,0.0,1.5,0.0,1.0,414.95701148444664
61,0.0,0.66,0.0,0.65,314.3763762973756
67,0.0,1.5,0.73,0.14,238.1090597680227
89,0.0,1.5,0.7,0.68,397.99758218453707
76,0.0,1.29,0.0,0.38,481.93343373007343
59,0.0,1.49,0.02,-0.51,426.41415686099896
43,0.0,1.5,0.8,0.64,243.82465357123777
93,0.0,1.5,0.37,0.53,343.7446675664569
55,0.0,1.5,0.58,0.13,203.18184040317547
85,0.0,1.33,0.57,-0.64,374.5748881440084
52,0.0,0.38,0.24,-0.58,436.3938128882065
78,0.0,1.5,1.0,0.7,293.80794291991816
51,0.0,1.32,0.47,-0.08,267.10450105442527
49,0.0,0.91,0.75,0.32,264.44453866115975
56,0.0,1.16,0.59,0.58,402.17567025484936
46,0.0,1.5,0.03,0.66,594.1670454982432
79,0.0,0.73,0.23,1.0,282.38379680166554
62,0.0,0.64,0.0,0.36,578.6260814527097
77,0.0,1.5,0.0,0.71,549.4586725157534
63,0.0,1.46,0.0,0.58,314.39692865039325
73,0.0,0.8,0.41,0.27,321.3599463751771
57,0.0,1.34,0.62,-0.66,457.9274394371553
83,0.0,1.5,0.1,0.64,306.43673545922036
71,0.0,1.28,0.65,0.66,213.89714355620148
91,0.0,0.62,0.0,-0.48,411.75832634631195
39,0.0,1.5,0.4,0.58,266.7040560991891
75,0.0,0.6,0.16,0.59,363.9029787078466
95,0.0,1.16,0.62,0.76,303.21399436758685
53,0.0,1.08,0.53,0.72,199.71138202730555
47,0.0,0.77,0.63,0.38,309.2823960451416
41,0.0,1.5,0.89,0.25,236.52012634208955
108,0.0,1.5,0.04,-1.0,126.9771747309756
114,0.0,0.52,0.0,0.75,372.2471810725664
161,0.0,0.62,0.82,0.39,420.045196715419
146,0.0,0.79,0.63,0.16,316.25721795262973
138,0.0,0.98,0.64,-0.06,393.39093753969655
102,0.0,0.8,0.0,1.0,336.1395781037336
167,0.0,1.5,0.76,0.19,222.84681980874942
98,0.0,1.5,0.6,0.57,282.6664078121936
100,0.0,0.57,0.56,0.0,223.49681135838924
120,0.0,1.36,0.09,0.34,281.80111993261704
104,0.0,1.29,0.52,0.39,213.0058030399374
165,0.0,1.5,0.57,-0.47,300.6733011931169
168,0.0,1.5,0.5,0.58,291.0502282380629
163,0.0,1.5,0.81,-0.32,173.22805827385832
124,0.0,1.5,0.75,0.43,456.3020683748955
103,0.0,1.5,1.0,0.71,262.93364738456216
