subID,alpha,theta,gamma,w,nll
0,0.0,1.5,0.26,0.46,343.42347598292065
1,0.0,0.06,0.88,1.0,282.5812558284093
2,0.0,1.5,0.53,0.44,421.5683439044466
3,0.0,1.5,0.37,0.36,397.11477937931903
4,0.0,1.12,0.49,0.58,340.16088485009726
5,0.0,1.5,0.0,-0.58,377.3440640641437
6,0.0,1.5,0.81,0.82,312.34234246943447
7,0.0,0.7,0.0,1.0,258.0532908653286
8,0.0,1.5,0.87,-0.76,390.6662460837835
9,0.0,1.5,0.48,0.32,445.10609257437164
10,0.0,0.92,0.51,0.7,324.2113077894368
11,0.0,1.5,0.21,0.81,378.47771681892533
12,0.0,1.5,0.27,0.63,355.53784991394775
13,0.0,1.5,0.43,-0.29,395.3141885658594
14,0.0,0.47,0.47,0.32,371.70593946846924
15,0.0,0.81,0.54,0.57,340.2143823739865
16,0.0,0.85,0.55,0.5,352.0930012213584
17,0.0,1.5,0.44,-0.36,354.2492003111759
18,0.0,1.5,0.52,0.56,342.2097174793946
19,0.0,1.5,0.27,0.54,325.96355192521287
20,0.0,1.41,0.63,0.65,279.21829567075076
21,0.0,1.5,0.64,1.0,331.2496843395521
22,0.0,0.38,0.12,0.45,365.3999422402334
23,0.0,1.5,0.37,0.46,324.0942148444303
24,0.0,1.5,0.12,0.97,289.8000640179217
25,0.0,0.44,0.44,-0.45,381.3522186333422
26,0.0,1.48,0.59,-0.2,372.1082335410269
27,0.0,1.5,0.41,0.46,308.4577230407554
28,0.0,1.5,0.0,-0.47,382.36607724925955
29,0.0,1.26,0.22,0.43,325.58649746105465
30,0.0,0.88,0.47,1.0,336.96382712690274
31,0.0,1.5,0.33,0.56,354.94979973679534
32,0.0,0.62,0.23,-0.25,355.56663025716915
33,0.0,1.5,0.06,-0.4,344.66825068071114
34,0.0,0.0,0.85,0.5,296.914558850302
35,0.0,1.5,0.0,-0.82,344.40817120060456
36,0.0,1.49,0.0,0.97,281.9907232193297
37,0.0,0.15,0.6,0.55,315.03691400972536
38,0.0,0.0,0.32,0.6,307.2721596266988
39,0.0,1.5,0.0,0.54,318.1639583450058
40,0.0,1.39,0.54,0.62,325.12685661697367
41,0.0,1.5,0.0,0.39,383.5612216364649
42,0.0,1.5,0.63,0.56,403.2137665945149
43,0.0,1.5,0.14,0.65,385.64692200478635
44,0.0,1.5,0.58,0.41,336.2384278139706
45,0.0,1.36,0.12,0.74,332.0597470781181
46,0.0,1.5,0.24,0.71,373.5399091840233
47,0.0,0.76,0.56,0.37,373.6981343883906
48,0.0,1.5,0.0,-0.32,330.38810875390806
49,0.0,1.06,0.79,0.49,381.24608371103034
50,0.0,0.35,0.95,0.61,337.4965331840517
51,0.0,1.2,0.0,-0.13,344.0587066096602
52,0.0,0.08,0.31,-0.36,309.5480359793163
53,0.0,1.5,0.42,0.66,326.350573064579
54,0.0,0.61,0.0,0.43,333.17649512584376
55,0.0,1.5,0.08,0.26,320.1422243002047
56,0.0,1.5,0.37,0.6,350.3402931736607
57,0.0,1.32,0.28,-0.69,344.8243314480852
58,0.0,1.5,0.28,0.52,323.98735159265584
59,0.0,1.5,0.11,-0.48,370.38958820298285
60,0.0,1.5,0.76,0.94,326.84193907672375
61,0.0,0.64,0.62,0.59,338.8232588017288
62,0.0,0.19,0.76,0.51,348.3866075620711
63,0.0,1.5,0.27,0.59,293.4465449852341
64,0.0,1.5,0.0,0.39,417.8507821151656
65,0.0,1.12,0.39,0.43,341.2614401464333
66,0.0,1.5,0.28,0.48,316.8479088419096
67,0.0,1.5,0.18,0.34,348.4586765248807
68,0.0,0.89,0.34,0.54,341.78115218133536
69,0.0,1.5,0.34,0.92,295.18417095228085
70,0.0,1.41,0.49,0.75,308.4193685793505
71,0.0,1.5,0.61,0.63,335.8462429234985
72,0.0,1.5,0.1,-0.65,303.2516047095292
73,0.0,0.87,0.54,0.31,372.09331074897005
74,0.0,1.5,0.42,0.43,359.5194942845308
75,0.0,0.41,0.64,0.73,334.8462115180978
76,0.0,1.5,0.13,0.51,342.8399935362951
77,0.0,1.5,0.0,0.66,321.7108880958366
78,0.0,1.5,0.0,0.85,355.0126237774465
79,0.0,0.6,0.63,1.0,298.3443088866923
80,0.0,1.5,0.1,0.53,346.5117739319809
81,0.0,1.5,0.0,0.83,309.1713544636781
82,0.0,1.5,0.18,0.67,332.70331551137366
83,0.0,1.5,0.23,0.75,360.2311190625296
84,0.0,1.5,0.51,1.0,272.8910059596529
85,0.0,1.49,0.03,-0.52,341.63044931604315
86,0.0,1.5,0.61,0.42,365.5498333381914
87,0.0,1.5,0.38,-0.32,415.3674736471525
88,0.0,1.5,0.22,-0.3,332.0511684366042
89,0.0,1.5,0.0,0.63,325.75534405392096
90,0.0,1.5,0.0,0.53,301.1445513946019
91,0.0,0.37,0.75,-0.64,346.5148652622689
92,0.0,1.5,0.89,0.65,378.73098449379086
93,0.0,1.5,0.17,0.49,351.14031277433827
94,0.0,1.5,0.76,0.61,418.05290030992717
95,0.0,1.36,0.37,0.61,297.50174738149724
96,0.0,0.49,0.57,0.37,360.91050221294455
97,0.0,1.5,0.45,0.53,370.7041850581004
98,0.0,1.5,0.09,0.66,306.8639588055169
99,0.0,0.57,0.56,-0.24,366.9807636965686
100,0.0,0.32,0.08,-0.12,380.9021529046721
101,0.0,0.26,0.71,-0.25,352.6663449216085
102,0.0,0.76,0.72,1.0,324.08019046229316
103,0.0,1.5,0.14,0.65,342.2291498687848
104,0.0,1.5,0.36,0.48,329.03718291751005
105,0.0,1.5,0.35,0.54,332.37768202366726
106,0.0,1.48,0.29,0.45,388.42361618051945
107,0.0,1.28,0.49,-0.58,334.2491126182231
108,0.0,1.5,0.91,-1.0,300.34781952253115
109,0.0,1.5,0.6,-0.45,389.23716584111196
110,0.0,1.21,0.26,1.0,310.80605329149364
111,0.0,1.5,0.0,0.59,360.78582964847806
112,0.0,1.5,0.69,-0.83,413.6126892021657
113,0.0,1.2,0.38,-0.17,311.37072934772834
114,0.0,0.29,0.91,0.94,350.64821064469504
115,0.0,1.5,0.65,0.6,348.25684819729867
116,0.0,1.5,0.41,-0.52,393.8626483519041
117,0.0,1.5,0.0,0.53,407.33700447942465
118,0.0,1.5,0.08,-0.68,344.38519241713584
119,0.0,0.25,0.36,0.3,368.77909491954676
120,0.0,1.2,0.79,-0.45,414.13537670180574
121,0.0,0.62,0.59,0.4,391.30072225405235
122,0.0,1.5,0.0,0.25,334.3028595119308
123,0.0,0.56,0.49,0.28,370.5799280980103
124,0.0,1.5,0.0,0.57,359.04780554543277
125,0.0,1.5,0.56,0.57,412.2259378459808
126,0.0,1.5,0.17,-0.26,357.52381663315543
127,0.0,1.5,0.0,0.51,330.2041589115054
128,0.0,0.52,0.67,0.77,317.9395319588932
129,0.0,1.25,0.0,0.29,328.3953990876946
130,0.0,1.5,0.67,0.9,352.91078640561847
131,0.0,0.19,0.0,0.16,376.3296836190828
132,0.0,1.5,0.0,0.52,387.17975715725896
133,0.0,1.5,0.23,0.86,261.3804817396063
134,0.0,1.5,0.0,0.45,410.8299006616756
135,0.0,1.5,0.24,0.85,305.7317168643544
