subID,alpha,theta,gamma,w,nll
0,0.24,1.22,1.0,0.48,246.84495886307346
1,0.01,0.73,0.0,0.95,265.5820743399403
2,0.14,1.32,0.87,0.69,247.81593067998608
3,0.33,0.78,0.67,0.6,258.66261205122095
4,0.0,0.79,0.0,0.43,315.21148239198476
5,0.08,1.5,0.0,-0.55,230.37426945882873
6,0.08,1.28,0.88,0.8,231.0189971361288
7,0.17,0.82,0.39,0.91,229.34370607165818
8,0.01,1.22,0.02,-0.45,271.53490701976966
9,0.17,1.03,1.0,-0.26,255.02058990592283
10,0.03,0.99,0.0,0.85,248.608918223345
11,0.0,1.43,0.0,0.19,246.61564589912615
12,0.26,1.5,0.84,0.57,245.20096614393304
13,0.68,0.95,1.0,0.35,239.95875444619838
14,0.16,0.75,0.56,0.39,274.2136193749146
15,0.48,0.34,1.0,0.52,266.8264527001626
16,0.04,1.48,0.1,0.43,261.06252834329786
17,0.26,0.53,0.08,-0.32,330.56096166497355
18,0.09,0.83,0.68,0.61,275.87666886865355
19,0.1,0.99,0.37,0.64,225.8450654121467
20,0.08,0.84,0.32,0.44,295.99060317012174
21,0.11,0.88,0.0,0.73,205.84058180754914
22,0.04,0.54,0.0,0.1,315.45051901891463
23,0.25,1.21,0.97,0.53,260.43564952879717
24,0.04,1.43,0.1,0.9,201.77509159007604
25,0.0,0.55,0.0,-0.04,315.63289819812724
26,1.0,0.83,1.0,0.39,243.48800743553983
27,0.48,0.77,0.96,0.47,235.53575153457462
28,0.3,1.32,0.31,-0.78,258.3089128700448
29,0.72,1.1,1.0,0.44,270.3821882414144
30,0.22,0.67,1.0,1.0,279.13655311436133
31,1.0,1.5,0.66,0.69,256.8191098348907
32,0.08,0.8,0.87,-0.09,303.2694826652613
33,0.16,1.04,0.86,0.36,263.3883781561278
34,0.28,0.0,0.0,0.38,270.71207295175213
35,0.99,0.84,1.0,-1.0,238.04939514894852
36,0.12,1.5,0.06,1.0,160.9368746018843
37,0.01,0.7,0.0,-0.56,313.97818433835425
38,0.32,0.15,0.0,0.6,289.936413753775
39,0.2,0.87,0.28,0.63,256.14813627920086
40,0.2,0.99,0.92,0.61,280.6182713868984
41,0.18,0.66,0.49,0.17,274.6950206893075
42,0.15,0.71,1.0,0.72,221.038304612786
43,1.0,1.08,1.0,0.48,257.04982900786905
44,0.22,1.08,0.89,0.16,244.29652702213295
45,0.08,1.48,0.44,0.73,231.74808301463884
46,0.08,1.5,0.32,0.8,244.45534055857055
47,0.19,0.78,0.79,0.55,299.3965135406223
48,0.0,1.46,0.0,-0.14,248.17533489114416
49,0.16,0.81,1.0,0.34,312.5566479075556
50,0.0,0.59,0.0,0.36,312.67627098277524
51,0.18,1.48,0.88,0.06,268.9790447748343
52,0.01,0.75,0.02,0.02,335.2928402794017
53,0.48,1.14,0.57,0.76,226.0039201179775
54,0.11,1.28,0.88,0.4,327.390106311233
55,0.0,0.85,0.0,0.49,264.7371965108736
56,0.13,0.69,0.52,0.53,288.6149842247852
57,0.12,1.5,0.0,0.44,244.4630228138413
58,0.72,1.5,0.5,0.32,271.3896820757535
59,0.14,1.4,0.0,-0.59,243.7125290677132
60,0.76,1.28,1.0,1.0,216.08233878207827
61,0.01,0.69,0.02,0.52,305.35073813273084
62,0.0,0.46,0.0,0.39,311.8082303409709
63,0.01,1.12,0.0,0.39,278.49329911020936
64,0.38,1.5,0.88,0.56,208.5142875573275
65,0.22,0.51,0.63,0.41,263.1927509902746
66,0.08,1.32,0.28,0.52,252.94543314714014
67,0.2,0.58,0.31,0.51,289.23474647487905
68,0.75,1.01,1.0,0.49,243.864008362421
69,0.04,0.71,0.1,0.8,268.1956616788345
70,0.16,0.68,0.88,1.0,251.71097684622828
71,0.3,1.2,1.0,1.0,188.66696335621398
72,0.09,1.4,0.72,-0.48,263.97603205364055
73,0.24,0.87,0.79,0.35,298.40000592211555
74,0.38,1.35,0.59,0.87,244.59059406729278
75,0.08,0.71,0.3,0.41,287.4103825367954
76,0.0,1.48,0.0,0.15,269.9243658886868
77,0.01,1.5,0.0,0.71,237.14670372371353
78,0.13,1.35,1.0,0.85,222.02183573983956
