subID,alpha,theta,gamma,w,nll
18,0.43,1.01,0.33,-1.0,456.64080353968967
14,0.37,0.75,0.35,-1.0,359.6072297813882
4,0.99,1.24,0.7,-1.0,315.91855283533295
0,1.0,1.5,1.0,-1.0,197.59768295359623
2,0.92,1.5,0.44,-1.0,293.56006120077404
5,0.09,1.48,0.0,-1.0,397.5601634208988
12,0.68,1.32,0.24,-1.0,420.7849605648596
15,0.13,0.57,0.55,-1.0,349.3128617208318
8,0.0,1.4,0.0,-1.0,394.20792934157583
19,0.26,0.98,0.2,-1.0,354.47016563851685
6,0.27,1.5,0.74,-1.0,241.58598496649182
10,0.02,0.98,0.0,-1.0,314.64694547224485
9,0.33,1.5,1.0,-1.0,294.56512807482926
20,0.07,0.84,0.1,-1.0,363.5794917107173
13,1.0,1.16,1.0,-1.0,299.4904596791602
7,0.44,1.5,0.86,-1.0,326.62073534583305
21,0.11,1.16,0.05,-1.0,242.3159134285127
1,0.0,0.68,0.0,-1.0,362.23179331923126
11,0.04,1.5,0.0,-1.0,345.4144150668684
16,0.31,1.12,0.85,-1.0,499.8752128406161
17,0.09,0.57,0.03,-1.0,298.8158625349268
3,0.88,1.5,0.83,-1.0,376.3670029108525
32,0.1,0.83,0.72,-1.0,328.50578280810925
36,0.06,1.5,0.0,-1.0,414.9162517965795
22,0.06,0.58,0.08,-1.0,329.5055268900303
28,0.26,1.5,0.25,-1.0,234.67892561365403
23,0.49,1.5,0.55,-1.0,147.32755704814997
26,1.0,1.29,1.0,-1.0,158.82136739242972
27,0.37,0.98,0.92,-1.0,215.0079668787684
33,0.72,1.47,0.74,-1.0,196.15912909073393
29,1.0,1.42,1.0,-1.0,292.1818583535971
30,1.0,0.98,0.0,-1.0,480.32889188048165
37,1.0,0.32,0.0,-1.0,467.4398046408521
24,0.08,1.5,0.0,-1.0,501.84536427943544
31,0.88,1.5,0.53,-1.0,427.9633639116279
34,0.11,0.04,0.0,-1.0,416.6472092425807
35,1.0,1.5,0.98,-1.0,297.3292613799655
25,0.08,0.59,0.52,-1.0,296.63709250651107
86,0.42,1.15,0.0,-1.0,257.111624180542
94,0.33,1.44,0.59,-1.0,308.32076093738624
68,0.93,0.88,0.99,-1.0,228.643148936413
48,0.03,1.49,0.1,-1.0,157.2360717376884
96,0.88,0.76,0.0,-1.0,403.1472863507269
60,1.0,1.39,1.0,-1.0,203.32896531696068
58,0.21,1.5,0.67,-1.0,489.0332433373884
92,0.03,1.41,0.0,-1.0,387.8016020305513
97,0.25,0.7,0.0,-1.0,341.6393229626758
87,0.88,1.5,0.52,-1.0,230.32875142060266
44,0.24,0.92,0.72,-1.0,300.2631976539035
90,0.56,1.5,1.0,-1.0,204.98547726364302
54,0.82,0.93,0.38,-1.0,385.7673456543717
50,0.04,0.63,0.1,-1.0,325.3769787762683
70,0.17,0.97,0.87,-1.0,267.85409887241053
66,1.0,1.45,0.07,-1.0,340.4590685416516
42,1.0,1.38,0.82,-1.0,199.30107106867456
88,1.0,1.36,0.0,-1.0,332.5123736562146
40,0.01,0.82,0.02,-1.0,382.38949375125094
74,1.0,1.5,0.47,-1.0,246.25864124998148
64,0.45,1.5,0.69,-1.0,162.37046376897337
45,0.32,0.9,0.0,-1.0,531.4898455337461
38,0.41,0.62,0.0,-1.0,463.5050268481433
84,0.88,1.5,0.78,-1.0,585.9523679000445
65,0.16,0.88,0.83,-1.0,309.64695135918697
72,0.16,1.32,0.48,-1.0,308.1775998940219
69,0.09,0.7,0.88,-1.0,320.64229546009165
80,0.24,1.11,0.36,-1.0,343.9150219698564
82,0.02,0.8,0.0,-1.0,469.145851719375
81,0.04,1.5,0.0,-1.0,391.069828781858
61,0.04,0.63,0.1,-1.0,299.02606243884657
67,1.0,1.5,0.73,-1.0,239.3116144742713
89,0.11,1.43,0.62,-1.0,417.47857118259833
76,0.05,1.49,0.0,-1.0,407.9253666531263
59,0.21,1.44,0.0,-1.0,404.4796166009793
43,1.0,1.5,0.82,-1.0,262.0693014928839
93,0.01,0.96,0.02,-1.0,309.3268899476426
55,0.22,0.79,0.0,-1.0,200.74180131509533
85,0.48,1.05,0.45,-1.0,407.5135095969413
52,0.21,0.79,0.66,-1.0,433.1516734082284
78,0.54,1.44,0.7,-1.0,316.5993754412826
51,0.32,1.32,0.7,-1.0,253.0270409093465
49,0.46,0.97,0.9,-1.0,271.37401180733343
56,0.19,0.87,0.68,-1.0,427.31985133093656
46,0.0,0.0,0.0,-1.0,650.479420318304
79,0.12,0.76,0.28,-1.0,323.9892651553182
62,0.26,0.9,0.0,-1.0,584.5034914149286
77,0.04,1.5,0.0,-1.0,420.4518312075939
63,0.14,1.01,0.0,-1.0,273.4530073344755
73,0.13,0.72,0.28,-1.0,315.30438550709425
57,0.35,1.5,0.29,-1.0,448.32144250101464
83,0.12,0.88,0.0,-1.0,334.73295483345544
71,0.41,1.5,0.74,-1.0,208.06750759205602
91,0.1,0.7,0.1,-1.0,383.76732687434253
39,0.32,0.87,0.07,-1.0,294.80731344396384
75,0.32,1.32,0.62,-1.0,386.08949713378183
95,0.42,1.1,0.56,-1.0,345.23285654124396
53,0.26,0.66,0.0,-1.0,234.27751194428225
47,0.35,0.71,0.83,-1.0,323.1830021500832
41,1.0,1.5,0.98,-1.0,241.09568950894536
108,0.44,1.5,0.0,-1.0,269.5463534650958
114,0.05,0.81,0.0,-1.0,329.7773573861912
161,0.04,0.69,0.0,-1.0,361.89083934955664
146,1.0,0.8,0.64,-1.0,317.8847928395545
138,0.56,1.16,0.68,-1.0,375.3660713160789
102,1.0,0.61,0.0,-1.0,416.9854548531057
167,0.88,1.5,0.8,-1.0,224.77137819597527
98,0.13,1.08,0.61,-1.0,282.6861194270339
100,0.25,0.56,0.92,-1.0,213.8553859054911
120,0.66,1.24,0.19,-1.0,287.760535147227
104,1.0,1.24,0.49,-1.0,220.62169229991562
165,0.33,0.66,0.0,-1.0,282.1763326386881
168,0.24,0.65,0.06,-1.0,315.11856863501384
163,0.62,1.5,1.0,-1.0,169.26133980297965
124,0.0,1.25,0.0,-1.0,375.84106850525495
103,1.0,1.31,1.0,-1.0,304.49384539064806
154,1.0,1.5,0.73,-1.0,218.1454538161965
115,0.52,1.32,0.66,-1.0,380.22040871316915
116,0.88,1.5,1.0,-1.0,102.72171089206068
132,0.97,1.5,0.86,-1.0,221.8255106542269
112,1.0,1.24,0.0,-1.0,218.76100146267183
128,0.32,0.75,0.29,-1.0,259.5052609189688
109,0.34,0.44,0.0,-1.0,292.2277338944492
159,0.63,0.57,0.01,-1.0,281.687885383536
106,1.0,0.4,0.17,-1.0,370.1954426826216
113,1.0,1.03,0.0,-1.0,346.7075114300551
166,0.12,1.28,0.48,-1.0,249.35774825036754
126,0.48,1.44,0.44,-1.0,305.43968679877514
152,0.88,1.5,0.76,-1.0,237.19351315763066
130,0.28,1.5,0.06,-1.0,507.195904140431
118,0.03,1.0,0.0,-1.0,296.873610199874
105,0.15,1.16,0.57,-1.0,358.9295901268847
131,0.42,0.55,0.03,-1.0,371.71900414548816
107,1.0,0.96,0.03,-1.0,313.6678869112351
139,0.8,0.94,0.62,-1.0,411.6617158627726
117,0.68,1.5,1.0,-1.0,245.02644542003674
153,0.13,0.62,0.1,-1.0,396.34912371702944
140,0.44,0.81,0.19,-1.0,438.4682808898786
134,0.27,1.5,1.0,-1.0,170.98094683985613
148,0.3,0.19,0.52,-1.0,227.24979763099958
150,0.31,1.41,0.13,-1.0,187.12053140797332
