subID,alpha,theta,gamma,w,nll
18,0.43,0.97,0.32,0.07,456.12672528074506
14,0.4,0.76,0.32,-0.08,359.2511243042924
4,0.6,0.96,0.76,1.0,293.4077707408978
0,1.0,1.5,1.0,-0.24,195.9588741974802
2,0.92,1.5,0.44,-0.08,293.2216431888754
5,0.08,1.32,0.08,1.0,363.678257123151
12,0.88,1.34,0.09,-0.25,419.1679530454109
15,0.1,0.5,0.74,0.37,338.74745193796673
8,0.0,1.28,0.0,0.6,381.9840969193581
19,0.27,0.99,0.24,0.06,354.15824867341854
6,0.43,1.5,0.72,1.0,219.46801586178987
10,0.09,0.86,0.0,0.48,298.95500372725786
9,0.45,1.5,1.0,-0.68,284.32454423033425
20,0.08,0.8,0.32,0.24,351.3278448250932
13,1.0,1.43,1.0,-0.74,287.84398820514775
7,0.53,1.45,0.82,1.0,291.4745619699262
21,0.1,1.21,0.05,-0.08,241.26881162403856
1,0.0,0.72,0.0,-0.1,359.85335592506823
11,0.04,1.5,0.0,0.08,344.95000679882975
16,0.03,1.48,0.0,0.97,477.3771760051326
17,1.0,1.31,0.74,-1.0,289.87719209805863
3,0.96,1.28,0.82,1.0,360.13968207984533
32,0.13,1.06,0.68,-0.72,299.3690849712484
36,0.06,1.5,0.0,1.0,386.6924765170994
22,0.06,0.54,0.1,0.12,327.78741711833413
28,0.3,1.5,0.35,0.64,228.13682930352866
23,0.49,1.5,0.59,0.14,146.7740101178828
26,1.0,0.88,1.0,0.99,151.62939310807235
27,0.28,0.89,1.0,0.28,213.79648297419652
33,0.72,1.47,0.74,0.0,196.15912909073393
29,0.16,0.81,0.72,0.88,269.2372781896248
30,0.02,0.83,0.0,1.0,399.35616788353417
37,0.18,0.65,0.07,-1.0,427.46882717425757
24,0.02,1.5,0.0,1.0,386.55030659769056
31,0.84,1.5,0.53,0.28,427.6243538934348
34,0.12,0.05,0.0,-1.0,416.46828013125116
35,0.92,1.5,0.72,1.0,277.41736728202216
25,0.1,0.6,0.32,-0.18,294.3346395644646
