subID,alpha,theta,gamma,w,nll
18,0.08,0.88,0.34,0.53,424.0763302238067
14,0.15,0.67,0.1,0.36,345.3075410400261
4,0.21,0.85,0.67,0.46,260.78399152987384
0,0.31,1.5,1.0,0.27,172.21741695480725
2,0.1,1.32,0.52,0.58,256.32450044355653
5,0.04,1.32,0.02,-0.52,379.0849285370339
12,0.07,1.08,0.01,0.6,409.88255642877385
15,0.64,0.74,1.0,0.49,274.718822999722
8,0.04,1.28,0.07,-0.52,346.8128319262984
19,0.08,0.92,0.12,0.54,320.58735213828936
6,0.09,1.28,0.44,1.0,196.72935563649827
10,0.05,0.87,0.0,0.79,258.64342474634856
9,0.21,1.41,1.0,-0.41,296.4479128215545
20,0.03,0.8,0.1,0.2,353.2123649395496
13,0.37,1.08,0.95,-0.14,275.87065686441554
7,0.12,1.02,0.52,1.0,263.6475777955044
21,0.08,1.03,0.0,0.88,237.129550329773
1,0.01,0.71,0.0,1.0,324.16060148383355
11,0.02,1.5,0.0,0.28,341.441561116833
16,0.01,1.5,0.0,0.41,451.6183909579851
17,0.42,0.84,0.92,-0.46,296.4112840071727
3,0.13,0.8,0.32,0.36,367.96201511819106
32,0.02,0.64,0.1,-0.08,340.3412511776702
36,0.02,1.48,0.0,1.0,321.96492492559094
22,0.03,0.55,0.07,0.12,326.2409315349978
28,0.08,1.5,0.22,-0.48,243.05534584886385
23,0.11,1.5,0.52,0.4,135.45721737971914
26,0.4,0.92,1.0,0.08,153.6352451945131
27,0.58,1.16,1.0,0.39,195.38265617409644
33,0.14,1.33,0.7,-0.12,206.9796749752726
29,0.18,1.12,1.0,0.41,260.9291970242539
30,0.08,0.75,0.08,0.88,365.91045635652847
37,0.26,0.37,0.0,0.52,417.88241641653076
24,0.02,1.5,0.0,1.0,347.05310611541984
31,0.31,1.5,0.75,0.57,407.49082956833433
34,0.09,0.0,0.0,0.43,389.2000790576104
35,0.16,1.5,0.92,-0.92,174.96864362963026
25,0.01,0.54,0.02,-0.15,300.0482533154526
86,0.05,1.01,0.0,0.68,198.910814524376
94,0.14,1.48,0.52,0.41,301.3375548520675
68,0.26,0.83,0.88,0.57,204.5538134019801
48,0.01,1.4,0.02,-0.28,167.6584348477303
96,0.17,0.76,0.0,0.14,400.28912788212756
60,0.22,1.16,0.68,1.0,162.50856755369963
58,0.08,1.4,0.52,0.32,482.2387181919992
92,0.01,1.5,0.0,0.71,309.6417555043584
97,0.22,1.5,0.68,-0.5,307.79854329646116
87,0.11,0.99,0.1,0.88,255.78422973436398
44,0.25,1.28,0.95,0.36,295.0668010849037
90,0.22,1.5,1.0,0.49,189.94203315737713
54,0.14,0.77,0.31,0.3,377.97378538395753
50,0.29,0.75,0.8,0.64,317.4425418486082
70,0.08,0.76,0.48,0.79,239.8802026377023
66,0.17,1.5,0.1,0.43,301.7359567182982
42,0.26,0.97,0.88,0.57,181.0157258613451
88,0.2,1.47,0.29,-0.75,322.27823116052565
40,0.0,0.8,0.0,0.49,351.4493606620855
74,0.27,1.5,1.0,0.45,225.17580052703738
64,0.12,1.5,0.88,0.31,172.80955607904855
45,0.02,1.5,0.0,0.68,454.47308995106596
38,0.13,0.44,0.0,0.5,413.7894884897063
84,0.03,0.51,0.02,1.0,351.46266853990136
65,0.22,1.0,0.81,0.41,294.8214583104831
72,0.1,1.49,0.38,-0.48,316.65985941127417
69,0.28,1.12,1.0,0.81,286.0700521077462
80,0.08,1.36,0.68,0.4,339.5428659764637
82,0.0,0.8,0.0,0.44,456.38200589612836
81,0.01,1.5,0.0,0.98,340.6113546296757
61,0.02,0.73,0.0,0.64,269.2816799330408
67,0.1,1.5,0.98,-0.08,239.54596355161348
89,0.03,0.95,0.1,0.68,369.35577686719324
76,0.01,1.48,0.0,0.08,409.46236172305674
59,0.08,1.37,0.12,-0.57,391.03109023850254
43,0.4,1.45,1.0,0.69,251.3510743548626
93,0.0,1.07,0.0,0.52,289.91040309026005
55,0.19,1.44,0.66,0.18,213.50082035695317
85,0.08,1.21,0.61,-0.61,354.431002685335
