subID,alpha,theta,gamma,w,nll
0,0.18,0.91,1.0,0.38,236.7375109783178
1,0.0,0.73,0.0,0.87,281.1209202224053
2,0.08,1.48,0.88,0.68,223.28041753925908
3,0.08,1.08,0.51,0.72,280.4802310830184
4,0.08,0.78,0.72,0.42,285.6593561583344
5,0.01,1.48,0.01,-0.36,302.1080999059402
6,0.02,1.09,0.1,1.0,253.69639057324517
7,0.02,0.83,0.1,1.0,207.39821550319328
8,0.02,1.32,0.1,-0.32,241.436388521651
9,0.13,1.32,1.0,0.23,251.65699141981122
10,0.01,0.87,0.0,0.91,266.13862803414816
11,0.02,1.5,0.06,0.48,236.29259347581808
12,0.12,1.5,0.86,0.65,230.84535887083948
13,0.12,0.63,0.84,0.54,276.3248623219288
14,0.01,0.84,0.0,0.36,326.7043840749825
15,0.33,0.37,1.0,0.6,241.75176001341597
16,0.01,1.5,0.0,0.48,270.18975646901146
17,0.25,0.37,0.8,0.3,284.4223542720675
18,0.02,0.84,0.1,0.58,278.93039610854976
19,0.03,0.87,0.0,0.66,247.95682912544345
20,0.01,0.81,0.02,0.29,304.6067418139621
21,0.03,1.01,0.1,0.81,243.20140723987384
22,0.03,0.52,0.0,0.2,321.8455604224274
23,0.08,1.5,0.52,0.68,225.96385888898885
24,0.01,1.5,0.0,0.95,207.26664247788844
25,0.0,0.59,0.0,-0.17,340.09667397568035
26,0.13,0.38,0.96,0.13,252.08127217491295
27,0.22,0.42,0.48,0.73,269.5134337834854
28,0.08,1.36,0.1,0.64,251.3462931280206
29,0.1,1.08,0.88,0.44,320.77866284949505
30,0.02,0.76,0.1,0.78,267.8962112594329
31,0.16,1.31,1.0,0.56,265.1159120823615
32,0.0,0.67,0.0,0.0,311.8354788300199
33,0.1,1.08,0.68,0.25,244.7180306106286
34,0.01,0.08,0.02,0.44,274.4384880174043
35,0.09,1.35,0.72,-0.76,262.4816585738795
36,0.02,1.32,0.1,1.0,191.09844760458964
37,0.08,0.31,0.0,0.57,334.56382190163475
38,0.08,0.58,0.48,0.51,319.1659607553252
39,0.01,0.78,0.02,0.8,253.2719622772928
40,0.0,0.78,0.0,0.35,319.6038663574569
41,0.17,1.21,1.0,0.16,249.6332816126459
42,0.08,0.63,0.88,1.0,243.85051085443916
43,0.2,0.74,0.75,0.79,241.9372841247349
44,0.18,0.94,1.0,0.51,271.19616161517155
45,0.02,1.5,0.1,0.69,281.3481190998214
46,0.02,1.5,0.1,0.6,278.7904364674771
47,0.08,0.39,0.76,0.42,283.71562343209445
48,0.0,1.41,0.0,-0.25,268.1263911307293
49,0.25,0.6,1.0,-0.2,274.37570935390556
50,0.17,0.43,0.88,0.78,241.4055120296622
51,0.0,0.97,0.0,-0.21,310.2321200001875
52,0.16,0.7,0.72,-0.44,331.85428735837286
53,0.08,0.83,0.72,0.66,262.89403960143085
54,0.08,0.92,1.0,0.48,316.5244541958509
55,0.1,1.35,1.0,0.24,230.25765632535519
56,0.08,0.71,0.32,0.49,275.76913006234395
57,0.0,1.27,0.0,0.41,291.0593018836022
58,0.08,1.48,0.48,0.51,223.6422878225223
59,0.1,1.22,0.18,-0.46,283.91710947833496
60,0.08,1.06,0.88,1.0,219.09763623515855
61,0.0,0.7,0.0,0.53,286.0883521585893
62,0.1,0.64,0.18,0.34,298.4016270162847
63,0.02,1.2,0.0,0.64,248.59386647331195
64,0.08,1.28,0.72,0.48,254.38256313916997
65,0.1,0.82,0.98,0.08,247.96695335534977
66,0.03,1.46,0.1,0.66,253.84606996491863
67,0.09,1.07,0.72,0.22,273.03591220869
68,0.08,0.66,1.0,0.68,238.92454133883237
69,0.15,0.96,1.0,0.92,239.5602887009033
70,0.02,0.69,0.1,0.95,250.41420155404782
71,0.08,0.64,0.28,0.7,276.04428665516576
72,0.09,1.5,0.63,-0.61,264.83213539036564
73,0.0,0.73,0.0,-0.08,321.9089876035782
74,0.21,1.16,1.0,0.48,219.65504874599895
75,0.01,0.72,0.02,0.62,283.01327105387514
76,0.0,1.49,0.0,0.11,258.24971738973295
77,0.01,1.5,0.0,0.76,205.97783886353804
78,0.16,1.24,0.88,0.84,226.72161095353567
79,0.02,0.64,0.1,1.0,273.54826548358744
80,0.08,1.21,0.76,0.36,288.8923307984431
81,0.02,1.5,0.1,0.99,205.96684605917488
82,0.0,0.84,0.0,0.5,300.9297242944631
83,0.03,1.13,0.0,0.69,233.64435275992213
84,0.0,0.52,0.0,1.0,257.81185835828006
85,0.13,1.48,0.62,-0.72,293.53586605870845
86,0.0,1.0,0.0,0.78,255.4838726944888
87,0.05,1.14,0.06,1.0,212.651371767182
88,0.19,1.49,0.72,-0.66,298.46394697799167
89,0.02,0.99,0.0,0.81,235.28429675901907
90,0.18,1.32,1.0,0.47,224.33919500880035
91,0.01,0.68,0.0,0.12,314.8255274207356
92,0.0,1.5,0.0,0.73,228.21498056756775
93,0.0,1.08,0.0,0.6,237.56037288749053
94,0.13,1.44,0.64,0.52,212.3197901161045
95,0.08,0.91,0.72,0.76,260.92695047515525
96,0.0,0.79,0.0,0.56,332.2736757978463
97,0.01,0.84,0.02,-0.04,285.6431864268579
98,0.08,1.5,0.68,0.79,231.80071069773533
99,0.08,0.77,0.72,-0.08,287.48964849155607
100,0.0,0.49,0.0,-0.21,308.3110869890333
101,0.0,0.49,0.0,-0.3,312.7480457801441
102,0.08,1.12,0.48,1.0,238.78287796089546
103,0.27,1.1,0.64,0.78,256.6581944753355
104,0.1,1.44,0.88,0.45,216.15336592326113
105,0.02,1.32,0.0,0.69,261.4927703343044
106,0.48,1.04,1.0,-0.55,344.5198077180513
107,0.19,1.24,1.0,-0.63,403.6796798649337
108,0.08,1.5,0.24,-0.99,183.91028190777226
109,0.0,0.66,0.0,-0.86,279.4392610144829
110,0.08,0.6,0.84,1.0,263.55353527961347
111,0.08,1.28,1.0,0.76,233.985309272712
112,0.18,1.5,1.0,0.28,312.590864582987
113,0.02,1.34,0.1,0.25,276.4027749575814
114,0.0,0.76,0.0,0.66,275.26939726726243
115,0.11,0.9,1.0,0.81,240.0164043343991
116,0.28,1.2,1.0,0.22,227.94287120560108
117,0.08,1.32,0.32,0.59,211.37431088489132
118,0.01,1.08,0.02,-0.24,285.2383238923737
119,0.17,0.12,1.0,-0.1,279.54618459535476
120,0.02,0.88,0.1,0.44,243.77268923682516
121,0.18,0.56,0.68,0.55,307.6532664038388
122,0.38,0.91,0.74,0.06,296.6978619152759
123,0.01,0.73,0.0,0.33,319.22480967160914
124,0.0,1.41,0.0,0.74,244.08541425732463
125,0.12,1.16,1.0,0.66,224.76656857695122
126,0.01,0.96,0.02,0.51,269.33746214623267
127,0.22,0.58,0.79,0.38,251.27512800568468
128,0.08,0.65,0.04,0.49,232.7797349221378
129,0.01,0.72,0.0,-0.08,318.8730431855422
130,0.01,1.5,0.0,0.62,237.60711532904577
131,0.2,1.08,0.95,-0.36,319.9369292133863
132,0.25,0.48,1.0,0.72,218.78378774973214
133,0.01,0.64,0.02,1.0,249.25544618669412
134,0.08,1.32,0.88,0.88,220.7359851994338
135,0.02,0.8,0.1,1.0,243.434775534625
137,0.02,0.16,0.02,0.21,471.1421727281063
138,0.01,0.84,0.02,0.21,306.1657604607776
139,0.1,1.28,0.88,0.94,228.6991144236784
140,0.0,0.72,0.0,0.3,304.2965384798049
141,0.1,1.03,0.88,0.31,259.18446171546253
142,0.18,0.94,0.82,0.8,290.59136544409245
143,0.39,1.15,1.0,0.98,231.11974630344685
144,0.01,0.21,0.0,0.41,271.55103339571644
145,0.0,0.84,0.0,-0.22,324.7280261567224
146,0.08,0.48,0.72,0.2,307.66772755432635
147,0.01,1.28,0.0,0.31,284.57186976554124
148,0.04,0.21,0.04,-0.12,267.9128833607176
149,0.0,0.85,0.0,0.09,311.13158073604586
150,0.02,1.28,0.1,0.27,242.5683970608369
151,0.11,1.5,0.26,0.62,245.95549552817508
152,0.08,0.72,0.24,0.0,267.48264353076553
153,0.0,0.61,0.0,0.87,278.59887307801955
154,0.13,1.05,0.88,0.46,221.5249817332421
155,0.02,0.96,0.1,0.66,256.5869723503485
156,0.08,1.08,0.87,0.25,261.09997832736883
157,0.0,0.99,0.0,0.32,290.6217572674755
158,0.09,0.52,0.71,-0.33,319.59887121000133
159,0.17,0.71,0.97,0.44,242.5868080013601
160,0.08,1.09,0.98,0.61,260.08023759400083
161,0.02,0.63,0.06,0.16,317.0679438973042
162,0.03,0.64,0.0,0.79,286.68075343915024
163,0.11,1.5,0.85,-0.29,247.63583631961797
164,0.0,0.3,0.0,1.0,272.08338058187906
165,0.1,1.08,0.97,0.52,301.33822029152736
166,0.01,1.18,0.02,-0.16,259.54231201965615
167,0.08,1.5,0.72,0.24,227.40525175714234
168,0.01,0.8,0.02,0.52,276.2341089830847
169,0.0,0.78,0.0,-0.12,325.76669070951755
170,0.0,0.38,0.0,0.81,282.87687145763937
171,0.05,1.36,0.0,-0.32,258.7693840820543
172,0.17,1.16,1.0,0.48,240.77846542974038
173,0.08,0.32,0.88,0.45,285.99921929897346
174,0.15,1.49,0.8,-0.39,301.18157510114645
175,0.02,1.08,0.1,0.72,249.33568596124644
176,0.17,1.1,1.0,0.5,256.0164388187838
177,0.25,0.92,0.94,0.78,241.0029220972719
178,0.08,1.29,0.96,0.77,225.41161379107726
179,0.01,0.85,0.02,0.78,231.34995850131077
180,0.11,0.29,0.88,0.69,260.9799045597807
181,0.08,0.43,0.72,0.24,288.3456290490759
182,0.1,0.88,0.68,0.68,282.10961886646214
183,0.03,0.91,0.1,0.64,316.32962253129807
184,0.0,0.62,0.0,0.43,312.36393599127234
185,0.09,1.13,1.0,0.9,239.01763354161776
186,0.02,0.56,0.0,0.61,286.1898262950419
187,0.08,0.58,1.0,0.66,250.50409743746656
188,0.0,0.9,0.0,0.08,274.5370835693093
189,0.4,0.75,1.0,0.81,269.5812032608548
190,0.25,0.29,1.0,0.55,247.0233231297645
191,0.08,0.93,0.54,0.75,219.07856280163782
192,0.08,0.09,1.0,0.28,239.40605217540494
193,0.02,0.99,0.1,0.48,236.76035528647472
194,0.0,0.45,0.0,0.8,283.6155408588685
195,0.02,0.54,0.1,-0.08,291.3927127976448
196,0.01,1.5,0.0,0.6,229.3126634804863
197,0.01,1.16,0.02,0.44,242.74182022547473
198,0.02,0.88,0.1,0.44,273.6238285308093
199,0.01,1.4,0.0,-0.08,249.58055301078437
200,0.0,1.37,0.0,1.0,224.21081793147886
201,0.18,1.35,1.0,0.72,249.99408020342935
202,0.1,1.45,1.0,0.36,262.84094760385955
203,0.11,0.88,0.02,0.99,174.2313096779259
204,0.14,0.61,0.71,0.69,264.6103189128324
205,0.08,1.36,0.72,0.21,240.2257580900515
206,0.01,0.77,0.0,0.24,310.1147343636894
207,0.08,0.88,0.72,0.28,291.46077496453404
208,0.09,0.45,1.0,0.14,256.21303187015513
209,0.0,0.53,0.0,0.52,301.0230363851548
210,0.0,0.56,0.0,0.41,310.6819648559939
211,0.0,1.5,0.0,-0.81,207.92938193613418
212,0.21,0.56,0.92,-0.42,272.60216047690096
213,0.08,0.05,0.0,0.56,279.40560526042617
214,0.1,0.42,0.72,0.47,291.47794347407137
215,0.01,0.92,0.02,0.44,279.1857491735435
216,0.1,0.51,1.0,0.33,288.3926423760417
217,0.12,0.44,0.68,0.44,257.46110781595405
218,0.16,1.08,1.0,0.32,253.05137675654709
219,0.08,1.32,0.88,0.32,242.008196760691
220,0.12,0.67,0.84,-0.12,258.84472264325893
221,0.08,0.64,0.32,1.0,241.20260210841016
222,0.08,1.08,0.88,1.0,214.6791837122231
223,0.09,0.88,0.82,0.44,268.59628571620664
224,0.16,1.28,0.88,-0.53,262.52853923408986
225,0.11,0.82,0.76,0.35,241.61120326271106
226,0.02,0.71,0.1,0.51,267.3698991924177
227,0.0,0.71,0.0,0.27,308.00639089760784
228,0.0,1.04,0.0,0.51,232.98690245482769
229,0.12,0.85,0.72,0.75,258.5521645613072
230,0.05,0.37,0.1,0.34,330.20856166309557
231,0.09,1.28,0.88,0.42,239.63847433243046
232,0.08,1.28,0.84,0.42,237.2310465158772
233,0.18,0.74,0.68,-0.03,235.6161989851327
234,0.09,0.82,0.64,0.81,271.8904885382387
235,0.08,1.29,0.72,0.37,277.9625543920431
236,0.03,1.09,0.04,-0.68,274.51084396104574
237,0.01,1.5,0.0,0.96,239.17439807710244
238,0.01,0.96,0.02,0.76,237.28527148851143
239,0.01,1.16,0.02,0.36,315.76079075735055
240,0.34,0.8,1.0,0.35,272.40136607348336
241,0.0,0.64,0.0,0.16,326.9920280022745
242,0.13,1.49,1.0,-0.55,283.0934752587825
243,0.09,1.48,0.51,-0.21,212.4385039641801
244,0.08,1.5,0.72,0.72,280.2618041146334
245,0.05,0.57,0.0,0.89,270.41631428533543
246,0.08,1.32,0.88,0.57,251.84250829788306
247,0.34,0.77,0.88,0.39,275.0385450317315
