subID,alpha,theta,gamma,w,nll
18,0.08,0.9,0.24,-1.0,462.7178058658409
14,0.09,0.74,0.31,-1.0,356.87235289696605
4,0.3,1.04,0.79,-1.0,291.7879644307883
0,0.34,1.5,1.0,-1.0,175.8080184810856
2,0.14,1.42,0.49,-1.0,283.9188347186186
5,0.02,1.5,0.0,-1.0,408.0950162599576
12,0.02,0.85,0.1,-1.0,424.6508742618905
15,0.62,0.75,1.0,-1.0,320.638764643285
8,0.05,1.48,0.1,-1.0,380.4670943558426
19,0.08,0.91,0.12,-1.0,354.4019333716636
6,0.08,1.32,0.4,-1.0,244.319864229044
10,0.04,0.95,0.0,-1.0,303.043585343547
9,0.01,0.74,0.02,-1.0,311.54240061121146
20,0.03,0.83,0.06,-1.0,357.0060168193655
13,0.36,1.08,0.99,-1.0,277.16737917335547
7,0.1,1.5,0.88,-1.0,324.60720533303027
21,0.02,1.16,0.1,-1.0,242.34891770353985
1,0.0,0.68,0.0,-1.0,362.23179331923126
11,0.02,1.5,0.0,-1.0,341.9244810485246
16,0.01,1.5,0.0,-1.0,483.3123136396006
17,0.02,0.54,0.1,-1.0,299.84401722906455
3,0.12,0.84,0.37,-1.0,377.2063821525673
32,0.02,0.64,0.1,-1.0,340.2403402463841
36,0.02,1.5,0.0,-1.0,405.3406515496905
22,0.02,0.56,0.02,-1.0,327.3931305947035
28,0.08,1.4,0.1,-1.0,258.6262441971976
23,0.12,1.5,0.48,-1.0,141.70277014849563
26,0.4,0.95,1.0,-1.0,153.7924387408715
27,0.57,1.09,1.0,-1.0,204.33277679169137
33,0.14,1.29,0.69,-1.0,207.72245180969387
29,0.22,1.25,1.0,-1.0,282.5043895360109
30,0.11,0.83,0.0,-1.0,476.67181983343676
37,0.29,0.3,0.0,-1.0,467.14182429381117
24,0.08,1.5,0.0,-1.0,527.3382401344437
31,0.18,1.5,0.73,-1.0,461.48329449961716
34,0.16,0.15,0.0,-1.0,414.8868742951848
35,0.17,1.5,0.95,-1.0,288.28800752244297
25,0.01,0.51,0.02,-1.0,302.04412793903015
86,0.11,1.08,0.0,-1.0,233.8949039137088
94,0.14,1.5,0.52,-1.0,312.37568516145154
68,0.23,0.87,0.96,-1.0,222.9384108415539
48,0.01,1.48,0.02,-1.0,167.51989438171978
96,0.17,0.77,0.0,-1.0,402.4773299544682
60,0.18,1.2,0.88,-1.0,208.00294167589846
58,0.08,1.44,0.52,-1.0,490.3825902397231
92,0.01,1.44,0.02,-1.0,388.2418923876246
97,0.21,1.5,0.71,-1.0,351.76590546215994
87,0.08,1.48,0.68,-1.0,271.4924989806656
44,0.26,1.28,0.9,-1.0,307.23574491028035
90,0.23,1.5,1.0,-1.0,215.7441181054035
54,0.14,0.8,0.47,-1.0,385.8650706471731
50,0.0,0.66,0.0,-1.0,327.66945045540234
70,0.08,1.0,0.7,-1.0,254.59301784063294
66,0.18,1.5,0.16,-1.0,325.5061381689152
42,0.32,1.13,0.88,-1.0,194.48702591745908
88,0.18,1.5,0.24,-1.0,365.140670633851
40,0.0,0.83,0.0,-1.0,382.51487898117193
74,0.21,1.5,0.96,-1.0,235.9058646552109
64,0.12,1.5,0.88,-1.0,177.27535686122417
45,0.08,0.88,0.0,-1.0,533.8552700907702
38,0.09,0.5,0.0,-1.0,441.68375281971953
84,0.15,0.69,0.0,-1.0,597.3436508279907
65,0.24,1.2,1.0,-1.0,305.0885456766773
72,0.04,1.28,0.1,-1.0,343.30463357637404
69,0.32,0.97,1.0,-1.0,327.28850883584244
80,0.1,1.36,0.59,-1.0,357.2172236057746
82,0.0,0.8,0.0,-1.0,469.31336705645816
81,0.02,1.5,0.0,-1.0,386.4545281519745
61,0.0,0.63,0.0,-1.0,301.54280734244344
67,0.1,1.5,0.98,-1.0,239.81076026680637
89,0.08,1.44,0.44,-1.0,418.8273369321761
76,0.01,1.5,0.0,-1.0,408.94898821394406
59,0.08,1.36,0.0,-1.0,417.10810155207713
43,0.37,1.5,1.0,-1.0,265.0127371065189
93,0.0,0.97,0.0,-1.0,311.7531944539632
55,0.18,1.45,0.69,-1.0,214.12989271699726
85,0.09,1.07,0.51,-1.0,408.08764437633624
52,0.63,0.53,0.24,-1.0,435.89786771017276
78,0.11,1.32,0.7,-1.0,312.62271081051216
51,0.11,1.14,0.48,-1.0,263.694463667462
49,0.09,0.62,0.72,-1.0,285.11003703204744
56,0.19,0.76,0.45,-1.0,431.9511358505963
46,0.11,1.12,0.0,-1.0,627.5997732963783
79,0.04,0.74,0.0,-1.0,326.78506543750655
62,0.1,0.72,0.0,-1.0,557.8523594539885
77,0.02,1.5,0.0,-1.0,407.7770321547231
63,0.08,1.08,0.02,-1.0,283.03694441397505
73,0.05,0.65,0.02,-1.0,312.24572540196345
57,0.08,1.28,0.09,-1.0,422.19441108496613
83,0.08,1.28,0.0,-1.0,345.1348022944255
71,0.15,1.4,0.97,-1.0,214.30659928637758
91,0.03,0.68,0.06,-1.0,385.4733173609581
39,0.09,0.81,0.04,-1.0,299.1806109577027
75,0.02,0.76,0.1,-1.0,371.89300825526465
95,0.09,0.87,0.22,-1.0,353.24367768813136
53,0.08,0.63,0.0,-1.0,229.88605476379678
47,0.28,0.67,1.0,-1.0,323.89498427534625
41,0.21,1.32,1.0,-1.0,242.1774967803861
108,0.16,1.5,0.08,-1.0,270.8804369719551
114,0.01,0.81,0.0,-1.0,329.5689711685589
161,0.01,0.69,0.02,-1.0,363.5532559537662
146,0.11,0.66,0.44,-1.0,306.3186175125749
138,0.11,1.0,0.56,-1.0,378.49852729263785
102,0.08,0.8,0.28,-1.0,396.36305666672496
167,0.08,1.5,0.92,-1.0,226.0462146976368
98,0.08,1.5,0.88,-1.0,311.6490165895296
100,0.09,0.53,0.6,-1.0,215.93455048052255
120,0.21,1.44,0.3,-1.0,280.01240142696975
104,0.19,1.28,0.54,-1.0,214.2355848826085
