subID,alpha,theta,gamma,w,nll
18,0.08,0.84,0.1,0.09,464.42026984055246
14,0.09,0.75,0.28,-0.09,356.2589071998722
4,0.19,0.85,0.68,0.72,285.4731948331752
0,0.41,1.5,1.0,0.96,169.48164357837632
2,0.14,1.44,0.49,-0.04,283.89531347792524
5,0.02,1.32,0.0,1.0,373.89550979226897
12,0.01,1.28,0.0,-0.53,416.7168996608212
15,0.62,0.79,1.0,-0.19,320.2573154454884
8,0.05,1.28,0.1,0.52,364.9266382967623
19,0.08,0.89,0.12,0.08,354.56459522895034
6,0.12,1.5,0.52,1.0,213.057624045618
10,0.04,0.87,0.0,0.46,287.5997032469501
9,0.23,1.5,1.0,-0.92,297.7946907950352
20,0.02,0.77,0.1,0.23,347.8834630361714
13,0.38,1.25,0.92,-0.52,270.6065602727973
7,0.1,1.5,0.88,1.0,288.7325343859085
21,0.02,1.2,0.1,-0.12,240.4197966958107
1,0.0,0.72,0.0,-0.1,359.85335592506823
11,0.02,1.5,0.0,0.28,340.45407754961707
16,0.01,1.5,0.0,0.88,479.53358249186385
17,0.45,1.14,1.0,-1.0,290.3138565945812
3,0.19,1.08,0.73,1.0,357.59296650973874
32,0.03,0.78,0.1,-0.44,314.191836267963
36,0.02,1.5,0.0,1.0,382.2764667003409
22,0.02,0.55,0.02,0.08,326.1200924370886
28,0.09,1.5,0.31,0.96,238.21120799285308
23,0.13,1.5,0.48,0.16,140.7622712310877
26,0.35,0.8,1.0,0.68,149.04430898256163
27,0.57,1.15,1.0,-0.24,203.5716356504032
33,0.19,1.3,0.64,1.0,201.36658496413105
29,0.16,1.05,1.0,0.88,271.9351493190804
30,0.03,0.79,0.0,1.0,390.31740689116907
37,0.18,0.53,0.0,-1.0,435.16518777334426
24,0.01,1.5,0.0,1.0,412.4196232930574
31,0.18,1.5,0.73,-0.1,461.31393058880894
34,0.19,0.2,0.0,-1.0,414.68786762009324
35,0.15,1.5,0.78,0.72,280.09852575073774
25,0.01,0.54,0.02,-0.12,298.8847640665133
86,0.13,1.12,0.0,-0.08,236.06930303332413
94,0.13,1.5,0.59,1.0,291.5870378811313
68,0.23,0.82,0.96,0.17,222.53076433604343
48,0.01,1.36,0.02,0.32,162.96167473397912
96,0.17,0.77,0.0,0.03,402.3566015156416
60,0.18,1.2,0.88,0.0,208.00294167589846
58,0.03,1.5,0.03,-0.52,473.2766236591399
92,0.01,1.5,0.0,-0.71,327.197451060852
97,0.08,0.98,0.0,-0.76,287.33137342809874
87,0.08,1.4,0.68,0.52,262.1199038823902
44,0.24,1.48,0.96,-0.56,303.4582324376329
90,0.24,1.5,1.0,-0.87,213.67525592762226
54,0.15,0.8,0.45,-0.08,386.09832358693563
50,0.0,0.63,0.0,0.1,325.6543379539099
70,0.1,0.88,0.72,0.88,246.0865833557349
66,0.18,1.5,0.14,-0.12,323.67422472393935
42,0.19,0.87,0.86,1.0,189.55997171253492
88,0.17,1.32,0.26,0.32,363.58350050124756
40,0.0,0.82,0.0,0.06,382.29679821283855
74,0.2,1.5,1.0,0.48,232.05792245197506
64,0.14,1.5,0.88,0.28,176.9677115484709
45,0.02,1.5,0.0,-0.72,473.6568997008741
38,0.09,0.5,0.0,0.12,439.43911511964325
84,0.03,0.67,0.0,1.0,451.7157906931532
65,0.2,1.0,0.82,0.44,301.4291346242578
72,0.08,1.5,0.52,0.96,318.42200484633355
69,0.3,1.11,1.0,-0.32,325.11664365889396
80,0.1,1.35,0.6,0.12,356.1760588307445
82,0.01,0.85,0.0,-0.16,464.5944006452562
