subID,alpha,theta,gamma,w,nll
18,0.52,0.94,0.23,0.37,453.79884930454386
14,1.0,0.59,0.81,0.61,329.34699215337
4,0.61,0.54,0.67,0.54,285.88150421604405
0,1.0,0.71,0.78,0.64,237.956395047254
2,1.0,0.88,0.87,0.87,265.8230653659736
5,0.24,1.13,1.0,-0.29,354.8013414989296
12,0.43,1.21,0.78,0.28,376.9677574471529
15,1.0,0.33,0.82,0.57,329.2332868557795
8,0.4,1.04,0.99,-0.32,311.17286924537103
19,0.79,1.1,0.81,0.46,295.79720782759654
6,0.2,0.93,0.28,1.0,215.9246705994603
10,0.74,0.9,0.82,0.52,257.01408302524754
9,0.96,0.48,0.99,-0.05,272.0493761479244
20,0.28,0.76,1.0,0.01,328.21291212506515
13,1.0,0.53,0.88,-0.11,276.66838053506916
7,0.47,0.69,0.86,1.0,253.7817372340591
21,0.11,1.16,0.0,0.16,241.5153391467665
1,0.0,0.69,0.0,0.52,349.16774520300504
11,0.04,1.5,0.0,0.06,345.2923069620583
16,0.02,1.4,0.0,-0.24,447.7241496402114
17,0.1,0.58,0.25,-0.13,297.84840262684384
3,0.64,0.88,0.84,-0.32,331.8260269342067
32,0.08,0.69,0.28,-0.26,336.9063505526616
36,0.05,1.48,0.0,-0.4,368.87122763579373
22,0.07,0.58,0.08,-0.1,329.009620595404
28,0.4,1.24,0.2,-0.21,242.6003038697749
23,0.96,1.02,0.47,0.16,202.69072264872165
26,0.88,0.22,0.98,0.68,152.03929712341707
27,1.0,0.57,0.83,0.52,194.57048988202587
33,0.34,0.53,0.08,0.0,235.980993785742
29,0.4,0.41,1.0,0.54,272.46166874925257
30,0.33,0.96,0.78,-0.91,340.81077481070173
37,0.13,0.73,0.0,-1.0,401.39997996472584
24,0.08,1.5,0.0,-0.56,335.04542924338654
31,0.13,0.79,1.0,-1.0,402.71021746528754
34,0.16,0.0,0.11,0.38,398.6253369933292
35,1.0,0.88,0.6,-0.62,208.03881041508077
25,0.19,0.44,0.88,0.0,291.07590619139023
86,0.52,1.48,0.66,0.44,171.73032216097698
94,0.24,0.96,0.6,-0.26,279.22425445709007
68,0.96,0.4,0.87,0.58,213.1004463332536
48,0.03,1.45,0.0,0.0,158.16216495080266
96,0.86,0.8,0.0,0.21,399.7499370793623
60,1.0,0.94,0.7,1.0,179.74308854016192
58,0.12,1.11,0.99,0.39,460.4391921388394
92,0.03,1.5,0.0,0.74,330.4161578453588
