subID,alpha,theta,gamma,w,nll
18,0.5,0.94,0.25,0.02,457.5386686006018
14,1.0,0.58,0.82,-0.14,346.15060914647086
4,0.48,0.54,0.52,0.23,315.46073665787196
0,1.0,0.71,0.78,-0.31,266.56360200942834
2,0.98,0.94,0.8,-0.11,296.7023776898041
5,0.24,1.08,1.0,1.0,345.3598934580499
12,0.19,1.04,0.89,-0.24,379.0081657380649
15,0.28,0.32,1.0,0.26,333.70680680721483
8,0.12,1.15,1.0,0.32,349.09750585825736
19,0.78,1.08,0.82,-0.08,308.48538915866436
6,0.17,0.96,0.2,-0.12,268.3149847071298
10,0.82,0.88,0.78,0.36,255.21043504888087
9,0.96,0.51,0.99,-0.12,269.32354393434434
20,0.28,0.76,1.0,0.0,328.2232867064789
13,1.0,0.57,0.88,-0.17,273.849637906583
7,0.61,0.68,0.86,0.19,294.6530892939075
21,0.09,1.19,0.08,-0.08,241.94429723511425
1,0.12,0.67,1.0,-0.19,354.00677410825
11,0.04,1.5,0.0,0.08,344.95000679882975
16,0.03,1.48,0.0,0.97,477.3771760051326
17,0.49,0.8,0.75,-0.6,283.06438186923884
3,0.6,0.94,0.83,-0.04,353.0709746206654
32,0.46,0.83,0.85,-0.62,305.60731883351514
36,0.06,1.5,0.0,1.0,386.6924765170994
22,0.05,0.54,0.0,0.11,327.9942239520736
28,0.25,1.32,0.09,0.0,247.3912666409031
23,0.97,1.16,0.43,-0.33,198.69113336178518
26,0.88,0.22,0.98,0.0,155.40977953189628
27,1.0,0.57,0.83,-0.11,198.81638453519784
33,0.32,0.59,0.08,-0.22,230.57657854554003
29,0.4,0.39,1.0,0.4,266.2417451730348
30,0.24,0.84,0.88,1.0,336.0325057542775
37,0.18,0.64,0.08,-1.0,427.59352838356176
24,0.02,1.5,0.0,1.0,386.55030659769056
31,0.14,0.87,1.0,0.5,444.1806855916569
34,0.14,0.04,0.41,-1.0,416.1908893458202
35,1.0,0.68,0.79,0.28,263.30675519474846
25,0.17,0.49,1.0,-0.21,283.7392861166337
86,0.61,1.5,0.64,0.08,182.46808815954898
94,0.26,0.93,0.53,0.1,282.6710128695331
68,0.96,0.41,0.87,-0.06,217.49703261592262
48,0.03,1.36,0.0,0.32,153.12106479640758
96,0.83,0.81,0.0,-0.15,401.52963100470265
60,1.0,0.8,0.77,-0.24,209.8873169737064
58,0.11,1.17,1.0,-0.24,461.3333485802623
92,0.03,1.5,0.0,-0.7,326.0258953463205
97,0.19,0.93,0.01,-0.72,290.87110446422037
87,1.0,1.2,0.01,-0.02,258.2880776347799
44,0.52,0.51,0.94,-0.19,282.1393054347958
90,0.52,0.48,0.94,-0.17,180.60447202060618
54,0.52,0.84,0.87,-0.24,345.39784602968996
50,0.03,0.6,0.06,0.1,324.20529587413876
