subID,alpha,theta,gamma,w,nll
18,0.95,0.1,0.99,0.32,544.7686760800408
14,0.19,0.65,0.53,0.66,324.3273787889916
4,0.15,0.44,0.72,0.54,298.4563162852849
0,0.57,1.0,0.7,0.63,217.44458116355764
2,0.19,0.88,0.88,0.85,272.4970668219743
5,0.02,1.28,0.0,-0.33,373.80816871262147
12,0.08,1.09,0.72,0.26,387.51160266861325
15,0.63,0.28,0.88,0.64,316.5746129994075
8,0.13,1.29,0.68,-0.49,338.6045140322179
19,0.17,1.05,0.83,0.48,307.1591112921594
6,0.22,0.98,0.86,1.0,204.8190192776245
10,0.29,0.81,0.88,0.61,254.3351039178781
9,0.27,0.5,0.98,-0.35,277.40278814293504
20,0.12,0.68,1.0,0.08,333.8231312857307
13,0.14,0.49,0.98,-0.32,283.2045220776523
7,0.21,0.75,0.86,1.0,248.6905146314456
21,0.02,1.16,0.02,0.24,243.544502359134
1,0.0,0.69,0.0,0.52,349.16774520300504
11,0.02,1.5,0.0,0.08,342.27102754203037
16,0.88,0.32,1.0,0.32,492.6981215543466
17,0.03,0.55,0.1,-0.17,299.5391823281462
3,0.2,0.71,0.55,-0.72,336.29498019459794
32,0.02,0.6,0.06,-0.12,340.837034349145
36,0.01,1.46,0.0,-0.4,365.032791185142
22,0.03,0.56,0.1,0.0,327.18600019569925
28,0.14,1.3,0.3,-0.48,249.68251178092402
23,0.17,0.94,0.42,0.19,206.4891415014053
26,0.52,0.14,0.98,0.97,187.5865694830525
27,0.7,0.56,0.83,0.35,170.53970852537623
33,0.11,0.56,0.28,0.0,228.54178337795332
29,0.13,0.42,1.0,0.49,276.50809915020454
30,0.09,0.83,0.72,-0.99,345.64078563443195
37,0.88,0.04,0.99,0.32,462.5586220392332
24,0.02,1.5,0.0,-0.72,342.20068439449886
31,0.1,0.77,0.0,0.59,417.93489796048516
34,0.07,0.0,0.0,0.38,400.91803248714234
35,0.3,0.79,0.82,-0.57,185.6071807132559
25,0.01,0.51,0.02,0.0,302.06176059525126
86,0.29,1.44,0.67,0.45,191.68242047519547
94,0.11,1.0,0.68,0.35,297.3809450339623
68,0.4,0.33,0.88,0.82,222.6343790363557
48,0.01,1.44,0.0,-0.04,168.5612807554017
96,0.18,0.79,0.0,-0.13,399.10270734995345
60,0.39,0.66,0.82,0.86,184.96201040655833
58,1.0,0.08,1.0,0.48,501.955630982771
92,0.01,1.5,0.0,0.74,331.11318090114634
97,0.14,0.94,0.46,-0.67,290.2472612572419
87,0.13,1.0,0.0,1.0,246.20296658363068
44,0.33,0.62,0.83,0.37,311.425916922347
90,0.35,0.3,0.98,-0.43,183.63787598392014
54,0.13,0.74,0.71,0.43,366.11789811625727
50,0.0,0.68,0.0,-0.12,325.7769378851482
70,0.11,0.59,0.69,1.0,235.1854506895445
66,0.18,1.5,0.08,0.44,311.3646883016435
42,0.39,0.4,0.88,0.57,196.03562297182873
88,0.12,1.5,0.0,0.54,347.001065464104
40,0.16,0.7,1.0,0.31,362.96789518616686
74,0.0,0.88,0.0,0.85,249.9375749683935
64,0.31,1.12,0.69,0.76,179.63575635647535
45,0.92,0.52,0.89,0.67,589.7578290269236
38,0.13,0.44,0.0,0.56,422.5097180660975
84,0.35,0.48,0.97,-1.0,356.95971896052504
65,0.29,0.58,0.86,0.36,261.117034838689
72,0.09,1.17,0.77,0.08,299.49965616638724
69,0.16,0.54,0.88,0.8,274.77243947614335
80,0.16,0.92,0.88,-0.32,334.5307370115449
82,0.92,0.1,1.0,0.12,526.2615463993315
81,0.01,1.5,0.0,0.24,384.9759919933839
61,0.02,0.74,0.1,0.88,266.64661400734116
67,0.21,0.9,0.81,0.32,225.87829713285174
89,0.08,0.9,0.88,0.72,336.49387539748864
76,0.01,1.48,0.02,0.12,409.8788702576366
59,0.08,1.32,0.32,-0.38,382.4203536623141
43,0.36,0.72,0.83,0.38,224.49509182427298
93,0.0,1.1,0.0,0.68,291.9485030764892
55,0.1,0.81,0.48,0.0,209.28245289088107
85,0.1,0.82,0.52,0.44,391.10818785538333
52,0.88,0.06,0.98,0.3,434.6076534547042
78,0.13,0.93,0.8,0.49,288.8968453737368
51,0.34,0.76,0.83,0.0,257.60014875010654
49,0.22,0.28,1.0,0.24,247.04192137539638
56,0.22,0.7,0.8,-0.4,379.9072356001875
46,1.0,0.1,0.96,0.12,639.2329341426145
79,0.05,0.71,0.0,0.97,289.6142676048767
62,1.0,0.1,1.0,0.12,497.1663370421914
77,0.88,1.5,0.96,0.52,581.9464409071481
63,0.1,1.28,0.61,0.33,257.56208633793085
73,0.3,0.4,0.98,-0.12,301.08162771670925
57,0.11,1.4,0.49,-0.45,373.81178804482965
83,0.12,1.16,0.72,-0.48,254.57954128381812
71,0.28,0.52,0.94,0.96,233.43588779352265
91,0.2,0.49,1.0,-0.21,359.595518443553
39,0.26,1.01,0.83,0.52,253.9607052641111
75,0.92,0.08,0.99,0.6,411.5303944515299
95,0.11,0.82,0.19,0.68,331.82776610218025
53,0.24,0.33,1.0,-0.28,210.77477174689656
47,0.52,0.32,0.94,0.5,297.43909315566384
41,0.32,0.32,0.98,0.48,238.92463336451704
108,0.11,1.28,0.31,-0.72,126.41368019903763
114,0.01,0.73,0.02,0.88,317.2836646144044
161,0.01,0.67,0.02,0.28,361.74571392048426
146,0.15,0.48,0.88,-0.06,309.47018161738947
138,0.88,0.1,0.99,0.99,441.43625939226894
102,0.11,1.0,0.08,0.98,346.826017411527
167,0.25,0.76,0.88,0.48,230.00018224006712
98,0.22,0.6,0.99,0.31,289.93528835817534
100,0.13,0.26,0.98,0.0,241.856764069299
120,0.23,1.22,0.71,0.38,273.9468269452509
104,0.24,0.67,0.2,0.32,278.3817949778747
165,0.22,0.86,0.82,-0.52,290.8808988975695
168,0.09,0.71,0.28,0.72,319.76625488588184
163,0.23,0.52,0.92,0.0,202.44622816604812
124,0.0,1.45,0.0,0.67,315.48319226682514
103,0.01,0.85,0.0,0.72,289.03433745861656
154,0.32,0.28,1.0,0.33,205.223138583295
115,0.13,0.76,0.88,0.5,335.90682522770635
116,0.36,0.48,0.88,0.08,144.79876660047807
132,0.36,0.66,0.82,1.0,209.81958641938812
112,0.32,1.48,0.57,-0.52,170.9004422269275
128,0.15,0.66,0.08,0.68,239.51989554049652
109,0.11,0.7,0.16,-0.61,196.47094611186827
159,0.15,0.52,0.0,0.59,283.42150209692267
106,0.4,0.73,0.68,0.45,305.1776561050077
113,0.27,0.96,0.71,0.0,305.51098649402513
166,0.08,1.2,0.68,0.12,238.88375845864334
126,0.32,0.72,0.94,0.12,343.68740948414734
152,0.33,0.68,0.84,0.51,226.06942172664017
130,0.88,1.5,1.0,0.49,605.0171021724734
118,0.14,1.27,0.78,0.25,277.5291687326549
105,0.01,1.36,0.02,0.58,355.91503796186004
131,0.18,0.75,0.68,-0.52,315.2917696984261
107,0.53,0.96,0.04,-0.32,298.3055480927707
139,0.88,0.1,1.0,0.92,473.1253477360174
117,0.39,1.46,0.59,0.29,224.4663176564275
153,0.16,0.5,1.0,-0.32,363.8046210160568
140,0.94,0.31,0.99,0.8,439.16966502151416
134,0.32,0.58,0.93,0.96,203.8619675334815
148,0.14,0.14,0.31,0.0,227.39949526447623
150,0.04,1.18,0.09,0.15,206.8274572950857
157,0.03,0.88,0.02,-0.08,330.6941600350115
133,0.15,0.5,1.0,1.0,249.99957985305323
121,0.19,0.45,0.86,0.18,272.1823407031744
135,0.18,0.56,1.0,1.0,249.89136616005092
127,0.43,0.19,0.98,0.57,202.90130283515333
110,0.12,0.86,0.0,0.84,402.31558239363244
147,0.08,1.13,0.76,0.12,230.06277605673134
155,0.19,0.44,0.99,-0.76,242.83559917002162
149,0.01,0.81,0.02,0.0,298.23590628948386
122,0.38,0.52,0.87,0.08,229.02796904186215
142,0.26,0.69,0.87,0.0,218.0573122412144
160,0.4,0.27,0.99,0.44,166.6250549763618
156,0.28,0.5,0.85,0.08,243.27541743419212
137,0.14,0.07,0.68,0.0,440.9909846996206
162,0.03,0.71,0.1,0.28,343.9803028170917
125,0.32,0.43,0.96,0.49,226.67368932714834
164,0.23,0.17,0.88,-0.15,315.8228146615946
101,0.9,0.09,0.92,-0.12,458.50713345756645
144,0.89,0.01,0.99,0.12,355.7987653785634
123,0.0,0.76,0.0,0.28,321.53079110948516
129,0.0,0.74,0.0,0.48,350.45447458507294
141,0.1,0.65,0.88,0.28,319.37435375670293
111,0.21,0.92,0.72,0.77,204.11168112373025
158,0.1,0.43,0.72,-0.52,266.09272607211125
143,0.1,0.68,1.0,0.09,312.97795455608957
151,0.7,1.48,0.72,0.35,323.7551252081356
99,0.18,0.32,1.0,-0.08,307.7607993625003
119,0.68,0.02,0.99,0.28,234.19353220388646
145,0.08,0.61,0.68,-0.08,335.9622852005087
219,0.26,0.68,0.88,0.04,257.79775072671623
185,0.38,1.12,0.47,0.39,149.45192608804385
247,0.17,0.68,0.87,0.08,244.14539779013805
235,0.12,0.89,0.88,0.36,278.39716611254653
213,1.0,0.03,0.97,0.72,486.2979047986732
245,0.26,0.56,0.27,0.86,161.22291273439862
225,0.23,0.33,0.99,0.08,235.03473298126283
231,0.29,0.8,0.82,-0.08,174.60351636101052
226,0.28,0.7,0.85,0.64,215.02406533264696
217,0.0,0.58,0.0,0.35,319.1498711126526
236,0.09,0.88,0.02,-0.21,451.0734021095477
175,0.39,1.1,0.76,0.1,297.379727749086
173,0.09,0.22,0.87,0.61,349.4481317791987
203,0.08,0.88,0.0,0.48,108.30202714141828
193,0.21,0.88,0.88,-0.32,299.9159961403072
197,0.09,0.92,0.76,-0.54,374.6268119314998
169,0.2,0.79,0.88,-0.5,332.1255873996961
191,0.28,0.84,0.86,0.82,223.84009440499614
227,0.0,0.77,0.0,-0.72,329.5686283084195
221,1.0,0.1,1.0,0.48,424.3082006187584
223,0.28,0.65,0.86,0.28,275.41444011779885
177,0.52,0.99,0.78,0.72,269.5809956044056
174,0.23,0.69,1.0,0.94,360.36521069294594
222,0.16,0.95,0.01,0.98,476.4871033363575
171,0.08,1.16,0.74,-0.25,314.35962268247687
218,0.3,0.72,0.87,-0.12,265.854274497874
201,0.64,0.84,0.64,-0.78,331.41104370141267
243,0.09,0.88,0.52,-0.11,290.7384575527497
211,0.08,1.5,0.0,-0.52,259.8307543244028
224,0.34,0.29,1.0,0.48,249.72036505626738
237,0.88,1.5,1.0,1.0,501.19615901232953
187,0.33,0.38,0.88,0.39,241.33192458447581
170,0.88,0.0,0.99,0.32,491.67213304669303
181,0.59,0.32,0.87,0.0,288.33718037377344
183,0.08,0.83,0.26,0.52,396.8767253917043
198,0.03,0.83,0.1,0.32,387.60566827451197
215,0.08,0.97,0.72,0.48,336.44333865407975
248,1.0,0.62,0.68,0.54,268.1038055179837
249,0.02,0.83,0.1,0.0,274.03725577454964
212,0.13,0.37,0.48,-0.18,243.03475913844807
