subID,alpha,theta,gamma,w,nll
18,0.17,0.86,0.34,-0.26,446.0143279174548
14,0.19,0.66,0.6,0.68,330.9414975411057
4,0.28,0.46,0.7,0.54,294.76589028775953
0,0.77,1.23,0.64,0.64,197.68230402048522
2,0.42,0.72,0.94,0.89,266.401954622867
5,0.12,1.08,1.0,-0.38,366.93806202334224
12,0.28,1.24,0.68,0.32,384.2297296317698
15,0.88,0.28,0.88,0.6,316.90597853320617
8,0.19,1.11,0.94,-0.37,330.533240164679
19,0.32,1.04,0.85,0.47,296.3753416505076
6,0.25,0.94,0.87,1.0,206.012383124879
10,0.41,0.8,0.88,0.56,255.34775276504615
9,0.28,0.51,0.99,-0.08,279.3040373740845
20,0.2,0.64,1.0,0.16,331.7929775356755
13,0.32,0.56,0.88,-0.21,277.78180611524317
7,0.28,0.76,0.87,1.0,246.5108650712732
21,0.38,1.23,0.61,0.38,251.68189736502927
1,0.0,0.69,0.0,0.52,349.16774520300504
11,0.02,1.5,0.0,0.08,345.3105041482131
16,0.01,1.4,0.0,-0.24,454.7164583431288
17,0.09,0.58,0.48,-0.21,295.56876987416933
3,0.44,0.8,0.86,-0.36,329.0724723308986
32,0.02,0.64,0.06,-0.12,340.8135404176479
36,0.02,1.48,0.0,-0.4,365.4374902098507
22,0.04,0.55,0.1,0.05,325.98465635632874
28,0.22,1.31,0.27,-0.2,245.42089103470545
23,0.3,1.0,0.4,0.19,202.35500995797003
26,0.52,0.16,1.0,0.92,181.32529051468288
27,0.7,0.52,0.88,0.56,189.2264606554855
33,0.35,0.58,0.48,0.0,225.09883021308977
29,0.15,0.44,1.0,0.54,277.61205860871644
30,0.12,0.85,0.84,-0.9,337.9461274324043
37,0.28,0.48,0.0,-0.5,419.9258317684829
24,0.08,1.5,0.0,-0.57,359.21719795409354
31,0.21,0.75,0.0,0.49,420.9675951987609
34,0.09,0.0,0.0,0.37,401.1008644302227
35,0.56,0.8,0.81,-0.5,182.85505014124672
25,0.08,0.42,0.76,0.0,295.19840702396294
86,0.4,1.5,0.66,0.37,184.93003822295216
94,0.14,0.98,0.71,-0.32,283.810552498487
68,0.42,0.36,0.88,0.68,219.00612668200426
48,0.01,1.44,0.0,-0.04,161.8264706910219
96,0.27,0.75,0.0,0.24,406.4188628428914
60,0.52,0.88,0.7,1.0,181.64537267776188
58,0.08,1.08,0.92,0.68,473.90588412783313
92,0.01,1.5,0.0,0.74,331.00076646772794
97,0.23,1.0,0.36,-0.58,299.22419759974093
87,0.82,1.5,0.0,1.0,217.79193344289536
44,0.34,0.66,0.85,-0.21,302.3915951235141
90,0.44,0.28,0.97,-0.41,171.0167586305983
54,0.19,0.68,0.98,0.48,365.2281522979025
50,0.02,0.63,0.1,-0.1,324.9843988367219
70,0.15,0.59,0.71,1.0,234.53384068175603
66,0.26,1.5,0.0,0.5,317.085702250483
42,0.44,0.28,0.95,0.52,195.1903758985693
88,0.3,1.5,0.0,0.53,346.9721947536119
40,0.22,0.72,1.0,0.23,350.6061109138019
74,0.23,0.77,0.95,0.88,241.34976976388788
64,0.41,1.24,0.67,0.73,158.19853137695512
45,0.08,1.5,0.0,0.7,495.29770754002766
38,0.15,0.56,0.0,-0.28,421.46767700278883
84,0.78,0.88,0.83,-0.72,359.1125109655998
65,0.52,0.56,0.86,0.48,264.6933437899649
72,0.15,1.15,0.81,-0.11,291.241281262731
69,0.32,0.52,0.88,0.83,273.19291275780927
80,0.11,0.94,0.84,-0.33,334.99743987901496
82,0.09,0.86,1.0,-0.72,440.92787466147877
81,0.02,1.5,0.0,0.12,385.70249122188943
61,0.03,0.74,0.1,0.87,266.7751591883555
