subID,alpha,theta,gamma,w,nll
64,0.32,1.4,0.42,0.12,182.3882127960585
75,0.09,0.98,0.88,0.35,325.606950246761
38,1.0,0.65,0.0,-1.0,402.76090186717636
65,0.69,0.52,0.95,0.2,241.56909992438176
48,0.99,0.4,0.87,0.44,275.973974552804
56,0.89,0.67,0.71,0.5,243.76932463550986
26,0.4,0.88,0.98,-0.13,456.1847566252851
71,0.18,0.97,0.0,0.68,149.53931245324762
69,0.88,0.28,1.0,-0.36,248.4682650155048
8,0.16,0.95,1.0,0.24,357.89619787872414
44,0.37,0.05,1.0,0.05,247.60633604408167
57,0.78,1.03,0.43,0.86,112.69453071170344
50,0.32,0.56,1.0,-0.04,308.8621785202422
77,0.02,0.88,0.0,-0.48,371.1386415768576
32,1.0,0.4,0.88,0.47,323.2052931438007
40,1.0,0.48,0.97,0.02,157.48432955617446
41,0.45,0.38,0.63,0.52,271.796827976656
83,0.92,0.68,0.86,0.26,180.7030007831391
36,1.0,1.44,0.28,0.15,227.49790047430346
54,1.0,0.4,0.45,0.0,204.64514985452686
72,0.0,1.5,0.0,0.53,432.33687200182527
34,0.59,0.52,0.97,0.56,231.38667046417032
55,0.43,0.84,0.95,0.11,271.2890051570845
39,0.28,0.8,0.87,-0.4,303.3950484029248
16,0.04,0.76,0.09,0.48,307.29355279824796
20,0.52,0.6,0.99,0.09,311.31487295410375
62,0.68,0.72,0.93,-0.16,236.35427562377134
42,0.65,0.48,0.88,0.12,222.11832832949963
68,0.54,0.67,0.04,0.57,291.4262525311739
79,1.0,1.05,0.28,-0.23,271.82935261782467
14,1.0,1.5,0.6,-0.72,193.75611576014919
58,0.16,0.84,0.72,-0.47,184.79691875448736
73,1.0,0.74,0.63,0.0,189.79144753973708
17,0.28,0.6,1.0,-0.36,311.1394525660542
46,0.62,0.44,0.85,1.0,449.9914565057042
0,0.0,0.63,0.0,0.2,328.1591855886808
84,0.44,0.63,0.38,0.29,352.72106858503776
66,0.23,0.82,0.08,0.33,217.59352853370686
15,0.47,0.61,0.88,-0.47,336.0283902334821
70,0.36,0.7,0.08,-0.42,282.250507487206
81,0.0,1.25,0.0,0.2,302.77189057760353
49,0.64,0.64,0.99,0.19,287.7597731289633
45,0.15,1.31,0.0,0.54,387.9716981670191
47,0.88,0.68,0.84,-0.12,265.8322803078198
1,0.66,1.0,0.58,0.42,455.83036417910785
6,0.4,0.72,1.0,0.33,396.3413126954739
76,0.95,0.73,0.82,0.08,285.4832182556567
12,1.0,1.13,0.3,0.54,266.8300367519813
74,1.0,0.88,0.8,0.0,267.63029470470474
2,0.21,0.77,0.88,-0.4,411.25178266918044
51,1.0,0.21,0.98,0.31,185.1754439391669
80,1.0,0.28,0.0,0.45,386.8426767637301
28,1.0,1.5,0.65,-0.01,154.3404840337145
43,0.32,1.03,0.63,-0.32,349.13977056084934
13,0.91,0.94,0.82,0.69,241.04620182042942
10,0.28,0.84,0.95,-0.2,377.0843804191602
59,0.36,0.97,1.0,0.54,259.29964976868877
18,1.0,0.49,0.62,0.21,208.07806540291728
21,0.36,0.88,0.98,-0.12,322.25025294627653
4,1.0,0.71,0.78,0.31,214.92788256205847
33,0.3,0.35,0.12,0.3,338.0626571220937
30,0.34,1.36,0.43,0.19,310.3859946405585
63,0.52,1.28,0.88,0.34,350.61806829709684
37,1.0,0.32,0.88,0.16,241.11740371778384
22,0.02,1.5,0.0,0.6,373.6762741371183
78,0.27,0.57,1.0,-0.22,437.166039338316
31,0.0,0.85,0.0,0.42,270.44582192948525
60,0.32,0.76,0.96,0.0,293.67995016376733
61,1.0,0.16,0.72,0.0,244.85005957184097
23,0.53,0.68,1.0,0.04,317.0765966045883
24,0.88,0.88,0.76,0.72,217.86221219675565
35,0.12,0.85,0.48,0.32,248.39767241187616
9,0.19,0.93,1.0,0.4,373.97625656783987
11,0.32,0.66,1.0,-0.28,300.1812884176243
27,0.68,0.46,0.95,0.25,268.8060470777852
67,0.28,0.6,1.0,0.73,244.196495194451
82,0.88,0.84,0.81,-0.18,283.6503377566573
29,0.25,1.05,0.79,0.49,353.42380617810863
19,0.68,1.08,0.86,0.13,261.5534634122244
25,0.08,1.5,0.4,0.08,231.51005290024335
5,1.0,0.84,0.72,0.4,180.07300092865583
53,0.72,0.56,0.98,0.41,222.27877493818494
3,0.98,0.2,1.0,0.12,364.87768540445416
7,0.08,1.5,0.0,0.42,446.3967186407143
136,0.52,0.44,0.96,0.44,266.94507410714255
164,0.33,1.36,0.0,0.17,324.01451000768714
124,0.38,1.25,0.01,0.55,390.9577910659334
137,1.0,0.6,0.56,0.43,244.5933799792579
170,0.46,0.63,0.98,0.15,303.9928593592912
146,1.0,1.19,0.37,0.41,263.27326519713137
128,0.11,0.22,0.88,0.47,300.57778418550754
129,0.48,1.05,0.68,0.11,317.01979729794573
105,1.0,1.12,0.67,0.33,291.3234034502965
132,1.0,0.44,0.64,0.0,302.69685315133233
142,0.11,0.4,0.1,-1.0,477.9788756888888
134,0.92,0.28,1.0,-0.28,213.9399091409511
143,1.0,0.84,0.64,0.79,336.7116309391166
165,0.1,1.09,0.48,-0.16,218.129869434382
116,0.24,0.88,0.96,-0.13,405.22662613724765
111,0.88,1.16,0.87,0.0,259.1923407174247
99,1.0,0.5,0.88,0.47,191.03879309121317
135,0.68,0.36,1.0,0.23,265.23359899444324
118,0.11,1.3,0.25,0.61,285.85752163231456
103,0.32,0.48,0.88,0.0,348.05016929726105
148,0.84,0.71,0.99,0.5,338.0644857100257
101,0.08,1.5,0.48,-0.19,321.0363133113956
120,1.0,0.57,0.78,0.05,239.8011759256146
119,0.69,1.41,0.79,0.52,210.96673330683169
149,0.74,0.19,0.71,0.0,226.25117844152413
156,0.17,0.61,0.0,0.26,376.8953186169831
152,0.28,0.86,0.27,0.82,325.4279974202988
171,0.32,0.96,0.83,0.24,319.51770397753734
87,0.32,1.33,0.0,0.53,248.5498317100566
85,0.48,0.77,0.95,0.51,274.6467030478708
166,0.99,0.49,0.82,0.18,317.0454613303432
150,0.35,0.59,0.97,0.74,397.83701802791575
126,0.88,1.04,0.73,0.56,213.2333651925956
138,1.0,0.66,0.7,1.0,163.2320720317242
167,0.6,0.94,0.3,0.53,265.804847887494
88,1.0,1.31,0.0,0.27,281.89903371662933
158,0.21,0.74,0.66,0.46,330.9954115815928
92,0.29,0.66,0.72,0.52,259.3420186441346
95,0.68,0.36,0.99,0.32,245.15770009038326
133,0.93,0.21,0.88,0.44,247.4733991519477
106,0.24,0.97,0.88,0.4,317.21773064582794
130,0.74,0.89,0.83,0.48,261.36414161412074
154,0.27,0.83,0.1,0.14,179.31703484337783
97,0.72,0.56,0.88,-0.03,210.28359823796632
102,0.0,0.69,0.0,0.15,352.25400212852117
153,0.24,1.2,0.48,0.5,169.1209827328094
86,1.0,0.24,0.88,0.4,252.15099415945315
112,0.32,0.63,0.85,-0.69,331.2081583601024
114,0.8,1.5,0.1,0.68,193.50687631618337
121,0.06,0.72,0.1,0.08,317.0760213775092
159,0.81,0.92,0.87,0.24,298.8507364478161
168,0.88,0.52,0.88,0.37,200.95777112883474
155,0.11,0.98,0.68,0.39,262.17515052921766
125,0.67,0.34,0.72,-0.27,312.5498325126682
131,0.59,0.3,0.94,-0.08,370.65136416443363
115,1.0,0.97,0.58,0.12,214.95969320716512
107,0.52,0.06,1.0,0.74,416.24587687561683
109,1.0,0.53,0.65,0.37,205.6433120383167
96,0.09,1.01,0.68,0.32,217.91834707396634
127,0.6,0.36,0.73,0.12,262.06118655850406
110,0.16,0.81,1.0,0.52,409.6078015533543
162,0.03,0.82,0.1,-0.12,291.8928256986356
122,1.0,0.4,0.55,-0.04,350.44773991857727
140,0.96,0.37,0.88,0.12,188.29227369969453
144,0.88,0.57,0.87,0.49,269.7202689135862
163,0.27,0.6,0.0,1.0,463.16944641987527
117,0.23,0.97,0.0,-0.16,470.85922454028815
141,0.84,0.2,1.0,-0.06,286.31497776318474
160,0.3,0.59,0.96,-0.19,285.8752440803999
100,0.26,0.64,1.0,0.44,303.4604028932231
151,0.14,0.62,0.0,-0.08,336.42456779137046
139,0.23,1.28,0.64,1.0,243.9356374054358
157,0.23,0.65,0.0,0.92,395.08855073810327
93,0.48,0.88,0.79,-0.18,335.9127396523485
113,0.29,0.98,0.56,0.36,317.3812830542099
123,0.47,0.81,0.0,-0.58,406.3000675568484
161,0.11,0.25,1.0,0.22,289.4088581728896
98,0.49,0.79,0.98,0.37,395.8611627168257
104,0.02,1.5,0.0,0.12,403.49464156412
94,0.4,0.46,1.0,0.08,277.727475462237
108,0.76,0.44,0.99,0.01,195.04214416846622
145,1.0,0.7,0.57,0.53,220.07562508244013
147,0.3,0.85,0.98,0.5,292.9376450681529
169,0.12,0.85,1.0,0.44,436.6122765383363
