subID,alpha,theta,gamma,w,nll
64,0.29,1.5,0.35,-0.4,178.13806866574683
75,0.08,0.98,0.88,-0.24,329.786324658348
38,0.33,0.8,0.0,1.0,424.03692672916577
65,0.76,0.64,0.88,0.08,246.89884104968087
48,1.0,0.37,0.86,0.28,277.8919135361664
56,0.89,0.7,0.71,-0.27,261.416419049801
26,0.36,0.71,1.0,0.4,456.5433411062288
71,0.12,0.96,0.13,0.19,168.04608529839052
69,0.88,0.28,1.0,-1.0,250.39996358573137
8,0.18,0.94,1.0,0.01,358.9918561715371
44,0.4,0.05,1.0,-1.0,248.6277172527744
57,0.84,1.04,0.44,-0.72,162.61885426220005
50,0.32,0.53,1.0,0.08,307.18054710164665
77,0.0,0.84,0.0,1.0,404.2430453372011
32,1.0,0.36,0.88,0.11,331.57939626775493
40,1.0,0.48,0.97,-0.01,157.43662754009233
41,0.19,0.43,0.09,0.3,274.89146111210744
83,0.92,0.68,0.86,0.04,184.87788506518586
36,1.0,1.5,0.27,-0.38,223.15759996291905
54,1.0,0.36,0.46,0.12,203.68180748011167
72,0.01,1.5,0.0,-0.64,446.7912909649491
34,0.55,0.51,0.98,0.08,236.67842420998744
55,0.22,1.23,0.52,-0.6,240.12039809018705
39,0.18,0.75,0.88,-0.24,312.88731264099505
16,0.7,0.52,0.94,0.24,309.36823551581347
20,0.52,0.6,0.98,0.08,310.50411677913115
62,0.7,0.88,0.87,-0.13,238.57828013311484
42,0.68,0.52,0.88,-0.09,222.16743994856412
68,0.48,0.68,0.09,-0.02,351.83818254965337
79,0.63,1.06,0.01,0.29,330.5944801413103
14,1.0,1.5,0.6,1.0,227.55608965490455
58,0.15,0.88,0.48,-0.07,201.85731292304263
73,0.24,0.77,0.0,-0.53,167.13006043752756
17,0.31,0.56,1.0,0.04,320.4065546990829
46,0.33,0.42,0.74,-0.04,463.0417625490453
0,0.0,0.65,0.0,0.04,331.3130569564392
84,0.39,0.62,0.41,0.1,355.6118529382831
66,0.25,0.84,0.0,-0.12,224.63376144637311
15,0.88,0.4,0.99,-1.0,333.9407476471295
70,0.32,0.7,0.07,0.12,322.82210871667286
81,0.0,1.25,0.0,-0.12,302.97970017960984
49,0.61,0.68,0.99,-0.16,286.88037436379454
45,0.19,1.3,0.0,-0.52,398.9606009092409
47,0.88,0.76,0.83,-0.28,260.01583197701615
1,0.53,0.97,0.37,-0.13,481.0438367020437
6,0.4,0.76,1.0,-0.04,400.48821274992565
76,0.45,1.01,0.02,-0.35,267.7737436080927
12,0.97,1.17,0.33,-0.74,258.1788992644615
74,1.0,1.08,0.75,-0.27,260.5104620488388
2,0.24,0.73,1.0,0.6,445.2341359861741
51,0.86,0.24,0.99,0.12,183.0337227450037
80,0.38,0.35,0.0,0.02,417.398303366788
28,1.0,1.48,0.65,0.16,152.6657059836292
43,0.26,0.92,0.46,1.0,367.4719187338102
13,0.96,1.1,0.78,-0.85,206.94475700381093
10,0.26,0.78,0.91,0.72,389.46168973208034
59,0.4,0.97,0.99,-0.2,277.087412864293
18,1.0,0.47,0.62,0.2,208.6798486487524
21,0.01,0.74,0.0,0.57,287.1394904742209
4,1.0,0.7,0.79,-0.03,226.39468079799764
33,0.2,0.38,0.2,0.08,343.57567316025995
30,0.34,1.36,0.42,-0.07,313.3683958161336
63,0.32,1.17,0.88,-0.18,365.2377624551956
37,1.0,0.28,0.88,0.27,234.74348613780057
22,0.02,1.5,0.0,-0.28,387.13802118683736
78,0.28,0.58,1.0,-0.21,442.09169310661525
31,0.0,0.88,0.0,-0.19,277.56917989811234
