subID,alpha,theta,gamma,w,nll_idv,nll_grp
64,0.36,1.44,0.4,0.12,121.55983168996998,62.41698068473453
75,0.09,0.98,0.88,0.35,199.3587146244453,135.1967080074209
38,0.98,0.66,0.0,-1.0,304.8126226444867,109.93118232724451
65,0.88,0.72,0.88,-0.1,168.01773858995497,84.90843712697132
48,1.0,0.41,0.85,0.4,145.05606319214837,139.04522022370952
56,1.0,0.65,0.75,0.47,203.51466344514017,48.22818181325165
26,0.33,1.09,1.0,0.15,341.74143944129275,128.87617914538015
71,0.18,0.96,0.0,0.49,64.75979018182522,99.27140398647286
69,0.16,0.64,0.4,-0.15,160.45398917229227,110.73234895117285
8,0.19,0.97,1.0,0.16,271.90100111851507,96.24830036365256
44,0.4,0.05,1.0,0.04,170.34319500471162,82.92981632787574
57,1.0,1.04,0.46,0.71,84.16612531822874,45.35522425007299
50,0.44,0.53,1.0,-0.08,217.49561661559386,94.47510042708642
77,0.03,0.88,0.0,-0.48,288.9428443044775,89.07545638690523
32,1.0,0.43,0.85,0.49,217.75157972079916,113.76147137357461
40,1.0,0.48,0.97,0.0,124.02284190209485,45.29321990314361
41,0.48,0.41,0.57,0.49,215.85683644338943,60.18323116212134
83,1.0,0.69,0.86,0.3,130.5344400399094,62.09426906520613
36,1.0,1.42,0.27,0.12,160.14436702122308,79.01924883047127
54,1.0,0.4,0.43,0.0,140.45784084681617,71.78383969713235
72,1.0,1.5,1.0,0.52,298.80503814682504,140.4198350059417
34,0.64,0.51,0.98,0.36,164.97820924461885,77.2636516717697
55,0.17,1.03,0.33,0.04,200.37398893057602,90.96865549611783
39,0.23,0.77,0.88,-0.32,195.59043074515066,116.79540796447661
16,0.05,0.77,0.1,0.2,225.9460874307816,92.76139442062046
20,0.52,0.6,0.99,0.07,224.8569152606222,97.55961281232537
62,0.68,0.71,0.94,-0.12,165.5233402712584,80.06095119643909
42,0.72,0.44,0.88,0.12,143.9444438461645,87.63885876642512
68,0.56,0.66,0.03,0.53,242.26281501554544,59.22421674038792
79,0.76,1.08,0.22,-0.25,207.78489785704386,102.48121425162681
14,1.0,1.5,0.63,-0.48,127.37658015178174,97.62116217006846
58,0.2,0.87,0.68,-0.46,147.6878725323204,39.00248920282148
73,0.26,0.61,0.0,0.0,96.48207137067523,98.98843483848
17,0.32,0.6,1.0,-0.35,239.0853657566128,81.3111967254941
46,0.42,0.44,0.7,0.88,324.34597489441796,139.72215548656627
0,0.0,0.62,0.0,0.22,215.3975689963559,117.75694888970973
84,0.49,0.61,0.35,0.25,257.8840727583324,99.29885399227388
66,0.31,0.84,0.0,0.29,194.3991347976759,28.681772573280547
15,0.47,0.61,0.88,-0.44,245.27889052330468,102.02788791404711
70,0.38,0.71,0.08,-0.42,222.97326377482125,69.44853044097135
81,0.0,1.23,0.0,0.19,216.53756238056732,94.92145340961815
49,0.76,0.64,0.99,0.23,181.15566528895127,113.56730660536726
45,0.18,1.32,0.0,0.54,264.7801064818169,131.97137571544232
47,0.89,0.65,0.86,-0.12,188.05581543271234,85.36300162408867
1,0.66,0.94,0.59,0.42,316.9743225110558,149.13045632542827
6,0.4,0.7,1.0,0.26,305.0746179226403,103.42085243965786
76,0.43,0.88,0.0,-0.08,224.94883489725387,59.43717424207116
12,1.0,1.09,0.3,0.49,163.9583802818266,122.53883072197901
74,1.0,1.1,0.68,-0.13,170.09703794112534,103.80699447575971
2,0.24,0.78,0.88,-0.39,282.3672856567903,137.06457929828923
51,1.0,0.24,0.99,0.24,134.36574434292342,60.29713426129979
80,1.0,0.31,0.0,0.44,267.55516253540833,125.0900466684108
28,0.68,1.12,0.76,0.0,123.44019198385257,49.16298148865057
43,0.32,1.0,0.72,-0.32,261.1403837392061,103.16652565001358
13,0.96,0.96,0.81,0.7,134.6295713729853,113.8728581511496
10,0.28,0.84,0.95,-0.19,280.2669335567761,117.34819074611895
59,0.36,0.96,1.0,0.52,210.6994839947915,57.790664130019444
18,1.0,0.49,0.55,0.22,145.25919948013816,68.5241762857729
21,0.96,0.48,1.0,0.0,240.96263756103383,85.11586487649463
4,1.0,0.7,0.79,0.29,148.67047563838165,73.76236155799329
33,0.32,0.35,0.1,0.3,248.3366115413994,102.34081717364451
30,0.35,1.32,0.42,0.21,246.15834854861453,74.10218950139061
63,0.43,1.22,0.88,0.33,244.547605628772,114.92794165968458
37,1.0,0.32,0.88,0.17,159.50046548162263,86.32233247044927
22,0.02,1.5,0.0,0.57,280.82487735067184,101.49487973911573
78,0.36,0.57,1.0,-0.21,206.71132181507872,98.21919966941597
31,0.0,0.85,0.0,0.39,181.93775394118026,94.67413681568584
60,0.38,0.8,0.88,0.04,214.43197631196608,87.78308936942925
61,1.0,0.17,0.72,0.0,161.27962350027062,87.5957389557139
23,0.6,0.69,1.0,0.0,238.42989998919083,82.89437640880138
24,0.96,1.05,0.66,0.4,169.35018569461045,63.42092007220805
35,0.13,0.83,0.36,0.22,190.98874625377286,67.87875812010074
9,0.19,0.93,1.0,0.36,255.7813010197472,128.6912271266431
11,0.32,0.66,1.0,-0.24,205.29585760007447,107.00589260264161
27,0.72,0.48,0.95,0.19,175.27261147117915,100.52391026228239
67,0.39,0.56,1.0,0.68,206.80801869914242,43.00906650994641
82,0.92,0.88,0.81,-0.23,190.90907555408538,93.68225329820146
29,0.25,1.0,0.84,0.45,276.49575307683097,88.25950680830461
19,0.71,1.08,0.86,0.13,203.3539480531547,73.60331642309168
25,0.09,1.5,0.38,0.08,179.1177760127174,56.339741223509215
5,1.0,0.8,0.72,0.31,137.74677326163444,53.48386420121115
53,1.0,1.0,0.63,0.51,167.94375376953087,70.60402720625135
3,1.0,0.22,0.99,0.1,274.6783043569422,134.89127985838303
7,0.08,1.5,0.0,0.41,338.27538984041416,118.61213644140079
136,0.55,0.4,0.98,0.32,192.30434785835206,81.63345835195041
164,0.44,1.25,0.68,-0.17,236.40334997701777,97.68245906407263
124,0.42,1.32,0.01,0.53,301.3499931954445,103.94442249924126
137,1.0,0.61,0.55,0.6,172.61889936308748,75.60184440888526
170,0.47,0.65,0.96,0.08,228.14158040415674,90.62203937920036
146,0.48,0.95,0.47,0.28,194.48379896409992,70.12941383821796
128,0.12,0.23,0.88,0.45,211.71148929937925,100.28243406146734
129,0.44,1.01,0.76,0.0,223.97497493521197,101.18672996440121
105,1.0,1.07,0.68,0.26,193.39326735232413,111.25827588753194
132,1.0,0.45,0.66,0.0,214.6920541667976,91.10101661757557
142,0.32,0.4,0.0,-1.0,477.45703894633806,2.103017059379435
134,0.98,0.28,1.0,-0.32,168.47956308148048,54.14419706945987
143,1.0,0.83,0.69,0.79,174.4614550981856,166.99812452339697
165,0.12,1.09,0.48,-0.17,139.7425050839951,86.47956198194746
116,0.22,0.9,0.99,-0.14,264.2739743088006,144.57620306351728
111,0.88,1.14,0.88,0.0,198.89303004962076,69.350110470584
99,1.0,0.53,0.88,0.45,144.01853984881996,53.821371540302266
135,0.87,0.36,1.0,0.26,177.14979724019267,87.54797278536728
118,0.13,1.31,0.26,0.58,217.49250502069464,76.3381822846536
103,0.32,0.48,0.88,0.0,250.97754735079764,105.66998147962968
148,0.96,0.71,0.99,0.52,225.8828408118308,113.75104625966333
101,0.08,1.48,0.48,-0.21,244.8620869002131,84.24956354556119
120,1.0,0.58,0.77,0.04,165.27739177396563,81.82719215847258
119,0.74,1.37,0.79,0.46,162.75716089906413,57.54235317820316
149,0.79,0.19,0.71,0.0,162.8330221324149,69.13372098182265
156,0.24,0.61,0.0,0.25,272.1616870224345,107.4063944223172
152,0.3,0.86,0.21,0.71,297.2995886105135,39.25797240377251
171,0.33,0.91,0.77,0.15,229.6142624197554,98.55151304923046
87,0.34,1.3,0.0,0.48,189.12093403203914,67.41559478218939
85,0.48,0.8,0.94,0.48,197.82141736110682,85.48156931715349
166,1.0,0.5,0.81,0.22,236.86773029555508,86.137828371465
150,0.36,0.61,0.97,0.81,276.6933294564968,128.33882679659672
126,1.0,1.1,0.66,0.48,154.4250309504338,77.51475139196437
138,1.0,0.62,0.79,1.0,118.18648632774865,60.77417318938843
167,0.6,0.88,0.22,0.43,177.23165490155995,95.85560073713582
88,0.54,0.98,0.0,0.14,210.78346587975386,81.43292852030928
158,0.25,0.76,0.67,0.46,258.084745371148,94.6345333457436
92,0.87,0.55,0.97,0.16,187.46466216046704,83.93796395778021
95,0.69,0.4,0.99,0.3,175.53014302408684,76.16195712187631
133,0.88,0.16,0.98,0.4,189.5487584059497,71.98599042716941
106,0.26,0.98,0.88,0.39,241.60176244683169,86.8771394251623
130,0.8,0.88,0.83,0.44,198.20862954263387,77.70372055090618
154,0.28,0.83,0.1,0.11,136.2038261575832,46.856995604569455
97,0.76,0.56,0.88,-0.02,154.43234925764602,64.54961101850841
102,0.0,0.69,0.0,0.15,264.28078828380495,98.8619535466405
153,0.28,1.21,0.45,0.46,149.0852879845328,22.777775494531877
86,1.0,0.24,0.88,0.35,193.42949291309682,76.73284266671877
112,0.3,0.59,0.28,-0.25,225.38439506386877,121.7055995679161
114,0.86,1.5,0.2,0.62,105.18486422175764,89.13141702740225
121,0.05,0.72,0.1,0.08,231.77037536080425,90.70804245487828
159,0.79,0.88,0.87,0.17,211.7279648002762,97.71251111149405
168,0.68,0.43,0.97,0.33,148.21716867380508,73.0807339414673
155,0.13,0.96,0.72,0.36,181.24695752280903,89.38196913123019
125,0.79,0.38,0.72,-0.25,219.5968104522307,102.14786967810154
131,0.62,0.29,0.95,0.0,262.40760254662894,118.55418888479429
115,1.0,0.94,0.58,0.12,152.26867495106538,65.8639719049809
107,0.92,0.03,1.0,0.71,296.7290911023965,141.15876128226682
109,1.0,0.52,0.64,0.32,146.47970201892466,66.53140785221328
96,0.09,1.02,0.52,0.3,153.21131641561556,69.90173961315942
127,0.46,0.41,0.43,0.23,215.71877458442708,65.29870650716592
110,0.17,0.81,1.0,0.55,293.0032531900005,121.53767106050626
162,0.03,0.82,0.1,-0.12,199.42349591247708,99.37330448476885
122,1.0,0.38,0.53,-0.03,251.10443649835048,110.29002186830895
140,1.0,0.36,0.88,0.11,132.1047201871202,64.84152076358102
144,0.76,0.57,0.88,0.38,189.96734177908374,94.71660864078231
163,0.35,0.63,0.0,1.0,346.00436161804834,133.1856147217315
117,0.28,0.97,0.01,-0.13,304.2273473583896,175.65221446528875
141,0.0,0.63,0.0,0.0,220.71607224134848,77.71187665554554
160,0.32,0.59,0.96,-0.17,205.6961785390019,87.74541399110826
100,0.28,0.64,1.0,0.41,227.53108314875573,88.32150331538861
151,0.24,0.58,0.0,-0.1,194.2848536255323,147.61878106980927
139,0.26,1.32,0.64,0.84,205.29937974859993,49.7700774208281
157,0.28,0.66,0.0,0.88,294.49680345236686,100.46397854177361
93,0.68,1.0,0.79,0.4,221.7129998457282,127.01819836358501
113,0.34,0.99,0.6,0.22,218.0918460842785,108.0523817051715
123,0.51,0.81,0.0,-0.32,270.57749898996997,156.25725710742725
161,0.11,0.26,1.0,0.24,216.31836437548165,81.4815139867454
98,0.68,0.79,1.0,0.42,275.10807701092796,133.0317013166982
104,0.02,1.5,0.0,0.12,299.4790658288192,118.68325670350286
94,0.48,0.47,1.0,-0.38,204.71396327092083,82.65200087518676
108,0.84,0.44,0.99,0.07,143.0387759069682,68.6243700552271
145,1.0,0.52,0.83,0.53,138.14195708759945,86.27114933981798
147,0.34,0.84,0.97,0.48,212.25003252017922,89.78243086308348
169,0.13,0.86,1.0,0.45,346.81475348399493,98.47096462842268
89,0.02,0.64,0.1,-0.12,223.12731739660725,107.98073754694978
90,0.24,0.84,1.0,-0.17,259.6005895279265,114.55325574743519
234,1.0,0.4,0.67,-0.05,154.11964875372598,80.66377971916307
222,0.36,0.94,0.19,0.64,259.55386405405295,57.08881442798148
258,0.29,0.79,0.88,0.2,184.83891282858372,120.84106290308283
172,0.12,0.8,1.0,0.18,306.19223037626557,128.42814201005004
210,1.0,1.29,0.68,0.39,109.6674329306553,71.36746350724736
196,0.56,0.76,1.0,0.0,196.29713049243725,94.38671466860818
192,1.0,0.49,0.88,-0.04,162.30825891568503,65.98811104496713
228,1.0,0.72,0.85,0.53,151.2057844643357,111.85289892030661
223,0.4,0.98,0.82,-0.32,150.5673370736989,47.93869343351489
