subID,alpha,theta,gamma,w,nll_idv,nll_grp
64,0.14,1.43,0.68,0.0,133.48823883841214,58.28262369586685
75,0.0,0.98,0.0,0.34,210.41007698549694,144.20422879627523
38,0.16,0.61,0.0,-0.98,311.3884312300363,118.12987584970837
65,0.48,0.69,0.85,-0.32,143.89101185504566,89.75528140650937
48,0.88,0.02,0.9,0.32,146.49610136983088,144.48802594913613
56,0.16,0.69,0.48,0.43,192.67464977020484,43.66107393056079
26,0.93,0.31,1.0,0.31,363.0142012262541,131.2163082472398
71,0.08,0.88,0.0,0.56,79.83421017560016,94.42718027956427
69,0.03,0.56,0.1,-0.13,166.91764115521613,109.89094669952004
8,0.01,1.34,0.02,0.56,268.23637023674524,102.7054838681971
44,0.09,0.07,1.0,-0.01,172.025638852911,82.17337525484452
57,0.11,0.83,0.0,0.76,100.74143807297372,40.80491774549339
50,0.26,0.43,0.97,0.32,209.06627574363233,100.45895835466025
77,0.0,0.88,0.0,-0.47,290.69627572728797,91.20763183797298
32,0.49,0.53,0.86,0.38,217.95406981317157,108.14320463871934
40,0.31,0.68,0.86,0.14,136.42606464912194,55.496769561116785
41,0.27,0.41,0.84,0.6,207.29837027195381,65.85555253516712
83,0.32,0.31,1.0,0.24,151.56939119347138,63.63345770894216
36,0.12,1.09,0.26,0.28,180.76456574504164,87.95199011441403
54,0.28,0.36,0.28,0.04,140.6939923933943,80.70934084029682
72,0.3,1.48,1.0,0.51,305.64541531806003,128.55715627690188
34,0.21,0.48,0.97,0.24,174.8294378470254,68.91836414179873
55,0.04,1.01,0.1,0.21,199.53324063043405,101.91445343479684
39,0.13,0.76,0.87,-0.32,194.66076243831867,125.26191940153606
16,0.01,0.78,0.02,0.4,226.47371808881624,88.71200299644977
20,0.46,0.68,0.86,0.15,212.89652876066407,91.54774353786746
62,0.22,0.68,0.95,0.1,165.68248833920282,74.49325653112092
42,0.27,0.24,0.96,0.25,158.51046958040183,99.82553538531862
68,0.12,0.64,0.02,0.55,233.06411056758972,55.658545064152385
79,0.14,0.96,0.29,-0.25,211.41061165811396,66.8820359041028
14,0.38,1.5,0.57,-0.53,135.96302571865778,102.30610846602006
58,0.08,0.88,0.68,0.4,146.7032021450139,41.25643355218481
73,0.13,0.5,0.12,-0.24,115.62968657330794,81.39636807387427
17,0.09,0.63,0.0,0.4,225.00874720753643,94.00457996921331
46,0.94,0.04,0.98,0.32,322.5939524721662,141.8709661385191
0,0.0,0.62,0.0,0.2,215.3975689963559,118.74600301051409
84,0.14,0.52,0.0,0.43,254.27907830204916,102.17436878845035
66,0.13,0.88,0.08,0.25,179.93236270791195,27.1524453003309
15,0.22,0.48,0.98,-0.5,242.36180805758192,102.70295909374074
70,0.09,0.72,0.0,-0.51,274.64612731796706,67.9174241143317
81,0.0,1.23,0.0,0.18,216.53756238056732,95.69781534430622
49,0.17,0.72,0.97,0.26,185.16547842982334,110.78403221390074
45,0.08,1.5,0.0,0.52,265.04980984938715,125.61885093696303
47,0.32,0.62,0.83,0.08,181.69480912097427,85.14559612273037
1,0.88,0.24,1.0,0.3,346.2977705816149,111.67636694954018
6,1.0,0.06,1.0,0.5,294.7745482729369,119.28507003430632
76,0.08,0.88,0.0,0.48,230.77710498099057,70.23533687732196
12,0.22,0.99,0.34,0.55,175.38085909449563,111.03903655463257
74,0.33,0.88,0.83,0.0,165.03715020890633,91.45197531439048
2,0.1,0.78,0.06,-0.21,289.0341309558426,137.21527882169832
51,0.32,0.24,1.0,0.04,139.9196575650064,63.8451403787288
80,0.19,0.36,0.0,0.41,266.84983371157034,128.5978810629486
28,0.25,1.28,0.74,0.11,117.79024010433655,51.75840494770414
43,0.24,1.06,0.48,-0.32,275.7848323742766,91.69887856166784
13,0.16,0.88,0.57,0.56,155.17385877122453,109.9038382408111
10,0.16,0.77,0.72,1.0,271.902357188821,132.0994928822531
59,0.0,1.01,0.0,0.49,227.01229102891935,55.512436273697254
18,0.41,0.55,0.56,0.17,148.39238867521232,66.84631574664695
21,0.1,0.96,0.88,-0.9,236.57083699594585,98.2307720227038
4,0.3,0.61,0.83,0.33,149.5155456537718,77.31058843611109
33,0.12,0.32,0.09,0.28,245.74509029814143,105.25715052287849
30,0.08,1.32,0.52,-0.22,264.0064697715508,77.95462928735728
63,0.08,1.28,0.32,0.39,252.39581277678096,112.68113817933141
37,0.26,0.3,0.88,0.12,162.97638301144292,85.34526376637201
22,0.88,0.88,1.0,0.68,345.64221536593845,96.28252962600979
78,0.0,0.7,0.0,-0.43,208.0251540066488,97.17346891993704
31,0.0,0.85,0.0,0.42,181.93775394118026,93.30919494414267
60,0.02,0.9,0.1,-0.08,228.3141152857281,87.63998965566836
61,0.24,0.12,0.88,0.0,165.2245493584524,83.61355682276734
23,0.13,0.96,0.88,-0.02,237.29002398785798,85.43220704105813
24,0.27,0.88,0.78,0.77,144.60565020901245,67.84205030825255
35,0.16,0.82,0.73,0.27,192.9598505965174,63.060366549322566
9,0.88,0.28,1.0,0.48,305.68976756271906,125.96656535758095
11,0.23,0.69,0.95,-0.4,209.0504401602078,104.55634405308207
27,0.18,0.43,0.98,0.12,176.34637753059187,96.18072440514864
67,0.24,0.52,0.95,0.56,194.31745961110082,41.346037697861796
82,0.16,0.89,0.76,-0.19,194.94959245829702,88.59640475291332
29,0.02,1.28,0.1,0.64,283.820801423647,95.50928595421384
19,0.09,0.97,0.68,-0.21,213.0766880601907,82.37797370747059
25,0.02,1.5,0.1,0.28,177.94468617324264,57.111354150456556
5,0.28,0.66,0.8,0.41,143.70061857251537,53.23716412034153
53,0.19,0.99,0.62,0.54,168.50097061208712,79.731178093735
3,0.3,0.24,1.0,0.01,293.9326998456262,134.66730367028828
7,0.01,1.5,0.0,0.32,341.2457394768361,117.13756252016357
136,0.1,0.44,1.0,0.68,191.86208633895498,87.04009264984583
164,0.08,1.12,0.14,-0.13,222.54298516224648,98.88524470080202
124,0.08,1.5,0.0,0.62,302.15741796065623,102.21999215702215
137,0.37,0.65,0.66,0.12,162.26478625184362,74.90867186134969
170,0.01,0.77,0.02,0.32,234.05538474490993,92.35193638956706
146,0.15,0.91,0.45,0.39,195.9190909577119,73.3635194098023
128,0.02,0.32,0.0,0.43,215.65619314834873,100.02238831529972
129,0.13,0.92,0.55,0.12,219.2096694951402,104.326651155887
105,0.26,0.88,0.68,0.41,210.90549727111232,112.8306964463883
132,0.18,0.39,0.79,0.0,217.14145262306542,92.27699641279918
142,1.0,0.0,0.89,-0.9,459.3119624090351,14.286567877772715
134,0.46,0.16,1.0,-0.12,158.9748799068954,84.09307159118305
143,0.6,1.32,0.67,0.41,156.33451097788335,132.12506861310757
165,0.01,1.0,0.02,-0.04,146.5289881118328,85.10155715078726
116,0.08,0.97,0.28,0.2,273.83235827055586,149.05049822680687
111,0.19,1.06,0.85,0.0,192.0525450809632,70.98838429054189
99,0.37,0.24,0.98,0.48,148.70449817040637,51.46823112390352
135,0.24,0.4,0.99,0.26,164.6392977315366,86.35558308466747
118,0.03,1.28,0.1,0.58,218.2512932580927,72.77074295526222
103,0.22,0.47,0.82,0.08,247.79596717463107,106.8234637515467
148,0.18,1.01,0.78,-0.32,229.82019159845632,101.47988096715729
101,0.08,1.28,0.69,-0.32,286.09674563985766,49.39688317424371
120,0.37,0.48,0.83,0.0,169.28206931372782,85.22569366185036
119,0.2,1.21,0.82,0.64,168.22818262056145,60.564483668383474
149,0.23,0.21,0.6,0.0,161.3907655790338,69.83690896968365
156,0.08,0.58,0.08,0.28,266.1044772890996,108.29910173815944
152,1.0,0.06,1.0,0.86,320.5295359860877,40.60594247163001
171,0.15,0.96,0.83,-0.06,229.39914163460077,89.8216235873806
87,0.08,1.28,0.0,0.52,187.52414647162638,65.86877383836067
85,0.14,0.8,0.95,0.53,205.53584106257927,84.95903593959814
166,0.24,0.48,0.83,0.24,234.88949841528884,88.16495024830449
150,0.0,0.75,0.0,-0.91,289.9790006403704,131.04627536694892
126,0.13,0.92,0.48,0.49,154.5720138052432,72.40898306479247
138,0.54,0.86,0.78,1.0,92.77592035991718,60.725995031133024
167,0.13,0.92,0.12,0.57,171.20139171488057,98.03276769530805
88,0.12,1.14,0.0,0.3,207.80492748134085,83.52928010030803
158,0.4,0.48,1.0,0.56,282.13368841522254,93.72426941227721
92,0.25,0.7,0.87,0.52,178.51503497562757,89.64151969996618
95,0.15,0.37,1.0,0.29,187.1476905962886,73.59614172611683
133,0.12,0.19,0.88,0.52,193.2777553109849,74.08837207848805
106,0.08,1.02,0.84,0.37,242.33139032317348,87.56466677388387
130,0.19,0.81,0.8,0.47,210.99456092926988,79.94409384146873
154,0.08,0.83,0.08,0.14,137.17848877655575,44.673522102138
97,0.16,0.32,0.99,0.0,175.8944967665471,74.93229879123507
102,0.0,0.69,0.0,0.12,264.28078828380495,98.98356486408792
153,0.08,1.32,0.48,0.48,148.0444188458769,25.3198114173754
86,0.52,0.22,0.88,0.32,193.75160104467358,70.07860419968517
112,0.17,0.52,0.92,-0.75,213.78127530848204,132.5479879680094
114,0.09,1.08,0.48,0.64,141.68232758237477,88.68161270659053
121,0.01,0.71,0.02,0.08,231.90022300106642,93.21356456314484
159,0.16,0.76,0.85,0.14,232.4263529190418,92.96694125851694
168,0.44,0.24,1.0,0.36,116.04760758857577,68.90578430120723
155,0.08,0.96,0.85,0.32,186.15869633989803,84.7727441296245
125,0.24,0.48,0.72,-0.23,213.79201263709712,98.51323395441352
131,0.0,0.7,0.0,0.08,262.23911507542533,117.41690952035262
115,0.32,0.98,0.66,0.04,141.3987763231698,61.14123264577342
107,0.88,0.0,1.0,0.32,326.1546463329956,156.6830624391342
109,0.46,0.29,0.88,0.45,141.81357066423035,69.86565396640341
96,0.02,1.01,0.1,0.4,151.78891486002436,76.62155630480271
