subID,alpha,theta,gamma,w,nll
64,0.14,1.42,0.68,0.0,188.09367710703998
75,0.0,0.99,0.0,0.37,345.76871034437113
38,0.16,0.61,0.0,-0.97,421.8464494311485
65,0.49,0.68,0.85,-0.32,221.83001832727757
48,0.88,0.0,0.91,0.32,286.39331917066374
56,0.16,0.69,0.48,0.46,229.77855042561515
26,0.96,0.28,1.0,0.3,481.4856958612936
71,0.08,0.88,0.0,0.68,167.1981922775637
69,0.03,0.56,0.1,-0.13,269.9197503626648
8,0.91,0.16,1.0,0.52,402.09889104460217
44,0.09,0.07,1.0,-0.01,248.9442568434813
57,0.12,0.83,0.0,0.84,130.98094712121195
50,0.26,0.42,0.97,0.32,304.8201067147951
77,0.0,0.88,0.0,-0.48,372.0389153630596
32,0.49,0.52,0.87,0.36,319.8039542770757
40,0.31,0.68,0.86,0.15,185.73265855100288
41,0.27,0.41,0.84,0.6,267.72358385590974
83,0.32,0.31,1.0,0.24,203.4119175441726
36,0.12,1.08,0.26,0.28,255.99609999534096
54,0.28,0.35,0.28,0.08,213.78248354584804
72,0.3,1.48,1.0,0.52,428.2048802465305
34,0.21,0.48,0.97,0.31,237.42764419074817
55,0.04,1.01,0.1,0.21,295.5946522477331
39,0.14,0.65,0.88,0.26,311.83363190710656
16,0.01,0.77,0.02,0.48,307.35251436444753
20,0.48,0.69,0.86,0.16,295.6232075186726
62,0.23,0.69,0.94,0.12,233.3229882998329
42,0.27,0.24,0.96,0.26,248.77650351737395
68,0.12,0.65,0.02,0.57,280.4835283162584
79,0.14,0.96,0.29,-0.25,265.13375135154365
14,0.38,1.5,0.57,-0.54,227.00500813953408
58,0.08,0.88,0.68,0.42,183.14608693142074
73,0.13,0.5,0.12,-0.25,190.79776038001793
17,0.09,0.64,0.0,0.42,311.9069267814006
46,0.94,0.04,0.98,0.32,453.3119897854753
0,0.0,0.63,0.0,0.2,328.1591855886808
84,0.14,0.51,0.0,0.44,348.65251797871167
66,0.13,0.88,0.09,0.28,197.95325239933715
15,0.23,0.45,0.97,-0.48,336.378141033822
70,0.09,0.72,0.0,-0.51,337.4145632967326
81,0.0,1.25,0.0,0.2,302.77189057760353
49,0.17,0.72,0.97,0.28,289.8110484985026
45,0.08,1.5,0.0,0.52,381.77781300211984
47,0.31,0.65,0.81,0.12,260.6637107276922
1,0.88,0.24,1.0,0.29,451.2797842603669
6,1.0,0.06,1.0,0.52,407.5260372890164
76,0.08,0.88,0.0,0.48,297.6214545734507
12,0.22,0.99,0.34,0.55,283.1060916437897
74,0.33,0.88,0.83,0.0,249.06761840640456
2,1.0,0.09,1.0,0.32,461.38293162804416
51,0.32,0.24,1.0,0.0,200.07252430400683
80,0.21,0.35,0.0,0.42,385.19139018691243
28,0.25,1.28,0.74,0.12,163.45064486771975
43,0.24,1.06,0.48,-0.32,358.045857623056
13,0.22,1.0,0.6,0.7,258.32564054304686
10,0.16,0.77,0.72,1.0,386.9328526070839
59,0.0,1.01,0.0,0.5,276.2261935800983
18,0.4,0.53,0.56,0.18,210.33543875723302
21,0.14,0.93,0.87,-0.95,332.8323323249714
4,0.3,0.61,0.83,0.32,221.21303039616748
33,0.12,0.32,0.09,0.28,337.90080367911685
30,0.08,1.32,0.52,-0.23,333.98583990283896
63,0.08,1.28,0.32,0.39,360.7837778612401
37,0.26,0.3,0.88,0.11,243.9305552375621
22,0.0,1.5,0.0,0.59,375.1796480092219
78,0.01,0.72,0.02,-0.45,452.1470266210805
31,0.0,0.85,0.0,0.42,270.44582192948525
60,0.02,0.92,0.08,-0.08,308.35095992242407
61,0.24,0.11,0.88,0.0,244.5073091991514
23,0.13,0.72,0.99,0.08,315.7372731415349
