subID,alpha,theta,gamma,w,nll_idv,nll_grp
64,0.14,1.42,0.48,0.12,122.66018447094557,65.53277158641092
75,0.0,0.98,0.0,0.34,210.41007698549694,144.20422879627523
38,0.11,0.8,0.72,-0.39,323.52536401637974,96.73432038834383
65,0.72,0.72,0.83,-0.16,151.9515735740579,84.63169581654648
48,0.69,0.29,0.81,0.45,131.51640772986687,142.55866118011275
56,0.2,0.68,0.48,0.45,195.93290083188225,46.57249792599884
26,0.17,1.38,0.91,0.36,344.99507640836475,127.95429160331636
71,0.08,0.94,0.0,0.68,70.42827559487507,95.80456765169689
69,0.66,0.2,0.99,-0.35,160.2431337743475,112.45432116956084
8,0.0,1.35,0.0,0.58,268.2072485187034,103.19992006434516
44,0.14,0.07,1.0,0.02,171.65262467991164,82.90122937126957
57,0.16,0.84,0.0,0.77,98.29989553592993,40.60094704944476
50,0.32,0.48,0.96,0.08,212.4469161701128,96.09074669072616
77,0.01,0.92,0.0,-0.47,289.1758560922011,88.5159346216184
32,0.68,0.52,0.88,0.4,217.47605227563255,108.39017773592315
40,0.48,0.68,0.86,0.0,119.93943272642639,36.719876106037916
41,0.45,0.38,0.87,0.56,206.99712326656524,64.81747422492755
83,0.35,0.68,0.88,0.25,145.55925552168605,63.36983675225499
36,0.26,1.23,0.19,0.15,163.88773129956812,71.4057094604568
54,0.63,0.42,0.39,0.0,132.55231118422833,72.36654666191278
72,0.4,1.48,1.0,0.5,296.86320576792815,129.37306370271526
34,0.28,0.51,0.97,0.44,165.9756065122645,74.73828020923919
55,0.19,0.78,0.97,0.13,208.10871670341947,89.80715361363754
39,0.08,0.81,0.7,-0.4,198.19418361500556,113.09889085002257
16,0.02,0.76,0.1,0.42,226.0194429760182,89.37167224565967
20,1.0,0.79,0.82,-0.16,205.50927544419838,97.67635778755538
62,0.32,0.8,0.88,0.08,162.67771918556485,81.82744410401449
42,0.37,0.36,0.88,0.26,150.70279778002893,98.07293634134776
68,0.17,0.64,0.02,0.56,236.93094368822898,57.129363816809864
79,0.21,0.99,0.21,-0.22,195.82311432467142,71.56902603078908
