subID,alpha,theta,gamma,w,nll
64,0.32,1.4,0.42,0.11,183.90081499524962
75,0.16,1.08,0.72,0.65,302.5094091986192
38,1.0,0.79,0.0,0.55,433.980290675751
65,0.71,0.52,0.95,0.32,233.75553375073477
48,1.0,0.4,0.86,0.46,258.705592102624
56,0.89,0.68,0.71,0.72,244.75016857495024
26,0.32,1.09,1.0,0.27,454.53860679909667
71,0.17,0.98,0.0,0.62,133.61870555304384
69,0.88,0.28,1.0,-0.62,243.94342104159605
8,0.1,0.95,1.0,0.55,336.9241118736381
44,0.4,0.05,0.99,-0.04,247.56774440761976
57,0.78,1.03,0.43,1.0,108.72196481493562
50,0.52,0.46,1.0,0.34,297.2549019083756
77,0.0,1.13,0.0,-0.6,440.8138333749228
32,1.0,0.37,0.88,0.23,327.5294533101823
40,1.0,0.48,0.96,0.18,156.11317205974117
41,0.52,0.34,0.78,0.96,246.31812453293398
83,0.92,0.68,0.86,0.39,177.88628980980445
36,1.0,1.44,0.28,0.13,227.80921741699055
54,1.0,0.4,0.45,0.0,204.64514985452686
72,0.01,1.5,0.0,0.62,422.5618357279436
34,0.59,0.52,0.97,0.51,226.82750193258772
55,0.44,0.88,0.94,0.26,264.4084412595606
39,0.26,0.84,0.84,-0.48,300.0624743542601
16,0.05,0.75,0.1,0.41,303.2955709056731
20,0.52,0.6,0.99,0.19,308.3288365766433
62,0.67,0.72,0.93,-0.08,237.42678118648624
42,0.68,0.48,0.88,-0.1,222.615748356741
68,0.53,0.67,0.03,0.68,306.3916722065899
79,0.84,1.14,0.0,-0.46,309.94547118162694
14,1.0,1.5,0.62,-0.61,224.67021247632312
58,0.15,0.84,0.72,-1.0,178.98079999825387
73,1.0,0.74,0.63,0.0,189.79144753973708
17,0.32,0.56,1.0,0.28,317.38819980323774
46,0.48,0.34,0.85,0.31,453.225864323152
0,0.0,0.64,0.0,0.12,330.27512751261474
84,0.44,0.63,0.4,0.41,343.0355422047703
66,0.25,0.83,0.01,0.44,220.26398274884667
15,0.83,0.52,0.97,-0.64,324.6809510728893
