subID,alpha,theta,gamma,w,nll
0,0.03,0.61,0.1,0.22,328.7967921305824
1,0.51,0.88,0.6,0.52,297.47162041152086
2,0.11,0.84,1.0,-0.32,341.7147448875082
3,1.0,0.28,1.0,0.65,298.12985975246096
4,0.64,0.36,1.0,0.72,294.70244852529515
5,0.32,0.53,0.72,0.66,282.653254714793
6,0.13,0.78,0.88,0.51,316.6931436096978
7,0.08,1.5,0.48,0.4,274.0660045543831
8,0.21,1.06,0.83,0.66,252.1251167764413
9,0.12,0.99,1.0,0.7,275.2802328806394
10,0.17,0.63,0.88,0.5,303.5127219115409
11,0.08,0.78,0.86,-0.2,323.2316463512467
12,0.11,0.65,0.0,0.71,258.93338510697384
13,0.1,1.28,0.0,0.96,217.61571329627742
14,0.37,1.2,0.95,-0.46,275.6226324835954
15,0.76,0.46,1.0,-0.77,330.65041656436335
16,0.16,0.59,1.0,0.45,297.17793251291477
17,0.37,0.5,1.0,0.41,302.11226760443793
18,0.48,0.28,1.0,-0.51,260.05074853136307
19,0.32,0.8,0.94,0.24,304.8087971160891
20,0.2,0.67,0.89,0.12,296.1599054923939
21,0.26,0.96,0.85,0.87,279.29314732160725
22,0.0,1.44,0.0,0.49,250.70060408108725
23,0.09,0.72,0.96,0.04,317.1628014461106
24,0.08,0.93,0.72,0.79,242.65666549704608
25,0.08,1.32,0.92,0.32,250.71281222901132
26,0.08,1.39,0.96,0.38,288.9637180372268
27,0.45,0.35,1.0,0.17,267.8900836190004
28,0.37,1.12,0.96,0.58,303.98355068204927
29,0.19,1.28,0.68,1.0,220.9354327179217
30,0.16,0.92,0.41,0.31,288.06394186450865
31,0.0,0.88,0.0,0.54,289.1351698518964
32,0.89,0.31,0.94,-0.17,315.013931380729
33,0.0,0.41,0.0,0.09,316.82026630415123
34,0.08,0.83,0.68,0.79,249.9733795679743
35,0.08,0.87,0.56,0.69,248.06230015107823
36,0.02,1.24,0.0,0.37,287.8561821124512
37,0.49,0.2,1.0,0.0,322.18618413998064
38,0.08,0.71,0.88,0.44,291.3753184235628
39,0.8,0.28,1.0,-0.4,314.84087215852736
40,0.23,0.72,0.88,0.28,312.4155101114973
41,0.28,0.47,0.72,0.97,242.21457890124398
42,0.16,0.53,0.5,-0.1,314.5456075849901
43,0.08,1.0,0.8,-0.52,267.33710083000153
44,0.14,0.05,1.0,-0.04,282.91616952248376
