subID,alpha,theta,gamma,w,nll
64,0.32,1.36,0.4,-1.0,184.86981095568737
75,0.1,0.92,0.88,-1.0,337.79847440836045
38,0.23,1.5,0.0,-1.0,459.0434608544515
65,0.74,0.68,0.88,-1.0,247.13485139954167
48,1.0,0.51,0.79,-1.0,289.67812925147723
56,0.89,0.61,0.71,-1.0,268.4537763582234
26,0.36,0.96,1.0,-1.0,463.5073010372056
71,0.13,0.99,0.13,-1.0,171.49565724343927
69,0.1,0.58,0.29,-1.0,280.764716733746
8,0.18,0.94,1.0,-1.0,359.0096551575372
44,0.4,0.05,1.0,-1.0,247.85008197814727
57,0.72,0.7,0.1,-1.0,201.3798821477872
50,0.32,0.56,1.0,-1.0,308.96233603734134
77,0.0,1.32,0.0,-1.0,481.779864731829
32,0.13,0.57,0.48,-1.0,331.62981126901377
40,1.0,0.48,0.97,-1.0,157.50223393752074
41,0.18,0.53,0.06,-1.0,282.36985825529734
83,0.92,0.69,0.86,-1.0,185.94319034333876
36,1.0,1.39,0.29,-1.0,229.27705152970665
54,1.0,0.4,0.45,-1.0,204.64514985452686
72,0.02,1.5,0.0,-1.0,456.20002329467025
34,0.56,0.51,0.99,-1.0,240.07848643770765
55,0.44,0.81,0.95,-1.0,271.88455425277795
39,0.18,0.67,0.94,-1.0,320.67390056688316
16,0.04,0.78,0.1,-1.0,314.85020405736765
20,0.52,0.6,0.99,-1.0,311.99996101826554
62,0.67,0.72,0.93,-1.0,237.82660686491795
42,0.68,0.48,0.88,-1.0,223.36687113121076
68,0.48,0.67,0.09,-1.0,351.9370870866245
79,0.61,1.14,0.04,-1.0,340.53401659070704
14,0.88,1.32,0.76,-1.0,290.14703793695276
58,0.15,0.87,0.48,-1.0,202.53893836974396
73,1.0,0.74,0.63,-1.0,189.79144753973708
17,0.3,0.58,1.0,-1.0,321.05792241121685
46,0.32,0.4,0.75,-1.0,463.355360168947
0,0.0,0.65,0.0,-1.0,331.65261212037876
84,0.39,0.66,0.42,-1.0,357.7461730426552
66,0.27,0.81,0.0,-1.0,226.32221245381788
15,0.88,0.24,0.99,-1.0,362.0386396076998
70,0.3,0.73,0.07,-1.0,327.9803762357327
81,0.0,1.22,0.0,-1.0,305.3850523554173
49,0.62,0.64,0.99,-1.0,289.0919907805993
45,0.2,0.92,0.0,-1.0,424.32113744987237
47,0.88,0.68,0.83,-1.0,266.8240176334077
1,0.49,0.95,0.31,-1.0,481.3774165758466
6,0.4,0.73,1.0,-1.0,400.5630097628984
76,0.95,0.73,0.82,-1.0,285.1296464272513
12,0.68,0.72,0.16,-1.0,307.61332367649976
74,1.0,0.88,0.8,-1.0,267.63029470470474
2,0.14,0.82,1.0,-1.0,459.97336055365736
51,0.84,0.28,0.99,-1.0,190.96176107743258
80,0.38,0.36,0.0,-1.0,417.4613879368407
28,1.0,1.5,0.65,-1.0,154.34684017833035
43,0.26,1.04,0.63,-1.0,426.5635190192088
13,0.49,0.73,0.56,-1.0,259.4407227495059
10,0.19,0.91,0.98,-1.0,422.6080444862599
59,0.43,0.88,0.98,-1.0,286.7043071243881
18,1.0,0.52,0.63,-1.0,211.94267250829017
21,0.36,0.84,0.99,-1.0,324.88948436372493
4,1.0,0.68,0.79,-1.0,226.57422702003936
33,0.21,0.41,0.24,-1.0,344.4774211533738
30,0.35,1.36,0.43,-1.0,313.7332655001196
63,0.46,1.2,0.88,-1.0,366.33312924957056
37,1.0,0.36,0.88,-1.0,243.83961376186372
22,0.01,1.5,0.0,-1.0,393.9430024084622
78,0.27,0.55,1.0,-1.0,450.6529497114799
31,0.0,0.83,0.0,-1.0,287.7064607609801
60,0.32,0.76,0.96,-1.0,293.67995016376733
61,1.0,0.16,0.72,-1.0,244.85005957184097
23,0.53,0.68,1.0,-1.0,317.0131859763565
24,1.0,1.21,0.58,-1.0,239.836094896838
35,0.13,0.83,0.48,-1.0,254.99413225498387
9,0.18,0.93,1.0,-1.0,381.5194001891885
11,0.32,0.65,0.99,-1.0,310.6560908186968
27,0.64,0.5,0.95,-1.0,274.54522832438965
67,0.28,0.61,1.0,-1.0,281.15993203983726
82,0.88,0.82,0.82,-1.0,288.3533993226625
29,0.25,0.94,0.8,-1.0,370.53388687398376
