subID,alpha,theta,gamma,w,nll
64,0.14,1.35,0.77,-0.39,85.0
75,0.0,0.88,0.0,0.56,338.0
38,0.12,0.6,0.99,0.4,726.0
65,0.62,1.08,0.76,0.34,150.0
48,0.64,0.31,0.76,0.7,257.0
56,0.17,0.72,0.79,0.68,239.0
26,0.0,0.88,0.68,-0.6,928.0
71,0.1,0.73,0.89,0.52,32.0
69,0.13,0.68,0.48,-0.32,146.0
8,0.04,1.09,0.52,0.64,423.0
44,0.11,0.18,0.07,0.28,174.0
57,0.14,0.78,0.72,0.72,45.0
50,0.4,0.37,1.0,0.72,294.0
77,0.02,0.88,0.72,-0.83,568.0
32,1.0,0.52,0.5,0.2,383.0
40,0.08,0.76,0.77,-0.12,44.0
41,0.52,0.44,0.86,0.88,273.0
83,0.18,0.74,0.86,0.48,86.0
36,0.15,1.08,0.48,-0.47,138.0
54,0.32,0.42,0.38,-0.46,71.0
72,0.0,1.13,0.22,0.5,676.0
34,0.36,0.59,0.79,0.44,146.0
55,0.12,1.26,0.72,0.28,191.0
39,0.06,0.74,0.49,0.08,391.0
16,0.18,0.62,0.48,0.62,313.0
20,1.0,0.82,0.26,0.5,315.0
62,0.68,1.0,0.77,0.08,201.0
42,0.13,0.54,0.59,-0.04,165.0
68,0.82,0.14,0.98,0.76,439.0
79,0.42,0.86,0.68,0.17,198.0
14,0.22,1.28,0.72,-0.54,144.0
58,0.13,0.75,0.68,-0.32,78.0
73,0.1,0.61,0.08,-0.48,22.0
17,0.18,0.54,0.98,0.57,369.0
46,0.01,0.68,0.5,0.37,973.0
0,0.01,0.55,0.46,0.19,471.0
84,0.1,0.47,0.63,0.28,501.0
66,0.12,0.88,0.1,0.48,179.0
15,0.79,0.38,0.12,0.11,598.0
70,0.68,1.22,0.78,-0.42,595.0
81,0.03,1.27,0.76,-0.32,290.0
49,0.08,0.72,0.71,0.32,346.0
45,0.1,0.85,0.49,0.12,729.0
47,0.82,0.82,0.82,0.42,206.0
1,0.95,1.12,0.71,0.45,822.0
6,0.01,0.88,0.71,0.28,693.0
76,0.41,1.5,0.27,0.08,307.0
12,0.25,0.96,0.8,0.47,253.0
74,0.09,1.08,0.56,-0.32,144.0
2,0.04,0.78,0.94,0.27,810.0
51,0.26,0.5,0.16,0.54,55.0
80,0.64,0.38,0.01,0.36,988.0
28,0.14,1.1,0.78,0.08,45.0
43,0.52,1.01,0.83,-0.64,524.0
13,0.47,0.98,0.39,0.08,183.0
10,0.17,0.86,0.52,0.63,627.0
59,0.0,0.88,0.85,0.04,215.0
18,0.29,0.39,0.76,-0.09,101.0
21,0.16,0.63,0.35,0.88,312.0
4,0.4,0.71,0.48,0.81,97.0
33,0.02,0.56,0.48,0.24,647.0
30,0.08,1.31,0.68,-0.43,418.0
63,0.2,1.08,0.77,0.88,447.0
37,0.34,0.42,0.75,-0.08,169.0
22,0.0,1.13,0.97,0.32,639.0
78,0.0,0.68,0.5,0.08,499.0
31,0.0,0.68,0.65,0.08,213.0
60,0.02,0.91,0.91,0.23,290.0
61,0.52,0.1,0.5,-0.24,170.0
23,0.59,0.81,0.79,-0.23,406.0
24,0.32,0.96,0.69,0.88,100.0
35,0.01,0.71,0.64,0.3,164.0
9,0.11,1.1,0.02,0.7,505.0
11,0.32,0.78,0.28,-0.04,323.0
27,0.17,0.63,0.68,0.08,227.0
67,0.04,0.68,0.52,0.48,243.0
82,0.17,0.94,0.39,0.01,233.0
29,0.04,0.98,0.64,0.45,553.0
19,0.04,0.93,0.87,0.31,261.0
25,0.0,1.13,0.68,-0.6,211.0
5,0.5,0.79,0.77,0.08,90.0
53,0.22,1.44,0.12,0.65,80.0
3,0.02,0.88,0.28,0.64,827.0
7,0.1,1.21,0.95,0.43,549.0
136,0.02,0.54,0.36,0.24,182.0
164,0.19,1.0,0.84,0.31,280.0
124,0.4,1.16,0.19,0.88,496.0
137,0.84,0.49,0.64,-0.44,129.0
170,0.06,0.83,0.68,0.4,329.0
146,0.18,1.06,0.68,0.53,246.0
128,0.01,0.37,0.2,0.49,445.0
129,0.41,1.06,0.77,0.52,369.0
105,0.46,0.8,0.75,-0.48,193.0
132,0.82,0.5,0.48,-0.08,421.0
142,0.98,0.76,0.0,-0.12,438.0
134,0.24,0.4,0.24,-0.16,212.0
143,0.61,0.73,0.86,0.88,434.0
165,0.43,0.92,0.48,-0.46,103.0
116,0.0,0.88,0.79,0.08,808.0
111,0.17,1.01,0.86,-0.4,242.0
99,0.28,0.51,0.97,0.74,110.0
135,0.0,0.52,0.68,0.16,194.0
118,0.02,1.13,0.92,0.39,229.0
103,0.18,0.54,0.32,0.4,443.0
148,0.4,1.12,0.81,-0.32,440.0
101,0.21,1.36,0.56,-0.66,384.0
120,0.31,0.55,0.48,-0.44,136.0
119,0.18,1.17,0.86,0.08,141.0
149,0.16,0.3,0.32,0.12,125.0
156,0.0,0.68,0.68,0.68,614.0
152,0.0,0.88,0.97,0.48,583.0
171,0.1,0.83,0.83,0.27,369.0
87,0.15,0.97,0.7,0.89,168.0
85,0.86,0.85,0.33,0.24,225.0
166,0.63,0.59,0.87,0.76,321.0
150,0.03,0.73,0.12,0.52,706.0
126,0.24,1.0,0.8,0.63,156.0
138,0.72,0.94,0.82,0.24,51.0
167,0.36,1.06,0.37,0.72,215.0
88,0.21,1.12,0.0,0.7,442.0
158,0.6,0.31,0.99,0.72,551.0
92,0.1,0.71,0.8,0.88,171.0
95,0.15,0.67,0.72,0.68,138.0
133,0.03,0.48,0.52,0.12,269.0
106,0.21,0.87,0.48,0.88,242.0
130,0.17,0.84,0.32,0.88,231.0
154,0.02,0.84,0.48,0.08,123.0
97,0.11,0.63,0.68,-0.12,131.0
102,0.0,0.68,0.59,0.28,632.0
153,0.08,1.08,0.74,0.16,90.0
86,0.25,0.37,0.6,0.32,251.0
112,0.26,0.62,0.41,0.08,664.0
114,0.09,0.95,0.8,-0.3,171.0
121,0.01,0.56,0.81,0.09,424.0
159,0.58,1.11,0.49,0.68,335.0
168,0.08,0.5,0.48,-0.12,78.0
155,0.62,1.02,0.52,0.77,228.0
125,0.09,0.52,0.24,-0.32,359.0
131,0.0,0.68,0.28,0.65,498.0
115,0.23,0.84,0.76,0.4,98.0
107,0.12,0.67,0.06,0.56,1003.0
109,0.36,0.44,0.48,0.48,51.0
96,0.04,1.04,0.83,0.31,78.0
127,0.16,0.68,0.5,0.08,335.0
110,0.84,1.1,0.07,0.13,667.0
162,0.0,0.68,0.69,0.08,278.0
122,0.72,0.55,0.29,0.04,497.0
140,0.13,0.42,0.62,-0.27,69.0
144,0.04,0.49,0.68,-0.24,312.0
163,0.01,0.91,0.01,0.58,973.0
117,0.05,0.93,0.99,0.65,798.0
141,0.01,0.54,0.52,-0.32,344.0
160,0.45,0.7,0.88,0.48,263.0
100,0.22,0.62,0.94,0.7,298.0
151,0.94,0.68,0.5,0.28,452.0
139,0.3,1.08,0.79,0.92,151.0
157,0.13,0.86,0.1,0.77,589.0
93,0.38,0.85,0.86,0.32,420.0
113,0.58,1.12,0.61,0.88,399.0
123,0.53,0.31,0.96,0.37,840.0
161,0.02,0.4,0.4,-0.39,388.0
98,0.02,0.92,0.8,0.36,739.0
104,0.2,1.5,0.99,0.88,347.0
94,0.18,0.7,0.48,0.36,246.0
108,0.98,0.8,0.23,0.12,153.0
145,0.51,0.58,0.31,0.9,90.0
147,0.62,1.38,0.0,0.88,322.0
169,0.0,0.88,0.84,0.08,779.0
89,0.02,0.66,0.52,-0.32,418.0
90,0.08,0.79,0.98,0.24,531.0
234,0.11,0.51,0.51,-0.25,237.0
222,0.66,1.08,0.81,0.76,393.0
257,0.09,0.76,0.86,0.35,253.0
172,0.0,0.88,0.08,0.57,671.0
210,0.44,1.48,0.56,-0.5,56.0
196,0.14,1.39,0.25,0.88,205.0
192,0.27,0.8,0.64,0.52,234.0
228,0.22,0.74,0.68,-0.23,179.0
223,0.18,1.1,0.78,0.36,59.0
244,0.24,1.28,0.71,-0.44,68.0
232,0.04,0.82,0.82,0.08,381.0
236,0.24,1.08,0.69,-0.32,312.0
180,0.21,1.04,0.76,0.6,566.0
174,0.22,0.79,0.98,0.78,357.0
181,0.28,1.11,0.76,-0.31,196.0
206,0.41,0.25,0.99,0.68,407.0
207,0.01,1.16,0.68,-0.29,321.0
202,0.52,1.48,0.26,0.44,57.0
218,0.04,0.58,0.64,-0.32,162.0
235,0.31,1.01,0.68,-0.43,265.0
212,0.05,0.61,0.99,0.52,667.0
211,0.04,0.36,0.38,-0.43,107.0
226,0.35,1.02,0.57,0.28,260.0
238,0.5,0.84,0.77,0.4,199.0
194,0.61,0.76,0.69,-0.5,274.0
220,0.05,0.79,0.71,0.2,370.0
176,0.01,0.52,0.61,0.29,684.0
216,0.01,0.4,0.29,0.14,74.0
173,0.09,0.68,0.06,0.8,277.0
239,0.31,0.5,0.91,0.68,106.0
186,0.24,0.95,0.51,0.56,315.0
182,0.41,0.7,0.83,0.44,142.0
240,0.84,0.43,0.83,0.28,465.0
233,0.09,0.52,0.73,-0.04,89.0
221,0.0,0.68,0.52,-0.32,694.0
245,0.18,0.82,0.26,0.12,189.0
177,0.92,0.92,0.83,0.8,388.0
259,0.0,0.37,0.37,-0.4,251.0
197,0.01,0.92,0.8,0.28,212.0
230,0.0,0.52,0.68,-0.12,573.0
252,0.49,1.24,0.34,0.43,194.0
241,0.19,0.73,0.5,-0.6,496.0
242,0.15,0.83,0.72,-0.08,534.0
204,0.72,0.71,0.84,0.16,257.0
253,0.09,0.77,0.08,0.56,597.0
208,0.38,0.64,0.8,-0.4,253.0
175,0.22,0.54,0.92,0.8,368.0
198,0.99,0.64,0.0,0.8,261.0
184,0.0,0.88,0.68,-0.12,468.0
178,0.36,0.51,0.7,0.51,256.0
188,0.02,0.91,0.77,0.12,369.0
183,0.7,0.67,0.82,0.88,149.0
193,0.03,0.56,0.87,0.55,774.0
203,0.15,0.64,0.51,0.68,268.0
254,0.52,0.36,0.98,0.89,128.0
200,0.31,0.79,0.87,0.68,190.0
250,0.33,1.05,0.75,0.28,188.0
190,0.5,1.04,0.84,0.0,235.0
255,0.03,0.76,0.28,0.6,185.0
231,1.0,0.14,0.32,-0.44,290.0
260,0.23,0.67,0.98,-0.52,206.0
258,0.58,1.29,0.28,0.72,217.0
246,0.51,0.47,0.78,0.18,364.0
217,0.36,0.8,0.83,0.71,90.0
224,0.18,1.36,0.0,-0.68,619.0
227,0.1,0.66,0.83,0.3,265.0
237,1.0,1.13,0.36,0.88,216.0
219,0.6,0.45,0.31,0.7,354.0
251,0.53,1.4,0.48,0.88,320.0
247,0.58,0.99,0.82,-0.36,124.0
213,0.0,0.88,0.42,0.12,217.0
209,0.22,1.0,0.4,0.56,762.0
256,0.42,0.58,0.58,0.64,302.0
229,0.08,1.1,0.9,0.39,727.0
199,0.14,0.54,0.63,0.34,132.0
187,0.15,1.48,0.06,0.4,569.0
214,0.01,0.38,0.36,0.16,239.0
179,0.98,1.3,0.22,0.85,337.0
205,0.22,0.78,0.1,0.36,351.0
243,0.17,0.22,0.23,-0.47,65.0
189,0.28,0.69,0.81,-0.44,704.0
185,0.0,0.88,0.59,0.28,75.0
225,0.01,0.88,0.4,0.28,277.0
215,0.3,0.28,0.98,0.65,367.0
191,0.04,0.38,0.3,-0.42,800.0
249,0.0,0.68,0.0,0.56,452.0
201,0.15,0.72,0.09,0.53,173.0
295,0.21,0.85,0.82,0.52,111.0
267,0.0,1.13,0.99,0.61,370.0
277,1.0,0.71,0.02,-1.0,115.0
296,0.61,0.85,0.62,0.92,778.0
303,0.88,0.96,0.82,-0.43,242.0
293,0.81,1.16,0.33,0.68,340.0
273,0.01,0.54,0.37,-0.4,88.0
305,0.52,0.72,0.01,0.5,557.0
