subID,alpha,theta,gamma,w,nll
0,0.02,0.54,0.56,-0.31,401.0
1,0.23,1.05,0.28,0.88,419.0
2,0.03,0.68,0.86,-0.16,360.0
3,0.02,0.92,0.09,0.56,292.0
4,0.0,0.52,0.68,0.48,322.0
5,0.24,0.48,0.14,0.69,270.0
6,0.03,0.8,0.78,-0.04,225.0
7,0.1,0.83,0.96,0.29,298.0
8,0.13,1.1,0.29,0.48,191.0
9,0.04,0.9,0.88,0.64,276.0
10,0.08,1.11,0.64,0.64,253.0
11,0.13,0.7,0.24,-0.25,389.0
12,0.11,0.64,0.87,0.58,370.0
13,0.01,0.52,0.36,-0.4,243.0
14,0.03,0.72,0.68,-0.52,476.0
15,0.09,0.48,0.28,0.3,524.0
16,0.0,0.68,0.59,0.33,400.0
17,0.28,0.43,0.25,0.88,307.0
18,0.09,0.32,0.4,-0.12,392.0
19,0.28,0.76,0.87,0.48,309.0
20,0.01,0.69,0.69,0.47,459.0
21,0.0,0.52,0.0,0.56,340.0
22,0.0,0.88,0.88,0.12,198.0
23,0.69,0.5,0.31,0.28,452.0
24,0.19,0.7,0.72,0.74,223.0
25,0.0,0.88,0.88,0.49,351.0
26,0.04,0.72,0.74,-0.56,359.0
27,0.05,0.74,0.72,0.08,443.0
28,0.03,0.92,0.08,0.54,219.0
29,0.0,0.88,0.52,0.57,244.0
30,0.2,0.62,0.7,0.02,373.0
31,0.05,0.59,0.53,-0.13,372.0
32,0.0,0.52,0.52,-0.32,499.0
33,0.02,0.52,0.52,0.31,379.0
34,0.08,0.4,0.0,0.72,211.0
35,0.01,0.69,0.57,0.28,351.0
36,0.08,0.67,0.96,0.16,376.0
37,0.01,0.4,0.63,0.11,342.0
38,0.36,0.24,0.99,0.44,289.0
39,0.0,0.68,0.52,-0.32,349.0
40,0.0,0.68,0.68,-0.12,333.0
41,0.0,0.52,0.0,0.56,288.0
42,0.02,0.52,0.51,-0.32,366.0
43,0.13,0.52,0.0,-0.6,313.0
44,0.04,0.32,0.28,-0.44,282.0
45,0.12,0.9,0.23,-0.48,328.0
46,0.02,0.56,0.6,0.49,407.0
47,0.11,0.71,0.12,0.57,299.0
48,0.03,0.4,0.45,0.66,392.0
49,0.09,0.51,0.56,0.37,280.0
50,0.29,0.42,0.98,0.46,205.0
51,0.0,0.37,0.08,0.57,340.0
53,0.03,1.07,0.68,0.52,207.0
54,0.02,0.36,0.69,-0.08,579.0
55,0.1,1.02,0.68,0.31,319.0
56,0.0,0.68,0.75,0.36,426.0
57,0.03,0.74,0.48,0.36,218.0
58,0.02,0.68,0.73,-0.28,344.0
59,0.03,0.79,0.78,0.4,282.0
60,0.25,0.61,0.92,0.51,264.0
61,0.08,0.25,0.58,0.0,338.0
62,0.04,0.72,0.46,0.3,423.0
63,0.36,0.72,0.7,0.49,327.0
64,0.03,1.12,0.87,-0.16,314.0
65,0.01,0.55,0.6,0.08,240.0
66,0.08,0.63,1.0,0.68,267.0
67,0.03,0.56,0.32,0.6,324.0
68,0.18,0.49,0.99,0.68,404.0
69,0.0,0.52,0.52,-0.32,457.0
70,0.09,0.61,0.74,-0.28,638.0
71,0.01,0.68,0.89,0.48,194.0
72,0.0,1.13,0.58,0.12,352.0
73,0.08,0.69,0.92,0.28,619.0
74,0.11,0.75,0.67,0.22,265.0
75,0.0,0.68,0.0,0.4,291.0
76,0.61,1.02,0.21,-0.12,414.0
77,0.03,0.88,0.72,-0.82,266.0
78,0.02,0.68,0.48,-0.32,564.0
79,0.29,0.48,0.99,0.44,548.0
80,0.18,0.28,0.14,0.29,719.0
81,0.46,1.16,0.12,-0.41,366.0
82,0.01,0.88,0.55,-0.28,321.0
83,0.08,0.62,0.92,0.52,318.0
84,0.13,0.43,0.21,-0.43,393.0
85,0.17,0.44,0.0,0.7,342.0
86,0.04,0.38,0.68,0.21,303.0
87,0.14,0.86,0.88,0.88,165.0
88,0.09,1.36,0.36,0.76,340.0
89,0.01,0.54,0.69,0.07,470.0
90,0.04,0.94,0.8,-0.31,341.0
92,0.08,0.59,0.84,0.68,341.0
93,0.16,0.67,0.96,0.44,294.0
94,0.0,0.68,0.83,0.04,337.0
95,0.16,0.52,0.77,0.16,314.0
96,0.03,1.03,0.75,0.28,230.0
97,0.02,0.58,0.17,0.52,405.0
98,0.05,0.91,0.73,0.27,292.0
99,0.49,0.14,0.98,0.7,279.0
100,0.44,0.36,0.99,0.69,346.0
101,0.08,1.2,0.84,-0.52,302.0
102,0.0,0.52,0.68,0.08,366.0
103,0.05,0.6,0.34,0.28,437.0
104,0.09,1.32,0.74,0.73,178.0
105,0.13,0.67,0.16,0.7,417.0
106,0.11,0.62,0.7,0.68,382.0
107,0.01,0.52,0.48,0.4,394.0
108,0.0,0.88,0.52,-0.32,507.0
109,0.08,0.44,0.84,0.69,285.0
110,0.0,0.88,0.37,-0.4,561.0
111,0.08,0.69,0.02,-0.57,503.0
112,0.23,0.46,0.51,0.08,406.0
113,0.58,0.74,0.81,0.8,265.0
114,0.03,0.91,0.76,-0.23,381.0
