subID,alpha,theta,gamma,w,nll
64,0.22,1.46,0.82,-1.0,82.0
75,0.0,0.88,0.68,-1.0,382.0
38,0.09,0.71,0.88,-1.0,786.0
65,0.88,1.15,0.61,-1.0,178.0
48,0.4,0.4,0.68,-1.0,322.0
56,0.17,0.72,0.8,-1.0,238.0
26,0.01,0.88,0.92,-1.0,937.0
71,0.0,0.68,0.88,-1.0,60.0
69,0.13,0.68,0.48,-1.0,146.0
8,0.02,1.12,0.89,-1.0,464.0
44,0.09,0.18,0.08,-1.0,156.0
57,0.01,0.68,0.36,-1.0,68.0
50,0.33,0.4,0.87,-1.0,303.0
77,0.02,0.88,0.92,-1.0,659.0
32,0.84,0.64,0.76,-1.0,381.0
40,0.08,0.76,0.77,-1.0,44.0
41,0.08,0.48,0.71,-1.0,296.0
83,0.13,0.72,0.77,-1.0,90.0
36,0.15,1.08,0.48,-1.0,138.0
54,0.32,0.42,0.38,-1.0,71.0
72,0.0,1.13,0.88,-1.0,764.0
34,0.06,0.72,0.79,-1.0,132.0
55,0.05,1.1,0.68,-1.0,174.0
39,0.01,0.68,0.72,-1.0,393.0
16,0.05,0.69,0.73,-1.0,347.0
20,0.96,0.57,0.87,-1.0,301.0
62,0.68,1.0,0.77,-1.0,201.0
42,0.17,0.55,0.54,-1.0,172.0
68,0.22,0.56,0.78,-1.0,484.0
79,0.56,0.86,0.78,-1.0,221.0
14,0.06,0.73,0.99,-1.0,213.0
58,0.13,0.75,0.68,-1.0,78.0
73,0.84,1.06,0.62,-1.0,54.0
17,0.02,0.8,0.71,-1.0,451.0
46,0.02,0.68,0.68,-1.0,1008.0
0,0.03,0.58,0.62,-1.0,474.0
84,0.17,0.52,0.63,-1.0,615.0
66,0.11,0.88,0.6,-1.0,192.0
15,0.76,0.38,0.18,-1.0,606.0
70,0.68,1.22,0.78,-1.0,595.0
81,0.01,1.14,0.91,-1.0,294.0
49,0.09,0.75,0.49,-1.0,355.0
45,0.11,0.85,0.41,-1.0,764.0
47,0.82,0.82,0.82,-1.0,220.0
1,0.08,0.88,0.88,-1.0,843.0
6,0.02,0.88,0.7,-1.0,715.0
76,0.28,1.3,0.5,-1.0,317.0
12,0.19,1.09,0.48,-1.0,269.0
74,0.09,1.08,0.56,-1.0,161.0
2,0.04,0.78,0.94,-1.0,834.0
51,0.47,0.52,0.54,-1.0,92.0
80,0.1,0.46,0.49,-1.0,842.0
28,0.14,1.1,0.79,-1.0,45.0
43,0.52,1.01,0.83,-1.0,588.0
13,0.72,0.8,0.24,-1.0,199.0
10,0.18,0.68,0.97,-1.0,641.0
59,0.0,0.88,0.68,-1.0,216.0
