subID,alpha,theta,gamma,w,nll
64,0.14,1.36,0.8,-0.08,78.0
75,0.01,0.89,0.99,-0.29,379.0
38,0.09,0.71,0.88,-0.04,786.0
65,0.84,1.0,0.78,-0.56,151.0
48,0.22,0.44,0.84,-0.23,313.0
56,0.17,0.72,0.79,-0.37,223.0
26,0.0,0.88,0.97,0.16,928.0
71,0.06,0.72,0.9,-0.08,51.0
69,0.16,0.67,0.08,0.28,143.0
8,0.01,1.12,1.0,-0.09,485.0
44,0.1,0.18,0.0,0.08,155.0
57,0.02,0.68,1.0,-0.57,64.0
50,0.4,0.37,1.0,-0.32,287.0
77,0.0,0.88,0.94,0.68,571.0
32,1.0,0.4,0.04,0.56,394.0
40,0.08,0.72,0.84,-0.12,44.0
41,0.19,0.46,0.8,-0.17,284.0
83,0.3,0.85,0.81,-0.22,89.0
36,0.23,1.22,0.2,0.08,136.0
54,0.41,0.44,0.3,0.1,68.0
72,0.01,1.12,0.99,-0.09,755.0
34,0.1,0.62,0.92,-0.16,126.0
55,0.1,0.8,1.0,-0.5,183.0
39,0.08,0.65,0.1,0.28,398.0
16,0.17,0.62,0.52,0.26,330.0
20,0.99,0.73,0.19,0.6,330.0
62,0.22,0.61,0.98,-0.5,180.0
42,0.18,0.53,0.34,0.22,173.0
68,0.27,0.56,0.95,-0.52,442.0
79,0.69,0.86,0.79,-0.15,202.0
14,0.04,0.74,0.99,0.2,167.0
58,0.13,0.75,0.68,-0.04,78.0
73,0.52,0.78,0.85,-0.52,26.0
17,0.1,0.59,0.96,-0.48,396.0
46,0.02,0.69,0.98,-0.28,996.0
0,0.0,0.52,1.0,-0.48,478.0
84,0.17,0.52,0.97,-0.4,548.0
66,0.12,0.88,0.0,0.48,159.0
15,0.17,0.66,0.68,-0.32,564.0
70,0.68,1.22,0.78,-0.2,594.0
81,0.01,1.13,1.0,-0.09,258.0
49,0.26,0.68,1.0,-0.35,316.0
45,0.11,0.92,0.84,-0.64,712.0
47,0.2,0.62,0.99,-0.81,206.0
1,0.8,1.09,0.56,0.2,814.0
6,0.02,0.88,0.99,-0.32,730.0
76,0.25,1.25,0.56,-0.23,309.0
12,0.25,0.96,0.8,-0.32,256.0
74,0.12,1.08,0.68,-0.32,156.0
2,0.98,0.24,0.0,0.56,961.0
51,0.3,0.48,0.0,0.54,80.0
80,0.66,0.37,0.0,0.21,852.0
28,0.15,1.12,0.75,0.08,48.0
43,0.18,1.0,0.8,0.28,471.0
13,0.44,1.11,0.7,-0.34,178.0
10,0.19,0.69,0.05,0.92,641.0
59,0.01,0.88,1.0,-0.31,209.0
18,0.3,0.35,0.51,0.24,104.0
21,0.02,0.68,0.96,0.24,330.0
4,0.4,0.67,0.44,0.18,173.0
33,0.02,0.54,0.97,-0.47,693.0
30,0.08,1.31,0.71,-0.04,418.0
63,0.08,0.93,0.8,0.28,464.0
37,0.32,0.44,0.97,-0.57,149.0
22,0.0,1.13,0.98,-0.12,680.0
78,0.24,0.52,0.99,-0.92,452.0
31,0.02,0.83,0.93,-0.36,222.0
60,0.02,0.89,0.96,-0.12,296.0
61,0.13,0.31,0.79,-0.35,138.0
23,0.28,0.78,0.81,0.08,367.0
24,0.15,0.73,0.21,0.82,127.0
35,0.03,0.74,0.92,-0.32,163.0
9,0.1,1.08,0.02,0.69,600.0
11,0.28,0.73,0.83,-0.52,278.0
27,0.21,0.61,0.81,-0.14,224.0
67,0.27,0.57,0.97,-0.52,234.0
82,0.18,0.92,0.88,-0.52,230.0
29,0.04,0.94,0.91,-0.15,565.0
19,0.29,0.78,0.14,0.6,247.0
25,0.0,1.13,0.97,0.16,211.0
5,0.45,0.76,0.83,-0.47,93.0
53,0.22,1.44,0.12,0.08,102.0
3,0.01,0.88,0.99,-0.48,994.0
7,0.1,1.2,0.98,-0.06,586.0
136,0.03,0.52,0.88,-0.5,204.0
164,1.0,1.24,0.44,0.16,310.0
124,0.88,1.42,0.22,0.04,541.0
137,0.8,0.55,0.64,-0.08,135.0
170,0.08,0.64,0.97,-0.36,327.0
146,0.17,1.05,0.68,-0.22,253.0
128,0.01,0.37,0.97,-0.32,467.0
129,0.36,0.96,0.35,0.21,413.0
105,0.46,0.73,0.79,-0.04,189.0
132,0.8,0.51,0.52,-0.12,419.0
142,0.99,0.96,0.12,-1.0,416.0
134,0.32,0.4,0.1,0.08,199.0
143,0.46,0.6,0.1,0.84,380.0
165,0.67,1.08,0.43,0.45,97.0
116,0.04,0.91,0.92,-0.26,782.0
111,0.19,0.88,0.96,-0.17,225.0
99,0.29,0.52,0.97,-0.92,96.0
135,0.64,0.16,0.99,-0.72,188.0
118,0.09,1.2,0.4,-0.05,267.0
103,0.18,0.53,0.28,0.35,494.0
148,0.42,1.15,0.82,-0.02,440.0
101,0.91,1.32,0.0,0.92,355.0
120,0.36,0.55,0.68,-0.31,126.0
119,0.19,1.17,0.86,-0.06,142.0
149,0.09,0.34,0.68,-0.2,102.0
156,0.04,0.72,0.91,-0.23,677.0
152,0.03,0.93,0.94,-0.11,598.0
171,0.11,0.84,0.84,-0.2,339.0
87,0.15,0.96,0.71,0.12,210.0
85,0.8,0.84,0.23,0.48,224.0
166,0.63,0.58,0.84,-0.48,365.0
150,0.02,0.8,0.92,-0.32,749.0
126,0.12,0.9,0.84,-0.36,193.0
138,0.7,0.93,0.82,-0.08,73.0
167,0.4,0.88,0.83,-0.62,237.0
88,0.2,1.12,0.0,0.88,534.0
158,0.52,0.31,1.0,-0.6,407.0
92,0.1,0.71,0.8,-0.05,255.0
95,0.12,0.6,0.84,-0.34,163.0
133,0.1,0.37,0.94,-0.51,249.0
106,0.22,0.86,0.5,0.32,267.0
130,0.13,0.63,0.04,0.62,287.0
154,0.08,0.66,0.64,-0.28,144.0
97,0.21,0.81,0.78,-0.23,119.0
102,0.0,0.68,1.0,-0.48,651.0
153,0.08,1.08,0.74,0.04,89.0
86,0.24,0.42,0.51,0.12,269.0
112,0.19,0.66,0.57,-0.52,643.0
114,0.14,1.16,0.69,0.33,173.0
121,0.04,0.64,0.96,-0.28,408.0
159,0.6,1.08,0.57,-0.02,391.0
168,0.4,0.43,0.97,-0.75,78.0
155,0.66,1.1,0.39,0.4,222.0
125,0.96,0.32,0.48,-0.24,354.0
131,0.02,0.68,1.0,-0.45,633.0
115,1.0,1.45,0.61,0.15,104.0
107,0.15,0.64,0.0,0.88,1094.0
109,0.31,0.52,0.55,0.12,55.0
96,0.05,1.0,0.9,-0.2,77.0
127,0.08,0.64,0.72,-0.12,321.0
110,0.2,0.71,1.0,-0.76,660.0
162,0.02,0.68,0.98,-0.29,250.0
122,0.56,0.68,0.57,-0.22,483.0
140,0.22,0.42,0.48,0.08,71.0
144,0.71,0.72,0.03,0.16,314.0
163,0.01,0.88,0.99,0.17,1162.0
117,0.0,0.88,0.98,-0.12,889.0
141,0.02,0.53,0.96,-0.48,339.0
160,0.28,0.64,0.95,-0.72,272.0
100,0.22,0.62,0.94,-0.84,289.0
151,1.0,0.8,0.17,0.4,456.0
139,0.28,1.05,0.84,0.09,163.0
157,0.14,0.86,0.08,0.72,683.0
93,0.4,0.87,0.88,-0.08,439.0
113,0.59,1.16,0.62,0.02,404.0
123,1.0,0.79,0.53,0.27,901.0
161,0.02,0.37,0.96,-0.6,388.0
98,0.1,0.85,0.93,-0.34,703.0
104,0.02,1.16,1.0,-0.11,498.0
94,0.04,0.68,0.89,-0.4,257.0
108,0.1,0.62,0.92,-0.36,55.0
145,0.58,0.5,0.18,0.58,130.0
147,0.32,0.71,0.96,-0.75,312.0
169,0.01,0.88,0.97,-0.29,799.0
89,0.02,0.55,1.0,-0.47,434.0
90,0.11,0.83,0.8,0.28,573.0
234,0.4,0.46,0.78,-0.72,235.0
222,0.61,1.07,0.78,-0.37,388.0
257,0.08,0.75,0.87,-0.04,266.0
172,0.01,0.88,0.98,-0.32,739.0
210,0.41,1.44,0.59,0.28,79.0
196,0.1,1.31,0.35,0.68,226.0
192,0.13,0.69,0.66,0.08,253.0
228,0.18,0.82,0.39,0.57,146.0
223,0.23,1.06,0.82,-0.24,64.0
244,0.18,1.21,0.66,0.08,64.0
232,0.29,0.64,0.02,0.6,382.0
236,0.23,1.06,0.7,0.04,312.0
180,0.04,0.9,0.93,-0.23,603.0
174,0.22,0.79,0.98,-0.39,359.0
181,0.28,1.11,0.76,-0.12,196.0
206,0.02,0.68,0.96,0.16,581.0
207,0.01,1.16,0.98,-0.11,321.0
202,0.76,1.44,0.04,0.64,56.0
218,0.01,0.52,0.98,-0.48,174.0
235,0.19,0.74,0.98,0.05,290.0
212,0.21,0.62,0.59,0.04,698.0
211,0.3,0.39,0.71,-0.48,116.0
226,0.35,1.02,0.58,-0.1,298.0
238,0.33,0.82,0.83,-0.08,208.0
194,0.83,0.45,0.49,0.36,281.0
220,0.04,0.76,0.9,-0.26,416.0
176,0.1,0.48,0.91,-0.4,695.0
216,0.1,0.42,0.97,-0.92,74.0
173,0.08,0.67,0.98,-0.11,236.0
239,0.31,0.5,0.91,-0.56,117.0
186,0.28,0.89,0.41,0.48,277.0
182,0.41,0.71,0.82,0.0,157.0
240,0.8,0.41,0.87,-0.32,456.0
233,0.03,0.6,0.99,-0.32,93.0
221,0.02,0.7,0.96,-0.45,676.0
245,0.3,0.92,0.88,-0.48,284.0
177,0.64,0.15,0.18,0.48,485.0
259,0.04,0.41,1.0,-0.56,239.0
197,0.02,0.89,1.0,-0.28,219.0
230,0.01,0.52,0.97,-0.3,569.0
252,0.77,1.36,0.03,0.81,207.0
241,0.16,0.76,0.64,0.3,468.0
242,0.18,0.83,0.06,0.68,554.0
204,0.69,0.72,0.83,0.03,288.0
253,0.04,0.78,0.96,-0.28,603.0
208,0.4,0.67,0.82,-0.32,266.0
175,0.2,0.54,0.98,-0.52,369.0
198,0.82,0.64,0.85,-0.52,287.0
184,0.02,0.88,0.98,-0.31,466.0
178,0.39,0.46,0.65,0.08,271.0
188,0.02,0.88,0.96,-0.29,374.0
183,0.69,0.64,0.84,0.0,220.0
193,0.11,0.59,0.96,-0.4,745.0
203,0.15,0.64,0.51,-0.32,291.0
254,0.02,0.5,0.91,-0.34,157.0
200,0.28,0.77,0.88,-0.12,214.0
250,0.48,1.2,0.79,-0.48,161.0
190,0.44,1.01,0.82,-0.07,232.0
255,0.1,0.75,0.94,-0.24,199.0
231,0.36,0.18,0.88,-0.68,228.0
260,0.2,0.65,0.99,0.17,234.0
258,0.18,1.46,0.85,-0.2,228.0
246,0.61,0.42,0.79,0.04,378.0
217,0.36,0.76,0.85,-0.6,125.0
224,0.59,0.98,0.6,0.88,642.0
227,0.32,0.52,0.94,-0.54,297.0
237,0.36,1.05,0.79,-0.36,217.0
219,0.22,0.62,0.27,0.08,464.0
251,0.97,1.02,0.19,0.61,325.0
247,0.6,0.97,0.83,-0.12,124.0
213,0.02,0.88,0.98,-0.56,223.0
209,0.88,1.2,0.22,0.43,813.0
256,0.32,0.79,0.68,0.16,346.0
229,0.1,0.94,0.24,0.28,784.0
199,0.33,0.59,0.11,0.44,153.0
187,0.15,1.48,0.06,0.68,547.0
214,0.06,0.39,0.96,-0.55,240.0
179,0.97,1.28,0.26,0.34,375.0
205,0.47,0.4,0.98,-0.93,334.0
243,0.18,0.22,0.28,-0.07,65.0
189,0.28,0.69,0.81,0.08,704.0
185,0.0,0.88,0.99,-0.32,76.0
225,0.98,1.5,0.66,-0.7,253.0
215,0.31,0.49,0.94,-0.78,354.0
191,0.05,0.45,0.95,-0.56,766.0
249,0.09,0.74,0.95,-0.31,438.0
201,0.15,0.6,0.65,-0.1,179.0
295,0.19,0.77,0.82,0.13,227.0
267,0.06,1.08,0.92,-0.11,432.0
277,0.6,0.87,0.75,0.98,180.0
296,0.52,0.87,0.66,0.31,836.0
303,0.88,0.96,0.82,0.04,238.0
293,0.92,1.13,0.18,0.3,501.0
273,0.06,0.56,0.93,-0.56,86.0
305,0.48,0.78,0.03,0.37,569.0
275,0.17,0.6,0.49,0.26,257.0
261,0.39,0.62,0.67,-0.52,76.0
306,0.95,0.8,0.32,0.28,577.0
262,0.1,1.34,0.5,0.08,168.0
287,0.32,0.99,0.76,-0.49,258.0
281,0.2,0.39,0.97,-0.53,77.0
