subID,alpha,theta,gamma,w,nll
0,0.0,0.59,0.0,0.22,338.89776554339926
1,0.33,0.78,0.68,0.45,339.1310213674199
2,0.21,0.86,0.92,-0.32,300.85026483685056
3,0.72,0.33,1.0,0.71,270.00615524345136
4,0.32,0.56,1.0,0.64,265.29606957673684
5,1.0,0.75,0.77,0.72,258.57417247654615
6,0.05,0.94,0.06,0.52,277.54415501738987
7,0.11,1.28,0.28,0.44,248.58890822200112
8,0.01,1.38,0.02,0.56,303.09532298297205
9,0.1,1.17,0.79,0.66,290.03746718240575
10,0.32,0.57,1.0,0.61,305.8209709632553
11,0.64,0.6,1.0,-0.34,328.75082330566045
12,0.12,0.95,0.88,0.76,263.1344612377687
13,0.28,0.87,0.82,0.99,269.8235403484
14,0.11,1.3,0.19,-0.37,298.06028570807194
15,0.48,0.68,0.54,-0.31,337.80309944991893
16,0.01,0.79,0.02,0.26,308.511876493021
17,0.23,0.61,0.0,0.59,312.5593412361546
18,0.69,0.29,0.77,0.09,323.12965139645667
19,0.28,0.82,1.0,0.44,309.2115715055781
20,0.1,0.79,1.0,0.1,328.54614877871643
21,0.52,0.64,1.0,1.0,253.6865565907129
22,0.08,1.44,0.36,0.65,205.51948372559184
23,0.32,0.84,0.99,0.08,324.3156469053019
24,0.13,0.83,0.28,1.0,217.88421862192664
25,0.08,1.5,0.68,0.48,236.58871830680806
26,0.98,0.93,0.86,-0.17,304.4117464500736
27,0.76,0.48,1.0,0.24,330.5257917091009
28,0.1,0.87,0.68,0.42,246.42450824779894
29,0.03,1.18,0.1,0.92,245.1897743277732
30,0.16,1.5,0.55,0.44,305.2530541706699
31,0.01,0.82,0.02,0.45,324.1004747328277
32,0.36,0.42,0.64,-0.17,344.20514004348206
33,0.12,0.23,1.0,0.31,319.61669270796983
34,0.31,0.6,0.96,0.46,288.7770197875286
35,0.08,0.83,0.85,0.71,253.48235505187046
36,0.05,1.28,0.0,0.28,310.5780602937674
37,0.44,0.16,0.27,0.18,299.18887642060866
38,0.02,0.87,0.0,0.56,334.8565596438901
39,0.13,0.8,0.88,-0.28,356.8632587252734
40,0.45,0.77,0.88,0.29,299.82354363411235
41,0.52,0.49,0.88,1.0,238.2866600495576
42,0.52,0.4,0.97,0.19,343.4378878520355
43,0.16,0.97,0.88,-0.28,289.67221762834714
44,0.04,0.19,0.1,0.14,290.1624342692505
45,0.1,1.22,0.0,0.65,271.11158750834136
46,0.07,0.66,0.04,0.36,325.10750074436567
47,0.21,0.8,0.72,0.33,307.3091967666079
48,0.06,0.59,0.0,0.39,335.19087624670334
49,1.0,0.64,0.88,0.16,302.6793551006244
50,0.56,0.6,0.85,0.38,330.26621129843807
51,1.0,0.31,0.94,0.54,288.688345252213
53,0.08,0.98,0.64,0.67,276.707804512846
54,0.12,0.44,0.88,-0.28,338.7594884073789
55,0.16,0.75,0.96,0.43,318.2139571937021
56,0.35,0.57,0.19,0.78,291.5612115182686
57,0.02,0.99,0.0,1.0,241.40622081206337
58,0.0,1.11,0.0,0.31,279.53019016593794
59,0.0,1.4,0.0,0.72,280.38752286669575
60,0.31,0.74,1.0,0.17,310.0783664714679
61,0.3,0.3,0.54,-0.06,296.896699638327
62,0.44,0.78,1.0,0.14,314.413882671997
63,0.1,1.2,0.77,0.79,253.85618553464042
64,0.14,1.34,0.66,0.29,277.21607096598086
65,0.3,0.51,1.0,0.24,292.6607211328094
66,0.1,0.99,0.28,0.82,230.84342812405586
67,0.28,0.66,1.0,0.55,298.88342541602276
68,0.15,0.58,0.67,0.85,293.38965622509386
69,0.08,0.68,0.08,0.38,314.69884815553354
70,0.28,0.67,0.3,-0.56,334.0028935522645
71,0.16,0.88,1.0,0.81,257.081643440035
72,0.44,1.5,1.0,0.62,235.40143576191548
73,0.88,0.27,0.99,0.11,296.5582217732601
74,0.14,0.78,0.85,0.34,318.20204743114977
75,0.09,0.98,0.72,0.75,254.66006286104692
76,0.46,0.66,0.95,0.1,315.2855530245209
77,0.0,1.15,0.0,-0.38,256.4444956784113
78,0.0,0.82,0.0,-0.28,313.78795907799383
79,0.28,0.79,0.95,-0.26,295.60529203628835
80,0.09,0.25,1.0,0.49,331.3672814012731
81,0.01,1.24,0.0,0.25,274.1785718688381
82,0.16,0.94,0.72,-0.21,305.77334007478686
83,0.63,0.71,0.94,0.71,296.1224625565633
84,0.17,0.63,0.88,0.38,311.6026362801477
85,0.19,0.77,1.0,0.66,317.8286890008385
86,0.48,0.25,1.0,0.54,303.7523858221996
87,0.13,1.22,0.0,0.79,166.1741953667311
88,0.35,0.79,0.27,0.92,232.36193177177955
89,0.0,0.59,0.0,-0.04,318.2398717590542
90,0.13,0.81,0.98,-0.32,307.31012423297506
92,0.92,0.44,1.0,0.93,231.81773019442497
93,0.19,0.88,0.42,0.55,291.1807454508639
94,0.25,0.55,0.88,0.0,324.440947078406
95,0.68,0.22,1.0,0.73,264.16963250493404
96,0.01,1.24,0.0,0.55,288.543073950333
97,0.53,0.42,0.88,0.16,298.6718320314471
98,1.0,0.31,0.91,0.5,288.30351618887676
99,0.11,0.76,0.3,0.4,306.6687916562048
100,0.64,0.72,1.0,0.8,295.63649793537667
101,0.18,1.5,0.76,-0.24,227.5114053253357
102,0.01,0.72,0.0,0.0,318.8989299772409
103,0.0,0.71,0.0,0.15,329.3272401095388
104,0.08,1.39,0.28,1.0,195.06126400041308
105,0.12,0.74,1.0,0.3,291.30973503841585
106,0.13,0.98,0.88,0.75,278.2736448447673
107,0.0,0.33,0.0,0.62,316.66968939987083
108,0.48,0.6,0.99,0.0,304.59687469802145
109,0.14,0.49,0.14,1.0,285.0788445109713
110,0.12,0.87,1.0,0.49,296.5219605575061
111,0.12,1.0,0.48,0.24,300.3848553719666
112,0.21,0.43,0.88,-0.28,348.5520696098875
113,0.13,1.03,0.72,0.32,283.57692262931073
114,0.01,1.37,0.02,0.44,282.0780501862101
115,0.12,0.79,1.0,-0.12,334.62717434334905
116,0.24,0.83,0.98,-0.27,296.5302008852984
117,0.17,0.81,0.0,0.54,265.5226443945654
118,0.05,1.37,0.0,0.51,278.48350372007036
119,0.21,0.88,0.53,0.58,264.0747409913438
120,0.12,0.51,0.88,-0.05,332.90221029243344
121,0.08,0.68,0.68,0.0,313.1734938357236
122,0.52,0.46,0.08,-0.09,354.2803260913794
123,0.37,1.02,0.23,0.58,234.43815313837933
124,0.08,1.24,0.08,0.69,241.70235902400697
125,0.32,0.43,0.57,-0.33,308.1387170613868
126,0.08,1.28,0.16,0.93,233.002948112841
127,0.88,0.16,1.0,0.45,274.4557118151095
128,0.32,0.13,0.32,0.61,265.3187611639802
129,0.18,0.83,0.5,0.47,237.9721326936289
130,0.16,0.69,0.89,0.88,262.99429425795097
131,0.0,0.67,0.0,0.71,282.01644237919345
132,0.24,0.4,0.3,0.04,346.0757877364246
133,0.47,0.06,1.0,0.28,294.15475892215215
134,0.6,0.42,1.0,-0.05,320.1555614072101
135,0.08,0.66,0.84,0.2,330.1028663313789
136,0.15,0.64,1.0,0.97,264.5977416627576
137,0.88,0.4,0.96,0.56,285.97754928736987
138,0.08,0.79,0.52,0.84,294.7072510981709
139,0.32,1.28,1.0,1.0,222.45562305415314
140,0.03,0.56,0.05,-0.11,325.47557201195997
141,0.2,0.55,0.09,-0.07,303.02331679131265
142,0.0,0.49,0.0,-1.0,222.09350103471107
143,0.28,0.61,1.0,0.52,324.8046822395739
144,0.36,0.48,1.0,0.28,333.89148027872614
145,0.52,0.34,0.88,1.0,246.9930699032164
146,0.12,0.86,1.0,0.72,287.5311973749449
147,0.16,0.88,0.98,0.8,274.8963548685812
148,0.0,1.44,0.0,0.64,306.4317793038082
149,0.07,0.38,0.0,0.15,316.4386406127585
150,0.16,0.58,1.0,0.31,301.27836897151946
151,0.12,0.5,0.0,0.26,323.8569032763521
152,0.18,0.87,0.0,0.97,242.49089013813355
153,0.12,1.08,0.71,0.84,246.810971924944
154,0.46,0.68,0.42,0.3,310.97560428860345
155,0.08,1.05,0.71,0.59,256.2984445491585
156,0.1,0.65,0.48,0.92,265.8348182954272
157,0.1,0.58,0.0,1.0,264.1062307406272
158,0.09,0.7,1.0,0.16,294.1295765894091
159,0.61,0.65,0.98,0.69,264.9062957375715
160,0.31,0.91,0.85,0.37,333.41659334648466
161,0.27,0.21,0.9,-0.08,320.9723251248606
162,0.01,0.8,0.02,0.09,319.7639669733969
163,0.72,0.43,0.88,0.72,298.77747909955434
164,0.32,1.5,0.22,0.54,204.0385482193756
165,0.0,1.09,0.0,-0.21,302.33049941018857
166,0.0,0.79,0.0,0.83,267.3006149807353
167,0.21,0.88,0.1,1.0,230.76117943818264
168,0.44,0.44,1.0,-0.28,311.7299989740503
169,0.13,0.94,0.88,0.53,300.57221635066645
170,0.96,0.24,0.99,0.12,352.661849578427
171,0.36,0.78,1.0,0.17,293.6954408485986
172,0.21,0.74,0.88,0.13,296.7390497449002
173,0.28,0.66,1.0,0.36,305.00227555578965
174,0.4,0.84,1.0,0.93,285.5178766840224
175,0.32,0.47,0.71,0.53,311.049618098632
176,0.08,0.31,0.68,0.37,320.3022068636004
177,0.32,0.72,1.0,0.54,301.2120670514259
178,0.1,0.65,0.28,0.41,328.4780273398273
179,0.12,0.88,1.0,0.42,299.06084362049637
180,0.57,0.34,1.0,0.55,262.3948569064062
181,0.19,0.67,0.77,0.02,349.55153175907583
182,0.12,0.83,0.62,0.32,324.1640336867263
183,0.68,0.67,0.77,0.72,257.7921620845499
184,0.0,0.94,0.0,0.85,252.35756513239303
185,0.13,0.98,0.0,0.97,195.2165836120708
186,0.51,0.58,0.99,0.76,259.0282848140665
187,0.11,1.5,1.0,0.73,245.41893604583987
188,0.5,0.63,0.98,-0.2,291.89830412969735
189,0.29,1.5,0.0,-0.56,190.3398856007795
190,0.32,0.62,1.0,0.25,301.4586246209017
191,0.0,0.19,0.0,-0.07,283.9009975294539
192,0.28,0.6,0.98,0.29,324.1064491831306
193,0.44,0.33,1.0,0.43,265.02026621338496
194,0.24,0.63,0.99,0.48,297.5045748586594
195,0.1,0.23,0.56,0.56,271.8451407905452
196,0.0,1.18,0.0,0.71,302.82437933385006
197,0.12,0.88,0.96,1.0,265.54615803583243
198,0.12,0.84,0.68,0.78,271.3547300319401
199,0.28,0.5,0.79,0.24,310.10906240790644
200,0.22,0.78,0.72,0.47,276.78800847275596
201,0.15,0.71,0.72,0.31,293.75019746735967
202,0.33,0.81,0.06,0.67,263.340715355039
203,0.13,0.71,0.32,0.53,293.7661493139379
204,0.53,0.52,0.99,0.16,282.18323581287626
205,0.1,0.45,0.78,-0.08,311.18506104245006
206,0.18,0.46,1.0,0.77,275.404072269227
207,0.0,1.4,0.0,0.26,253.79281040725076
208,0.76,0.44,1.0,0.08,324.2338437980464
209,0.1,1.09,0.0,0.76,226.10468042529394
210,0.1,0.99,0.44,0.49,277.3267700974254
211,0.31,0.39,0.45,0.28,323.9054058227624
212,0.03,0.58,0.1,0.57,305.09648080197735
213,0.96,0.4,1.0,0.62,284.5161511117336
214,0.01,0.59,0.02,0.11,327.54014418638053
215,0.35,0.43,0.81,0.56,287.0589090753062
216,0.08,0.58,1.0,0.56,298.43904440437757
217,0.71,0.44,1.0,0.78,255.21354555994827
218,0.11,0.64,0.02,-0.2,323.70666539971944
219,0.39,0.18,0.81,0.64,309.50631019540447
220,0.08,0.71,0.97,0.03,301.8322283442865
221,0.0,0.79,0.0,-0.12,313.353477748951
222,0.08,0.87,0.48,1.0,207.14925700248747
223,0.17,0.88,0.66,1.0,263.7408219968737
224,0.09,1.12,0.48,-0.36,237.88627002191407
225,0.48,0.75,0.98,-0.12,301.39263727239984
226,0.32,1.03,0.74,0.46,314.6002785197614
227,0.08,0.78,0.88,0.08,305.714704757553
228,0.51,0.56,1.0,0.41,289.3367465678865
229,0.16,1.5,1.0,0.63,270.7563593120863
230,0.0,0.59,0.0,0.16,336.72238560735815
231,0.56,0.0,0.87,0.18,292.41883989854165
232,0.0,0.82,0.0,-0.32,305.3567926069198
233,0.52,0.33,1.0,0.36,270.43070817649726
234,0.0,0.57,0.0,0.19,332.16522332440434
235,0.12,0.74,0.98,-0.32,282.4851735098612
236,0.17,0.82,0.39,-0.33,275.87007806973975
237,0.56,0.63,1.0,0.41,336.7337447728681
238,0.31,0.76,0.88,0.38,330.6884151590765
239,0.12,0.57,0.5,0.8,283.9728251148948
240,0.33,0.66,0.0,0.44,319.83294503993255
241,0.08,0.99,0.97,-0.08,305.8351184299869
242,0.88,0.76,1.0,0.31,344.354610316557
243,0.02,0.31,0.02,-0.05,316.0302319320046
244,0.22,1.04,1.0,-0.17,306.92360958020276
245,0.31,0.62,1.0,0.31,299.72084441475096
246,0.22,0.61,0.99,0.48,319.3249202558088
247,0.37,1.11,0.57,0.62,260.6274452691164
250,0.08,0.96,0.84,0.58,313.46933364835206
251,0.1,1.12,0.0,0.56,242.05233672402767
252,0.29,0.49,0.88,0.27,329.89487593351083
253,0.14,0.59,0.32,0.27,335.37312384864197
254,0.06,0.56,0.02,0.73,281.4568752419358
255,0.08,0.98,0.08,1.0,217.59237466797504
256,0.44,0.73,1.0,0.93,264.14896624904156
257,0.29,0.77,0.88,0.78,294.1994055005546
258,0.52,0.66,0.97,0.54,300.6624743011537
259,0.48,1.05,0.94,0.56,259.54337040403806
260,0.19,0.37,0.88,0.0,308.41109409890976
261,0.21,0.78,0.87,-0.68,296.5246284610062
262,0.56,0.41,0.81,-0.13,306.8303299466478
263,0.2,0.9,0.49,-0.23,275.3755749957486
264,1.0,1.48,1.0,0.46,404.7918673642831
265,0.0,0.36,0.0,0.47,310.8907233612042
266,0.02,1.5,0.1,-0.14,248.43915585389988
267,0.01,0.69,0.0,0.08,319.0543682066859
268,0.02,1.36,0.0,0.6,273.4130717516116
269,0.0,0.84,0.0,-0.2,326.38445776625474
270,0.09,1.43,1.0,0.44,293.436157843258
271,0.16,0.52,0.1,0.26,325.1181312352217
272,0.32,0.74,0.88,0.87,255.58078472692767
273,0.6,0.17,1.0,0.36,298.3697477580261
274,0.28,0.4,0.63,0.36,336.5541671978133
275,0.37,0.55,1.0,0.76,297.1931864410513
276,0.0,0.65,0.0,0.61,322.2086264444247
277,0.18,0.66,0.88,0.53,319.05039524225344
278,0.28,0.92,0.61,0.9,234.4687379651117
279,0.34,0.75,0.68,0.68,279.6679532350739
280,0.31,0.26,0.68,-0.12,303.8653364748355
281,0.24,0.69,0.52,0.36,368.71087101281137
282,0.32,0.66,0.84,0.32,337.02907454096777
283,0.14,0.81,0.86,0.67,279.2013405330862
284,0.11,0.8,0.2,-0.42,279.1620984284985
285,0.14,0.25,0.94,-0.01,311.563233420207
286,0.1,0.52,1.0,0.21,303.8006867920923
287,0.09,0.27,1.0,0.55,292.3526962970432
288,0.1,0.72,0.6,0.67,289.0124740293157
289,0.23,0.17,0.24,1.0,216.4636491067408
290,0.4,0.94,0.86,0.35,300.9252557970436
291,0.77,0.64,1.0,0.65,299.01722356883346
292,0.01,0.63,0.02,0.9,284.600201099873
293,0.0,0.57,0.0,1.0,258.97947124328834
294,0.69,0.22,1.0,0.71,298.981852544055
295,0.02,0.59,0.1,0.49,328.1327439137174
296,0.1,0.88,0.72,0.94,275.27223620765636
297,0.08,0.83,0.28,0.69,270.9417214050461
298,0.12,1.3,0.48,-0.5,212.2194839534809
299,0.0,0.0,0.0,0.66,242.2159593990819
300,0.01,1.14,0.02,0.25,251.0262763904965
301,0.16,0.64,1.0,0.09,306.7181059037147
