subID,alpha,theta,gamma,w,nll_idv,nll_grp
64,0.35,1.38,0.38,-1.0,122.90025931733838,63.37450192185151
75,0.1,0.92,0.88,-1.0,201.49414452030481,145.4993538782357
38,0.24,1.49,0.0,-1.0,336.5062237752539,132.1204780997508
65,0.88,0.68,0.88,-1.0,167.07424627386885,85.84047675738435
48,1.0,0.51,0.87,-1.0,149.65869311716185,143.34358214495765
56,1.0,0.59,0.73,-1.0,206.89422688259276,69.12545777757875
26,0.33,1.05,1.0,-1.0,340.33678649647584,131.57744453969755
71,0.14,0.98,0.12,-1.0,72.53770360145018,107.08887207360857
69,0.11,0.57,0.29,-1.0,166.50947437035364,121.42308791535243
8,0.19,0.96,1.0,-1.0,271.8869361347367,97.13718992882708
44,0.4,0.05,1.0,-1.0,170.34319500471162,83.01714433982887
57,1.0,0.78,0.36,-1.0,100.24216440981944,107.7447674289908
50,0.44,0.52,1.0,-1.0,217.05771244466567,94.93359736000082
77,0.0,1.32,0.0,-1.0,336.17740718371283,150.86553827832373
32,0.13,0.57,0.47,-1.0,220.61043923801373,118.18686711976298
40,1.0,0.48,0.97,-1.0,124.02284190209485,45.29321990314361
41,0.2,0.54,0.02,-1.0,222.47361928809357,62.684838506332234
83,1.0,0.69,0.86,-1.0,130.5344400399094,68.87111630195679
36,1.0,1.39,0.27,-1.0,161.00283922024926,79.51611226750559
54,1.0,0.4,0.43,-1.0,140.45784084681617,71.78383969713235
72,0.02,1.5,0.0,-1.0,294.8419187088711,166.35064922644443
34,0.6,0.5,0.99,-1.0,167.83447136636858,80.77837522832166
55,0.17,1.03,0.33,-1.0,200.37398893057602,91.18414885485667
39,0.2,0.69,0.92,-1.0,196.90462767586953,131.24280697583782
16,0.05,0.78,0.1,-1.0,226.20469890689367,94.90715579588719
20,0.52,0.61,0.99,-1.0,225.2477205901488,97.5420119690292
62,0.67,0.72,0.93,-1.0,165.64450539081696,80.77688761216787
42,0.72,0.48,0.88,-1.0,142.79733625048158,91.09121615577564
68,0.48,0.67,0.09,-1.0,243.07654700327,114.24494389728906
79,0.58,1.14,0.04,-1.0,212.94776927407491,138.8178931865397
14,0.92,1.32,0.76,-1.0,146.47118037666144,153.8367387442969
58,0.13,0.88,0.32,-1.0,151.01562314586428,52.968361689767505
73,0.26,0.61,0.0,-1.0,96.48207137067523,98.98843483848
17,0.36,0.57,1.0,-1.0,237.75644245793623,92.99621100656897
46,0.42,0.43,0.7,-1.0,324.4427044953379,151.34175776265795
0,0.0,0.65,0.0,-1.0,215.22578457748074,122.48332413120583
84,0.44,0.63,0.38,-1.0,258.3025307045266,103.88455424941
66,0.32,0.82,0.0,-1.0,194.9596954136277,34.7867400393833
15,1.0,0.2,0.99,-1.0,235.15683328010346,140.10740761280243
70,0.31,0.74,0.05,-1.0,231.616435155215,107.31602528952573
81,0.0,1.2,0.0,-1.0,217.32620543478913,97.0508096089017
49,0.7,0.64,0.99,-1.0,181.62711209807472,115.2574830826689
45,0.22,0.92,0.0,-1.0,282.54442997934905,149.23452153743256
47,0.88,0.64,0.85,-1.0,190.36863883235955,84.14321209863745
1,0.48,0.93,0.31,-1.0,326.89521740822704,165.47339033864753
6,0.32,0.74,1.0,-1.0,306.2962760113591,104.62420162140671
76,0.42,0.88,0.0,-1.0,224.93259127760845,60.20860976596047
12,0.67,0.73,0.16,-1.0,200.34322615365045,113.75239489914354
74,0.17,0.83,0.36,-1.0,185.85129238229206,89.72248525932899
2,0.14,0.81,1.0,-1.0,274.2318486539814,194.0816296362559
51,0.99,0.27,0.98,-1.0,136.43217206877554,61.74761602089113
80,0.4,0.37,0.0,-1.0,272.92394320971283,151.91062506698503
28,0.68,1.12,0.76,-1.0,123.44019198385257,49.16298148865057
43,0.27,1.01,0.6,-1.0,263.3591613999986,175.397914983219
13,0.5,0.74,0.55,-1.0,160.1948643088945,102.27193370296715
10,0.18,0.98,1.0,-1.0,298.2880353269198,141.739166490496
59,0.42,0.88,0.98,-1.0,216.48170161330052,78.70848610547911
18,1.0,0.53,0.61,-1.0,146.5080226217366,71.13292497354074
21,0.96,0.48,1.0,-1.0,240.96263756103383,85.11586487649463
4,1.0,0.69,0.79,-1.0,148.72942972556376,85.62108357633231
33,0.24,0.41,0.19,-1.0,250.77561812742746,107.13865434610132
30,0.35,1.31,0.42,-1.0,246.1461683185219,78.82612244071443
63,0.37,1.12,0.88,-1.0,244.13653556950965,128.1923843071749
37,1.0,0.36,0.88,-1.0,161.608128560131,87.22055668298475
22,0.02,1.5,0.0,-1.0,280.82487735067184,121.37659831604773
78,0.44,0.57,0.88,-1.0,211.33998463026288,103.48207780171542
31,0.0,0.83,0.0,-1.0,183.7782431756748,109.05939593058974
60,0.36,0.8,0.88,-1.0,214.25386381290957,88.06455733385623
61,1.0,0.17,0.72,-1.0,161.27962350027062,87.5957389557139
23,0.6,0.69,1.0,-1.0,238.42989998919083,82.89437640880138
24,1.0,1.19,0.6,-1.0,180.27194685083694,64.90052430746076
35,0.13,0.82,0.32,-1.0,191.49625425307568,71.29587879305976
9,0.18,0.92,1.0,-1.0,256.05183652147184,134.81082491663568
11,0.33,0.67,0.98,-1.0,203.2708951900671,118.29248389992975
27,0.72,0.49,0.95,-1.0,176.1547633976307,103.43791497297343
67,0.34,0.6,1.0,-1.0,206.9149450660027,77.63304651118713
82,0.91,0.84,0.82,-1.0,192.9188171799056,99.01307462891204
29,0.26,0.92,0.83,-1.0,279.71124467927064,100.06423244531754
19,0.69,1.08,0.86,-1.0,203.32896970113384,75.32715978489995
25,0.09,1.5,0.39,-1.0,179.15001817069123,56.47749259780745
5,1.0,0.78,0.72,-1.0,138.00594708773178,60.19509849676268
53,0.88,0.86,0.68,-1.0,173.39341795369526,102.94888213163686
3,0.98,0.24,0.99,-1.0,274.87010920913247,136.2187263615186
7,0.04,1.5,0.0,-1.0,344.4530879065752,132.17935438687638
136,0.52,0.37,0.99,-1.0,194.63934361522502,82.4593749702697
164,0.35,1.19,0.04,-1.0,231.06144918882853,106.69973578615642
124,0.32,0.91,0.08,-1.0,320.8687400209171,112.37400489847823
137,1.0,0.51,0.62,-1.0,175.35835763314856,82.0782633323183
170,0.47,0.65,0.96,-1.0,228.14158040415674,91.21639184648011
146,0.39,0.88,0.45,-1.0,195.2770868422678,75.48239036087264
128,0.05,0.44,0.0,-1.0,224.0195688304438,108.80683024739464
129,0.42,1.0,0.78,-1.0,225.18128441007778,99.92641590212001
105,1.0,1.09,0.68,-1.0,193.61823811888212,114.797937543276
132,1.0,0.45,0.66,-1.0,214.6920541667976,91.10101661757557
142,0.0,0.0,0.0,-1.0,502.14505930793507,44.23469533216833
134,1.0,0.24,1.0,-1.0,169.24806604373916,69.639227100349
143,1.0,0.74,0.22,-1.0,183.45840664592993,174.6493664615545
165,0.03,1.03,0.1,-1.0,147.6793131397808,82.51348151891216
116,0.14,0.97,1.0,-1.0,263.1848786178935,158.61289796928136
111,0.88,1.14,0.88,-1.0,198.89303004962076,69.350110470584
99,1.0,0.43,0.88,-1.0,148.39215494998632,77.96597420358916
135,0.82,0.36,1.0,-1.0,176.39289165281724,94.77440915340989
118,0.13,1.18,0.32,-1.0,224.11746298068408,93.23069509412619
103,0.29,0.49,0.88,-1.0,250.9867489459863,105.60506508693481
148,0.52,0.96,0.88,-1.0,228.62480761714252,153.01443459940143
101,0.09,1.5,0.55,-1.0,247.08884643899606,143.50328982684402
120,1.0,0.59,0.77,-1.0,165.2111601473084,81.9803193410175
119,0.7,1.16,0.88,-1.0,165.6639832120296,68.54923734116969
149,0.76,0.2,0.7,-1.0,163.08807992102,68.8263542611236
156,0.28,0.64,0.0,-1.0,273.2520062653799,109.12712963604369
152,0.25,0.9,0.1,-1.0,299.86364050735176,74.22407481210911
171,0.34,0.89,0.76,-1.0,230.86200194826873,98.79918465545002
87,0.3,1.21,0.0,-1.0,191.73767714820752,72.37887923736938
85,0.53,0.77,0.88,-1.0,205.9798444044414,94.5595303114126
166,1.0,0.49,0.84,-1.0,237.0289604572494,88.2016669342189
150,0.37,0.59,0.96,-1.0,276.9235092761098,144.48061419773128
126,1.0,0.87,0.64,-1.0,162.4642162434444,98.53648641053306
138,1.0,0.85,0.36,-1.0,140.33930252822066,101.16194004032778
167,0.54,0.74,0.2,-1.0,193.82159068066616,96.35506814106539
88,0.54,0.98,0.0,-1.0,210.78346587975386,82.02743780536343
158,0.24,0.72,0.71,-1.0,259.8986977646824,108.7075757582226
92,0.84,0.55,0.98,-1.0,189.9902793983616,83.53806898585034
95,0.7,0.4,1.0,-1.0,177.83286101483725,83.41971235849056
133,0.88,0.22,0.98,-1.0,191.9599513805981,76.14259932775133
106,0.36,0.96,0.88,-1.0,240.65006172133616,100.08478697914357
130,0.69,0.8,0.88,-1.0,201.12229667573456,94.10582888361725
154,0.28,0.82,0.1,-1.0,136.46031472147436,47.37929843799604
97,0.76,0.56,0.88,-1.0,154.43234925764602,64.59398788072906
102,0.0,0.7,0.0,-1.0,264.2035975548351,99.58927163968035
153,0.24,1.14,0.34,-1.0,151.72653963003083,36.62341861659705
86,1.0,0.29,0.88,-1.0,195.90343471155822,87.35207416983212
112,0.2,0.48,0.1,-1.0,236.08235668033007,145.75886199844717
114,0.88,1.5,0.21,-1.0,105.42164441383616,104.17604962241458
