subID,alpha,theta,gamma,w,nll_idv,nll_grp
64,0.34,1.5,0.36,-0.32,120.62622018215738,60.59564050452367
75,0.0,1.07,0.0,-0.32,208.39719280562895,134.9648162567527
38,0.33,0.78,0.0,1.0,314.5674027530244,121.29758640376879
65,0.88,0.68,0.88,0.02,167.07424627386885,85.76072447300179
48,0.99,0.4,0.85,0.25,145.3995135885722,138.731604377757
56,1.0,0.67,0.75,-0.24,203.26247130120987,64.81745298278317
26,0.28,0.81,1.0,0.48,331.36123192380387,131.64145236271136
71,0.13,0.95,0.13,0.2,74.06105060172803,102.48467301761332
69,0.81,0.36,1.0,-1.0,155.50526589352108,108.20325365470926
8,0.19,0.95,1.0,0.01,271.8760879706576,97.13718992882708
44,0.44,0.05,1.0,-1.0,170.51974411353098,83.39261962300192
57,1.0,1.05,0.45,-0.7,84.13699406773777,83.04801596572607
50,0.48,0.5,0.99,0.1,216.96370438666457,93.7359278387348
77,0.0,0.87,0.0,1.0,290.45079139335763,124.09421581380519
32,0.16,0.49,0.8,0.09,220.0256799190733,117.67610388718121
40,1.0,0.52,0.96,-0.04,123.30221409448754,44.88797022793329
41,0.21,0.46,0.02,0.28,220.63598295209138,57.50977397570892
83,1.0,0.68,0.86,0.03,130.35130789519891,68.73346325794648
36,0.88,1.44,0.23,-0.39,159.88854080948352,75.03613389056363
54,1.0,0.37,0.43,0.11,140.25693263930114,71.1886784121792
72,0.02,1.5,0.02,-0.64,294.89021327084805,157.91996156341963
34,0.55,0.51,0.98,0.08,168.9065682977292,77.6295374610407
55,0.25,1.21,0.49,-0.58,183.02781514608907,62.12294231332306
39,0.17,0.77,0.84,-0.22,196.80135047345948,124.18474199579126
16,0.05,0.75,0.1,0.09,225.79817931426444,93.92595985274146
20,0.52,0.6,0.99,0.06,224.8569152606222,96.69459674192954
62,0.68,0.72,0.94,-0.07,165.52027351792265,80.51149501863075
42,0.75,0.52,0.88,-0.12,142.59688164516135,88.60285549803581
68,0.48,0.67,0.09,-0.01,243.07654700327,114.15703467290821
79,0.61,1.06,0.01,0.29,209.17899575582962,131.30640285708276
14,1.0,1.5,0.58,1.0,126.51363778772496,111.95339574166553
58,0.14,0.88,0.35,-0.04,150.88164750805478,52.57864209329648
73,0.25,0.78,0.0,-0.53,88.75982953304617,81.3402016204163
17,0.36,0.56,1.0,0.01,237.73068786722754,92.99621100656897
46,0.4,0.45,0.71,-0.08,324.4620396496216,150.63166828268083
0,0.0,0.64,0.0,0.05,215.17138728247045,122.09720446063052
84,0.43,0.6,0.39,0.11,257.7223309395483,101.737753292939
66,0.31,0.85,0.0,-0.12,194.3071483303851,33.32943930289276
15,1.0,0.4,0.99,-1.0,220.00615620609514,120.57435720718215
70,0.33,0.7,0.07,0.12,226.67109130310473,107.18681558648568
81,0.0,1.24,0.0,-0.12,216.40990736364498,95.42894275704177
49,0.72,0.68,0.99,-0.22,181.14105151687204,111.84538010847588
45,0.21,1.31,0.0,-0.55,265.38929836595696,139.8931154714376
47,0.48,0.64,0.97,-0.23,185.19117843007388,77.38078760047281
1,0.52,0.94,0.36,-0.11,324.6672919303398,167.5450556884321
6,0.32,0.74,1.0,0.0,306.2962760113591,104.62420162140671
76,0.44,0.98,0.0,-0.32,220.6344668393069,50.74176383441867
12,0.93,1.14,0.35,-0.72,164.17600983788387,101.01806118657655
74,1.0,1.08,0.76,-0.28,170.91005994422702,95.43718713295075
2,0.24,0.74,1.0,0.56,273.1586769614322,179.89713727449396
51,0.84,0.26,0.99,0.12,136.0640841878508,58.22419391655623
80,0.4,0.37,0.0,0.0,272.92394320971283,151.91062506698503
28,0.72,1.12,0.75,0.12,123.07363100047425,47.34554419794803
43,0.27,0.91,0.44,1.0,255.67680900677635,122.71378502334788
13,1.0,1.09,0.78,-0.84,132.74252623048432,80.9860313426516
10,0.26,0.8,0.94,0.72,279.2004677083214,129.0130466462485
59,0.37,0.96,1.0,-0.2,210.6188662519714,75.23379448596783
18,1.0,0.47,0.55,0.21,145.1731392170523,69.21375743347643
21,0.02,0.75,0.0,0.59,228.66998118610925,64.71948235997229
4,1.0,0.7,0.79,-0.03,148.67047563838165,85.54808987306784
33,0.21,0.39,0.15,0.08,251.55658467694445,105.44961393638692
30,0.34,1.3,0.41,-0.02,246.23415098197358,78.72158511563374
63,0.32,1.15,0.88,-0.16,243.61512286689606,127.21886007538367
37,1.0,0.25,0.88,0.32,158.53284068910526,80.59519368593136
22,0.02,1.5,0.0,-0.3,280.82487735067184,114.02673429358141
78,0.4,0.58,1.0,-0.09,206.2901031667726,104.48220397459569
31,0.0,0.88,0.0,-0.18,180.64567041954646,102.67004673872081
60,0.36,0.84,0.88,-0.12,213.55524061980822,86.28682615869083
61,0.88,0.05,0.77,0.31,158.04860376895928,79.41702390060794
23,0.6,0.71,0.99,0.08,238.34494284543743,82.96257247908872
24,0.99,0.97,0.58,0.67,170.80045827359845,48.97424933367353
35,0.8,0.6,0.99,-0.22,194.87274862578653,66.77034331239716
9,0.16,0.94,1.0,-0.1,256.54251369880296,133.71805690507736
11,0.44,0.81,0.88,-0.27,196.91981964520104,121.3566604985567
27,0.72,0.48,0.94,0.1,174.78161891058167,100.021944734074
67,0.34,0.6,1.0,0.0,206.9149450660027,77.63304651118713
82,0.84,1.0,0.79,-0.45,188.10541812692574,86.50549417695991
29,0.16,1.14,0.79,-0.48,277.46224361350096,87.85797838111647
19,0.71,1.1,0.86,-0.18,203.21116264325926,72.31416149228372
25,0.13,1.5,0.31,0.28,181.2378165618714,54.33058019486103
5,1.0,0.78,0.77,-0.17,137.2458224357969,58.2968676904642
53,0.76,0.68,1.0,-0.44,184.3542935100635,67.95436766283512
3,0.82,0.76,0.96,-0.53,273.37526162006185,125.73247596102588
7,0.08,1.5,0.0,-0.4,338.27538984041416,128.89715193049585
136,0.56,0.45,0.99,-0.25,190.33242239466503,75.36393071793971
164,0.31,1.35,0.03,-0.26,230.63260145037907,105.2448447379796
124,0.36,1.35,0.07,-0.55,303.4628359675743,106.40821818178743
137,1.0,0.61,0.6,-0.18,172.8650260928392,80.70125731268843
170,0.53,0.66,0.99,-0.15,223.85933193290523,91.95631270958245
146,0.41,0.97,0.48,-0.25,193.40489460759153,72.60095792398147
128,0.06,0.32,0.0,0.51,218.34563068396344,86.84378298863301
129,0.43,1.02,0.77,-0.05,224.52602294229033,100.39383031611905
105,1.0,1.05,0.68,0.12,193.3194128071844,114.12656710464589
132,0.93,0.39,0.68,0.1,213.64904070720868,91.36697987772698
142,0.39,0.94,0.24,-1.0,330.92425983288126,46.78928231746644
134,1.0,0.28,1.0,-0.1,167.77725448827277,67.61412662942793
143,1.0,0.7,0.29,0.55,181.12349386699285,170.4222219687774
165,0.08,1.03,0.48,0.17,141.27675058995962,82.44315659046677
116,0.09,1.09,1.0,-0.27,261.34517969790943,155.0811434976669
111,0.72,1.2,0.83,-0.21,200.2327247051047,70.15647648134832
99,1.0,0.56,0.88,-0.27,143.79689247915098,70.62206241239403
135,0.97,0.28,1.0,0.16,175.46918371171319,90.4221851120016
118,0.12,1.32,0.29,-0.56,217.5185095605283,76.93050598828908
