subID,alpha,theta,gamma,w,nll_idv,nll_grp
64,0.14,1.43,0.68,0.0,133.48823883841214,58.28262369586685
75,0.0,1.09,0.0,0.76,208.4987902206972,115.55831702632798
38,1.0,0.1,1.0,0.48,335.3594910209494,123.87803590946525
65,0.58,0.68,0.83,0.41,141.01225995042378,91.87721392063351
48,0.88,0.03,0.9,0.52,146.02813240973214,126.74515674182602
56,0.16,0.69,0.48,0.61,192.67464977020484,43.956081837588066
26,0.92,0.32,1.0,0.31,362.85060603860745,126.77572481227345
71,0.08,0.93,0.0,0.6,79.47037300540704,76.30118228896751
69,0.04,0.57,0.01,-0.24,164.4022418334105,111.02379726540843
8,0.01,1.3,0.02,0.62,268.1788001113099,79.63032417420382
44,0.09,0.08,1.0,-0.05,171.85497697374112,81.7133517488505
57,0.12,0.84,0.0,1.0,100.64304880531749,29.465554835949963
50,0.41,0.49,0.88,0.4,206.26761401092034,91.60651378117234
77,1.0,0.06,1.0,0.28,308.7386547194916,118.08700077305804
32,0.48,0.52,0.87,0.12,219.08635884858498,111.5755375991195
40,0.34,0.68,0.86,0.48,134.07131852631633,53.09881825352224
41,0.42,0.37,0.88,1.0,204.62680252286899,35.66616563443881
83,0.32,0.32,1.0,0.36,151.52178845556037,60.2538117878717
36,0.12,1.08,0.27,0.18,181.1237318842355,87.50768872687921
54,0.27,0.37,0.28,0.0,141.24547235508822,80.32953895092575
72,0.0,1.5,0.0,0.63,294.91784019118825,132.35573589346725
34,0.22,0.47,0.97,0.34,175.12259770216573,64.08070083106334
55,0.09,0.88,0.96,0.32,199.44554355997602,94.80640016931899
39,0.08,0.67,0.87,0.28,196.1115036928699,118.41909279549316
16,0.02,0.76,0.1,0.38,226.46096811544425,84.50093789031872
20,0.47,0.68,0.86,0.24,212.42158159157054,88.38517337297917
62,0.22,0.68,0.95,0.11,165.68248833920282,74.15358417973266
42,0.27,0.24,0.96,0.25,158.5104695804018,99.71355412449344
68,0.12,0.64,0.02,0.68,233.06411056758972,69.53412448826026
79,0.12,1.0,0.21,-0.43,203.16575345514175,102.2946543953534
14,0.37,1.5,0.59,-0.59,136.06672749866985,111.67710516690873
58,0.08,0.88,0.68,1.0,146.7032021450139,33.801147512078934
73,0.22,0.58,0.08,-0.41,117.37109035879729,55.23797496177916
17,0.09,0.64,0.0,0.48,224.9080093819522,89.43141461336198
46,0.92,0.05,0.97,0.32,322.3222144176106,140.0114649562911
0,0.0,0.64,0.0,0.12,215.17138728247045,121.1543965103927
84,0.15,0.51,0.0,0.5,254.04975066010616,93.07124288238995
66,0.13,0.88,0.07,0.31,180.05735967718624,29.184634838706877
15,0.23,0.44,0.99,-0.44,240.6535108015564,115.6564894442891
70,0.24,0.72,0.0,-0.5,270.7795499313041,97.9760830971428
81,0.0,1.23,0.0,0.24,216.53756238056732,91.74204555532783
49,0.17,0.72,0.97,0.18,185.16547842982334,111.1587557572301
45,0.08,1.5,0.0,0.61,265.04980984938715,106.64336428724214
47,0.5,0.56,0.87,0.42,171.90570425346422,88.4071848705837
1,0.88,0.24,1.0,0.29,346.2977705816149,114.92917574712342
6,1.0,0.06,1.0,0.68,294.7745482729369,94.64178387935878
76,0.08,0.84,0.0,0.0,234.237761796108,57.39362025082325
12,0.25,1.04,0.39,0.76,174.256635866186,78.5819687394689
74,0.34,0.91,0.82,0.19,163.81656914960467,88.78868335685388
2,1.0,0.09,1.0,0.12,327.2871365096178,147.43156156945741
51,0.32,0.24,1.0,0.4,139.9196575650064,58.28524081407787
80,0.19,0.36,0.0,0.41,266.84983371157034,129.5531619535576
28,0.25,1.24,0.75,0.28,116.90528696945373,50.10984946054918
43,0.18,1.0,0.56,-0.41,267.04430032507804,116.07643001911069
13,0.19,0.94,0.58,0.68,152.74832955049715,112.6637410765364
10,0.16,0.8,0.64,0.62,272.95696462627984,119.4659725600913
59,0.0,1.01,0.0,0.61,227.01229102891935,54.462346399128265
18,0.4,0.63,0.59,-0.1,150.94480246281455,63.27349620967065
21,0.01,0.76,0.02,1.0,228.70649524143687,37.03152348538782
4,0.31,0.68,0.79,0.74,148.1881947999881,61.318436697006696
33,0.12,0.32,0.1,0.24,245.75250484342797,105.63209388319935
30,0.08,1.32,0.54,-0.17,264.27962765142064,79.14929939324975
63,0.05,1.28,0.1,0.7,256.29912917459194,85.85594215447176
37,0.26,0.32,0.88,0.06,163.7722881691821,85.49673670589426
22,0.0,1.5,0.0,0.56,282.8641677562089,93.2831978961375
78,0.0,0.69,0.0,-0.4,208.0714637335642,96.82003011018563
31,0.0,0.86,0.0,0.51,181.34191140549262,84.70144193869449
60,0.08,0.81,0.88,0.12,214.57111888142893,90.46933545801508
61,0.24,0.12,0.88,0.0,165.2245493584524,83.61355682276734
23,0.13,0.94,0.88,0.12,236.81488529085752,84.52581792199585
24,0.27,0.88,0.78,1.0,144.60565020901245,48.47293910231693
35,0.08,0.83,0.68,0.7,189.88617230200154,51.1542581528648
9,0.08,0.94,1.0,0.65,263.7340451878236,94.63991170500084
11,0.19,0.77,0.88,-0.28,208.49333509681526,108.02307826561606
27,0.18,0.42,0.98,0.19,176.23244259108358,95.41278781644681
67,0.24,0.52,0.94,0.28,194.85170873711115,49.80544415508249
82,0.13,0.9,0.82,-0.16,190.65175637517265,95.89573189350575
29,0.03,1.32,0.1,1.0,283.4390688307546,57.69737023665522
19,0.08,0.98,0.68,-0.09,211.59741748708515,85.16480823526398
25,0.02,1.49,0.1,0.28,177.92457885351342,55.647406522295384
5,0.28,0.65,0.8,0.6,143.82402701270607,52.04268804664627
53,0.23,1.08,0.59,0.64,165.3198262481377,72.88369878185343
3,0.32,0.69,0.99,0.8,267.88689586795704,95.5974335991134
7,0.01,1.5,0.0,0.4,341.2457394768361,108.62883326306157
136,0.11,0.46,1.0,0.88,191.17404192886607,61.58593986908122
164,0.08,1.28,0.0,0.48,222.9336477553973,93.28978432910131
124,0.08,1.5,0.0,0.6,302.15741796065623,104.10471123190914
137,0.39,0.64,0.65,0.41,161.99463372026685,64.28372725689401
170,0.01,0.76,0.02,0.32,234.1396628035841,93.28880483232442
146,0.16,0.92,0.45,0.48,195.63750945237592,74.94328719149924
128,0.03,0.31,0.0,0.54,215.48292161969883,81.17531873328342
129,0.14,0.92,0.49,0.41,217.85981456049805,91.04084205433841
105,0.26,0.88,0.69,0.31,210.88536356522056,117.13553060518876
132,0.18,0.39,0.79,0.0,217.14145262306542,92.27699641279918
142,1.0,0.0,0.89,-0.9,459.3119624090351,11.162615056889544
134,0.47,0.16,1.0,-0.24,157.7975347987438,81.2817358558728
143,0.6,1.28,0.68,0.29,155.23045631812644,135.66989537071976
165,0.01,1.0,0.02,-0.08,146.5289881118328,84.27723751529521
116,0.1,0.88,0.16,-0.23,279.70857965368793,138.22668215707725
111,0.19,1.08,0.85,0.08,190.9706153817725,71.97936405791965
99,0.37,0.28,0.97,0.58,146.86017887989135,55.95999321252104
135,0.24,0.4,0.99,0.25,164.6392977315366,86.80764514349167
118,0.03,1.25,0.1,0.41,218.74219341444606,73.02025113626914
103,0.15,0.49,0.75,0.21,247.23804850384764,103.20836934444232
148,0.17,1.08,0.86,0.52,222.93067723535506,103.75854087155108
101,0.92,0.52,1.0,0.28,372.9588676245384,132.92473796574893
120,0.39,0.48,0.83,0.11,168.90182744614427,84.97695509923598
119,0.2,1.2,0.83,0.64,168.15169579549848,64.76142620101128
149,0.19,0.19,0.29,0.26,159.10321663512204,67.66407824017607
156,0.12,0.55,0.0,0.86,264.39954807113685,58.91324215717328
152,1.0,0.06,1.0,1.0,320.5295359860877,37.32589287453607
171,0.15,0.98,0.84,0.16,228.45340613667682,88.88983199530307
87,0.08,1.28,0.0,0.68,187.52414647162638,52.7636429681543
85,0.12,0.84,0.92,0.68,204.75501832720758,68.2646847698953
166,0.31,0.53,0.83,0.87,234.356811044046,51.96040404141948
150,0.92,0.09,1.0,0.32,347.5166992223389,159.8271254561212
126,0.11,0.89,0.4,0.98,154.00965366476098,43.74853696375082
138,0.54,0.88,0.78,0.75,92.86115941883756,83.78275572408157
167,0.14,0.97,0.12,1.0,170.00743415701254,40.86242852966862
88,0.12,1.16,0.0,0.92,207.75222118305865,30.374698625224383
158,0.27,0.48,0.99,0.12,290.54350770150893,97.49430645367264
92,0.25,0.7,0.86,0.96,178.31864326262993,46.59772718173787
95,0.18,0.32,1.0,0.57,186.98020264595038,58.44021824663849
133,0.14,0.2,1.0,0.1,193.79788375177571,78.72926626650205
106,0.08,1.01,0.84,0.68,242.2168963692103,72.54663566715519
130,0.15,0.87,0.61,0.93,208.25112860616952,44.8214982021246
154,0.08,0.83,0.08,0.0,137.17848877655575,45.66205753501629
97,0.16,0.32,0.99,0.0,175.8944967665471,74.93229879123507
102,0.0,0.69,0.0,0.08,264.28078828380495,99.07620668679688
153,0.08,1.28,0.52,1.0,147.4725832353503,24.859800311504923
86,0.52,0.17,0.88,0.54,192.73780366707823,62.87915464782876
112,0.14,0.39,0.16,-0.19,239.3395718396464,120.17986259941998
