subID,alpha,theta,gamma,w,nll_idv,nll_grp
64,0.14,1.41,0.48,0.08,122.83272476222909,66.71140689104134
75,0.0,1.09,0.0,0.76,208.4987902206972,115.55831702632798
38,0.23,0.66,0.0,0.57,313.5501217960634,145.5322348200309
65,0.7,0.68,0.83,0.31,152.68744255897295,77.53230197577253
48,0.7,0.33,0.85,0.47,130.80034776504877,125.43995194319672
56,0.2,0.68,0.48,0.66,195.93290083188225,45.96305813734873
26,0.25,1.08,0.81,-0.23,337.11586959702095,127.37228781932328
71,0.08,0.95,0.0,0.68,70.4835920549983,75.76603707585595
69,0.08,0.62,0.1,-0.25,160.12479273654694,111.93586731944599
8,0.01,1.31,0.02,0.64,267.15635268899047,80.45560714849329
44,0.17,0.06,1.0,-0.04,172.14539872800765,81.40013963823726
57,0.17,0.85,0.02,1.0,98.29391667490289,29.465554835949963
50,0.44,0.44,0.92,0.36,208.55219901224834,89.41288086320858
77,0.04,1.08,0.0,-0.47,306.1656091891802,119.16683310856584
32,0.66,0.54,0.82,0.18,215.14687067388303,114.05783619213253
40,0.49,0.68,0.86,0.17,119.65388631255294,35.794888294473964
41,0.45,0.37,0.88,0.96,206.71322439688558,35.63438014946746
83,0.35,0.68,0.88,0.36,145.55925552168605,61.41663969706672
36,0.26,1.23,0.19,0.15,163.88773129956812,71.37822153443403
54,0.63,0.42,0.39,0.0,132.55231118422833,72.36654666191278
72,0.4,1.48,1.0,0.57,296.86320576792815,119.94931462161001
34,0.4,0.32,0.98,0.56,168.82764605765885,70.31205771082553
55,0.2,0.84,0.96,0.3,202.47514608096924,86.49062606987773
39,0.08,0.78,0.87,-0.4,198.06304247794887,105.56994964712868
16,0.02,0.76,0.1,0.38,226.0194429760182,85.4693601687957
20,0.91,0.72,0.82,0.27,203.27306863474104,94.79429679131404
62,0.32,0.8,0.88,0.12,162.67771918556485,81.02137990194359
42,0.4,0.28,0.95,0.27,151.8935794756094,92.6758147661159
68,0.17,0.64,0.0,0.66,237.27988566075797,69.78293509173362
79,0.19,1.01,0.2,-0.34,195.13873760226704,100.79430923752992
14,0.45,1.5,0.6,-0.52,128.86718056995238,105.157679293958
58,0.4,0.45,0.99,-1.0,151.05865031183973,33.801147512078934
73,0.9,0.78,0.58,-0.35,117.24443400322772,35.86774624492368
17,0.1,0.67,0.0,0.48,226.71188968911054,91.499683094681
46,0.11,0.5,0.48,0.29,328.79919883570955,137.79382573021906
0,0.0,0.64,0.0,0.12,215.17138728247045,121.1543965103927
84,0.22,0.49,0.0,0.49,247.60731778026317,90.67284584363404
66,0.18,0.88,0.0,0.33,182.09289079620075,29.643256399852273
15,0.41,0.47,0.94,-0.46,220.04524081163638,116.67326769392201
70,0.1,0.71,0.07,-0.32,249.2023935209475,78.4813128336437
81,0.0,1.23,0.0,0.24,216.53756238056732,91.74204555532783
49,0.27,0.68,0.98,0.18,184.76536941358233,114.32808158983586
45,0.09,1.41,0.0,0.62,262.65880117261133,107.18040268579018
47,0.62,0.56,0.87,0.27,174.6130330980647,80.50032582829257
1,0.5,0.81,0.82,0.54,319.33122715905705,156.4604808765269
6,1.0,0.28,0.99,0.56,286.4544140082427,89.65729039845856
76,0.1,0.87,0.0,-0.08,230.61574789200534,61.07084373399715
12,0.38,1.08,0.34,0.74,169.12540735650458,77.92822859447352
74,0.52,0.92,0.82,0.2,163.28055836236263,83.86621242319859
2,0.27,0.77,0.05,-0.31,293.87073526174214,156.1049680552658
51,0.48,0.2,1.0,0.44,144.37584177010146,49.70279844936764
80,0.28,0.33,0.0,0.42,264.50401772433054,132.40372253060266
28,0.32,1.27,0.72,0.12,117.55006410679168,43.056083254994476
43,0.38,1.18,0.82,-0.39,282.5554048380568,111.39625748862892
13,0.19,0.84,0.51,0.4,152.58730511945063,103.44971078736211
10,0.19,0.8,0.71,0.59,274.84705235931733,117.43611088865221
59,0.0,1.01,0.0,0.61,227.01229102891935,54.462346399128265
18,0.55,0.68,0.56,-0.09,149.31860870935319,61.82894013965827
21,0.01,0.76,0.02,1.0,228.34911505740968,37.03152348538782
4,0.38,0.71,0.77,0.69,150.0657083376572,59.16830414379579
33,0.11,0.37,0.09,0.23,247.48343087533502,105.38665292374532
