subID,alpha,theta,gamma,w,nll_idv,nll_grp
64,0.35,1.4,0.39,0.12,122.23221953603993,63.15011734098446
75,0.13,1.08,0.72,0.43,199.828993274912,134.56216119238886
38,0.24,0.9,1.0,-0.37,315.2910013695702,107.82391436399642
65,0.88,0.72,0.88,-0.13,168.01773858995497,85.07981470176144
48,1.0,0.42,0.85,0.6,145.16659861558446,132.48578615523846
56,1.0,0.67,0.77,0.96,202.9379567962187,46.90091801369569
26,0.74,1.12,0.79,-0.27,336.7767988095787,123.08637524215654
71,0.18,0.99,0.0,0.52,65.0930319637422,99.88564085210619
69,0.24,0.67,0.44,-0.32,157.86578262147438,110.2303381481033
8,0.16,0.98,1.0,0.33,271.8805499517016,95.38496400305753
44,0.4,0.05,1.0,0.0,170.34319500471162,83.01714433982887
57,0.96,1.04,0.44,1.0,84.17018878588314,41.79701849801994
50,0.44,0.54,0.99,-0.12,218.02410266884064,93.45072214518166
77,0.03,0.88,0.0,-0.61,288.9428443044775,102.83053266645469
32,0.16,0.56,0.52,0.24,220.0768804050046,116.62396046418002
40,1.0,0.48,0.97,0.0,124.02284190209485,45.29321990314361
41,0.49,0.41,0.58,0.5,215.78498013121003,60.85675972956067
83,1.0,0.69,0.86,0.12,130.5344400399094,68.58602651535914
36,1.0,1.43,0.26,0.17,159.73604184497484,78.79891612856245
54,1.0,0.4,0.43,0.0,140.45784084681617,71.78383969713235
72,1.0,1.5,1.0,0.57,298.80503814682504,126.46238387769895
34,0.66,0.52,0.97,0.63,163.71904069521744,75.63394441410101
55,0.52,0.88,0.94,0.24,185.114506861596,92.45824733060375
39,0.17,0.86,0.76,-0.52,199.90223712221749,105.48815019985923
16,0.05,0.77,0.1,0.66,225.9460874307816,86.00089687399597
20,0.52,0.6,0.99,0.13,224.8569152606222,96.35028439475359
62,0.67,0.72,0.93,-0.1,165.64450539081696,80.4981573246808
42,0.72,0.44,0.88,0.16,143.9444438461645,87.1907483587703
68,0.56,0.66,0.02,0.68,242.43811400722404,71.02391590705491
79,0.79,1.09,0.21,-0.43,207.2999293683023,102.53242301399492
14,1.0,1.5,0.6,-0.73,126.6028729486015,85.52310011586746
58,0.2,0.87,0.69,-0.9,147.6555739980309,41.768203629569676
73,0.26,0.61,0.0,0.0,96.48207137067523,98.98843483848
17,0.51,0.64,0.0,0.68,237.1963372414685,89.88161477803888
46,0.18,0.6,0.29,-0.28,329.23623061838543,128.94706663576116
0,0.0,0.64,0.0,0.28,215.17138728247045,120.83035313620256
84,0.54,0.5,0.0,0.54,252.02360678097935,98.22505853328585
66,0.31,0.84,0.0,0.3,194.3991347976759,32.94640322495249
15,0.83,0.52,0.97,-0.52,228.48787757916517,103.67112751496626
70,0.4,0.71,0.08,-0.39,222.59588532609035,60.192784723583046
81,0.0,1.24,0.0,0.27,216.40990736364498,92.6325729033509
49,0.76,0.64,0.99,0.28,181.15566528895127,112.13820734780194
