subID,alpha,theta,gamma,w,nll
64,0.14,1.42,0.68,0.0,188.09367710703998
75,0.0,1.09,0.0,0.51,340.0723583919025
38,1.0,0.1,1.0,0.08,448.2178715849749
65,0.44,0.68,0.87,-0.51,221.88504376846967
48,0.88,0.03,0.9,0.52,276.6714468832033
56,0.43,0.6,0.87,1.0,218.47307746498484
26,0.96,0.28,1.0,0.31,481.8101029298237
71,0.09,0.87,0.68,0.19,193.8756166073366
69,0.04,0.55,0.08,-0.28,268.87805477860803
8,0.01,1.32,0.02,0.64,360.9513466131258
44,0.09,0.08,1.0,-0.03,248.84728618404546
57,0.12,0.84,0.0,1.0,135.5117293788719
50,0.25,0.46,0.93,-0.12,305.09364997948217
77,0.0,0.88,0.0,-0.62,384.9511672300041
32,0.5,0.52,0.87,0.32,320.2634241051403
40,0.33,0.68,0.86,0.48,187.7341515679608
41,0.27,0.41,0.84,0.62,267.9791783226967
83,0.32,0.31,1.0,0.1,206.3456129284874
36,0.12,1.08,0.26,0.28,254.57606376853988
54,0.28,0.36,0.28,0.04,214.06331602286085
72,0.0,1.5,0.0,0.57,419.850457171632
34,0.21,0.48,0.97,0.31,238.66216077680912
55,0.09,0.88,0.95,0.29,290.9236009075955
39,0.13,0.68,0.88,0.35,309.7226834597822
16,0.01,0.77,0.02,0.72,305.15219238408315
20,0.53,0.72,0.84,0.24,294.84481719044317
62,0.22,0.68,0.95,0.0,233.96588374618588
42,0.28,0.24,0.96,0.34,245.95451569975683
68,0.12,0.65,0.0,0.7,297.2567055950377
79,0.13,0.98,0.29,-0.47,298.3488209322904
14,0.37,1.5,0.56,-0.66,225.1453485435919
58,0.02,0.88,0.1,-0.9,181.27196278809834
73,0.16,0.49,0.12,-0.32,178.47090065801694
17,0.09,0.64,0.0,0.65,306.5437439970051
46,0.94,0.06,0.98,0.32,452.1004825975284
0,0.0,0.64,0.0,0.3,329.6930026776634
84,0.14,0.51,0.0,0.53,344.64654058064957
66,0.13,0.88,0.06,0.28,202.43638666040837
15,0.23,0.45,0.97,-0.6,338.9074231593703
70,0.23,0.71,0.0,-0.48,335.93679284031623
81,0.0,1.25,0.0,0.28,299.77725932536725
49,0.17,0.72,0.97,0.27,289.9173643040986
45,0.08,1.5,0.0,0.56,384.1692487006736
47,0.31,0.66,0.81,0.11,260.8357396700869
1,0.88,0.24,1.0,0.32,457.39880243447544
6,1.0,0.06,1.0,0.48,414.4500548178837
76,0.08,0.87,0.0,0.08,289.4864329456131
12,0.25,1.04,0.39,0.79,250.22335851631127
74,0.34,0.91,0.82,0.16,246.78239601685647
2,0.11,0.78,0.06,-0.37,409.3907463342481
51,0.32,0.24,1.0,0.0,200.07252430400683
80,0.19,0.35,0.0,0.52,377.5838558966411
28,0.25,1.28,0.74,0.2,163.35690455716053
43,0.24,1.06,0.48,-0.44,355.629502246674
13,0.29,1.09,0.72,1.0,225.22103568552666
10,0.92,0.1,1.0,0.12,470.72516089012277
59,0.0,1.01,0.0,0.75,273.1486419924682
18,0.37,0.56,0.58,-0.08,211.72446293230573
21,0.1,0.96,0.88,-0.9,331.22786470011175
4,0.31,0.62,0.82,0.51,220.560677828116
33,0.13,0.32,0.08,0.45,336.6463211400639
30,0.08,1.32,0.54,-0.21,333.51124841833314
63,0.08,1.28,0.28,0.49,361.38951454790276
37,0.26,0.3,0.88,0.1,244.18459050011174
22,0.0,1.5,0.0,0.56,371.1781959805171
78,0.01,0.72,0.02,-0.54,453.638199423586
31,0.0,0.86,0.0,0.48,272.8869678692944
60,0.02,0.92,0.08,-0.08,308.5347335401133
61,0.24,0.11,0.88,0.0,244.5073091991514
23,0.12,0.72,0.99,-0.08,315.64189810249337
24,0.27,0.88,0.78,0.97,196.97351309621894
35,0.08,0.84,0.68,0.7,243.21231397992491
9,0.88,0.28,1.0,0.52,424.7000002675834
11,0.21,0.7,0.95,-0.48,306.637015865064
27,0.18,0.42,0.98,0.26,266.0082303441028
67,0.24,0.52,0.95,0.84,231.1953852001008
82,0.14,0.84,0.78,-0.24,280.21229282529595
29,0.02,1.35,0.1,1.0,337.02728943534817
19,0.08,0.96,0.7,-0.32,284.7978678505044
25,0.02,1.5,0.1,0.08,227.90283473880783
5,0.39,0.66,0.79,0.99,196.4036568102881
53,0.23,1.07,0.61,0.85,213.71657869771843
3,0.33,0.48,1.0,0.69,412.1956051112169
7,0.02,1.5,0.0,0.66,441.72363188074496
136,0.1,0.45,1.0,0.68,270.2660256631393
164,0.1,1.28,0.1,-0.32,312.6371620341718
124,0.08,1.5,0.0,0.68,402.8546635419316
137,0.4,0.67,0.65,0.43,225.15518724727292
170,0.01,0.78,0.02,0.44,311.9531695595279
146,0.21,1.01,0.5,0.85,257.498369137381
128,0.02,0.32,0.0,0.54,299.662134717285
129,0.13,0.9,0.5,0.28,315.428487930976
105,0.23,0.88,0.68,0.92,302.58930464211824
132,0.19,0.4,0.77,0.3,301.7530637663631
142,1.0,0.0,0.89,-0.9,464.514788601854
134,0.47,0.16,1.0,-0.36,222.39406950410552
143,0.52,1.1,0.67,-0.38,269.4535918339158
165,0.01,1.0,0.02,-0.04,226.4708878115003
116,0.12,0.8,0.16,-0.4,404.9500504197501
111,0.19,1.05,0.85,0.0,251.97842889759607
99,0.36,0.31,0.97,0.78,193.04954382713538
135,0.24,0.4,0.99,0.28,243.62549647025165
118,0.03,1.28,0.1,0.71,280.79609067503725
103,0.14,0.51,0.78,0.0,345.2168868940862
148,0.17,1.12,0.83,0.53,323.61462290858935
101,0.02,1.5,0.1,-0.36,312.9086024305638
120,0.37,0.48,0.83,0.0,247.802924781948
119,0.21,1.26,0.81,0.96,222.56316169410312
149,0.23,0.18,0.51,0.3,221.88775980000935
156,0.12,0.55,0.0,0.52,360.15733666529667
152,1.0,0.06,1.0,1.0,349.2819987157132
171,0.15,1.0,0.85,0.19,307.8911756464735
87,0.08,1.28,0.0,0.81,237.49888380667346
85,0.15,0.72,0.98,0.56,288.2698478151192
166,0.26,0.49,0.84,0.38,313.7740039142017
150,0.92,0.1,1.0,0.12,496.3327308659512
126,0.12,0.9,0.45,0.68,207.16749692433893
138,0.54,0.87,0.78,1.0,120.97417882222166
167,0.14,0.97,0.12,1.0,232.9753485870139
88,0.11,1.14,0.0,0.32,287.8700291604758
158,0.35,0.52,1.0,0.6,362.7910579127626
92,0.25,0.71,0.86,0.88,247.92763831302125
95,0.16,0.34,1.0,0.47,251.2279855921409
133,0.12,0.19,0.88,0.57,252.51600663646224
106,0.08,1.01,0.85,0.49,315.72978768075967
130,0.19,0.72,0.87,0.36,296.6004592515879
154,0.1,0.88,0.28,0.16,180.1507933243974
97,0.2,0.32,0.98,0.1,246.1582712749261
102,0.0,0.7,0.0,0.08,353.0792166415874
153,0.08,1.32,0.48,0.68,180.16475550590266
86,0.52,0.18,0.88,0.58,242.37257104936333
112,0.13,0.41,0.12,-0.21,343.5522463742576
114,0.09,1.08,0.48,0.63,220.93058590229626
121,0.01,0.71,0.02,0.08,320.6100557572761
159,0.16,0.77,0.86,0.2,318.77505640516756
168,0.44,0.24,1.0,0.4,184.7902972948536
155,0.08,0.99,0.84,0.44,257.96230659036576
125,0.23,0.55,0.72,-0.48,296.3163357880077
131,0.0,0.7,0.0,0.08,370.1811512935743
115,0.34,1.03,0.64,0.08,194.43997634370675
107,0.88,0.0,1.0,0.12,483.6106022748841
109,0.41,0.28,0.88,0.0,218.63563916342935
96,0.02,1.03,0.1,0.48,219.90667756922642
127,0.15,0.43,0.14,0.49,271.77083351496026
110,0.88,0.1,0.99,0.32,441.92911653860403
162,0.01,0.79,0.02,-0.04,292.88188649385444
122,0.41,0.6,0.57,-0.33,351.6117841979517
140,0.21,0.17,1.0,0.0,228.09761651596114
144,0.36,0.37,0.99,0.76,281.62338785498105
163,0.92,0.1,1.0,0.12,591.0891548159386
117,0.91,0.32,1.0,0.51,457.6884807551785
141,0.0,0.64,0.0,0.0,290.6976180564846
160,0.12,0.72,0.88,0.48,285.2645020061043
100,0.15,0.64,0.99,0.75,278.6338270089815
151,0.44,0.64,0.75,0.67,327.9775417740798
139,0.08,1.32,0.56,1.0,247.37922758283992
157,0.12,0.71,0.0,1.0,372.813354368937
93,0.29,1.02,0.79,0.4,320.7304715725625
113,0.09,1.08,0.52,0.68,306.8156164210724
123,0.11,0.8,0.0,-0.62,371.3874314915838
161,0.09,0.19,0.72,0.52,290.3623836756979
98,0.92,0.1,1.0,0.32,417.6368169379824
104,0.01,1.5,0.0,0.28,400.1067401665087
94,0.01,0.69,0.02,0.48,285.6235825286369
108,0.36,0.3,0.99,0.0,200.10750591450034
145,0.51,0.16,0.99,1.0,204.7955875646544
147,0.13,1.05,0.88,1.0,281.3323486788305
169,0.92,0.28,1.0,0.52,471.79836508482197
89,0.01,0.64,0.0,0.09,325.1440671031144
90,0.92,0.1,1.0,0.12,440.42917762993125
234,0.44,0.3,0.87,-0.2,227.4348994150283
222,0.08,0.98,0.09,1.0,300.06199221979506
257,0.13,0.76,0.88,0.43,291.62671012791
172,0.88,0.1,0.99,0.56,452.2348130152455
210,0.31,1.28,0.63,0.36,181.38904944406212
196,0.01,0.92,0.02,0.08,282.1120619038849
