subID,alpha,theta,gamma,w,nll_idv,nll_grp
64,0.14,1.41,0.48,0.11,122.83272476222909,66.51544491704135
75,0.0,1.09,0.0,0.51,208.4987902206972,139.2783309802499
38,0.15,0.88,0.42,-0.42,322.2302092175867,114.34876322546867
65,0.72,0.75,0.82,-0.16,152.23915117884235,84.73247642520535
48,0.8,0.35,0.82,0.64,130.51555425532896,134.3113720776754
56,0.2,0.68,0.48,0.75,195.93290083188225,45.062910548613495
26,0.24,1.08,0.79,-0.3,337.55948386070224,123.45015302475677
71,0.08,0.97,0.08,0.48,73.29275392732991,97.92626646174854
69,0.68,0.16,0.99,-0.41,161.3890436383669,114.29485747947847
8,0.0,1.33,0.0,0.64,267.9936690229961,99.77484502277424
44,0.15,0.07,1.0,-0.04,171.75055930614207,82.02583354246312
57,0.17,0.85,0.02,1.0,98.29391667490289,41.79701849801994
50,0.36,0.48,0.94,-0.11,211.26403268792245,96.91255635465677
77,0.01,0.92,0.0,-0.61,289.1758560922011,102.13007002146821
32,0.65,0.59,0.81,0.27,215.64043543371469,114.1778591769181
40,0.48,0.68,0.86,0.0,119.93943272642639,36.719876106037916
41,0.45,0.38,0.87,0.58,206.99712326656524,65.2123648705298
83,0.35,0.68,0.88,0.16,145.55925552168605,68.78341070942095
36,0.26,1.23,0.19,0.17,163.88773129956812,71.3854656703126
54,0.63,0.42,0.39,0.0,132.55231118422833,72.36654666191278
72,0.4,1.48,1.0,0.54,296.86320576792815,118.97014088614324
34,0.28,0.5,0.97,0.56,165.6467766284855,75.10352006924488
55,0.2,0.84,0.96,0.28,202.47514608096924,90.12101895133071
39,0.08,0.79,0.88,-0.44,199.34354330711363,106.19488508385811
16,0.02,0.76,0.1,0.68,226.0194429760182,86.18571326114947
20,0.9,0.7,0.83,0.26,203.41598832047868,96.4998287846054
62,0.31,0.72,0.92,-0.12,162.52749441646978,80.67183732893483
42,0.37,0.36,0.88,0.34,150.70279778002893,95.54463845113843
68,0.17,0.64,0.0,0.69,237.27988566075797,70.90412084108624
79,0.2,1.03,0.18,-0.42,194.41604021989653,100.93506301994326
14,0.46,1.5,0.57,-0.73,127.62075072505552,83.52248090061349
