subID,alpha,theta,gamma,w,nll
64,0.13,1.4,0.48,0.12,185.5647947347085
75,0.0,1.09,0.0,0.51,340.0723583919025
38,0.15,0.88,0.41,-0.42,430.35595297733016
65,0.71,0.72,0.83,-0.15,226.67874259311475
48,0.78,0.34,0.83,0.68,259.2306634755095
56,0.19,0.68,0.45,0.81,234.35346448564022
26,0.23,1.08,0.81,-0.28,455.50081031691457
71,0.08,0.97,0.08,0.52,166.47989706818828
69,0.68,0.16,0.99,-0.41,268.11256775762126
8,0.0,1.32,0.0,0.65,361.30751290602643
44,0.15,0.07,1.0,-0.04,248.98401221736657
57,0.52,1.06,0.48,1.0,131.92022593017998
50,0.36,0.48,0.94,-0.12,303.70666571312734
77,0.01,0.92,0.0,-0.62,382.5668131192931
32,0.63,0.59,0.81,0.27,323.02304217440155
40,0.48,0.72,0.84,0.0,151.40382505560686
41,0.44,0.37,0.88,0.58,266.5495711036392
83,0.35,0.68,0.88,0.2,204.26859160311994
36,0.25,1.21,0.19,0.17,224.64944834005965
54,0.63,0.42,0.39,-0.03,197.65428062903598
72,0.4,1.48,1.0,0.55,410.75534978071636
34,0.28,0.5,0.97,0.56,234.42146979862503
55,0.2,0.8,0.97,0.28,284.9666805607891
39,0.1,0.74,0.88,-0.43,301.6342705627982
16,0.02,0.76,0.1,0.73,304.8259606934773
20,0.91,0.73,0.82,0.24,291.27919148043384
62,0.32,0.88,0.86,-0.2,237.73620815155164
42,0.37,0.36,0.88,0.35,237.61227053535947
68,0.17,0.64,0.01,0.7,301.4063893733105
79,0.17,1.01,0.2,-0.42,282.67585914185355
14,0.46,1.5,0.56,-0.74,201.2422918019485
58,0.4,0.44,0.99,-1.0,184.7481399867513
73,0.9,0.78,0.58,-0.32,160.9466659196946
17,0.13,0.64,0.0,0.7,309.3207283320149
46,0.24,0.49,0.68,-0.28,449.37200062812826
0,0.0,0.64,0.0,0.3,329.6930026776634
84,0.21,0.49,0.0,0.52,334.30416600831495
66,0.18,0.88,0.0,0.3,205.12632032886813
15,0.44,0.48,0.92,-0.52,318.45129179221044
70,0.12,0.72,0.06,-0.32,305.7344437192405
81,0.0,1.25,0.0,0.28,299.77725932536725
49,0.25,0.71,0.98,0.31,291.83279007986346
45,0.09,1.4,0.0,0.56,382.246344875058
47,0.62,0.58,0.86,0.1,253.0704025544453
1,0.28,0.48,1.0,-0.51,466.1357761444333
6,0.99,0.28,0.99,0.48,394.4315568235006
76,0.1,0.86,0.0,0.0,289.14467743696116
12,0.38,1.09,0.34,0.77,244.41072645250836
74,0.51,0.89,0.83,0.15,241.60256985238385
2,0.28,0.73,0.1,-0.37,412.8807382293604
51,0.49,0.2,1.0,0.2,203.3619064381611
80,0.28,0.32,0.0,0.53,377.604146476774
28,0.43,1.4,0.69,0.0,154.24951525832864
43,0.13,1.09,0.81,-0.42,351.14488340829223
13,0.33,1.04,0.79,1.0,213.52974004465244
10,0.11,0.82,0.97,-0.47,379.36422754950723
59,0.0,1.01,0.0,0.75,273.1486419924682
18,0.53,0.6,0.54,0.16,209.5494845366427
21,0.14,0.87,0.98,-0.32,324.8140681229482
4,0.38,0.69,0.78,0.53,220.2519452501678
33,0.13,0.35,0.06,0.48,337.83445403161136
30,0.23,1.5,0.84,-0.24,333.3282888427382
63,0.14,1.28,0.88,0.46,358.7413521774671
37,0.5,0.3,0.88,0.12,242.0416820259925
22,0.48,1.5,1.0,0.63,376.7680561394367
78,0.15,0.52,1.0,-0.28,438.9376393356533
31,0.0,0.86,0.0,0.48,272.8869678692944
60,0.12,0.82,0.88,0.04,299.18145146572175
61,0.72,0.12,0.85,0.0,244.5618073851382
23,0.18,0.8,0.97,0.0,314.135418754026
24,0.39,1.03,0.7,0.58,197.46954315338212
35,0.08,0.85,0.68,0.79,244.226283773374
9,0.08,0.97,1.0,0.48,380.0191645647682
11,0.32,0.67,0.95,-0.44,308.3033914349136
27,0.24,0.48,0.95,0.36,266.82323008043284
67,0.32,0.56,0.94,0.93,234.31247876038785
82,0.3,0.81,0.84,-0.4,298.404198116177
29,0.09,1.36,0.52,1.0,332.07254521493735
19,0.23,1.0,0.88,0.12,276.9004974706909
25,0.03,1.5,0.1,0.08,237.9461527712045
5,0.6,0.64,0.83,0.71,186.51942045120086
53,0.34,1.1,0.59,0.74,208.57276389697773
3,0.5,0.28,0.99,0.19,393.0233557982663
7,0.08,1.5,0.0,0.7,457.63576971021956
136,0.16,0.42,1.0,0.51,267.8245762599449
164,0.14,1.15,0.06,-0.32,310.60481698192365
124,0.15,1.36,0.0,0.62,397.58190207392056
137,0.92,0.72,0.69,0.41,216.35907918531552
170,0.32,0.54,0.97,0.33,304.3063670945554
146,0.23,1.01,0.48,0.75,255.8229232931164
128,0.02,0.32,0.0,0.54,301.1190857012736
129,0.25,0.95,0.59,0.2,310.1339326030534
105,0.34,1.0,0.65,1.0,288.6979246394852
132,0.26,0.45,0.7,0.3,301.32031003912937
142,0.42,0.26,0.01,-0.94,455.6567494557286
134,0.48,0.24,1.0,-0.32,198.82264343415247
143,0.87,1.38,0.56,-0.4,276.99344357028554
165,0.01,1.0,0.02,-0.04,225.87628828921396
116,0.11,1.01,0.86,0.51,399.18821799432067
111,0.28,1.1,0.84,0.0,251.14820488969036
99,0.5,0.32,0.97,0.88,186.91593556579454
135,0.32,0.41,1.0,0.3,254.51275069944876
118,0.04,1.28,0.1,0.72,280.05662561095176
103,0.49,0.42,0.88,0.0,340.2889590370907
148,0.22,1.12,0.88,0.6,325.37005907597415
101,0.23,1.28,1.0,-0.45,331.2972419300993
120,0.5,0.61,0.82,-0.12,235.87203082084716
119,0.28,1.48,0.72,0.8,218.4153046463112
149,0.21,0.19,0.31,0.38,226.70499442974858
156,0.15,0.57,0.0,0.44,361.75585318462856
152,0.1,0.82,0.13,1.0,330.59123497052224
171,0.12,0.95,0.76,0.27,311.72994166228796
87,0.11,1.28,0.0,0.82,236.74924846194082
85,0.22,0.77,0.95,0.56,277.60136905540696
