subID,alpha,theta,gamma,w,nll_idv,nll_grp
18,0.52,0.87,0.27,-0.26,321.5681124307348,138.91975859946234
14,0.57,0.65,0.56,-0.36,213.48571338649083,119.71037113978295
4,0.78,0.51,0.68,0.44,171.08186645626358,124.22960247563131
0,1.0,0.64,0.8,0.35,182.66441409567568,87.81075975600503
2,1.0,0.88,0.81,0.44,208.0743511156445,93.44710665550576
5,0.26,1.13,1.0,-0.17,263.816975407832,97.6199774316686
12,0.52,1.23,0.76,0.3,269.91222382190324,116.27356673843275
15,0.84,0.26,0.98,0.45,195.9963943415804,121.06010676856617
8,0.15,1.18,1.0,-0.33,249.77793851609164,92.73811911251508
19,0.68,1.07,0.82,-0.21,207.94454823387625,113.90078109647847
6,0.27,0.94,0.31,0.76,206.60570657706285,29.040458978569465
10,0.9,0.88,0.81,0.37,188.62113720490757,76.63182535156827
9,0.97,0.48,0.99,0.0,195.42251635666463,87.84361339301006
20,0.28,0.72,1.0,0.02,244.73737119283922,96.09184465796724
13,1.0,0.54,0.88,-0.2,204.0803377891573,77.68834291691448
7,0.48,0.74,0.86,0.86,234.00586821455514,17.691388336845336
21,0.12,1.2,0.0,0.18,193.40268268940395,57.35409303573458
1,0.0,0.69,0.0,0.28,282.457106378476,81.31590633659107
11,0.04,1.5,0.0,0.04,257.1683706287198,95.19677837749144
16,0.01,1.37,0.0,-0.17,332.7671347310123,131.9774208092113
17,0.1,0.58,0.2,-0.07,204.24851682815674,96.84950843857547
3,0.73,0.92,0.83,0.39,250.00652477302242,101.65110277474555
32,0.52,0.81,0.87,1.0,240.2964140907446,105.29879062251516
36,0.04,1.44,0.0,-0.16,305.1763398284591,77.07391156151844
22,0.07,0.54,0.02,0.24,217.95225326999895,118.59631211542894
28,0.37,1.3,0.19,-0.13,186.14678724710575,66.26837410836352
23,1.0,1.18,0.42,0.3,133.4267863211815,77.20744643177784
26,1.0,0.19,0.98,0.48,120.41092610979895,44.00027864928201
27,1.0,0.52,0.83,-0.17,146.86873833279637,64.54340930439177
33,0.36,0.53,0.09,0.0,180.40846651776226,70.10930993092346
29,0.56,0.38,1.0,0.47,174.6129007174141,111.40838203414476
30,0.28,0.88,0.87,-0.52,232.10337167269847,108.66760824415141
37,1.0,0.21,0.83,0.32,294.63562903730144,160.6544752517841
24,0.08,1.5,0.0,-0.32,332.0491523947351,5.970528261968355
31,0.17,0.82,1.0,0.54,269.1916248602479,163.44836012746322
25,0.21,0.44,0.84,0.0,198.2095310083328,99.36884795506897
86,0.7,1.5,0.64,0.24,130.64532417046462,52.88484491687673
94,0.3,0.96,0.54,0.09,222.8503180056834,70.46514306372681
68,1.0,0.4,0.88,0.33,150.36753018791433,70.53006004887285
48,0.03,1.44,0.0,0.0,115.40842655540638,52.981598666861956
96,0.88,0.76,0.0,0.09,318.5398770378386,90.58318050596809
60,1.0,0.81,0.75,0.36,144.9989233426189,61.101855854636305
58,0.16,1.05,0.95,-0.13,344.6956836752385,131.47190070621298
92,0.03,1.5,0.0,0.62,243.68639973681752,89.13925453672582
97,0.88,1.03,0.56,-0.38,183.64337096907505,128.22703706977856
87,1.0,1.2,0.0,0.34,162.17677106621994,100.71154079012409
44,0.78,0.59,0.87,-0.12,191.21967693855999,109.0617884919509
90,0.29,0.65,0.43,-0.14,137.47602337260855,64.73187228255614
54,0.61,0.8,0.88,0.32,264.00776634443935,91.59398728238688
50,0.03,0.67,0.08,-0.12,245.51785287956838,89.40589164270384
70,0.36,0.6,0.74,0.44,205.11574480550138,50.47105856778567
66,1.0,1.5,0.16,0.39,214.32825531053163,113.46248239220378
42,0.77,0.32,0.97,0.1,147.8763449729133,67.64406824909076
88,1.0,1.42,0.0,-0.35,244.45580809485324,87.13198969302685
40,0.84,0.64,1.0,0.72,224.36388639376025,125.34463861361937
74,0.53,0.69,0.99,0.33,174.2543359681589,72.79343017976069
64,1.0,1.44,0.63,0.51,80.45895607494802,63.54682395601799
45,0.08,1.5,0.0,0.57,365.0814580876504,135.37281307263336
38,0.88,0.38,0.0,0.79,321.762145663084,127.75513573600239
84,1.0,1.14,0.88,-0.16,345.31227481833423,28.801538557716135
65,1.0,0.53,0.87,0.26,203.73030951217115,79.96975864376805
72,0.31,1.08,0.73,-0.11,209.91540389539696,91.50835787427107
69,0.52,0.43,0.98,0.44,213.2784419179497,83.48574999587312
80,0.29,0.94,0.75,-0.42,222.6774223067071,115.89347721812146
82,0.0,0.84,0.0,-0.48,324.85876397362733,137.4347613478737
81,0.05,1.5,0.0,0.1,305.94710796310994,89.51879239453524
61,0.19,0.62,1.0,0.51,210.50833218979008,69.98511584998474
67,0.88,0.96,0.8,0.0,139.68160484072396,86.1864629102618
89,0.19,0.88,1.0,0.65,233.7263505721506,112.50974732722769
76,0.57,1.25,0.78,0.28,311.32561229846334,109.5772326728188
59,0.49,1.26,0.4,-0.19,285.48551201378524,109.99419787086745
43,0.96,0.76,0.81,0.22,172.07604902303936,66.91029993213014
93,0.09,0.88,0.94,0.36,185.50519153123793,118.51492651757707
55,0.97,0.96,0.81,0.0,145.44445586800856,39.83632801206993
85,0.28,0.64,1.0,-0.36,271.1768419327604,112.86233737728489
52,0.49,0.63,0.78,-0.3,305.3031137924625,116.54367927946768
78,0.41,0.84,0.86,0.28,227.1814126622074,67.43813402166285
51,0.68,0.68,0.87,0.0,196.7819506230536,75.1824369206486
49,0.52,0.36,0.99,0.27,149.25016068297737,102.87558154606603
56,0.68,0.67,0.77,-0.32,220.41218785021476,152.30883475281527
46,0.12,1.5,0.0,1.0,402.169282569554,136.7478441067472
79,0.13,0.69,0.06,0.63,236.61351694137613,68.81897095647798
62,0.38,0.8,1.0,-0.34,406.62552411646107,150.99534277222796
77,0.08,1.5,0.0,-0.8,307.5921731769202,74.52447638364507
63,0.32,1.21,0.68,0.3,168.7624783010936,88.03662976520032
73,0.72,0.44,1.0,0.16,207.9696089812351,96.35870956689917
57,0.88,1.33,0.67,-0.32,305.6276501658059,98.9007091385435
83,0.85,1.32,0.83,-0.21,165.55792142366965,96.04246758970484
71,0.68,0.52,0.95,0.46,194.41587827682858,42.770637906063115
91,0.41,0.6,0.99,0.08,265.88033440219397,110.69369637285986
39,0.8,1.18,0.78,0.48,141.75686884876745,95.9175271467882
75,0.28,0.77,0.88,-0.12,264.4016545848163,97.87383207057317
95,0.5,0.85,0.34,0.49,264.594150777734,98.07628375797526
53,0.68,0.4,1.0,0.04,140.78004667547026,74.44455139242729
47,0.96,0.29,0.98,0.29,206.98006610802844,102.50451752279267
41,1.0,0.49,0.95,0.6,148.0233109679606,74.9237722476778
108,0.59,1.5,0.3,-0.84,79.50316931095654,28.34736612999731
116,0.15,0.69,1.0,0.28,236.1115534532754,89.00977345321738
164,0.03,0.68,0.02,0.48,263.3137123186121,104.11707083246476
148,0.56,0.62,0.74,-0.2,208.8584733264316,97.36561618631532
140,0.54,0.81,0.44,0.68,305.02929555753593,118.92314435998487
102,1.0,0.81,0.0,0.56,292.63515546033096,83.50470752739307
170,1.0,0.8,0.87,0.2,167.66730367443787,59.16550559707221
110,0.26,0.78,0.0,-0.12,201.22780225601568,85.70541749227814
100,0.38,0.39,0.22,0.0,175.2322973851519,70.48701643305702
122,0.97,1.29,0.7,0.36,223.27705267956017,59.47945304958407
104,0.85,0.66,0.0,-0.14,198.87188437287747,84.64928760555414
168,0.49,0.76,0.44,-0.28,152.33655417685836,130.43585743019364
171,0.3,0.67,0.1,0.59,217.8954970154833,77.83621196200403
166,0.75,0.36,0.99,0.28,108.37012512345795,77.14771412143993
126,0.0,1.47,0.0,0.65,215.51615515722085,99.6821301701396
103,0.08,0.8,0.52,0.54,199.1352946647317,105.47007692274512
156,0.72,0.5,0.93,0.19,145.99821088009685,76.35578107679524
117,0.66,0.77,0.87,0.3,236.1590793225955,93.09167999855244
118,0.88,0.49,0.87,0.0,85.82531192829582,54.61710223688874
134,1.0,0.8,0.64,0.52,153.98069582746746,42.42014349718789
114,1.0,1.5,0.41,-0.4,78.94917827658186,87.5459193463363
130,0.56,0.66,0.22,0.38,177.04624136315118,78.02504937576383
109,0.72,0.51,0.94,-0.77,139.77089351317082,45.33077320529024
162,0.66,0.58,0.1,0.34,189.4333763721536,88.73167569271374
106,1.0,0.76,0.65,0.45,233.20653698794382,107.7456351611652
115,0.72,1.03,0.74,0.14,222.3964256176247,84.05283616090848
169,0.14,1.0,0.51,-0.04,158.54061762946176,89.65490834192579
128,0.34,0.94,0.85,0.28,259.4158272848052,78.25297655655957
154,0.91,0.68,0.86,-0.04,140.1514432486683,83.78156985805936
132,0.28,1.5,0.0,0.72,358.516713064452,121.67273413546002
120,0.1,1.02,0.68,-0.25,159.9618891123679,118.38790000741488
105,0.44,1.2,0.97,0.6,235.89369401406722,96.99386253492175
133,0.48,0.61,0.36,-0.36,283.68482556982224,39.38467444325603
107,1.0,0.96,0.01,0.33,229.0177991120768,89.57206808509679
141,0.98,1.12,0.84,0.78,350.0487293940704,107.28398475349576
119,0.67,1.25,0.32,0.33,154.1499065978897,97.90499487086585
155,0.1,0.62,0.0,1.0,245.90507231967922,130.79129991898736
142,0.57,0.76,0.2,0.3,352.96768627151,89.8453066602528
98,0.4,0.77,0.88,0.33,288.2728997286966,106.08041186261023
136,0.69,0.8,0.87,0.64,172.30968291529337,37.85270913673
150,0.47,0.16,0.36,0.01,166.2149700084301,69.98317082063546
138,1.0,0.88,0.68,0.36,154.2067221461994,81.99379879377327
152,0.37,1.29,0.1,-0.21,124.58196199028248,77.68527098773048
160,0.3,0.84,0.99,0.21,237.45678809803144,100.52345249339295
135,0.69,0.44,1.0,0.72,212.60579745892397,32.32130391763232
123,0.89,0.41,0.86,-0.12,210.42941100379062,83.76899807437233
137,0.72,0.56,1.0,0.76,218.0028324644764,30.093866131056114
129,1.0,0.48,0.88,0.41,134.51836833853199,76.62888693765889
112,0.3,0.84,0.0,0.68,329.48524525747786,76.34176559701142
149,0.12,1.11,0.82,0.03,149.81556286408923,83.75522553968662
157,0.21,0.87,0.16,0.15,156.0439260184976,77.03816412309693
151,0.01,0.81,0.02,0.0,218.80907408913794,90.98582674890194
124,0.91,0.51,0.86,-0.06,158.00484302245576,74.09390261982773
144,1.0,1.06,0.68,-0.12,142.92232026937404,59.139010805038126
163,1.0,0.4,0.88,0.08,121.68373157455437,61.30961365783774
158,0.72,0.44,0.77,0.19,151.69166109540367,105.46266102367511
159,0.29,0.29,0.19,-0.03,154.20829149550627,88.41456728864108
165,0.2,0.68,0.48,0.28,246.82018743666006,99.32925804788226
127,0.64,0.52,1.0,0.69,157.8508039977601,64.79682582510543
139,0.0,0.0,0.0,0.37,160.27005930793433,117.43128426336193
167,0.82,0.09,0.95,0.08,222.10602354024726,112.6131680791629
101,0.92,0.17,0.99,-0.48,277.00633864254087,136.0575144723956
146,0.62,0.14,0.93,0.5,244.42892978601674,98.30588231192922
125,0.0,0.76,0.0,0.28,230.51069221124504,98.18584015626335
131,0.0,0.74,0.0,-0.48,277.108728927206,88.44252930563246
143,0.52,0.56,1.0,-0.04,212.26790065048704,109.65469611249496
113,0.56,0.92,0.62,0.68,151.83248364206,65.5285042592364
161,0.48,0.38,0.68,-0.43,221.10420952079167,61.91583702918868
145,0.36,0.69,1.0,0.01,241.20673943906166,86.62602572491305
153,0.32,1.0,0.92,-0.28,259.2141800293916,99.51916387923553
99,0.14,0.62,1.0,0.17,225.07281924418928,108.92482556527216
111,0.78,0.38,0.88,0.08,238.77295653940672,75.59636239470895
121,0.76,0.31,0.69,0.0,151.8287056566045,85.0747500070895
147,0.41,0.68,0.81,0.08,227.50574688150948,100.08495384284417
222,0.25,0.8,0.01,0.38,187.5163890148469,76.05542481306294
188,1.0,0.96,0.44,0.45,131.20970483502612,40.63342163448807
250,0.52,0.72,0.82,0.11,165.32644245104848,89.90717021453345
238,0.58,1.04,0.78,-0.16,158.95794988544876,98.15504525403813
216,0.0,0.0,0.0,0.86,356.5200593079347,116.92942776725246
248,0.89,0.66,0.36,0.52,114.27032402598623,37.67967792272885
228,0.94,0.48,0.87,0.16,156.46791135976954,83.58835476316388
234,1.0,0.84,0.81,-0.25,127.06484178850707,38.567221568556924
229,1.0,0.81,0.82,0.06,151.31347934798652,64.3621346475631
220,0.0,0.58,0.0,0.3,223.35127997869515,99.06763908772245
239,0.32,0.91,0.29,-0.23,333.6297226212772,114.04939352854566
178,0.89,1.0,0.83,-0.26,228.88544722571055,74.293633992956
176,0.43,0.19,0.85,0.69,249.39350285679524,107.99175213809639
206,0.24,0.97,0.0,0.0,63.74211794769786,21.2907168208301
196,0.84,1.08,0.77,-0.18,200.58686775027087,91.44389769701203
200,0.32,0.91,0.82,-0.21,253.09836171969312,129.489156961185
172,0.29,0.76,1.0,-0.24,211.23637922687215,127.77053527312222
194,0.93,1.32,0.66,0.7,126.58953926113492,84.29436297404403
230,0.62,0.65,0.99,0.23,235.02717495085628,120.06833417012308
224,0.12,0.82,0.0,0.33,284.1270120885787,133.24025934056135
226,0.96,0.64,0.88,0.48,208.24410077794562,72.84862323255146
180,1.0,0.9,0.82,0.37,238.60468461318382,74.51214011037332
177,0.48,0.62,1.0,-0.67,261.18237205397605,105.50153577696607
225,0.46,0.98,0.06,-0.22,357.45988813775745,133.62538325713066
174,0.43,1.13,0.78,-0.32,221.3662867321324,101.96487516796824
221,1.0,0.76,0.88,0.25,176.27670330883723,95.72566603335822
204,0.96,0.58,0.63,1.0,193.8667628995899,146.59907772298527
246,0.13,1.0,0.32,-0.59,199.06088641358198,93.30242826598027
227,0.81,0.48,0.99,0.15,174.86428427569382,59.099415274150665
240,0.08,1.5,0.0,0.65,287.08123407837274,85.51819347081779
190,1.0,0.48,0.87,0.27,162.03395474112352,88.58141844897024
173,0.32,0.22,0.76,0.7,300.066204167112,135.49683533183511
184,0.22,0.34,1.0,0.12,229.38070357141814,84.73295797772147
186,0.33,0.83,0.3,0.38,267.46131637872156,137.72625004450057
201,0.13,0.83,1.0,0.01,261.1937096007097,119.54584148591607
