trial,subID,sim_choice,sim_attack,k
1,0,"[5, 6, 5, 3, 3, 4, 5, 3, 7, 5]","[1, 0, 0, 0, 0, 0, 1, 0, 0, 0]",1
1,1,"[3, 3, 4, 7, 5, 5, 6, 6, 7, 3]","[0, 1, 0, 1, 0, 0, 0, 1, 0, 0]",1
1,2,"[2, 7, 2, 7, 7, 2, 7, 6, 5, 6]","[0, 0, 0, 1, 1, 0, 0, 0, 0, 0]",1
1,3,"[7, 8, 6, 6, 7, 6, 7, 7, 6, 6]","[0, 0, 0, 1, 0, 1, 0, 0, 0, 0]",1
1,4,"[2, 1, 4, 1, 5, 3, 3, 4, 4, 5]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",1
1,5,"[7, 7, 6, 7, 7, 6, 7, 7, 6, 6]","[0, 0, 0, 0, 0, 0, 1, 1, 0, 1]",1
1,6,"[5, 5, 6, 6, 6, 7, 6, 6, 6, 6]","[0, 0, 0, 0, 0, 1, 1, 0, 0, 1]",1
1,7,"[4, 3, 3, 5, 7, 3, 5, 7, 7, 5]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
1,8,"[7, 6, 6, 7, 7, 7, 7, 7, 6, 5]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
1,9,"[6, 2, 7, 4, 2, 4, 2, 3, 5, 6]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
1,10,"[6, 7, 5, 5, 4, 6, 4, 7, 5, 7]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
1,11,"[8, 7, 8, 7, 7, 8, 7, 6, 7, 7]","[0, 1, 1, 1, 1, 0, 0, 0, 0, 0]",1
1,12,"[6, 7, 7, 6, 7, 7, 6, 6, 7, 8]","[1, 0, 0, 0, 0, 1, 1, 0, 0, 0]",1
1,13,"[6, 4, 2, 3, 4, 5, 4, 4, 3, 6]","[0, 0, 0, 0, 0, 1, 0, 0, 0, 1]",1
1,14,"[4, 3, 5, 4, 4, 5, 3, 2, 6, 5]","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",1
1,15,"[2, 3, 3, 4, 5, 2, 2, 2, 7, 1]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",1
1,16,"[6, 6, 6, 3, 7, 5, 8, 7, 7, 6]","[0, 1, 0, 0, 0, 0, 0, 0, 1, 0]",1
1,17,"[1, 8, 4, 2, 3, 3, 4, 4, 5, 4]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
1,18,"[7, 2, 5, 4, 2, 4, 6, 4, 6, 5]","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",1
1,19,"[5, 6, 7, 4, 6, 5, 5, 7, 4, 5]","[0, 0, 0, 0, 0, 0, 1, 0, 1, 0]",1
1,20,"[5, 4, 7, 4, 3, 5, 2, 3, 4, 7]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",1
1,21,"[6, 8, 5, 5, 8, 5, 7, 4, 6, 6]","[0, 1, 0, 0, 0, 0, 0, 0, 0, 1]",1
1,22,"[5, 3, 2, 5, 4, 4, 3, 2, 3, 3]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
