subID,alpha,theta,gamma,w,nll_idv,nll_grp
18,0.96,0.1,0.99,0.32,396.6068895098111,157.75894288738806
14,0.18,0.64,0.54,-0.37,209.95578974073769,120.12061518768932
4,0.14,0.42,0.74,0.44,182.2903429710229,122.622034725679
0,0.58,1.0,0.68,0.42,160.2794343912086,81.61881091032868
2,0.19,0.9,0.84,0.58,212.38311074635567,92.52816804043026
5,0.02,1.28,0.02,-0.2,284.6451577126501,100.97085230406972
12,0.09,1.13,0.72,0.31,276.7816039254865,119.46263832173211
15,0.46,0.28,0.88,0.44,183.86260907638683,131.01095504147696
8,0.08,1.28,0.68,-0.36,259.2388506603058,92.622140071811
19,0.17,1.09,0.82,0.44,214.46126250911368,115.46491240029414
6,0.22,0.98,0.86,0.88,194.8763793079213,16.96131715829743
10,0.29,0.81,0.88,0.4,187.43130098196372,77.1034416324452
9,0.27,0.52,0.99,-0.32,202.63702588868787,83.19717047715135
20,0.12,0.68,1.0,0.0,243.16364807756793,99.05145141487213
13,0.14,0.51,0.96,-0.23,204.78064770482052,80.50646282081695
7,0.21,0.75,0.86,0.87,229.07123259676678,17.719815017906193
21,0.02,1.2,0.0,0.24,194.59996273340903,57.932706330775076
1,0.0,0.69,0.0,0.29,282.457106378476,80.89818140616094
11,0.01,1.5,0.0,-0.08,256.5311260991739,93.74382621786229
16,0.88,0.32,1.0,0.31,362.70307693067735,150.7800084129937
17,0.03,0.56,0.1,-0.12,200.77378588385736,104.08471623552451
3,0.24,0.72,0.8,-0.32,254.43391824735517,103.95593531156682
32,0.01,0.73,0.0,0.68,248.36597059725662,101.9806959374969
36,0.01,1.44,0.0,-0.17,302.550125354085,77.6869116223019
22,0.03,0.52,0.09,0.24,215.67803120173375,119.77332008186303
28,0.14,1.3,0.3,-0.32,188.47165899650423,78.56638579406561
23,0.17,0.98,0.42,0.28,139.2869962376452,77.40062474921122
26,0.52,0.14,0.98,0.48,143.68023944663025,50.98715040555125
27,0.71,0.56,0.83,0.17,127.65063525187357,53.29418347879713
33,0.12,0.56,0.28,0.0,176.36944499923484,66.91112350220351
29,0.12,0.44,1.0,0.42,181.18440403020807,106.33233556543372
30,0.08,0.85,0.72,-0.5,238.5200031941972,114.23977025137359
37,0.92,0.0,1.0,0.12,318.9451299550385,151.27138182895212
24,0.02,1.5,0.0,-0.32,337.4857815613722,5.9754809173275545
31,0.1,0.76,0.0,0.48,288.2401597158704,151.58391215203034
25,0.01,0.52,0.02,0.0,198.76374676725655,110.15387817919522
86,0.16,1.28,0.61,0.28,148.2176757938259,52.29101775564804
94,0.13,1.08,0.51,0.24,230.66988610470355,73.50117101058204
68,0.4,0.32,0.88,0.48,158.29076487791352,73.31129250687805
48,0.01,1.44,0.0,-0.04,124.44073661796162,54.540919696168
96,0.17,0.76,0.0,-0.02,321.22688258655256,85.66930059335901
60,0.4,0.65,0.82,0.35,151.3480435510018,52.194202017567854
58,1.0,0.08,1.0,0.32,380.6138511648191,131.00872498331742
92,0.01,1.5,0.0,0.64,244.66696340773018,88.76749985418675
97,0.13,0.92,0.46,-0.48,187.20464191760908,121.66073493047857
87,0.08,0.96,0.06,0.48,188.40608690214495,104.18495779413256
44,0.31,0.59,0.85,0.08,210.42633312654792,114.34404045488104
90,0.35,0.28,0.99,-0.32,113.77382422848169,78.33248742418795
54,0.13,0.75,0.69,0.33,283.4053251850318,86.84937210352199
50,0.0,0.68,0.0,-0.12,244.7807200538237,91.8169006326071
70,0.11,0.6,0.69,0.98,203.9216535197167,33.803965795826365
66,0.25,1.5,0.21,0.31,210.38044638811598,115.01636573563819
42,0.37,0.24,0.97,0.16,132.44886485973203,69.96475705757364
88,0.09,1.09,0.52,-0.34,258.35460140493507,83.87270482807784
40,0.0,0.82,0.0,1.0,229.53098450007863,130.02523077931602
74,0.01,0.86,0.02,0.44,195.59612942025748,74.46178767710866
64,0.3,1.09,0.7,0.58,119.11530513110826,64.90578766484899
45,0.92,0.52,0.89,0.52,479.08804561413575,120.69904342781228
38,0.13,0.44,0.0,0.68,304.9898986892627,123.51641930289016
84,0.36,0.44,1.0,-0.28,322.83610276291415,48.88825782378282
65,0.29,0.56,0.86,0.16,197.95077174695936,72.22121138486696
72,0.09,1.14,0.76,-0.05,212.74423420743926,92.30559077410672
69,0.15,0.54,0.88,0.59,210.82357889419978,83.54922145940816
80,0.14,1.01,0.88,-0.49,229.54279622267288,116.21001151438017
82,0.92,0.1,1.0,0.12,377.02512094784845,161.01466349311514
81,0.01,1.5,0.0,0.24,301.7359201615278,90.27146994529296
61,0.02,0.72,0.1,0.55,208.30201638249605,71.97651507146374
67,0.21,0.88,0.81,0.0,150.14901553951512,84.77784204955657
89,0.08,0.9,0.88,0.8,239.3826963142159,115.89019149026669
76,0.01,1.48,0.02,0.08,327.7807965389493,91.28223961084754
59,0.08,1.32,0.32,-0.19,292.7582998523212,101.93854599624792
43,0.36,0.7,0.83,0.16,174.08093954645494,59.081242114353365
93,0.0,1.1,0.0,0.58,181.87383560396304,120.19239041015592
55,0.1,0.81,0.48,0.0,165.290068197986,48.1807411494537
85,0.09,0.81,0.52,0.33,247.67777139342908,160.6697230589677
52,0.88,0.06,0.98,0.25,302.7639323004505,140.88168385254562
78,0.11,0.88,0.84,0.36,227.58506395471932,66.25757956553876
51,0.33,0.77,0.83,0.03,198.48647356470093,72.35488649296337
49,0.22,0.29,1.0,0.24,151.31141067359957,102.58293779964194
56,0.12,0.6,0.68,-0.22,235.73802153214803,154.4567654091143
46,1.0,0.1,0.96,0.32,462.3330256420176,171.37658524035257
79,0.04,0.71,0.0,0.79,236.06103102955137,67.63210666338401
62,1.0,0.1,1.0,0.12,371.5308581394751,140.16348957447724
77,0.88,1.5,0.96,0.32,434.2285497080892,174.61060518809188
63,0.1,1.28,0.59,0.48,164.03154153438138,89.81886546951361
73,0.3,0.37,0.98,0.12,205.02357198236803,101.77206684659605
57,0.12,1.32,0.54,-0.24,283.3758317068261,109.67609090725554
83,0.1,1.13,0.81,-0.32,171.7881954273055,92.70445744292978
71,0.28,0.52,0.94,0.52,195.6606309709432,46.9868623100991
91,0.2,0.49,1.0,-0.11,266.9268302731973,104.1388768844557
39,0.26,1.01,0.83,0.64,161.15967964087343,97.59188606586552
