subID,alpha,theta,gamma,w,nll_idv,nll_grp
18,0.17,0.86,0.34,-0.1,319.26820229054346,140.76021379191917
14,0.2,0.64,0.6,-0.36,215.03064563494885,119.3783787699588
4,0.25,0.45,0.7,0.46,179.0913628892406,120.47382930864214
0,0.77,1.17,0.59,0.41,141.16800265635672,82.0896405703796
2,0.34,0.88,0.88,0.63,208.44052894857674,93.51431371434374
5,0.12,1.08,1.0,-0.22,269.81226475915895,103.58297083294484
12,0.28,1.24,0.68,0.35,276.93100648753585,115.79132534677885
15,0.88,0.28,0.88,0.45,182.41687246953134,127.38268869745794
8,0.13,1.32,0.48,-0.28,260.3144639314362,89.53972400847044
19,0.34,1.12,0.83,0.44,206.40283913185564,113.41324389632335
6,0.25,0.95,0.87,0.91,196.19917812819736,17.130325849694653
10,0.42,0.8,0.88,0.36,188.9639168667342,75.1805201666514
9,0.28,0.51,0.99,-0.08,201.02695538321456,90.37203600480734
20,0.21,0.64,1.0,0.08,242.92596440983036,97.95837468521091
13,0.29,0.57,0.88,-0.22,201.40511755360495,79.97139528481408
7,0.29,0.76,0.87,0.87,226.84053639725798,17.77235303181616
21,0.39,1.28,0.6,0.31,185.75739931752153,73.6996242651751
1,0.0,0.69,0.0,0.29,282.457106378476,80.89818140616094
11,0.01,1.5,0.01,-0.08,259.74571067983123,93.43316058399719
16,0.0,1.4,0.0,-0.17,343.43135082396515,127.891427415854
17,0.08,0.59,0.36,-0.13,197.5728485622176,102.7868991104114
3,0.37,0.82,0.87,-0.23,250.106815119455,97.40715337888805
32,0.2,0.79,0.86,1.0,241.69048925027408,105.47707131413188
36,0.01,1.43,0.0,-0.17,306.3762530014701,74.81785367592649
22,0.04,0.52,0.07,0.24,214.78730873303175,118.9957578634291
28,0.18,1.29,0.24,-0.1,187.00180213927993,68.72187530682561
23,0.33,1.13,0.38,0.32,134.00135042363485,76.09941306487111
26,0.52,0.16,1.0,0.42,137.52855340658192,50.05279410553333
27,0.7,0.5,0.83,-0.2,137.88549805165084,64.28409468699492
33,0.37,0.58,0.43,0.0,177.8459270334901,61.869367753466925
29,0.15,0.45,1.0,0.48,180.46974006788722,107.47885045016491
30,0.1,0.84,0.88,-0.52,230.22455332171978,103.31428102644473
37,0.33,0.44,0.0,-0.22,285.06879800393097,166.9090695968353
24,0.08,1.5,0.0,-0.32,355.93486295988816,5.96742140500324
31,0.2,0.75,0.0,0.33,293.0465357345098,146.60040548844148
25,0.08,0.43,0.8,0.08,197.60236911589672,104.41729183558499
86,0.41,1.5,0.65,0.25,143.37169248207456,47.80050856184005
94,0.14,0.99,0.69,-0.24,227.5974786630484,67.73935784509166
68,0.4,0.36,0.88,0.38,155.41480058368722,71.031733976
48,0.01,1.42,0.0,-0.04,117.4117937961723,54.40368387076586
96,0.27,0.74,0.0,0.18,321.7403509795036,93.89365560034221
60,0.57,0.89,0.67,0.36,145.981195062749,59.24636699492997
58,0.08,1.08,0.88,0.28,350.34201388614684,132.14849454289003
92,0.01,1.5,0.0,0.64,244.4562403577809,89.00928168103778
97,0.13,0.85,0.17,-0.35,173.68297869550833,145.87985896100594
87,0.84,1.5,0.0,0.48,148.71449112947107,114.34137538798485
44,0.34,0.66,0.85,-0.12,206.71193235466376,107.11436052052844
90,0.44,0.28,0.97,-0.29,107.10025875930775,72.29678282395227
54,0.21,0.74,0.88,0.35,281.50252567528275,89.64924272423241
50,0.02,0.63,0.1,-0.08,244.52115325878685,91.39733312730995
70,0.15,0.6,0.72,0.97,203.2484193102668,33.79775032774773
66,0.26,1.5,0.0,0.42,213.0499099762427,121.5800858790741
42,0.39,0.28,0.96,0.19,136.42824284028924,72.25939117330012
88,0.22,1.06,0.57,-0.49,256.9623127913208,85.44613433886435
40,0.24,0.65,1.0,0.68,224.77005468849813,124.44251957590751
74,0.32,0.68,0.93,0.33,188.86387790829383,69.47510573159353
64,0.4,1.16,0.69,0.56,99.39883370400383,62.24064393426606
45,0.08,1.5,0.0,0.58,391.36050418029026,127.0435813253034
38,0.15,0.56,0.0,-0.13,320.5378990918551,106.38352650423161
84,0.72,0.89,0.85,-0.18,338.47052385580855,27.959785808752148
65,0.43,0.6,0.85,0.19,198.13508720457494,74.45221068295609
72,0.15,1.13,0.81,-0.1,209.39492031190878,88.41735859552274
69,0.32,0.48,0.91,0.58,207.4873903559321,86.29465791429297
80,0.14,0.95,0.87,-0.53,229.5375845976286,116.58066498810825
82,0.1,0.8,1.0,-0.64,297.73500861256366,164.4481809972647
81,0.02,1.5,0.0,0.08,304.3394101654625,87.40673641520486
61,0.03,0.72,0.1,0.54,208.60677034736008,71.61093302588581
67,0.39,0.96,0.77,0.0,144.77840000473216,93.51781680142379
89,0.08,0.93,0.88,0.68,235.11806314802354,111.69726912460237
76,0.02,1.48,0.02,0.08,329.26390287846766,89.48737748338716
59,0.15,1.22,0.44,-0.15,284.52850077721325,107.73682706857892
43,0.65,0.72,0.82,0.19,168.51454105938598,62.25993356925188
93,0.0,1.1,0.0,0.58,181.87383560396304,120.19239041015592
55,0.39,0.96,0.77,-0.08,155.35419853386404,43.343011863462785
85,0.13,0.79,0.42,0.29,245.89208651673164,155.8828621466528
52,0.68,0.44,0.88,-0.24,293.4574725672766,125.5572718998727
78,0.15,0.86,0.86,0.34,226.06094053091155,65.64683285819943
51,0.52,0.71,0.85,0.0,203.84992507427833,71.1538937296906
49,0.52,0.22,0.99,0.3,144.80326301564023,100.94969524497297
56,0.21,0.64,0.76,-0.27,227.6377051939048,154.2047509170986
46,0.1,1.5,0.0,1.0,407.6838489006057,136.58097733829695
79,0.08,0.69,0.0,0.79,236.04717696797016,67.60277703466988
62,1.0,0.55,0.0,0.38,418.3237245646487,150.40190724099622
77,0.68,1.5,1.0,-0.35,361.58364879203583,69.05311771008105
63,0.12,1.17,0.68,0.32,165.51762928471862,87.14243404831669
73,0.38,0.44,0.99,0.13,206.80889062549485,96.87994612463687
57,0.17,1.4,0.64,-0.21,283.9928614330462,109.27199897895105
83,0.14,1.1,0.57,-0.39,161.38280309013612,90.99468581239807
71,0.31,0.45,0.98,0.44,197.33588496612865,45.16533268561012
91,0.23,0.61,0.98,-0.12,264.80527333314603,100.64659076426221
39,0.3,1.09,0.65,0.44,156.3755487820849,94.03951712686495
75,0.12,0.82,0.77,0.12,265.34731448865193,95.03072054281056
95,0.16,0.83,0.27,0.57,247.20035883521155,96.97635049516512
53,0.4,0.28,0.99,-0.34,148.85660200442368,70.32502953837583
47,0.68,0.48,0.88,0.43,192.34182300910888,111.09218814387741
41,0.56,0.28,0.97,0.72,144.21813811663367,77.61604651488476
108,0.23,1.5,0.4,-0.87,83.1139846307345,26.35766880225402
116,0.01,0.77,0.02,0.32,237.86329443556048,94.88369090959324
164,0.01,0.68,0.02,0.3,263.5778319758913,105.23471404739443
148,0.19,0.62,0.81,-0.32,214.84195802768016,96.38493706731268
140,0.17,0.83,0.31,0.49,294.2656986888849,117.17182204766286
102,0.18,0.92,0.07,0.6,274.79772639189423,85.92567104293674
170,0.49,0.72,0.86,0.19,164.19984190934932,61.94644338714774
110,0.44,0.48,0.97,-0.24,186.32730821939455,97.14679006655048
100,0.17,0.39,0.52,0.0,174.368224110889,70.6684652821252
122,0.31,1.29,0.71,0.39,216.26823530245912,60.12360747645978
104,0.38,0.64,0.02,-0.12,184.15124646373525,81.5390963050059
168,0.14,0.7,0.36,-0.2,154.44166308162355,134.3622676529807
171,0.11,0.7,0.28,0.61,232.2251569207926,79.57548069003784
166,0.32,0.32,0.98,0.17,136.2482789217815,71.70314299002345
126,0.0,1.48,0.0,0.65,215.50995963138203,99.80179242309053
103,0.01,0.84,0.0,0.52,200.34858808984058,102.11722076379581
156,0.48,0.58,0.86,0.22,148.0873059272072,71.02805239403969
117,0.27,0.65,0.93,0.32,251.11528325700297,89.06276640781792
118,0.48,0.48,0.88,0.0,80.81979932815499,47.2488716013083
134,0.59,0.69,0.85,0.57,148.78021631410851,44.703539120889175
114,0.44,1.5,0.44,-0.4,82.4801009392162,96.35436930623354
130,0.18,0.67,0.19,0.38,171.59477795219698,79.1550415271766
109,0.48,0.49,0.94,-0.74,135.15638892085602,41.08232269825783
162,0.23,0.54,0.06,0.36,190.779290996266,91.60510125346681
106,1.0,0.61,0.44,0.31,226.86382239143796,93.65327906059032
115,0.66,0.99,0.7,0.11,245.0982710558024,64.60500890802699
169,0.18,1.3,0.62,-0.11,156.89287522094276,85.89487242956574
128,0.11,0.94,0.72,0.28,261.31021187603415,79.7858285520028
154,0.48,0.68,0.86,0.18,137.48788395163717,86.81734798498283
132,0.08,1.5,0.0,0.72,361.4134798629617,122.38752955030915
120,0.08,1.09,0.68,-0.24,153.1997858940528,128.27434825211952
105,0.11,1.14,0.94,0.58,245.7226558282589,98.19188743096242
133,0.46,0.88,0.79,-0.37,273.8560934410952,40.19991482007156
107,0.84,1.5,0.09,0.31,223.73423972502727,71.08915780452719
141,0.35,0.88,0.86,0.7,356.4059708220485,106.46772602387746
119,0.26,1.32,0.52,0.36,149.52331105694853,89.39996358677394
155,0.1,0.49,1.0,1.0,245.08421310204832,133.72647477592392
142,0.2,0.76,0.24,0.32,348.99371584371414,87.43621797799749
98,0.13,0.76,0.88,0.29,290.35946838833087,106.51722887469461
136,0.57,0.32,0.98,-0.52,176.11192015026552,33.467718057700246
150,0.14,0.15,0.41,0.05,166.5818609196665,72.56786011697088
138,0.44,0.93,0.72,0.28,149.03134653830966,79.27280809878906
152,0.11,1.29,0.16,-0.12,129.440519994761,73.65069001111482
160,0.13,0.84,1.0,0.2,238.8470509396721,100.3593774724702
135,0.25,0.46,1.0,0.69,218.69603353284947,31.415449925797272
123,0.32,0.43,0.88,0.0,200.1665328308692,91.08659305715854
137,0.36,0.48,1.0,0.81,218.01481923282742,29.665671569600946
129,0.77,0.36,0.88,0.5,136.60276751633972,80.003479683224
112,0.14,0.87,0.0,0.66,341.7341423164751,75.88080165998394
149,0.08,1.12,0.76,0.08,151.44054437045074,83.68764943718125
157,0.08,0.86,0.08,0.28,154.14408773220316,76.88159244763911
151,0.01,0.81,0.02,0.0,219.59673898935213,90.10473573137234
124,0.4,0.52,0.87,-0.06,161.17189669730797,79.28270554880714
144,0.08,0.84,0.72,0.19,153.84040121697504,69.09291281068965
163,0.47,0.28,0.99,0.08,111.03710967947136,50.24257524354839
158,0.32,0.53,0.78,0.16,155.56867043959696,93.61317758499285
159,0.14,0.3,0.23,-0.05,152.12826737016948,87.03670448193667
165,0.06,0.7,0.1,0.24,246.28149665029156,99.46980863329674
127,0.29,0.48,1.0,0.62,160.0221001400433,63.82680106971311
139,0.01,0.0,0.0,0.37,160.50794135092923,117.30146783952979
167,0.55,0.04,0.97,0.14,225.83320814186033,110.17148181767801
101,0.39,0.28,0.8,-0.24,279.9229098458075,120.99078319760508
146,0.48,0.1,0.95,0.5,240.54341415623966,100.25719868793105
125,0.0,0.75,0.0,0.23,230.95500714089516,98.8646060050359
131,0.0,0.74,0.0,-0.39,277.108728927206,90.15472667695923
143,0.13,0.63,0.88,0.0,216.33060128562002,110.89996799011439
113,0.21,0.88,0.65,0.66,152.65631860968193,65.6856558118623
161,0.27,0.54,0.88,-0.55,186.22360599265534,90.59352135980218
145,0.11,0.7,1.0,-0.08,241.9879201720182,88.962332688705
153,0.86,1.5,0.72,-0.29,226.96440187328275,112.30367870118799
99,0.0,0.66,0.0,0.39,226.08588307753558,111.4260510836572
111,0.32,0.33,1.0,0.0,241.32930877762962,74.21905890585539
121,0.88,0.22,0.88,0.02,151.2721532618426,76.3701093538181
147,0.12,0.69,0.4,0.28,230.55107082675994,104.96490496557801
222,0.57,0.41,0.98,0.36,186.51817893767904,72.75878460121235
188,0.65,1.28,0.46,0.5,112.88292325666548,44.57498014538701
