trial,subID,sim_choice,sim_attack,k
1,0,"[6, 6, 8, 7, 7, 6, 8, 7, 7, 5]","[0, 0, 0, 0, 0, 1, 0, 1, 0, 0]",1
1,1,"[6, 3, 6, 6, 5, 4, 3, 3, 4, 4]","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",1
1,2,"[6, 5, 6, 5, 4, 5, 5, 3, 6, 5]","[0, 0, 1, 1, 0, 0, 0, 0, 0, 0]",1
1,3,"[7, 4, 5, 6, 4, 7, 6, 5, 2, 3]","[1, 1, 0, 1, 0, 1, 1, 0, 0, 0]",1
1,4,"[5, 5, 2, 2, 5, 4, 7, 2, 3, 5]","[1, 0, 0, 0, 0, 0, 0, 0, 1, 0]",1
1,5,"[5, 4, 6, 7, 5, 7, 5, 8, 5, 6]","[0, 0, 0, 0, 0, 1, 0, 0, 1, 0]",1
1,6,"[6, 6, 6, 6, 5, 5, 6, 6, 4, 8]","[0, 0, 0, 1, 0, 0, 0, 0, 1, 0]",1
1,7,"[5, 5, 5, 6, 7, 3, 5, 5, 4, 7]","[1, 0, 0, 0, 0, 0, 0, 1, 1, 0]",1
1,8,"[8, 7, 6, 5, 8, 6, 7, 8, 5, 8]","[1, 1, 0, 0, 1, 1, 0, 0, 0, 0]",1
1,9,"[4, 3, 4, 4, 5, 2, 2, 4, 3, 4]","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",1
1,10,"[2, 3, 5, 5, 5, 6, 4, 4, 5, 5]","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",1
1,11,"[6, 4, 8, 7, 8, 6, 8, 6, 8, 8]","[0, 0, 1, 0, 0, 1, 0, 0, 0, 1]",1
1,12,"[8, 6, 6, 7, 7, 6, 5, 7, 7, 6]","[0, 0, 0, 1, 0, 1, 0, 1, 1, 0]",1
1,13,"[5, 3, 4, 4, 3, 1, 3, 3, 2, 3]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
1,14,"[6, 3, 5, 5, 4, 3, 4, 8, 4, 5]","[0, 0, 0, 1, 0, 0, 0, 0, 0, 1]",1
1,15,"[2, 1, 2, 3, 1, 1, 3, 1, 4, 3]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
1,16,"[7, 7, 7, 8, 5, 7, 7, 7, 7, 9]","[1, 0, 0, 1, 0, 0, 0, 1, 1, 0]",1
1,17,"[5, 2, 7, 2, 6, 4, 5, 7, 4, 3]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
1,18,"[5, 5, 5, 3, 7, 5, 5, 9, 4, 5]","[1, 1, 0, 0, 0, 0, 0, 0, 0, 0]",1
1,19,"[6, 6, 8, 5, 6, 8, 7, 6, 7, 5]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
1,20,"[1, 3, 3, 5, 4, 4, 3, 1, 5, 6]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",1
1,21,"[8, 6, 3, 7, 6, 4, 7, 6, 7, 7]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
1,22,"[2, 5, 2, 3, 3, 3, 6, 7, 7, 6]","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",1
1,23,"[6, 6, 7, 6, 5, 6, 5, 8, 7, 6]","[1, 0, 0, 0, 0, 0, 1, 1, 0, 1]",1
1,24,"[6, 7, 6, 9, 8, 7, 6, 7, 7, 8]","[1, 1, 0, 1, 1, 0, 1, 0, 1, 1]",1
